name	bin_id	collection_id	profile_db_path	contigs_db_path
MIT9322	MIT9322	Genomes	ANVIO-PROFILES-FOR-PROCHLOROCOCCUS-ISOLATES-ACROSS-TARA/PROFILE.db	ANVIO-PROFILES-FOR-PROCHLOROCOCCUS-ISOLATES-ACROSS-TARA/CONTIGS.db
MIT9321	MIT9321	Genomes	ANVIO-PROFILES-FOR-PROCHLOROCOCCUS-ISOLATES-ACROSS-TARA/PROFILE.db	ANVIO-PROFILES-FOR-PROCHLOROCOCCUS-ISOLATES-ACROSS-TARA/CONTIGS.db
MED4	MED4	Genomes	ANVIO-PROFILES-FOR-PROCHLOROCOCCUS-ISOLATES-ACROSS-TARA/PROFILE.db	ANVIO-PROFILES-FOR-PROCHLOROCOCCUS-ISOLATES-ACROSS-TARA/CONTIGS.db
MIT9301	MIT9301	Genomes	ANVIO-PROFILES-FOR-PROCHLOROCOCCUS-ISOLATES-ACROSS-TARA/PROFILE.db	ANVIO-PROFILES-FOR-PROCHLOROCOCCUS-ISOLATES-ACROSS-TARA/CONTIGS.db
MIT9303	MIT9303	Genomes	ANVIO-PROFILES-FOR-PROCHLOROCOCCUS-ISOLATES-ACROSS-TARA/PROFILE.db	ANVIO-PROFILES-FOR-PROCHLOROCOCCUS-ISOLATES-ACROSS-TARA/CONTIGS.db
SS2	SS2	Genomes	ANVIO-PROFILES-FOR-PROCHLOROCOCCUS-ISOLATES-ACROSS-TARA/PROFILE.db	ANVIO-PROFILES-FOR-PROCHLOROCOCCUS-ISOLATES-ACROSS-TARA/CONTIGS.db
AS9601	AS9601	Genomes	ANVIO-PROFILES-FOR-PROCHLOROCOCCUS-ISOLATES-ACROSS-TARA/PROFILE.db	ANVIO-PROFILES-FOR-PROCHLOROCOCCUS-ISOLATES-ACROSS-TARA/CONTIGS.db
MIT9211	MIT9211	Genomes	ANVIO-PROFILES-FOR-PROCHLOROCOCCUS-ISOLATES-ACROSS-TARA/PROFILE.db	ANVIO-PROFILES-FOR-PROCHLOROCOCCUS-ISOLATES-ACROSS-TARA/CONTIGS.db
MIT9107	MIT9107	Genomes	ANVIO-PROFILES-FOR-PROCHLOROCOCCUS-ISOLATES-ACROSS-TARA/PROFILE.db	ANVIO-PROFILES-FOR-PROCHLOROCOCCUS-ISOLATES-ACROSS-TARA/CONTIGS.db
MIT9123	MIT9123	Genomes	ANVIO-PROFILES-FOR-PROCHLOROCOCCUS-ISOLATES-ACROSS-TARA/PROFILE.db	ANVIO-PROFILES-FOR-PROCHLOROCOCCUS-ISOLATES-ACROSS-TARA/CONTIGS.db
MIT9515	MIT9515	Genomes	ANVIO-PROFILES-FOR-PROCHLOROCOCCUS-ISOLATES-ACROSS-TARA/PROFILE.db	ANVIO-PROFILES-FOR-PROCHLOROCOCCUS-ISOLATES-ACROSS-TARA/CONTIGS.db
PAC1	PAC1	Genomes	ANVIO-PROFILES-FOR-PROCHLOROCOCCUS-ISOLATES-ACROSS-TARA/PROFILE.db	ANVIO-PROFILES-FOR-PROCHLOROCOCCUS-ISOLATES-ACROSS-TARA/CONTIGS.db
LG	LG	Genomes	ANVIO-PROFILES-FOR-PROCHLOROCOCCUS-ISOLATES-ACROSS-TARA/PROFILE.db	ANVIO-PROFILES-FOR-PROCHLOROCOCCUS-ISOLATES-ACROSS-TARA/CONTIGS.db
EQPAC1	EQPAC1	Genomes	ANVIO-PROFILES-FOR-PROCHLOROCOCCUS-ISOLATES-ACROSS-TARA/PROFILE.db	ANVIO-PROFILES-FOR-PROCHLOROCOCCUS-ISOLATES-ACROSS-TARA/CONTIGS.db
GP2	GP2	Genomes	ANVIO-PROFILES-FOR-PROCHLOROCOCCUS-ISOLATES-ACROSS-TARA/PROFILE.db	ANVIO-PROFILES-FOR-PROCHLOROCOCCUS-ISOLATES-ACROSS-TARA/CONTIGS.db
CCMP1375	CCMP1375	Genomes	ANVIO-PROFILES-FOR-PROCHLOROCOCCUS-ISOLATES-ACROSS-TARA/PROFILE.db	ANVIO-PROFILES-FOR-PROCHLOROCOCCUS-ISOLATES-ACROSS-TARA/CONTIGS.db
SS35	SS35	Genomes	ANVIO-PROFILES-FOR-PROCHLOROCOCCUS-ISOLATES-ACROSS-TARA/PROFILE.db	ANVIO-PROFILES-FOR-PROCHLOROCOCCUS-ISOLATES-ACROSS-TARA/CONTIGS.db
MIT9401	MIT9401	Genomes	ANVIO-PROFILES-FOR-PROCHLOROCOCCUS-ISOLATES-ACROSS-TARA/PROFILE.db	ANVIO-PROFILES-FOR-PROCHLOROCOCCUS-ISOLATES-ACROSS-TARA/CONTIGS.db
NATL2A	NATL2A	Genomes	ANVIO-PROFILES-FOR-PROCHLOROCOCCUS-ISOLATES-ACROSS-TARA/PROFILE.db	ANVIO-PROFILES-FOR-PROCHLOROCOCCUS-ISOLATES-ACROSS-TARA/CONTIGS.db
MIT9312	MIT9312	Genomes	ANVIO-PROFILES-FOR-PROCHLOROCOCCUS-ISOLATES-ACROSS-TARA/PROFILE.db	ANVIO-PROFILES-FOR-PROCHLOROCOCCUS-ISOLATES-ACROSS-TARA/CONTIGS.db
MIT9313	MIT9313	Genomes	ANVIO-PROFILES-FOR-PROCHLOROCOCCUS-ISOLATES-ACROSS-TARA/PROFILE.db	ANVIO-PROFILES-FOR-PROCHLOROCOCCUS-ISOLATES-ACROSS-TARA/CONTIGS.db
MIT9311	MIT9311	Genomes	ANVIO-PROFILES-FOR-PROCHLOROCOCCUS-ISOLATES-ACROSS-TARA/PROFILE.db	ANVIO-PROFILES-FOR-PROCHLOROCOCCUS-ISOLATES-ACROSS-TARA/CONTIGS.db
MIT9314	MIT9314	Genomes	ANVIO-PROFILES-FOR-PROCHLOROCOCCUS-ISOLATES-ACROSS-TARA/PROFILE.db	ANVIO-PROFILES-FOR-PROCHLOROCOCCUS-ISOLATES-ACROSS-TARA/CONTIGS.db
SS51	SS51	Genomes	ANVIO-PROFILES-FOR-PROCHLOROCOCCUS-ISOLATES-ACROSS-TARA/PROFILE.db	ANVIO-PROFILES-FOR-PROCHLOROCOCCUS-ISOLATES-ACROSS-TARA/CONTIGS.db
MIT9201	MIT9201	Genomes	ANVIO-PROFILES-FOR-PROCHLOROCOCCUS-ISOLATES-ACROSS-TARA/PROFILE.db	ANVIO-PROFILES-FOR-PROCHLOROCOCCUS-ISOLATES-ACROSS-TARA/CONTIGS.db
MIT9202	MIT9202	Genomes	ANVIO-PROFILES-FOR-PROCHLOROCOCCUS-ISOLATES-ACROSS-TARA/PROFILE.db	ANVIO-PROFILES-FOR-PROCHLOROCOCCUS-ISOLATES-ACROSS-TARA/CONTIGS.db
MIT9116	MIT9116	Genomes	ANVIO-PROFILES-FOR-PROCHLOROCOCCUS-ISOLATES-ACROSS-TARA/PROFILE.db	ANVIO-PROFILES-FOR-PROCHLOROCOCCUS-ISOLATES-ACROSS-TARA/CONTIGS.db
MIT9302	MIT9302	Genomes	ANVIO-PROFILES-FOR-PROCHLOROCOCCUS-ISOLATES-ACROSS-TARA/PROFILE.db	ANVIO-PROFILES-FOR-PROCHLOROCOCCUS-ISOLATES-ACROSS-TARA/CONTIGS.db
MIT9215	MIT9215	Genomes	ANVIO-PROFILES-FOR-PROCHLOROCOCCUS-ISOLATES-ACROSS-TARA/PROFILE.db	ANVIO-PROFILES-FOR-PROCHLOROCOCCUS-ISOLATES-ACROSS-TARA/CONTIGS.db
SB	SB	Genomes	ANVIO-PROFILES-FOR-PROCHLOROCOCCUS-ISOLATES-ACROSS-TARA/PROFILE.db	ANVIO-PROFILES-FOR-PROCHLOROCOCCUS-ISOLATES-ACROSS-TARA/CONTIGS.db
NATL1A	NATL1A	Genomes	ANVIO-PROFILES-FOR-PROCHLOROCOCCUS-ISOLATES-ACROSS-TARA/PROFILE.db	ANVIO-PROFILES-FOR-PROCHLOROCOCCUS-ISOLATES-ACROSS-TARA/CONTIGS.db
