name	bin_id	collection_id	profile_db_path	contigs_db_path
MIT9322	MIT9322	Genomes	Prochlorococcus-MERGED/PROFILE.db	Prochlorococcus-CONTIGS.db
MIT9321	MIT9321	Genomes	Prochlorococcus-MERGED/PROFILE.db	Prochlorococcus-CONTIGS.db
MED4	MED4	Genomes	Prochlorococcus-MERGED/PROFILE.db	Prochlorococcus-CONTIGS.db
MIT9301	MIT9301	Genomes	Prochlorococcus-MERGED/PROFILE.db	Prochlorococcus-CONTIGS.db
MIT9303	MIT9303	Genomes	Prochlorococcus-MERGED/PROFILE.db	Prochlorococcus-CONTIGS.db
SS2	SS2	Genomes	Prochlorococcus-MERGED/PROFILE.db	Prochlorococcus-CONTIGS.db
AS9601	AS9601	Genomes	Prochlorococcus-MERGED/PROFILE.db	Prochlorococcus-CONTIGS.db
MIT9211	MIT9211	Genomes	Prochlorococcus-MERGED/PROFILE.db	Prochlorococcus-CONTIGS.db
MIT9107	MIT9107	Genomes	Prochlorococcus-MERGED/PROFILE.db	Prochlorococcus-CONTIGS.db
MIT9123	MIT9123	Genomes	Prochlorococcus-MERGED/PROFILE.db	Prochlorococcus-CONTIGS.db
MIT9515	MIT9515	Genomes	Prochlorococcus-MERGED/PROFILE.db	Prochlorococcus-CONTIGS.db
PAC1	PAC1	Genomes	Prochlorococcus-MERGED/PROFILE.db	Prochlorococcus-CONTIGS.db
LG	LG	Genomes	Prochlorococcus-MERGED/PROFILE.db	Prochlorococcus-CONTIGS.db
EQPAC1	EQPAC1	Genomes	Prochlorococcus-MERGED/PROFILE.db	Prochlorococcus-CONTIGS.db
GP2	GP2	Genomes	Prochlorococcus-MERGED/PROFILE.db	Prochlorococcus-CONTIGS.db
CCMP1375	CCMP1375	Genomes	Prochlorococcus-MERGED/PROFILE.db	Prochlorococcus-CONTIGS.db
SS35	SS35	Genomes	Prochlorococcus-MERGED/PROFILE.db	Prochlorococcus-CONTIGS.db
MIT9401	MIT9401	Genomes	Prochlorococcus-MERGED/PROFILE.db	Prochlorococcus-CONTIGS.db
NATL2A	NATL2A	Genomes	Prochlorococcus-MERGED/PROFILE.db	Prochlorococcus-CONTIGS.db
MIT9312	MIT9312	Genomes	Prochlorococcus-MERGED/PROFILE.db	Prochlorococcus-CONTIGS.db
MIT9313	MIT9313	Genomes	Prochlorococcus-MERGED/PROFILE.db	Prochlorococcus-CONTIGS.db
MIT9311	MIT9311	Genomes	Prochlorococcus-MERGED/PROFILE.db	Prochlorococcus-CONTIGS.db
MIT9314	MIT9314	Genomes	Prochlorococcus-MERGED/PROFILE.db	Prochlorococcus-CONTIGS.db
SS51	SS51	Genomes	Prochlorococcus-MERGED/PROFILE.db	Prochlorococcus-CONTIGS.db
MIT9201	MIT9201	Genomes	Prochlorococcus-MERGED/PROFILE.db	Prochlorococcus-CONTIGS.db
MIT9202	MIT9202	Genomes	Prochlorococcus-MERGED/PROFILE.db	Prochlorococcus-CONTIGS.db
MIT9116	MIT9116	Genomes	Prochlorococcus-MERGED/PROFILE.db	Prochlorococcus-CONTIGS.db
MIT9302	MIT9302	Genomes	Prochlorococcus-MERGED/PROFILE.db	Prochlorococcus-CONTIGS.db
MIT9215	MIT9215	Genomes	Prochlorococcus-MERGED/PROFILE.db	Prochlorococcus-CONTIGS.db
SB	SB	Genomes	Prochlorococcus-MERGED/PROFILE.db	Prochlorococcus-CONTIGS.db
NATL1A	NATL1A	Genomes	Prochlorococcus-MERGED/PROFILE.db	Prochlorococcus-CONTIGS.db
