sample	r1	r2
MED_18_05M	ERR599140_1.gz,ERR598993_1.gz	ERR599140_2.gz,ERR598993_2.gz
MED_23_05M	ERR315858_1.gz,ERR315861_1.gz	ERR315858_2.gz,ERR315861_2.gz
MED_25_05M	ERR599043_1.gz,ERR598951_1.gz	ERR599043_2.gz,ERR598951_2.gz
MED_30_05M	ERR315862_1.gz,ERR315863_1.gz	ERR315862_2.gz,ERR315863_2.gz
RED_31_05M	ERR599106_1.gz,ERR598969_1.gz	ERR599106_2.gz,ERR598969_2.gz
RED_32_05M	ERR599041_1.gz,ERR599116_1.gz	ERR599041_2.gz,ERR599116_2.gz
RED_33_05M	ERR599049_1.gz,ERR599134_1.gz	ERR599049_2.gz,ERR599134_2.gz
RED_34_05M	ERR598959_1.gz,ERR598991_1.gz	ERR598959_2.gz,ERR598991_2.gz
ION_36_05M	ERR599143_1.gz,ERR598966_1.gz	ERR599143_2.gz,ERR598966_2.gz
ION_38_05M	ERR599158_1.gz,ERR599102_1.gz	ERR599158_2.gz,ERR599102_2.gz
ION_41_05M	ERR599011_1.gz,ERR599074_1.gz	ERR599011_2.gz,ERR599074_2.gz
ION_42_05M	ERR599141_1.gz,ERR599075_1.gz	ERR599141_2.gz,ERR599075_2.gz
ION_45_05M	ERR599045_1.gz,ERR599054_1.gz	ERR599045_2.gz,ERR599054_2.gz
ION_48_05M	ERR599138_1.gz,ERR599019_1.gz	ERR599138_2.gz,ERR599019_2.gz
IOS_52_05M	ERR599098_1.gz,ERR599139_1.gz	ERR599098_2.gz,ERR599139_2.gz
IOS_56_05M	ERR599057_1.gz	ERR599057_2.gz
IOS_57_05M	ERR599058_1.gz	ERR599058_2.gz
IOS_62_05M	ERR599012_1.gz	ERR599012_2.gz
IOS_64_05M	ERR599150_1.gz	ERR599150_2.gz
IOS_65_05M	ERR599146_1.gz,ERR598979_1.gz	ERR599146_2.gz,ERR598979_2.gz
ASE_66_05M	ERR599173_1.gz,ERR598973_1.gz,ERR599068_1.gz	ERR599173_2.gz,ERR598973_2.gz,ERR599068_2.gz
ASE_67_05M	ERR599144_1.gz,ERR598994_1.gz	ERR599144_2.gz,ERR598994_2.gz
ASE_68_05M	ERR599129_1.gz,ERR599171_1.gz,ERR599174_1.gz	ERR599129_2.gz,ERR599171_2.gz,ERR599174_2.gz
ASE_70_05M	ERR599165_1.gz,ERR599135_1.gz	ERR599165_2.gz,ERR599135_2.gz
ASW_72_05M	ERR599105_1.gz,ERR598984_1.gz	ERR599105_2.gz,ERR598984_2.gz
ASW_76_05M	ERR599010_1.gz,ERR599126_1.gz	ERR599010_2.gz,ERR599126_2.gz
ASW_78_05M	ERR599022_1.gz,ERR599006_1.gz	ERR599022_2.gz,ERR599006_2.gz
ASW_82_05M	ERR599035_1.gz,ERR599009_1.gz	ERR599035_2.gz,ERR599009_2.gz
ANE_004_05M	ERR599003_1.gz,ERR598955_1.gz	ERR599003_2.gz,ERR598955_2.gz
ANE_150_05M	ERR599170_1.gz	ERR599170_2.gz
ANE_151_05M	ERR598976_1.gz	ERR598976_2.gz
ANE_152_05M	ERR599078_1.gz	ERR599078_2.gz
