,RED_32_80M,IOS_57_05M,IOS_56_05M,IOS_52_75M,PON_140_05M,ANW_146_05M,PSW_128_05M,ION_41_60M,IOS_65_05M,ANE_151_05M,ION_39_25M,PSE_100_50M,ANW_141_05M,PSW_122_05M,ANE_151_80M,PON_132_05M,PSW_124_05M,IOS_52_05M,ASE_68_05M,ION_38_05M,IOS_64_65M,ION_38_25M,ION_36_17M,ASW_78_05M,RED_31_05M,ION_41_05M,ASE_68_50M,PSE_109_05M,ANE_150_05M,ANW_149_05M,IOS_64_05M,PSE_94_05M,IOS_65_30M,IOS_58_66M,RED_34_60M,ANW_148_05M,ASE_66_30M,ANE_150_40M,ASW_76_05M,RED_33_05M,ION_36_05M,RED_32_05M,PSE_102_05M,ANE_152_05M,ANW_145_05M,PSW_123_05M,PON_138_05M,PSE_109_30M,PSE_111_05M,PSE_110_05M,IOS_62_05M,PON_138_60M,ANE_004_05M,PSW_125_05M,ANW_142_05M,PON_137_05M,MED_18_05M,ASE_70_05M,PSE_100_05M,PSE_93_05M,ASW_72_100M,PSE_111_90M,ION_42_05M,RED_34_05M,ASE_66_05M,ANE_004_40M,PSE_102_40M,ION_42_80M,ION_48_05M,ION_45_05M,MED_18_60M,ASW_72_05M,PSW_128_40M,PSE_110_50M
RED_32_80M,1,0.237101076,0.245458105,0.213406814,0.148463476,0.201633964,0.131590165,0.194179915,0.225622264,0.118127942,0.171328157,0.108487623,0.166393109,0.133422315,0.119836144,0.190460153,0.133602723,0.21788627,0.154265972,0.15889759,0.229758272,0.169026183,0.145058182,0.1996516,0.498244281,0.271440573,0.151144345,0.134604999,0.13731656,0.189926486,0.228008361,0.152486248,0.227649519,0.242288767,0.273769367,0.20509848,0.175489213,0.142909138,0.201377016,0.216361366,0.148470839,0.439609667,0.111408195,0.141808143,0.181255919,0.139922704,0.148330741,0.09639516,0.124578166,0.091044287,0.239481576,0.100275695,0.128063133,0.132379774,0.245015584,0.117298721,0.146013113,0.12337039,0.12962062,0.170509164,0.189952405,0.118539676,0.265629573,0.174673899,0.185144623,0.111576957,0.108494473,0.247128996,0.222717143,0.274854129,0.142401929,0.243719047,0.126796797,0.088679459
IOS_57_05M,0.237101076,1,0.490509603,0.163667726,0.230920254,0.194083629,0.10366225,0.280454913,0.404173234,0.078463263,0.266642223,0.078885767,0.257080102,0.113111785,0.070500775,0.135662903,0.114773476,0.191603067,0.09552936,0.214939988,0.248486153,0.240509933,0.195049079,0.166964909,0.299534005,0.428954326,0.094616006,0.136196663,0.105230349,0.19398092,0.266009458,0.126559704,0.388073513,0.534404682,0.152856718,0.182054755,0.226759325,0.119093369,0.133103569,0.254350702,0.195358973,0.314140695,0.091449673,0.10483672,0.22924165,0.118158766,0.123325846,0.078909716,0.105416932,0.076302329,0.516678725,0.07287064,0.078824195,0.113042613,0.188885216,0.113323713,0.103281134,0.092082247,0.111569221,0.130372424,0.133269076,0.08781153,0.418467915,0.226669458,0.230595002,0.071190003,0.086990848,0.291685636,0.171422902,0.258607482,0.107616916,0.184972202,0.107040501,0.076987177
IOS_56_05M,0.245458105,0.490509603,1,0.230808471,0.161079449,0.22327528,0.11286984,0.224791791,0.362402493,0.08468124,0.189436291,0.077904319,0.179575505,0.116386401,0.081867859,0.172416319,0.116424549,0.268824259,0.105946911,0.156454192,0.286182127,0.179893572,0.137696099,0.213466611,0.280046869,0.409586519,0.10465946,0.137705202,0.122657295,0.198140411,0.318689676,0.121305893,0.369097153,0.449564491,0.156285976,0.209153902,0.224717917,0.136214125,0.162252409,0.176773184,0.136561517,0.284431728,0.094898186,0.096496853,0.194197675,0.114462236,0.161368293,0.096823597,0.10310486,0.091087432,0.414715173,0.079580913,0.091314067,0.116701945,0.239174472,0.124951275,0.104101611,0.104508862,0.112369492,0.128134129,0.178345992,0.090207162,0.400309286,0.156534237,0.229228258,0.076433133,0.092731312,0.281164781,0.238502268,0.34204176,0.110217831,0.25921714,0.12258216,0.085960143
IOS_52_75M,0.213406814,0.163667726,0.230808471,1,0.045772397,0.304496233,0.145980131,0.097064434,0.201458976,0.155298402,0.044421085,0.133088598,0.059953762,0.11141162,0.146325747,0.244948083,0.115130035,0.464033901,0.203135946,0.037234663,0.406475796,0.058198134,0.031206798,0.363828241,0.168256537,0.183341154,0.195932272,0.112066962,0.211513629,0.224343917,0.4450528,0.112013358,0.218072084,0.170794994,0.233039471,0.306732215,0.208703567,0.227652978,0.254912484,0.056175534,0.036338604,0.141828737,0.099032513,0.121543134,0.104374118,0.109741566,0.235456545,0.135073504,0.11305181,0.151517121,0.131680499,0.18718484,0.147361611,0.112674747,0.36276015,0.15450122,0.118128695,0.191063415,0.113826324,0.12651004,0.504111736,0.126223418,0.17583264,0.045216763,0.187975934,0.174895789,0.097535305,0.187384176,0.340446915,0.348060001,0.122899017,0.393817791,0.160552284,0.149499875
PON_140_05M,0.148463476,0.230920254,0.161079449,0.045772397,1,0.093101344,0.12766045,0.318286626,0.17050664,0.111414812,0.527066724,0.118951299,0.5169252,0.142973075,0.111377322,0.114431314,0.139721778,0.071180469,0.104523016,0.534739237,0.087785098,0.437040386,0.568749884,0.073044868,0.19467707,0.192756443,0.110568396,0.263100759,0.104140613,0.147497216,0.075287542,0.167029665,0.160936045,0.209944876,0.133648792,0.08852239,0.159848619,0.101000559,0.108226358,0.469646588,0.56817764,0.235645453,0.219126019,0.152903713,0.285574209,0.140281427,0.09717615,0.155723139,0.140913779,0.120594679,0.254507167,0.112347068,0.119017106,0.141700165,0.080685663,0.17155671,0.146883614,0.112141498,0.150181421,0.180505647,0.049922396,0.124510401,0.197425904,0.519321448,0.153953067,0.107558727,0.188637868,0.187870266,0.090761622,0.094169915,0.15242847,0.077315383,0.116965437,0.115668672
ANW_146_05M,0.201633964,0.194083629,0.22327528,0.304496233,0.093101344,1,0.113850991,0.185318374,0.26054917,0.182963869,0.098953593,0.112163,0.109999625,0.100582194,0.1699843,0.167871693,0.094089602,0.260080606,0.213459898,0.094584752,0.296361181,0.129399301,0.086866704,0.300488915,0.172755155,0.209011677,0.204983942,0.12485472,0.279346034,0.377594755,0.339295706,0.098032471,0.254665321,0.199739217,0.267199039,0.533235968,0.251956231,0.300039707,0.187425573,0.097732125,0.093376992,0.158451676,0.097333058,0.129536752,0.217754169,0.096102867,0.165107348,0.106107956,0.089693467,0.106988707,0.171037793,0.156260992,0.155085913,0.092135915,0.418687927,0.146292817,0.129081074,0.1548389,0.094489429,0.120101611,0.298059208,0.114070617,0.211691753,0.085227319,0.267935238,0.179840898,0.102108252,0.254622115,0.196141285,0.234620695,0.127685339,0.27620204,0.116936034,0.113514207
PSW_128_05M,0.131590165,0.10366225,0.11286984,0.145980131,0.12766045,0.113850991,1,0.114575155,0.100381286,0.094103056,0.11872064,0.223576306,0.133859466,0.540427692,0.099025298,0.144383731,0.565614223,0.158306662,0.119383082,0.112804184,0.125636756,0.111217034,0.116372463,0.121558144,0.121248666,0.104440795,0.120078833,0.142073648,0.098744099,0.103296534,0.116946192,0.181107346,0.106119114,0.102138209,0.131310599,0.113313833,0.103707884,0.098735888,0.153255568,0.127418552,0.117387899,0.115809346,0.128751392,0.117352694,0.099469854,0.52936692,0.379115003,0.217894469,0.445457066,0.300618599,0.112564634,0.181259117,0.093367019,0.538108458,0.123070637,0.159619769,0.113907325,0.162479276,0.414172045,0.113602948,0.144515575,0.284108448,0.106593241,0.127414555,0.106388232,0.108527748,0.121532911,0.108675153,0.138460359,0.124076146,0.116813259,0.128921399,0.752934487,0.319887467
ION_41_60M,0.194179915,0.280454913,0.224791791,0.097064434,0.318286626,0.185318374,0.114575155,1,0.298750447,0.129339906,0.422952257,0.089262344,0.258358355,0.11845654,0.126456905,0.093421488,0.114018562,0.114317674,0.127836277,0.372402848,0.146550043,0.457988925,0.347460435,0.12824734,0.236327523,0.311469637,0.130626102,0.20133008,0.16511673,0.276055278,0.167981614,0.120585312,0.29148861,0.301650722,0.200493099,0.176675064,0.274767492,0.165173636,0.096964033,0.294386291,0.343305367,0.269363325,0.141638323,0.115915604,0.336321796,0.118727301,0.095459194,0.11395644,0.11467589,0.103699711,0.314828986,0.10794314,0.121217926,0.11685576,0.133910924,0.160172354,0.11564741,0.102934799,0.115250777,0.124798745,0.084296006,0.100313822,0.291391244,0.282036215,0.282516745,0.117674853,0.125227617,0.372975197,0.08366005,0.126366024,0.123112748,0.116071468,0.111531124,0.099849372
IOS_65_05M,0.225622264,0.404173234,0.362402493,0.201458976,0.17050664,0.26054917,0.100381286,0.298750447,1,0.113732921,0.219126833,0.072945896,0.179497428,0.096625431,0.102797132,0.109495522,0.10104559,0.200157366,0.131674151,0.179374207,0.282798166,0.232607709,0.16242897,0.204807007,0.277602778,0.348312366,0.128820017,0.156621041,0.163965648,0.277882485,0.330145249,0.105986147,0.452352802,0.448351698,0.190697517,0.231046344,0.31801333,0.174206173,0.117002137,0.188729303,0.164809485,0.290412923,0.107922817,0.091723313,0.240484641,0.099305514,0.115351723,0.105426017,0.094125142,0.093921964,0.396458164,0.097948983,0.10102116,0.101177585,0.21836834,0.14851613,0.091255196,0.100320626,0.099341652,0.110782747,0.153660031,0.080634772,0.361333385,0.166962601,0.355790268,0.10332068,0.101895188,0.395849256,0.126410519,0.207829982,0.09420564,0.186878784,0.103914841,0.091851716
ANE_151_05M,0.118127942,0.078463263,0.08468124,0.155298402,0.111414812,0.182963869,0.094103056,0.129339906,0.113732921,1,0.096242793,0.169152116,0.108887829,0.081787185,0.825558414,0.151173692,0.079706405,0.132247106,0.330211374,0.109940626,0.136682434,0.120090317,0.113824167,0.202358403,0.09550756,0.079472926,0.325941003,0.170088444,0.521008148,0.236190701,0.135685194,0.149384051,0.110349603,0.08724342,0.184120136,0.202140309,0.203560317,0.484179507,0.147615972,0.095810751,0.111397334,0.092536247,0.188955097,0.286031382,0.205984921,0.087946092,0.122590487,0.160947438,0.093871819,0.154099489,0.087131554,0.270594802,0.544892874,0.079806566,0.133787079,0.192265177,0.27521688,0.244039276,0.099009315,0.145635789,0.185154878,0.139136695,0.083177382,0.101761333,0.204369341,0.573287667,0.219998607,0.125986831,0.101572734,0.089404549,0.258898181,0.124650542,0.091556543,0.157299592
