Sample Id	S-LLPA mean ecological niche	HIMB83 mean coverage	coefficient of HIMB083 genes variation	NCBI Biosample	Number of sequencing pairs	Number of QC sequencing pairs	Location	Project	Depth (m)	Depth Id	Size fractionnation (um)	Year	Month	Day	Exact sampling date	Latitude	Longitude	Chlorophyll Sensor s	Temperature (deg C)	Salinity (PSU)	Oxygen (umol/kg)	Nitrates (umol/L)	NO2 (umol/L)	PO4 (umol/L)	NO2NO3 (umol/L)	SI (umol/L)
ANE_004_05M	Yes	187.46	0.85	SAMEA2619376	202168446	184535177	Atlantic_Ocean_(North_East)	TARA_Oceans	10.00	SRF	0.22-1.6	2009	9	15	9/15/2009__10:15:00_AM	36.55	-6.57	0.08	20.53	36.63	NA	NA	NA	NA	NA	NA
ANE_004_40M	Yes	310.65	0.75	SAMEA2619399	238146548	211851937	Atlantic_Ocean_(North_East)	TARA_Oceans	38.69	DCM	0.22-1.6	2009	9	15	9/15/2009__4:45:00_PM	36.57	-6.54	0.09	16.25	36.56	NA	NA	NA	NA	NA	NA
ANE_150_05M	Yes	329.18	0.73	SAMEA2623808	193884779	174174635	Atlantic_Ocean_(North_East)	TARA_Oceans	5.53	SRF	0.22-3	2012	3	5	3/5/2012__11:02:00_AM	35.91	-37.26	0.05	17.58	36.31	228.38	-0.33	0.04	0.01	0.17	0.84
ANE_150_40M	Yes	282.19	0.74	SAMEA2623826	182027367	166816431	Atlantic_Ocean_(North_East)	TARA_Oceans	39.78	DCM	0.22-3	2012	3	5	3/5/2012__9:32:00_PM	35.75	-37.05	0.13	17.66	36.24	230.13	1.21	0.04	0.00	0.17	0.84
ANE_151_05M	Yes	319.87	0.74	SAMEA2623850	198143365	177719925	Atlantic_Ocean_(North_East)	TARA_Oceans	5.40	SRF	0.22-3	2012	3	9	3/9/2012__10:13:00_AM	36.16	-29.01	0.04	17.26	36.24	232.05	0.33	0.02	0.01	0.02	0.65
ANE_151_80M	Yes	224.34	0.75	SAMEA2623868	184769144	167256643	Atlantic_Ocean_(North_East)	TARA_Oceans	77.57	DCM	0.22-3	2012	3	9	3/9/2012__6:49:00_PM	36.19	-28.88	0.12	16.75	36.16	228.55	1.57	0.01	0.01	0.05	0.63
ANE_152_05M	Yes	78.22	0.98	SAMEA2623886	164620027	154165928	Atlantic_Ocean_(North_East)	TARA_Oceans	5.41	SRF	0.22-3	2012	3	19	3/19/2012__10:42:00_AM	43.69	-16.85	0.20	14.28	35.99	243.15	3.00	0.31	0.16	2.16	1.24
ANW_141_05M	Yes	566.67	0.64	SAMEA2623446	171199015	161109098	Atlantic_Ocean_(North_West)	TARA_Oceans	5.43	SRF	0.22-3	2011	12	30	12/30/2011__12:56:00_PM	9.85	-80.04	0.02	27.12	34.35	195.52	-1.72	0.00	0.01	0.00	2.93
ANW_142_05M	Yes	291.69	0.77	SAMEA2623463	157141812	148931622	Atlantic_Ocean_(North_West)	TARA_Oceans	5.44	SRF	0.22-3	2012	1	9	1/9/2012__12:41:00_PM	25.51	-88.38	0.04	24.97	36.19	194.27	-2.21	0.02	0.00	0.05	1.22
ANW_145_05M	Yes	232.90	0.68	SAMEA2623627	176015464	164887873	Atlantic_Ocean_(North_West)	TARA_Oceans	5.53	SRF	0.22-3	2012	2	2	2/2/2012__12:02:00_PM	39.23	-70.03	0.05	14.12	35.18	233.86	3.48	0.11	0.35	4.38	2.77
ANW_146_05M	Yes	271.36	0.74	SAMEA2623673	169471567	159790673	Atlantic_Ocean_(North_West)	TARA_Oceans	11.69	SRF	0.22-3	2012	2	15	2/15/2012__12:59:00_PM	34.68	-71.30		19.13	36.46	214.37	0.86	0.22	0.02	0.74	0.94
ANW_148_05M	Yes	244.66	0.74	SAMEA2623734	173119198	159232942	Atlantic_Ocean_(North_West)	TARA_Oceans	6.05	SRF	0.22-3	2012	2	24	2/24/2012__11:41:00_AM	31.70	-64.25	0.22	20.40	36.60	212.56	NA	0.09	0.00	0.15	0.73
ANW_149_05M	Yes	345.84	0.71	SAMEA2623774	178945938	163833487	Atlantic_Ocean_(North_West)	TARA_Oceans	5.53	SRF	0.22-3	2012	3	1	3/1/2012__11:55:00_AM	34.10	-49.89	0.16	18.73	36.41	220.19	-1.18	0.25	0.06	0.68	0.80
ASE_66_05M	Yes	388.20	0.71	SAMEA2620929	160365680	128766544	Atlantic_Ocean_(South_East)	TARA_Oceans	5.39	SRF	0.22-3	2010	7	15	7/15/2010__12:26:00_PM	-34.94	17.94	0.19	15.03	35.32	238.92	2.45	0.30	0.34	3.34	2.74
