MAG	recipient	outcome	transplant_sample	transplant_mean_cov_Q2Q3
DA_MAG_00002	R01	ambiguous	DA_D_09	0.080957894463
DA_MAG_00002	R02	ambiguous	DA_D_10	0.053731337098199994
DA_MAG_00002	R03	ambiguous	DA_D_15	0.193957880879
DA_MAG_00002	R04	ambiguous	DA_D_14	0.07060044301260002
DA_MAG_00002	R05	ambiguous	DA_D_08	0.0771031184247
DA_MAG_00004	R01	ambiguous	DA_D_09	2.98015396707
DA_MAG_00004	R02	ambiguous	DA_D_10	6.30531097454
DA_MAG_00004	R03	ambiguous	DA_D_15	5.406972982459999
DA_MAG_00004	R04	colonization	DA_D_14	0.625109178177
DA_MAG_00004	R05	ambiguous	DA_D_08	8.80946635485
DA_MAG_00005	R01	colonization	DA_D_09	0.35959093225500005
DA_MAG_00005	R02	colonization	DA_D_10	2.7522545957499998
DA_MAG_00005	R03	ambiguous	DA_D_15	1.9590883425099999
DA_MAG_00005	R04	ambiguous	DA_D_14	2.57231663598
DA_MAG_00005	R05	ambiguous	DA_D_08	1.10943512144
DA_MAG_00006	R01	colonization	DA_D_09	3.42248433606
DA_MAG_00006	R02	ambiguous	DA_D_10	9.189647523789999
DA_MAG_00006	R03	ambiguous	DA_D_15	7.11111981857
DA_MAG_00006	R04	ambiguous	DA_D_14	6.86302039514
DA_MAG_00006	R05	ambiguous	DA_D_08	3.51558039523
DA_MAG_00007	R01	ambiguous	DA_D_09	8.91799222983
DA_MAG_00007	R02	ambiguous	DA_D_10	7.84537812393
DA_MAG_00007	R03	ambiguous	DA_D_15	7.05513408382
DA_MAG_00007	R04	ambiguous	DA_D_14	15.955928991199999
DA_MAG_00007	R05	ambiguous	DA_D_08	8.89658741829
DA_MAG_00008	R01	ambiguous	DA_D_09	0.000375026309244
DA_MAG_00008	R02	ambiguous	DA_D_10	0.000271702734248
DA_MAG_00008	R03	no_colonization	DA_D_15	0.662112100451
DA_MAG_00008	R04	colonization	DA_D_14	12.8940811799
DA_MAG_00008	R05	ambiguous	DA_D_08	0.00136819322184
DA_MAG_00009	R01	colonization	DA_D_09	3.19235373653
DA_MAG_00009	R02	ambiguous	DA_D_10	3.04126469989
DA_MAG_00009	R03	no_colonization	DA_D_15	25.1120318275
DA_MAG_00009	R04	ambiguous	DA_D_14	2.70272890377
DA_MAG_00009	R05	ambiguous	DA_D_08	8.04277686842
DA_MAG_00011	R01	no_colonization	DA_D_09	0.7165659870569999
DA_MAG_00011	R02	no_colonization	DA_D_10	3.63152890553
DA_MAG_00011	R03	no_colonization	DA_D_15	2.7881433616000004
DA_MAG_00011	R04	no_colonization	DA_D_14	3.0870520737400002
DA_MAG_00011	R05	colonization	DA_D_08	15.8892384295
DA_MAG_00015	R01	colonization	DA_D_09	15.8078177128
DA_MAG_00015	R02	colonization	DA_D_10	35.1429496088
DA_MAG_00015	R03	colonization	DA_D_15	28.7598260086
DA_MAG_00015	R04	ambiguous	DA_D_14	39.577685838
DA_MAG_00015	R05	colonization	DA_D_08	73.7274841797
DA_MAG_00017	R01	ambiguous	DA_D_09	7.11954784381
DA_MAG_00017	R02	ambiguous	DA_D_10	11.8454347922
DA_MAG_00017	R03	colonization	DA_D_15	4.54742097785
DA_MAG_00017	R04	ambiguous	DA_D_14	3.3292900010000004
DA_MAG_00017	R05	ambiguous	DA_D_08	3.91640044645
DA_MAG_00018	R01	ambiguous	DA_D_09	0.157583549332
DA_MAG_00018	R02	ambiguous	DA_D_10	0.586197887319
DA_MAG_00018	R03	colonization	DA_D_15	1.19670333461
DA_MAG_00018	R04	ambiguous	DA_D_14	4.89772471671
DA_MAG_00018	R05	colonization	DA_D_08	24.8065767715
DA_MAG_00019	R01	ambiguous	DA_D_09	0.0034082310441899996
DA_MAG_00019	R02	ambiguous	DA_D_10	0.007222030501529999
DA_MAG_00019	R03	ambiguous	DA_D_15	0.00518057450776
DA_MAG_00019	R04	ambiguous	DA_D_14	0.077102639519
DA_MAG_00019	R05	ambiguous	DA_D_08	0.0011438865548199998
DA_MAG_00021	R01	ambiguous	DA_D_09	0.23636878425900001
DA_MAG_00021	R02	ambiguous	DA_D_10	0.0969256500011
DA_MAG_00021	R03	ambiguous	DA_D_15	0.05408103091469999
DA_MAG_00021	R04	ambiguous	DA_D_14	0.0468056288234
DA_MAG_00021	R05	ambiguous	DA_D_08	0.027606544801
DA_MAG_00024	R01	ambiguous	DA_D_09	39.9237545913
DA_MAG_00024	R02	ambiguous	DA_D_10	46.1164911918
DA_MAG_00024	R03	colonization	DA_D_15	42.7012140929
DA_MAG_00024	R04	ambiguous	DA_D_14	12.7887523621
DA_MAG_00024	R05	no_colonization	DA_D_08	48.6535681963
DA_MAG_00025	R01	colonization	DA_D_09	7.21095983758
DA_MAG_00025	R02	ambiguous	DA_D_10	80.8694417568
