MAG	recipient	outcome	transplant_sample	transplant_mean_cov_Q2Q3
DB_MAG_00001	R01	ambiguous	DB_D_08	0.000167620400846
DB_MAG_00001	R02	ambiguous	DB_D_11	0.0139948233788
DB_MAG_00001	R03	ambiguous	DB_D_14	0.0209945477117
DB_MAG_00001	R04	ambiguous	DB_D_13	0.00697141757646
DB_MAG_00001	R05	ambiguous	DB_D_07	0.000501936145138
DB_MAG_00004	R01	ambiguous	DB_D_08	52.953324063800004
DB_MAG_00004	R02	no_colonization	DB_D_11	48.4953963701
DB_MAG_00004	R03	ambiguous	DB_D_14	0.08782837452299999
DB_MAG_00004	R04	colonization	DB_D_13	24.567224853800003
DB_MAG_00004	R05	colonization	DB_D_07	25.918479068499998
DB_MAG_00005	R01	ambiguous	DB_D_08	114.136434735
DB_MAG_00005	R02	no_colonization	DB_D_11	2.41483984096
DB_MAG_00005	R03	ambiguous	DB_D_14	77.3897283699
DB_MAG_00005	R04	ambiguous	DB_D_13	1.93490216833
DB_MAG_00005	R05	colonization	DB_D_07	40.7405894005
DB_MAG_00007	R01	ambiguous	DB_D_08	20.7139824903
DB_MAG_00007	R02	ambiguous	DB_D_11	11.919676897
DB_MAG_00007	R03	ambiguous	DB_D_14	73.3771256883
DB_MAG_00007	R04	ambiguous	DB_D_13	18.198112736600002
DB_MAG_00007	R05	colonization	DB_D_07	5.27508682477
DB_MAG_00010	R01	colonization	DB_D_08	16.0162313465
DB_MAG_00010	R02	no_colonization	DB_D_11	44.928466566400004
DB_MAG_00010	R03	ambiguous	DB_D_14	38.0958651069
DB_MAG_00010	R04	ambiguous	DB_D_13	33.3908150473
DB_MAG_00010	R05	colonization	DB_D_07	21.8054905673
DB_MAG_00013	R01	ambiguous	DB_D_08	2.6295087413
DB_MAG_00013	R02	no_colonization	DB_D_11	1.979015051
DB_MAG_00013	R03	ambiguous	DB_D_14	4.251343120980001
DB_MAG_00013	R04	ambiguous	DB_D_13	6.7060675945
DB_MAG_00013	R05	colonization	DB_D_07	4.98645199707
DB_MAG_00014	R01	ambiguous	DB_D_08	6.20316098018
DB_MAG_00014	R02	no_colonization	DB_D_11	7.34283706659
DB_MAG_00014	R03	ambiguous	DB_D_14	8.465557884839999
DB_MAG_00014	R04	ambiguous	DB_D_13	5.55111178867
DB_MAG_00014	R05	ambiguous	DB_D_07	5.36971325366
DB_MAG_00015	R01	ambiguous	DB_D_08	9.32617002128
DB_MAG_00015	R02	no_colonization	DB_D_11	5.09308576122
DB_MAG_00015	R03	colonization	DB_D_14	25.443722462399997
DB_MAG_00015	R04	colonization	DB_D_13	12.696806006900001
DB_MAG_00015	R05	colonization	DB_D_07	6.425313790950001
DB_MAG_00017	R01	no_colonization	DB_D_08	2.5949002007499997
DB_MAG_00017	R02	no_colonization	DB_D_11	1.40617991578
DB_MAG_00017	R03	no_colonization	DB_D_14	5.33003305238
DB_MAG_00017	R04	no_colonization	DB_D_13	1.8865316633700002
DB_MAG_00017	R05	no_colonization	DB_D_07	0.494226310773
DB_MAG_00019	R01	ambiguous	DB_D_08	2.10727062986
DB_MAG_00019	R02	no_colonization	DB_D_11	2.4484782309099997
DB_MAG_00019	R03	ambiguous	DB_D_14	12.230704173800001
