MAG	recipient
DA_MAG_00004	R04
DA_MAG_00005	R01
DA_MAG_00005	R02
DA_MAG_00006	R01
DA_MAG_00008	R04
DA_MAG_00009	R01
DA_MAG_00011	R05
DA_MAG_00015	R01
DA_MAG_00015	R02
DA_MAG_00015	R03
DA_MAG_00015	R05
DA_MAG_00017	R03
DA_MAG_00018	R03
DA_MAG_00018	R05
DA_MAG_00024	R03
DA_MAG_00025	R01
DA_MAG_00025	R05
DA_MAG_00027	R01
DA_MAG_00027	R02
DA_MAG_00027	R05
DA_MAG_00031	R01
DA_MAG_00031	R02
DA_MAG_00031	R03
DA_MAG_00031	R05
DA_MAG_00034	R02
DA_MAG_00034	R03
DA_MAG_00034	R05
DA_MAG_00037	R01
DA_MAG_00038	R01
DA_MAG_00041	R02
DA_MAG_00041	R03
DA_MAG_00041	R05
DA_MAG_00043	R01
DA_MAG_00044	R01
DA_MAG_00044	R02
DA_MAG_00049	R01
DA_MAG_00049	R02
DA_MAG_00049	R03
DA_MAG_00052	R01
DA_MAG_00052	R02
DA_MAG_00052	R03
DA_MAG_00052	R04
DA_MAG_00052	R05
DA_MAG_00053	R01
DA_MAG_00057	R01
DA_MAG_00057	R02
DA_MAG_00057	R05
DA_MAG_00062	R03
DA_MAG_00063	R02
DA_MAG_00068	R01
DA_MAG_00070	R01
DA_MAG_00070	R03
DA_MAG_00070	R05
DA_MAG_00072	R01
DA_MAG_00072	R02
DA_MAG_00072	R03
DA_MAG_00074	R01
DA_MAG_00074	R02
DA_MAG_00074	R03
DA_MAG_00075	R01
DA_MAG_00075	R02
DA_MAG_00075	R03
DA_MAG_00080	R01
DA_MAG_00080	R03
DA_MAG_00084	R01
DA_MAG_00084	R02
DA_MAG_00084	R05
DA_MAG_00086	R01
DA_MAG_00086	R02
DA_MAG_00086	R04
DA_MAG_00093	R01
DA_MAG_00093	R02
DA_MAG_00093	R03
DA_MAG_00093	R05
DA_MAG_00098	R01
DA_MAG_00098	R02
DA_MAG_00098	R04
DA_MAG_00099	R01
DA_MAG_00099	R02
DA_MAG_00099	R03
DA_MAG_00099	R05
DA_MAG_00100	R01
DA_MAG_00100	R02
DA_MAG_00100	R05
DA_MAG_00110	R01
DA_MAG_00110	R02
DA_MAG_00112	R01
DA_MAG_00112	R02
DA_MAG_00112	R05
DA_MAG_00113	R05
DA_MAG_00114	R01
DA_MAG_00114	R02
DA_MAG_00114	R04
DA_MAG_00120	R01
DA_MAG_00120	R02
DA_MAG_00120	R03
DA_MAG_00120	R05
DA_MAG_00121	R01
DA_MAG_00125	R04
