MAG	recipient
DB_MAG_00004	R04
DB_MAG_00004	R05
DB_MAG_00005	R05
DB_MAG_00007	R05
DB_MAG_00010	R01
DB_MAG_00010	R05
DB_MAG_00013	R05
DB_MAG_00015	R03
DB_MAG_00015	R04
DB_MAG_00015	R05
DB_MAG_00020	R01
DB_MAG_00022	R02
DB_MAG_00022	R05
DB_MAG_00024	R05
DB_MAG_00026	R01
DB_MAG_00026	R04
DB_MAG_00026	R05
DB_MAG_00029	R03
DB_MAG_00030	R05
DB_MAG_00034	R04
DB_MAG_00034	R05
DB_MAG_00035	R01
DB_MAG_00035	R05
DB_MAG_00036	R04
DB_MAG_00039	R04
DB_MAG_00039	R05
DB_MAG_00042	R04
DB_MAG_00044	R05
DB_MAG_00049	R05
DB_MAG_00051	R02
DB_MAG_00051	R05
DB_MAG_00055	R02
DB_MAG_00055	R05
DB_MAG_00060	R01
DB_MAG_00060	R03
DB_MAG_00060	R05
DB_MAG_00065	R05
DB_MAG_00069	R05
DB_MAG_00078	R01
DB_MAG_00078	R04
DB_MAG_00078	R05
DB_MAG_00082	R03
DB_MAG_00082	R05
DB_MAG_00083	R04
DB_MAG_00085	R03
DB_MAG_00085	R05
DB_MAG_00088	R05
DB_MAG_00089	R02
DB_MAG_00089	R05
DB_MAG_00091	R05
DB_MAG_00096	R01
DB_MAG_00096	R02
DB_MAG_00096	R05
DB_MAG_00100	R04
DB_MAG_00104	R04
DB_MAG_00104	R05
DB_MAG_00105	R05
DB_MAG_00109	R04
DB_MAG_00109	R05
DB_MAG_00110	R05
DB_MAG_00112	R01
DB_MAG_00112	R04
DB_MAG_00112	R05
DB_MAG_00116	R02
DB_MAG_00116	R05
DB_MAG_00117	R03
DB_MAG_00117	R05
DB_MAG_00119	R05
DB_MAG_00120	R05
DB_MAG_00122	R03
DB_MAG_00122	R05
DB_MAG_00125	R05
DB_MAG_00129	R03
DB_MAG_00129	R04
DB_MAG_00131	R04
DB_MAG_00132	R05
DB_MAG_00133	R05
DB_MAG_00135	R05
DB_MAG_00139	R03
DB_MAG_00139	R05
DB_MAG_00145	R05
DB_MAG_00147	R05
DB_MAG_00148	R01
DB_MAG_00148	R02
DB_MAG_00148	R05
DB_MAG_00151	R01
DB_MAG_00151	R02
DB_MAG_00151	R04
DB_MAG_00151	R05
DB_MAG_00153	R01
DB_MAG_00153	R05
DB_MAG_00155	R05
DB_MAG_00159	R03
DB_MAG_00159	R05
DB_MAG_00162	R02
DB_MAG_00162	R04
DB_MAG_00162	R05
DB_MAG_00174	R05
DB_MAG_00175	R03
DB_MAG_00175	R05
DB_MAG_00176	R02
DB_MAG_00176	R05
DB_MAG_00178	R05
DB_MAG_00180	R05
DB_MAG_00182	R03
DB_MAG_00182	R05
