bins	DA_D_01	DA_D_02	DA_D_03	DA_D_04	DA_D_05	DA_D_06	DA_D_07	DA_D_08	DA_D_09	DA_D_10	DA_D_11	DA_D_12	DA_D_13	DA_D_14	DA_D_15	DA_D_16	DA_D_17	DA_D_18	DA_D_19	DA_D_20	DA_D_21	DA_D_22	DA_D_23	DA_D_24	DA_R01_CDI_P_01_PRE	DA_R01_CDI_P_02_POST	DA_R01_CDI_P_03_POST	DA_R01_CDI_P_05_POST	DA_R01_CDI_P_06_POST	DA_R01_CDI_P_08_PRE	DA_R02_CDI_C_01_PRE	DA_R02_CDI_C_02_PRE	DA_R02_CDI_C_03_POST	DA_R02_CDI_C_04_POST	DA_R02_CDI_C_05_POST	DA_R02_CDI_C_06_POST	DA_R02_CDI_C_07_POST	DA_R03_CDI_C_01_PRE	DA_R03_CDI_C_02_PRE	DA_R03_CDI_C_03_PRE	DA_R03_CDI_C_04_POST	DA_R03_CDI_C_05_POST	DA_R03_CDI_C_06_POST	DA_R03_CDI_C_07_POST	DA_R03_CDI_C_08_POST	DA_R04_UC_P_01_PRE	DA_R04_UC_P_02_PRE	DA_R04_UC_P_03_POST	DA_R04_UC_P_04_POST	DA_R04_UC_P_05_POST	DA_R04_UC_P_06_POST	DA_R04_UC_P_07_POST	DA_R04_UC_P_09_POST	DA_R05_UC_C_01_PRE	DA_R05_UC_C_02_POST	DA_R05_UC_C_03_POST	DA_R05_UC_C_04_POST	DA_R05_UC_C_05_POST
DA_MAG_00001	0.843	0.465	0.567	0.605	0.441	0.858	0.515	0.316	0.541	0.398	0.606	0.520	0.312	0.482	0.532	0.567	0.644	0.702	0.704	0.414	0.005	0.401	0.521	0.747	0.000	0.767	0.956	0.905	0.828	0.000	0.001	0.001	0.162	0.198	0.113	0.841	0.359	0.002	0.000	0.001	0.794	0.001	0.039	0.122	0.002	0.000	0.017	0.416	0.017	0.161	0.103	0.498	0.675	0.001	0.287	0.167	0.407	0.320
DA_MAG_00002	0.079	0.032	0.010	0.001	0.000	0.000	0.000	0.068	0.069	0.049	0.117	0.623	0.655	0.053	0.145	0.159	0.051	0.999	0.104	0.004	0.310	0.031	0.869	0.149	0.268	0.992	0.998	0.999	0.290	0.220	0.972	0.972	0.982	0.973	0.619	0.973	0.763	0.911	0.911	0.910	0.972	0.912	0.836	0.564	0.873	0.998	0.998	0.919	0.226	0.471	0.929	0.840	0.193	0.914	0.010	0.001	0.000	0.001
DA_MAG_00003	0.965	0.433	0.716	0.804	0.554	0.993	0.752	0.354	0.717	0.533	0.835	0.668	0.995	0.721	0.828	0.909	0.883	0.943	0.867	0.875	0.029	0.603	0.920	0.928	0.001	0.975	0.999	0.999	0.988	0.001	0.042	0.745	0.960	0.061	0.430	0.855	0.574	0.047	0.005	0.002	0.487	0.001	0.002	0.001	0.002	0.000	0.094	0.931	0.182	0.323	0.019	0.643	0.889	0.002	0.078	0.164	0.001	0.001
DA_MAG_00004	0.884	0.001	0.009	0.001	0.000	0.000	0.002	0.999	0.927	0.995	0.896	0.950	1.000	0.411	0.990	0.490	0.688	0.834	0.719	0.877	0.002	0.779	0.791	0.998	0.000	0.138	0.688	0.041	0.002	0.001	0.000	0.003	0.836	0.813	0.021	0.072	0.000	0.001	0.001	0.001	0.917	0.006	0.417	0.228	0.000	0.000	0.148	0.986	0.897	1.000	0.285	0.994	0.958	0.001	0.280	0.323	0.383	0.930
DA_MAG_00005	0.299	0.168	0.286	0.333	0.334	1.000	0.886	0.611	0.267	0.890	0.976	0.687	0.864	0.803	0.731	0.952	0.638	0.999	0.931	0.558	0.008	0.951	0.882	0.998	0.003	0.999	0.998	0.997	1.000	0.002	0.016	0.006	0.999	0.853	0.681	1.000	0.992	0.013	0.009	0.002	0.800	0.004	0.774	0.197	0.548	0.001	0.397	0.998	0.914	0.693	0.885	0.994	1.000	0.009	0.215	0.415	0.008	0.008
DA_MAG_00006	0.975	0.991	0.897	0.950	0.989	0.997	0.979	0.958	0.949	0.999	0.936	0.868	0.982	0.994	0.996	0.993	0.996	1.000	0.992	0.992	0.011	0.999	0.996	0.997	0.001	0.997	0.999	1.000	1.000	0.002	0.011	0.006	0.999	0.565	0.249	0.997	0.946	0.030	0.008	0.004	0.712	0.003	0.865	0.279	0.876	0.001	0.123	0.977	0.341	0.420	0.278	0.958	0.966	0.006	0.006	0.357	0.008	0.008
DA_MAG_00007	0.999	0.999	0.999	1.000	0.970	1.000	0.996	0.999	0.999	0.998	0.999	0.994	0.863	1.000	0.998	0.998	0.999	1.000	0.987	0.999	0.364	0.965	0.986	0.952	0.003	0.942	0.674	0.994	0.877	0.017	0.002	0.003	0.987	0.919	0.938	0.995	0.897	0.006	0.003	0.004	0.991	0.307	0.951	0.998	0.732	0.001	0.094	0.951	0.757	0.182	0.581	0.723	0.770	0.003	0.175	0.107	0.331	0.258
DA_MAG_00008	0.999	0.977	0.809	0.537	0.000	0.001	0.000	0.001	0.000	0.000	0.000	0.000	0.990	0.999	0.415	0.222	0.000	0.001	0.000	0.001	0.000	0.001	0.000	0.000	0.999	0.874	0.782	0.749	0.000	0.788	0.000	0.001	0.001	0.002	0.001	0.074	0.723	0.999	0.895	0.571	0.079	0.000	0.000	0.000	0.000	0.005	0.005	0.001	0.749	0.019	1.000	0.289	0.000	0.000	0.000	0.000	0.023	0.001
DA_MAG_00009	0.998	0.939	0.999	0.999	0.908	1.000	0.999	0.998	0.938	0.938	0.959	0.724	0.812	0.880	1.000	1.000	0.987	0.996	1.000	1.000	0.001	1.000	1.000	0.878	0.006	0.999	1.000	1.000	1.000	0.002	0.010	0.018	0.326	0.050	0.283	0.655	0.077	0.013	0.020	0.004	0.986	0.000	0.000	0.000	0.000	0.001	0.053	0.810	0.852	0.100	0.089	0.431	0.511	0.001	0.306	0.266	0.000	0.000
DA_MAG_00010	0.999	0.999	0.998	0.999	0.960	0.999	0.986	0.998	0.995	0.996	0.995	0.957	0.836	0.997	0.988	0.991	0.998	0.998	0.976	0.998	0.025	0.980	0.975	0.952	0.001	0.994	0.846	0.985	0.993	0.002	0.003	0.004	0.999	0.642	0.909	0.985	0.808	0.005	0.003	0.003	0.997	0.705	0.988	0.997	0.983	0.003	0.148	0.989	0.569	0.724	0.830	0.972	0.988	0.002	0.677	0.410	0.983	0.998
