bins	DB_D_01	DB_D_02	DB_D_03	DB_D_04	DB_D_05	DB_D_06	DB_D_07	DB_D_08	DB_D_09	DB_D_10	DB_D_11	DB_D_12	DB_D_13	DB_D_14	DB_D_15	DB_R01_CDI_C_01_PRE	DB_R01_CDI_C_02_PRE	DB_R01_CDI_C_03_POST	DB_R01_CDI_C_04_POST	DB_R01_CDI_C_05_POST	DB_R01_CDI_C_06_POST	DB_R01_CDI_C_07_POST	DB_R02_CDI_C_01_PRE	DB_R02_CDI_C_02_PRE	DB_R02_CDI_C_03_POST	DB_R02_CDI_C_04_POST	DB_R02_CDI_C_05_POST	DB_R02_CDI_C_06_POST	DB_R03_CDI_P_01_PRE	DB_R03_CDI_P_02_PRE	DB_R03_CDI_P_03_POST	DB_R03_CDI_P_04_POST	DB_R03_CDI_P_05_POST	DB_R03_CDI_P_06_POST	DB_R03_CDI_P_07_POST	DB_R03_CDI_P_08_POST	DB_R04_CDI_P_01_PRE	DB_R04_CDI_P_02_PRE	DB_R04_CDI_P_03_POST	DB_R04_CDI_P_04_POST	DB_R04_CDI_P_05_POST	DB_R04_CDI_P_06_POST	DB_R04_CDI_P_07_POST	DB_R04_CDI_P_08_POST	DB_R04_CDI_P_09_POST	DB_R05_UC_P_01_PRE	DB_R05_UC_P_02_POST	DB_R05_UC_P_03_POST	DB_R05_UC_P_04_POST	DB_R05_UC_P_05_POST	DB_R05_UC_P_06_POST
DB_MAG_00001	0.003	0.002	0.000	0.000	0.000	0.000	0.000	0.000	0.002	1.000	0.013	0.001	0.005	0.018	0.002	0.000	0.070	0.000	0.032	0.005	0.000	0.002	0.000	0.010	0.002	0.000	0.007	0.001	0.085	0.002	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.000	0.000	0.000	0.001	0.002	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
DB_MAG_00002	0.959	0.140	0.982	0.928	0.846	0.949	0.999	0.765	0.873	0.997	0.709	0.939	0.659	0.009	0.046	0.044	0.054	0.006	0.023	0.011	0.002	0.014	0.000	0.014	0.018	0.004	0.018	0.001	0.008	0.003	0.011	0.018	0.034	0.023	0.014	0.021	0.005	0.001	0.036	0.017	0.023	0.017	0.016	0.018	0.017	0.000	0.013	0.017	0.005	0.010	0.011
DB_MAG_00003	0.905	0.978	0.339	0.415	0.365	0.796	0.602	0.700	0.482	0.798	0.600	0.916	0.963	0.300	0.693	0.010	0.024	0.538	0.108	0.960	0.275	0.084	0.000	0.005	0.021	0.003	0.010	0.007	0.010	0.009	0.041	0.704	0.723	0.952	0.604	0.427	0.013	0.008	0.357	0.003	0.005	0.003	0.005	0.006	0.002	0.001	0.882	0.894	0.023	0.541	0.311
DB_MAG_00004	1.000	1.000	1.000	1.000	1.000	0.999	1.000	1.000	1.000	0.998	1.000	1.000	1.000	0.042	0.358	0.024	0.087	0.014	0.326	0.064	0.003	0.429	0.000	0.416	0.058	0.002	0.054	0.005	0.071	0.018	0.008	0.006	0.007	0.008	0.011	0.005	0.178	0.119	0.999	1.000	0.999	0.983	0.999	0.967	0.966	0.005	1.000	1.000	0.352	0.995	0.927
DB_MAG_00005	0.997	0.924	1.000	1.000	1.000	0.919	1.000	1.000	1.000	1.000	0.874	1.000	0.798	1.000	1.000	0.830	0.724	1.000	0.336	0.891	0.873	0.416	0.011	0.518	0.143	0.006	0.136	0.045	0.590	0.387	1.000	0.999	1.000	1.000	0.999	0.990	0.965	0.717	0.733	0.894	1.000	1.000	1.000	1.000	0.605	0.104	1.000	1.000	0.998	1.000	1.000
DB_MAG_00006	0.847	0.799	0.358	0.037	0.000	0.000	0.000	0.000	0.000	0.002	0.002	0.378	0.993	0.995	0.668	0.000	0.999	0.016	0.999	0.981	0.000	0.013	0.000	0.010	0.003	0.000	0.976	0.014	0.999	0.398	0.529	0.000	0.000	0.000	0.000	0.000	0.004	0.003	0.000	0.175	0.202	0.443	0.736	0.036	0.000	0.001	0.000	0.000	0.001	0.000	0.005
DB_MAG_00007	0.999	0.999	0.996	0.997	1.000	0.908	0.986	1.000	0.998	0.982	0.999	1.000	1.000	1.000	1.000	0.002	0.409	1.000	1.000	1.000	0.628	1.000	0.004	0.256	1.000	1.000	1.000	1.000	0.210	0.515	1.000	1.000	1.000	1.000	1.000	1.000	0.542	0.234	1.000	1.000	1.000	1.000	1.000	0.998	0.985	0.074	1.000	1.000	0.997	0.961	1.000
DB_MAG_00008	0.979	0.884	0.580	0.392	0.963	0.978	0.994	0.994	0.979	0.998	0.921	0.947	0.976	0.891	0.965	0.011	0.240	0.999	1.000	1.000	0.983	0.999	0.013	0.168	0.974	0.002	0.038	0.008	0.393	0.083	0.972	0.671	0.956	0.756	0.689	0.250	0.826	0.423	0.742	0.672	0.764	0.889	0.997	1.000	0.926	0.015	0.999	0.945	1.000	1.000	0.982
DB_MAG_00009	0.997	0.894	0.992	0.987	0.998	0.985	0.888	0.930	0.993	0.830	0.957	0.980	0.959	0.005	0.050	0.005	0.024	1.000	1.000	0.991	0.344	0.956	0.000	0.044	0.564	0.000	0.005	0.004	0.025	0.005	0.006	0.003	0.003	0.003	0.006	0.003	0.062	0.020	0.997	0.948	0.999	0.956	0.993	0.962	0.206	0.000	0.930	0.653	0.969	0.944	0.942
DB_MAG_00010	0.999	0.996	1.000	1.000	1.000	0.998	0.999	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.001	0.232	1.000	1.000	1.000	0.998	1.000	0.000	0.249	0.180	0.001	0.040	0.011	0.250	0.372	1.000	1.000	0.999	1.000	1.000	1.000	0.414	0.244	1.000	1.000	1.000	1.000	1.000	1.000	0.990	0.009	1.000	0.940	0.999	1.000	1.000
DB_MAG_00011	0.901	0.552	0.819	0.987	0.977	0.330	0.310	0.480	0.647	0.575	0.752	0.996	0.906	0.972	0.846	0.011	0.100	0.007	0.079	0.021	0.002	0.086	0.000	0.080	0.012	0.002	0.010	0.001	0.046	0.323	0.998	0.994	0.998	0.998	0.998	0.999	0.138	0.077	0.995	0.997	0.998	0.998	0.851	0.996	0.129	0.009	0.542	0.999	0.125	0.996	0.548
DB_MAG_00012	0.997	0.701	0.490	0.371	0.380	0.663	0.402	0.527	0.418	0.454	0.867	0.211	0.732	0.003	0.010	0.005	0.009	0.001	0.011	0.003	0.000	0.005	0.000	0.007	0.003	0.000	0.001	0.000	0.005	0.045	0.005	0.005	0.007	0.004	0.008	0.002	0.100	0.020	0.989	0.960	1.000	1.000	0.994	0.731	0.775	0.001	0.188	0.592	0.045	0.729	0.076
DB_MAG_00013	0.999	0.998	0.999	0.995	0.999	0.999	0.989	0.911	0.978	0.999	0.843	0.990	0.997	0.976	0.986	0.002	0.031	0.999	0.997	0.999	0.847	0.993	0.001	0.023	0.847	0.000	0.011	0.001	0.025	0.029	0.484	0.475	0.486	0.442	0.108	0.584	0.755	0.216	0.962	0.815	0.801	0.838	1.000	0.999	0.987	0.009	0.997	0.999	1.000	0.998	0.968
DB_MAG_00014	0.948	0.872	0.982	0.999	0.957	0.669	0.986	0.986	0.918	0.685	0.993	0.999	0.978	0.986	0.994	0.002	0.101	0.002	0.180	0.031	0.001	0.253	0.000	0.222	0.027	0.001	0.031	0.002	0.100	0.303	0.999	0.994	0.038	0.991	0.072	0.987	0.065	0.047	0.992	0.930	0.988	0.790	0.928	0.630	0.926	0.003	0.264	0.059	0.160	0.696	0.815
DB_MAG_00015	0.996	0.998	0.997	0.999	0.992	0.762	0.991	0.997	0.980	0.858	0.977	0.982	0.997	0.999	0.996	0.025	0.118	0.013	0.170	0.283	0.007	0.191	0.000	0.193	0.033	0.001	0.020	0.003	0.062	0.138	0.999	0.778	0.941	0.022	0.901	0.904	0.158	0.060	0.998	0.999	0.964	0.964	0.634	0.837	0.288	0.001	0.976	0.999	0.912	0.079	0.925
DB_MAG_00016	0.839	0.589	0.738	0.418	0.785	0.836	0.823	0.555	0.814	0.927	0.343	0.227	0.696	0.585	0.574	0.824	0.697	0.942	0.991	0.836	0.452	0.947	0.000	0.017	0.893	0.004	0.016	0.007	0.073	0.030	0.638	0.577	0.379	0.512	0.341	0.460	0.236	0.067	0.918	0.827	0.816	0.906	0.997	0.986	0.976	0.006	0.799	0.494	0.985	0.788	0.540
DB_MAG_00017	0.823	0.426	0.382	0.970	0.876	0.153	0.262	0.827	0.721	0.257	0.631	0.999	0.725	0.895	0.285	0.000	0.014	0.000	0.092	0.013	0.000	0.132	0.000	0.121	0.023	0.000	0.024	0.002	0.023	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
DB_MAG_00018	0.584	0.566	0.951	0.952	0.718	0.651	0.643	0.285	0.368	0.402	0.804	0.996	0.730	0.995	0.992	0.018	0.071	0.759	0.996	0.047	0.010	0.081	0.000	0.047	0.011	0.001	0.013	0.002	0.037	0.124	0.995	0.859	0.976	0.995	0.993	0.997	0.057	0.031	0.748	0.929	0.999	0.989	0.740	0.586	0.106	0.003	0.281	0.996	0.136	0.318	0.299
DB_MAG_00019	0.995	0.678	0.858	0.928	0.976	0.537	0.900	0.820	0.818	0.987	0.870	0.999	0.959	0.999	0.989	0.848	0.505	0.999	0.998	0.997	0.344	0.768	0.000	0.070	0.022	0.000	0.059	0.017	0.122	0.134	0.995	0.649	0.891	0.904	0.896	0.744	0.073	0.027	0.995	0.795	0.992	0.870	0.868	0.709	0.286	0.004	0.942	0.998	0.597	0.636	0.928
DB_MAG_00020	0.818	0.404	0.857	0.942	0.990	0.703	0.822	0.808	0.896	0.565	0.992	1.000	0.914	0.008	0.023	0.001	0.044	1.000	1.000	0.922	0.125	0.977	0.001	0.085	0.063	0.006	0.023	0.010	0.095	0.012	0.008	0.005	0.008	0.007	0.012	0.009	0.062	0.033	0.968	0.987	0.997	0.998	0.534	0.948	0.253	0.000	0.473	0.787	0.416	0.761	0.899
DB_MAG_00021	0.377	0.384	0.049	0.826	0.211	0.110	0.208	0.694	0.950	0.319	0.669	1.000	0.615	0.967	0.470	0.048	0.049	0.005	0.040	0.008	0.002	0.073	0.000	0.066	0.021	0.002	0.026	0.002	0.037	0.042	0.112	0.035	0.916	0.878	0.623	0.135	0.050	0.024	0.952	0.038	0.405	0.055	0.128	0.473	0.250	0.002	0.917	0.862	0.146	0.230	0.630
DB_MAG_00022	1.000	1.000	0.999	0.999	1.000	1.000	1.000	0.999	1.000	1.000	0.995	0.941	0.999	0.999	0.998	0.127	0.600	1.000	1.000	1.000	0.998	1.000	0.050	0.166	1.000	0.995	1.000	0.992	0.522	0.231	1.000	1.000	0.830	0.999	0.790	0.949	0.900	0.517	1.000	0.999	1.000	0.999	1.000	1.000	1.000	0.085	1.000	0.532	1.000	1.000	0.991
DB_MAG_00023	0.002	0.002	0.029	0.000	0.000	0.000	0.000	0.000	0.000	0.007	0.000	0.002	0.023	1.000	0.999	0.043	0.302	0.002	0.090	0.019	0.020	0.110	0.020	0.103	0.072	0.001	0.040	0.049	0.733	0.062	0.992	0.124	0.507	0.172	0.332	0.353	0.250	0.066	0.007	0.012	0.010	0.011	0.088	0.034	0.064	0.277	0.041	0.001	0.030	0.002	0.004
DB_MAG_00024	0.999	0.981	1.000	1.000	0.996	0.957	0.951	0.907	0.540	0.594	0.924	0.851	0.985	0.986	0.695	0.001	0.564	0.001	0.381	0.135	0.000	0.437	0.000	0.684	1.000	0.013	0.196	0.044	0.899	0.189	0.820	0.993	1.000	1.000	0.186	1.000	0.486	0.303	0.999	0.992	1.000	0.999	1.000	0.999	1.000	0.076	0.811	1.000	1.000	1.000	0.849
DB_MAG_00025	0.280	0.251	0.413	0.660	0.738	0.147	0.339	0.646	0.467	0.516	0.482	0.983	0.370	0.723	0.529	0.837	0.573	0.963	0.910	0.882	0.274	0.944	0.000	0.116	0.475	0.004	0.021	0.008	0.180	0.061	0.579	0.749	0.865	0.547	0.820	0.888	0.074	0.035	0.898	0.173	0.656	0.386	0.250	0.922	0.164	0.001	0.985	0.994	0.391	0.078	0.940
DB_MAG_00026	0.928	0.444	0.857	0.997	0.479	0.140	0.359	0.882	0.346	0.240	0.705	0.774	0.808	0.008	0.020	0.000	0.050	0.061	1.000	0.030	0.279	0.980	0.000	0.151	0.013	0.000	0.008	0.000	0.042	0.010	0.004	0.000	0.000	0.000	0.013	0.007	0.211	0.065	0.997	0.890	1.000	0.994	0.724	0.998	0.573	0.000	0.812	0.997	0.293	0.531	0.957
DB_MAG_00027	0.575	0.453	0.445	0.071	0.776	0.193	0.968	0.977	0.855	0.602	0.302	0.983	0.475	0.389	0.809	0.049	0.028	0.522	0.841	0.949	0.235	0.437	0.000	0.030	0.010	0.001	0.008	0.001	0.019	0.005	0.190	0.020	0.212	0.157	0.025	0.041	0.041	0.006	0.034	0.028	0.447	0.081	0.135	0.974	0.021	0.001	0.998	0.150	0.454	0.012	0.015
DB_MAG_00028	0.797	0.627	0.308	0.724	0.733	0.266	0.336	0.372	0.409	0.714	0.595	0.995	0.616	0.607	0.122	0.003	0.022	0.787	0.559	0.647	0.113	0.384	0.000	0.045	0.021	0.005	0.017	0.007	0.027	0.015	0.322	0.124	0.352	0.239	0.064	0.134	0.026	0.018	0.919	0.763	0.704	0.766	0.820	0.413	0.296	0.001	0.899	0.981	0.163	0.602	0.948
DB_MAG_00029	0.002	0.003	0.016	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.000	0.001	0.016	0.999	0.999	0.036	0.143	0.863	0.578	0.007	0.040	0.039	0.000	0.042	0.016	0.001	0.013	0.005	0.079	0.164	0.997	0.962	0.973	0.997	0.359	0.675	0.078	0.060	0.006	0.005	0.002	0.002	0.036	0.008	0.004	0.012	0.014	0.026	0.003	0.000	0.001
DB_MAG_00030	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.010	0.018	0.995	0.043	0.733	0.843	0.869	1.000	1.000	1.000	1.000	1.000	0.003	0.539	0.124	0.012	0.239	0.065	0.850	0.182	0.021	0.014	0.018	0.052	0.051	0.023	1.000	0.950	0.129	0.046	0.073	0.030	0.113	0.102	0.045	0.048	1.000	1.000	1.000	1.000	0.034
DB_MAG_00031	0.817	0.944	0.875	0.746	0.822	0.511	0.807	0.827	0.748	0.947	0.577	0.867	0.778	0.825	0.711	0.840	0.263	0.979	0.711	0.495	0.158	0.296	0.000	0.033	0.009	0.000	0.007	0.002	0.015	0.034	0.769	0.757	0.790	0.519	0.535	0.445	0.075	0.030	0.929	0.707	0.725	0.841	0.455	0.554	0.612	0.001	0.906	0.351	0.802	0.824	0.760
DB_MAG_00032	1.000	1.000	1.000	1.000	1.000	1.000	0.004	0.012	0.002	0.058	0.008	0.016	0.998	0.926	0.977	0.008	0.537	0.003	0.392	0.083	0.001	0.300	0.000	0.287	0.049	0.002	0.033	0.002	0.182	0.574	0.924	0.923	0.923	0.924	0.922	0.915	0.875	0.745	0.639	0.039	0.064	0.054	0.222	0.080	0.027	0.187	0.090	0.096	0.196	0.944	0.942
DB_MAG_00033	0.009	0.024	0.105	0.000	0.000	0.001	0.000	0.000	0.002	1.000	1.000	1.000	1.000	1.000	1.000	0.005	0.668	0.004	0.375	0.044	0.000	0.322	0.000	0.324	0.975	0.003	0.272	0.009	0.423	0.844	1.000	1.000	0.999	1.000	1.000	1.000	0.859	0.333	1.000	1.000	1.000	1.000	1.000	1.000	0.997	0.062	0.038	0.233	0.023	0.001	0.002
DB_MAG_00034	0.999	0.999	0.998	0.964	1.000	1.000	0.999	0.999	0.999	0.999	0.997	0.991	1.000	0.999	0.999	0.849	0.902	0.999	0.997	0.971	0.932	1.000	0.033	0.217	0.998	0.009	0.082	0.020	0.557	0.409	1.000	0.956	0.603	0.898	0.947	0.718	0.997	0.888	1.000	1.000	0.997	1.000	1.000	1.000	1.000	0.098	0.999	0.952	1.000	0.998	0.997
DB_MAG_00035	1.000	0.969	1.000	1.000	0.999	0.899	0.990	1.000	0.938	0.986	0.999	0.997	1.000	0.999	0.999	0.000	0.175	0.042	0.223	0.027	0.999	0.115	0.000	0.120	0.025	0.000	0.017	0.002	0.055	0.315	1.000	0.999	0.957	1.000	0.999	0.999	0.367	0.139	1.000	1.000	0.999	1.000	0.999	1.000	0.999	0.023	0.998	0.994	1.000	0.999	0.805
DB_MAG_00036	0.999	0.974	0.996	1.000	1.000	0.998	0.997	1.000	0.998	0.686	1.000	1.000	0.995	0.049	0.085	0.021	0.087	0.010	0.493	0.089	0.001	0.686	0.000	0.606	0.088	0.002	0.078	0.005	0.272	0.001	0.004	0.009	0.004	0.007	0.007	0.024	0.027	0.009	0.993	1.000	0.469	0.003	0.002	0.003	0.002	0.000	0.004	0.012	0.005	0.009	0.007
DB_MAG_00037	0.802	0.585	0.526	0.157	0.941	0.555	0.993	0.987	0.937	0.989	0.463	0.997	0.541	0.432	0.963	0.903	0.892	0.856	0.997	0.980	0.759	0.989	0.000	0.062	0.909	0.001	0.015	0.002	0.052	0.013	0.246	0.123	0.336	0.115	0.083	0.083	0.345	0.059	0.473	0.160	0.618	0.342	0.572	0.985	0.472	0.002	0.998	0.465	0.983	0.546	0.466
DB_MAG_00038	0.997	0.898	0.884	0.758	0.974	0.935	0.924	0.880	0.866	0.955	0.768	0.964	0.988	0.924	0.806	0.008	0.047	0.990	1.000	0.823	0.411	0.022	0.000	0.028	0.009	0.000	0.009	0.002	0.028	0.092	0.998	0.990	0.975	0.870	0.673	0.989	0.091	0.041	0.998	0.996	0.998	0.998	0.998	0.996	0.840	0.008	0.682	0.938	0.752	0.939	0.792
DB_MAG_00039	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.999	1.000	1.000	0.024	0.483	0.003	0.060	0.035	0.242	0.250	0.000	0.301	0.000	0.373	0.053	0.001	0.048	0.002	0.262	0.010	0.007	0.001	0.003	0.002	0.004	0.001	0.105	0.068	0.999	0.998	0.991	0.990	0.995	0.999	0.998	0.004	0.128	0.999	0.510	0.988	0.939
DB_MAG_00040	0.912	0.777	0.886	0.671	0.956	0.948	0.881	0.824	0.878	0.998	0.642	0.647	0.812	0.656	0.602	0.000	0.014	0.680	0.879	0.562	0.140	0.864	0.000	0.007	0.184	0.000	0.004	0.000	0.011	0.014	0.303	0.148	0.189	0.298	0.079	0.331	0.485	0.087	0.317	0.492	0.524	0.297	0.998	1.000	0.962	0.004	0.947	0.527	1.000	0.772	0.774
DB_MAG_00041	0.998	0.992	0.985	0.999	0.990	0.994	0.992	0.973	0.999	0.998	0.734	0.489	0.460	0.010	0.045	0.007	0.032	0.999	0.160	0.906	0.617	0.093	0.000	0.088	0.017	0.002	0.012	0.006	0.042	0.003	0.003	0.004	0.004	0.004	0.009	0.002	0.352	0.130	0.153	0.005	0.010	0.003	0.003	0.007	0.004	0.002	1.000	0.973	0.998	0.991	0.999
