bins	AST_count_detec	AST_frac_detec	AUS_count_detec	AUS_frac_detec	BAN_count_detec	BAN_frac_detec	CAN_count_detec	CAN_frac_detec	CHI_count_detec	CHI_frac_detec	DEN_count_detec	DEN_frac_detec	ENG_count_detec	ENG_frac_detec	ETH_count_detec	ETH_frac_detec	FIJ_count_detec	FIJ_frac_detec	ISR_count_detec	ISR_frac_detec	ITA_count_detec	ITA_frac_detec	MAD_count_detec	MAD_frac_detec	MON_count_detec	MON_frac_detec	PER_count_detec	PER_frac_detec	SPA_count_detec	SPA_frac_detec	TAN_count_detec	TAN_frac_detec	USA_count_detec	USA_frac_detec
DB_MAG_00001	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.043478260869565216	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DB_MAG_00002	16.0	0.10457516339869281	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.017605633802816902	8.0	0.037914691943127965	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0189873417721519	0.0	0.0	1.0	0.00819672131147541
DB_MAG_00003	16.0	0.10457516339869281	3.0	0.25	0.0	0.0	3.0	0.13043478260869565	36.0	0.19148936170212766	21.0	0.07394366197183098	25.0	0.11848341232227488	0.0	0.0	0.0	0.0	62.0	0.18674698795180722	0.0	0.0	9.0	0.08035714285714286	1.0	0.00909090909090909	0.0	0.0	9.0	0.056962025316455694	1.0	0.037037037037037035	5.0	0.040983606557377046
DB_MAG_00004	19.0	0.12418300653594772	2.0	0.16666666666666666	0.0	0.0	5.0	0.21739130434782608	3.0	0.015957446808510637	31.0	0.10915492957746478	37.0	0.17535545023696683	0.0	0.0	0.0	0.0	15.0	0.045180722891566265	1.0	0.09090909090909091	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.08227848101265822	0.0	0.0	12.0	0.09836065573770492
DB_MAG_00005	76.0	0.49673202614379086	8.0	0.6666666666666666	0.0	0.0	17.0	0.7391304347826086	73.0	0.3882978723404255	180.0	0.6338028169014085	138.0	0.6540284360189573	3.0	0.6	8.0	0.046511627906976744	229.0	0.6897590361445783	6.0	0.5454545454545454	22.0	0.19642857142857142	38.0	0.34545454545454546	6.0	0.16666666666666666	80.0	0.5063291139240507	1.0	0.037037037037037035	82.0	0.6721311475409836
DB_MAG_00006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DB_MAG_00007	12.0	0.0784313725490196	5.0	0.4166666666666667	0.0	0.0	12.0	0.5217391304347826	156.0	0.8297872340425532	54.0	0.19014084507042253	70.0	0.33175355450236965	0.0	0.0	2.0	0.011627906976744186	88.0	0.26506024096385544	0.0	0.0	15.0	0.13392857142857142	3.0	0.02727272727272727	0.0	0.0	40.0	0.25316455696202533	0.0	0.0	52.0	0.4262295081967213
DB_MAG_00008	100.0	0.6535947712418301	7.0	0.5833333333333334	0.0	0.0	17.0	0.7391304347826086	4.0	0.02127659574468085	200.0	0.704225352112676	161.0	0.7630331753554502	5.0	1.0	0.0	0.0	239.0	0.7198795180722891	2.0	0.18181818181818182	14.0	0.125	56.0	0.509090909090909	11.0	0.3055555555555556	83.0	0.5253164556962026	2.0	0.07407407407407407	69.0	0.5655737704918032
DB_MAG_00009	22.0	0.1437908496732026	1.0	0.08333333333333333	0.0	0.0	4.0	0.17391304347826086	46.0	0.24468085106382978	49.0	0.17253521126760563	52.0	0.24644549763033174	0.0	0.0	0.0	0.0	99.0	0.29819277108433734	1.0	0.09090909090909091	0.0	0.0	7.0	0.06363636363636363	0.0	0.0	25.0	0.15822784810126583	0.0	0.0	26.0	0.21311475409836064
DB_MAG_00010	39.0	0.2549019607843137	3.0	0.25	0.0	0.0	7.0	0.30434782608695654	13.0	0.06914893617021277	103.0	0.3626760563380282	95.0	0.45023696682464454	0.0	0.0	0.0	0.0	62.0	0.18674698795180722	2.0	0.18181818181818182	1.0	0.008928571428571428	2.0	0.01818181818181818	0.0	0.0	38.0	0.24050632911392406	0.0	0.0	10.0	0.08196721311475409
