MAG	recipient
DA_MAG_00008	R03
DA_MAG_00009	R03
DA_MAG_00011	R01
DA_MAG_00011	R02
DA_MAG_00011	R03
DA_MAG_00011	R04
DA_MAG_00024	R05
DA_MAG_00025	R03
DA_MAG_00029	R01
DA_MAG_00029	R03
DA_MAG_00029	R05
DA_MAG_00037	R03
DA_MAG_00038	R03
DA_MAG_00043	R03
DA_MAG_00043	R05
DA_MAG_00044	R03
DA_MAG_00053	R05
DA_MAG_00056	R02
DA_MAG_00056	R03
DA_MAG_00056	R04
DA_MAG_00056	R05
DA_MAG_00063	R03
DA_MAG_00067	R02
DA_MAG_00067	R03
DA_MAG_00067	R04
DA_MAG_00068	R05
DA_MAG_00084	R03
DA_MAG_00084	R04
DA_MAG_00100	R03
DA_MAG_00110	R05
DA_MAG_00114	R05
DA_MAG_00115	R02
DA_MAG_00115	R03
DA_MAG_00121	R03
DA_MAG_00121	R05
DA_MAG_00125	R02
DA_MAG_00125	R03
DA_MAG_00127	R03
