MAG	recipient
DB_MAG_00004	R02
DB_MAG_00005	R02
DB_MAG_00010	R02
DB_MAG_00013	R02
DB_MAG_00014	R02
DB_MAG_00015	R02
DB_MAG_00017	R01
DB_MAG_00017	R02
DB_MAG_00017	R03
DB_MAG_00017	R04
DB_MAG_00017	R05
DB_MAG_00019	R02
DB_MAG_00020	R02
DB_MAG_00021	R01
DB_MAG_00021	R02
DB_MAG_00024	R02
DB_MAG_00026	R02
DB_MAG_00030	R04
DB_MAG_00032	R04
DB_MAG_00034	R02
DB_MAG_00035	R02
DB_MAG_00036	R02
DB_MAG_00036	R05
DB_MAG_00037	R02
DB_MAG_00039	R02
DB_MAG_00041	R02
DB_MAG_00041	R04
DB_MAG_00043	R02
DB_MAG_00043	R04
DB_MAG_00043	R05
DB_MAG_00044	R01
DB_MAG_00044	R02
DB_MAG_00049	R01
DB_MAG_00049	R02
DB_MAG_00060	R02
DB_MAG_00065	R02
DB_MAG_00069	R01
DB_MAG_00069	R02
DB_MAG_00073	R01
DB_MAG_00073	R02
DB_MAG_00073	R04
DB_MAG_00078	R02
DB_MAG_00079	R01
DB_MAG_00079	R02
DB_MAG_00079	R04
DB_MAG_00079	R05
DB_MAG_00082	R01
DB_MAG_00082	R02
DB_MAG_00082	R04
DB_MAG_00083	R01
DB_MAG_00083	R02
DB_MAG_00084	R02
DB_MAG_00085	R01
DB_MAG_00085	R02
DB_MAG_00085	R04
DB_MAG_00088	R02
DB_MAG_00091	R01
DB_MAG_00091	R02
DB_MAG_00091	R04
DB_MAG_00097	R01
DB_MAG_00097	R04
DB_MAG_00097	R05
DB_MAG_00098	R02
DB_MAG_00098	R04
DB_MAG_00099	R01
DB_MAG_00099	R02
DB_MAG_00099	R04
DB_MAG_00100	R01
DB_MAG_00100	R02
DB_MAG_00100	R05
DB_MAG_00104	R01
DB_MAG_00104	R02
DB_MAG_00106	R01
DB_MAG_00106	R02
DB_MAG_00106	R04
DB_MAG_00106	R05
DB_MAG_00109	R01
DB_MAG_00109	R02
DB_MAG_00112	R02
DB_MAG_00117	R01
DB_MAG_00117	R02
DB_MAG_00122	R01
DB_MAG_00122	R02
DB_MAG_00122	R04
DB_MAG_00125	R02
DB_MAG_00129	R01
DB_MAG_00129	R02
DB_MAG_00129	R05
DB_MAG_00130	R01
DB_MAG_00130	R02
DB_MAG_00130	R05
DB_MAG_00131	R02
DB_MAG_00132	R02
DB_MAG_00133	R02
DB_MAG_00136	R01
DB_MAG_00136	R02
DB_MAG_00139	R01
DB_MAG_00139	R02
DB_MAG_00141	R04
DB_MAG_00159	R01
DB_MAG_00159	R02
DB_MAG_00163	R01
DB_MAG_00170	R02
DB_MAG_00175	R01
DB_MAG_00175	R02
DB_MAG_00177	R02
DB_MAG_00177	R04
DB_MAG_00180	R02
DB_MAG_00182	R02
