bins	mean_donor_detection	mean_post_detection	AST_count_detec	AST_frac_detec	AUS_count_detec	AUS_frac_detec	BAN_count_detec	BAN_frac_detec	CAN_count_detec	CAN_frac_detec	CHI_count_detec	CHI_frac_detec	DEN_count_detec	DEN_frac_detec	ENG_count_detec	ENG_frac_detec	ETH_count_detec	ETH_frac_detec	FIJ_count_detec	FIJ_frac_detec	ISR_count_detec	ISR_frac_detec	ITA_count_detec	ITA_frac_detec	MAD_count_detec	MAD_frac_detec	MON_count_detec	MON_frac_detec	PER_count_detec	PER_frac_detec	SPA_count_detec	SPA_frac_detec	TAN_count_detec	TAN_frac_detec	USA_count_detec	USA_frac_detec
DB_MAG_00001	0.0697333333333333	0.0019629629629629632	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.043478260869565216	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DB_MAG_00002	0.7200000000000001	0.015481481481481483	16.0	0.1045751633986928	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.017605633802816902	8.0	0.03791469194312797	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0189873417721519	0.0	0.0	1.0	0.008196721311475409
DB_MAG_00003	0.6567999999999999	0.3144074074074074	16.0	0.1045751633986928	3.0	0.25	0.0	0.0	3.0	0.13043478260869565	36.0	0.1914893617021277	21.0	0.07394366197183097	25.0	0.11848341232227487	0.0	0.0	0.0	0.0	62.0	0.1867469879518072	0.0	0.0	9.0	0.08035714285714286	1.0	0.00909090909090909	0.0	0.0	9.0	0.0569620253164557	1.0	0.037037037037037035	5.0	0.04098360655737705
DB_MAG_00004	0.8931333333333333	0.45137037037037037	19.0	0.12418300653594773	2.0	0.16666666666666666	0.0	0.0	5.0	0.21739130434782608	3.0	0.015957446808510637	31.0	0.10915492957746477	37.0	0.17535545023696686	0.0	0.0	0.0	0.0	15.0	0.045180722891566265	1.0	0.09090909090909093	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.08227848101265822	0.0	0.0	12.0	0.09836065573770493
DB_MAG_00005	0.9674666666666667	0.7801481481481483	76.0	0.4967320261437909	8.0	0.6666666666666666	0.0	0.0	17.0	0.7391304347826086	73.0	0.3882978723404255	180.0	0.6338028169014085	138.0	0.6540284360189573	3.0	0.6	8.0	0.04651162790697674	229.0	0.6897590361445783	6.0	0.5454545454545454	22.0	0.19642857142857145	38.0	0.34545454545454546	6.0	0.16666666666666666	80.0	0.5063291139240507	1.0	0.037037037037037035	82.0	0.6721311475409836
DB_MAG_00006	0.33859999999999996	0.189962962962963	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DB_MAG_00007	0.9909333333333332	0.984037037037037	12.0	0.0784313725490196	5.0	0.4166666666666667	0.0	0.0	12.0	0.5217391304347826	156.0	0.8297872340425532	54.0	0.19014084507042253	70.0	0.33175355450236965	0.0	0.0	2.0	0.011627906976744186	88.0	0.26506024096385544	0.0	0.0	15.0	0.13392857142857142	3.0	0.027272727272727268	0.0	0.0	40.0	0.2531645569620253	0.0	0.0	52.0	0.4262295081967213
DB_MAG_00008	0.8960666666666665	0.7856666666666667	100.0	0.6535947712418301	7.0	0.5833333333333334	0.0	0.0	17.0	0.7391304347826086	4.0	0.02127659574468085	200.0	0.7042253521126759	161.0	0.7630331753554502	5.0	1.0	0.0	0.0	239.0	0.7198795180722891	2.0	0.18181818181818185	14.0	0.125	56.0	0.509090909090909	11.0	0.3055555555555556	83.0	0.5253164556962026	2.0	0.07407407407407407	69.0	0.5655737704918032
DB_MAG_00009	0.8296666666666668	0.5698888888888889	22.0	0.1437908496732026	1.0	0.08333333333333333	0.0	0.0	4.0	0.17391304347826084	46.0	0.24468085106382975	49.0	0.17253521126760565	52.0	0.2464454976303317	0.0	0.0	0.0	0.0	99.0	0.2981927710843373	1.0	0.09090909090909093	0.0	0.0	7.0	0.06363636363636363	0.0	0.0	25.0	0.15822784810126586	0.0	0.0	26.0	0.21311475409836064
DB_MAG_00010	0.9994666666666667	0.8577037037037036	39.0	0.2549019607843137	3.0	0.25	0.0	0.0	7.0	0.3043478260869565	13.0	0.06914893617021277	103.0	0.3626760563380282	95.0	0.4502369668246445	0.0	0.0	0.0	0.0	62.0	0.1867469879518072	2.0	0.18181818181818185	1.0	0.008928571428571428	2.0	0.01818181818181818	0.0	0.0	38.0	0.2405063291139241	0.0	0.0	10.0	0.08196721311475409
DB_MAG_00011	0.7366666666666667	0.5695925925925927	45.0	0.29411764705882354	7.0	0.5833333333333334	1.0	0.03571428571428571	11.0	0.4782608695652174	27.0	0.14361702127659576	140.0	0.4929577464788733	101.0	0.4786729857819905	5.0	1.0	18.0	0.10465116279069768	168.0	0.5060240963855421	0.0	0.0	17.0	0.15178571428571427	73.0	0.6636363636363637	10.0	0.2777777777777778	28.0	0.17721518987341772	13.0	0.4814814814814815	25.0	0.20491803278688525
DB_MAG_00012	0.4817333333333334	0.3012592592592593	47.0	0.3071895424836601	3.0	0.25	0.0	0.0	5.0	0.21739130434782608	9.0	0.04787234042553192	130.0	0.4577464788732394	109.0	0.5165876777251185	2.0	0.4	6.0	0.034883720930232565	96.0	0.2891566265060241	1.0	0.09090909090909093	24.0	0.21428571428571427	43.0	0.3909090909090909	27.0	0.75	29.0	0.1835443037974684	15.0	0.5555555555555556	23.0	0.1885245901639344
DB_MAG_00013	0.9772000000000001	0.7272962962962963	57.0	0.3725490196078432	0.0	0.0	0.0	0.0	4.0	0.17391304347826084	0.0	0.0	70.0	0.24647887323943665	52.0	0.2464454976303317	3.0	0.6	0.0	0.0	111.0	0.3343373493975904	0.0	0.0	48.0	0.42857142857142855	92.0	0.8363636363636363	5.0	0.1388888888888889	49.0	0.310126582278481	1.0	0.037037037037037035	6.0	0.049180327868852465
DB_MAG_00014	0.9301333333333335	0.47359259259259257	48.0	0.3137254901960784	5.0	0.4166666666666667	0.0	0.0	9.0	0.39130434782608703	22.0	0.11702127659574467	131.0	0.4612676056338028	75.0	0.35545023696682465	0.0	0.0	1.0	0.005813953488372093	110.0	0.3313253012048193	1.0	0.09090909090909093	10.0	0.08928571428571429	32.0	0.2909090909090909	2.0	0.05555555555555555	24.0	0.1518987341772152	2.0	0.07407407407407407	29.0	0.2377049180327869
DB_MAG_00015	0.9680666666666667	0.5496666666666667	31.0	0.20261437908496727	6.0	0.5	0.0	0.0	7.0	0.3043478260869565	2.0	0.010638297872340424	121.0	0.426056338028169	86.0	0.4075829383886256	5.0	1.0	0.0	0.0	81.0	0.24397590361445784	1.0	0.09090909090909093	4.0	0.03571428571428571	1.0	0.00909090909090909	0.0	0.0	34.0	0.21518987341772156	6.0	0.2222222222222222	23.0	0.1885245901639344
DB_MAG_00016	0.6499333333333334	0.6676666666666667	81.0	0.5294117647058824	1.0	0.08333333333333333	0.0	0.0	4.0	0.17391304347826084	2.0	0.010638297872340424	64.0	0.22535211267605634	163.0	0.7725118483412322	0.0	0.0	0.0	0.0	156.0	0.4698795180722892	1.0	0.09090909090909093	42.0	0.375	11.0	0.1	20.0	0.5555555555555556	63.0	0.3987341772151899	1.0	0.037037037037037035	29.0	0.2377049180327869
DB_MAG_00017	0.6154666666666666	0.010592592592592591	7.0	0.0457516339869281	1.0	0.08333333333333333	0.0	0.0	4.0	0.17391304347826084	7.0	0.03723404255319149	68.0	0.23943661971830985	18.0	0.08530805687203792	2.0	0.4	4.0	0.02325581395348837	56.0	0.1686746987951807	0.0	0.0	17.0	0.15178571428571427	15.0	0.13636363636363635	4.0	0.1111111111111111	15.0	0.0949367088607595	0.0	0.0	3.0	0.024590163934426233
DB_MAG_00018	0.7091333333333334	0.5504444444444444	54.0	0.35294117647058826	7.0	0.5833333333333334	2.0	0.07142857142857142	15.0	0.6521739130434783	50.0	0.26595744680851063	206.0	0.7253521126760564	138.0	0.6540284360189573	5.0	1.0	32.0	0.18604651162790695	206.0	0.6204819277108434	1.0	0.09090909090909093	36.0	0.32142857142857145	98.0	0.8909090909090909	34.0	0.9444444444444444	56.0	0.35443037974683544	16.0	0.5925925925925926	59.0	0.4836065573770492
DB_MAG_00019	0.8875333333333334	0.699962962962963	88.0	0.5751633986928104	4.0	0.3333333333333333	0.0	0.0	20.0	0.8695652173913043	69.0	0.3670212765957447	192.0	0.676056338028169	129.0	0.6113744075829384	5.0	1.0	5.0	0.02906976744186046	224.0	0.6746987951807228	2.0	0.18181818181818185	11.0	0.09821428571428573	102.0	0.9272727272727272	15.0	0.4166666666666667	69.0	0.4367088607594937	5.0	0.1851851851851852	54.0	0.4426229508196721
DB_MAG_00020	0.7161333333333333	0.48874074074074064	68.0	0.4444444444444444	7.0	0.5833333333333334	0.0	0.0	19.0	0.8260869565217391	61.0	0.32446808510638303	196.0	0.6901408450704225	171.0	0.8104265402843602	0.0	0.0	0.0	0.0	261.0	0.7861445783132529	3.0	0.2727272727272727	3.0	0.026785714285714284	40.0	0.3636363636363637	0.0	0.0	94.0	0.5949367088607594	0.0	0.0	60.0	0.4918032786885246
DB_MAG_00021	0.5232666666666668	0.294962962962963	12.0	0.0784313725490196	1.0	0.08333333333333333	0.0	0.0	0.0	0.0	16.0	0.0851063829787234	59.0	0.20774647887323944	8.0	0.03791469194312797	2.0	0.4	0.0	0.0	61.0	0.18373493975903613	0.0	0.0	5.0	0.04464285714285714	8.0	0.07272727272727272	1.0	0.027777777777777776	14.0	0.08860759493670886	0.0	0.0	7.0	0.05737704918032788
DB_MAG_00022	0.9952666666666666	0.9657037037037036	108.0	0.7058823529411765	10.0	0.8333333333333334	0.0	0.0	13.0	0.5652173913043478	130.0	0.6914893617021277	186.0	0.6549295774647887	177.0	0.8388625592417062	0.0	0.0	7.0	0.040697674418604654	265.0	0.7981927710843374	2.0	0.18181818181818185	32.0	0.2857142857142857	4.0	0.03636363636363636	17.0	0.4722222222222222	105.0	0.6645569620253164	0.0	0.0	65.0	0.5327868852459017
DB_MAG_00023	0.1376	0.11803703703703701	103.0	0.673202614379085	2.0	0.16666666666666666	8.0	0.2857142857142857	9.0	0.39130434782608703	15.0	0.0797872340425532	186.0	0.6549295774647887	127.0	0.6018957345971564	4.0	0.8	39.0	0.2267441860465116	245.0	0.7379518072289156	8.0	0.7272727272727273	28.0	0.25	110.0	1.0	11.0	0.3055555555555556	83.0	0.5253164556962026	0.0	0.0	40.0	0.3278688524590164
DB_MAG_00024	0.8910666666666667	0.6983333333333334	73.0	0.477124183006536	1.0	0.08333333333333333	0.0	0.0	12.0	0.5217391304347826	18.0	0.09574468085106384	107.0	0.3767605633802817	115.0	0.5450236966824644	0.0	0.0	1.0	0.005813953488372093	109.0	0.32831325301204817	3.0	0.2727272727272727	2.0	0.017857142857142856	16.0	0.14545454545454545	3.0	0.08333333333333333	41.0	0.25949367088607594	0.0	0.0	45.0	0.3688524590163935
DB_MAG_00025	0.5029333333333333	0.5839259259259258	13.0	0.08496732026143791	7.0	0.5833333333333334	2.0	0.07142857142857142	20.0	0.8695652173913043	83.0	0.4414893617021277	108.0	0.38028169014084506	57.0	0.27014218009478674	0.0	0.0	1.0	0.005813953488372093	69.0	0.2078313253012048	1.0	0.09090909090909093	2.0	0.017857142857142856	11.0	0.1	0.0	0.0	77.0	0.4873417721518987	0.0	0.0	66.0	0.5409836065573771
DB_MAG_00026	0.5324666666666666	0.45040740740740737	12.0	0.0784313725490196	3.0	0.25	0.0	0.0	5.0	0.21739130434782608	9.0	0.04787234042553192	71.0	0.25	32.0	0.15165876777251186	0.0	0.0	0.0	0.0	49.0	0.14759036144578316	1.0	0.09090909090909093	0.0	0.0	2.0	0.01818181818181818	0.0	0.0	34.0	0.21518987341772156	0.0	0.0	12.0	0.09836065573770493
DB_MAG_00027	0.5915333333333332	0.25918518518518513	2.0	0.013071895424836602	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.07042253521126761	8.0	0.03791469194312797	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.006329113924050633	0.0	0.0	2.0	0.016393442622950817
DB_MAG_00028	0.5480666666666667	0.4462592592592593	8.0	0.052287581699346414	0.0	0.0	0.0	0.0	1.0	0.043478260869565216	1.0	0.0053191489361702135	16.0	0.056338028169014086	11.0	0.05213270142180095	0.0	0.0	0.0	0.0	20.0	0.060240963855421686	0.0	0.0	0.0	0.0	5.0	0.045454545454545456	0.0	0.0	4.0	0.02531645569620253	0.0	0.0	1.0	0.008196721311475409
DB_MAG_00029	0.1358	0.24562962962962967	26.0	0.16993464052287582	2.0	0.16666666666666666	0.0	0.0	9.0	0.39130434782608703	45.0	0.2393617021276596	42.0	0.14788732394366194	54.0	0.2559241706161137	2.0	0.4	5.0	0.02906976744186046	99.0	0.2981927710843373	2.0	0.18181818181818185	29.0	0.25892857142857145	65.0	0.5909090909090909	8.0	0.2222222222222222	32.0	0.20253164556962025	2.0	0.07407407407407407	29.0	0.2377049180327869
DB_MAG_00030	0.7866	0.37744444444444447	100.0	0.6535947712418301	8.0	0.6666666666666666	1.0	0.03571428571428571	17.0	0.7391304347826086	104.0	0.5531914893617021	187.0	0.6584507042253521	159.0	0.7535545023696683	3.0	0.6	16.0	0.09302325581395347	222.0	0.6686746987951807	6.0	0.5454545454545454	56.0	0.5	49.0	0.44545454545454544	27.0	0.75	70.0	0.4430379746835443	12.0	0.4444444444444444	63.0	0.5163934426229508
DB_MAG_00031	0.7867999999999999	0.5532592592592592	46.0	0.3006535947712418	4.0	0.3333333333333333	0.0	0.0	13.0	0.5652173913043478	8.0	0.0425531914893617	125.0	0.44014084507042256	90.0	0.4265402843601896	0.0	0.0	0.0	0.0	54.0	0.16265060240963855	2.0	0.18181818181818185	0.0	0.0	22.0	0.2	0.0	0.0	44.0	0.27848101265822783	0.0	0.0	34.0	0.2786885245901639
DB_MAG_00032	0.6000666666666666	0.3625555555555555	60.0	0.392156862745098	4.0	0.3333333333333333	0.0	0.0	8.0	0.3478260869565217	54.0	0.2872340425531915	98.0	0.34507042253521125	87.0	0.41232227488151657	4.0	0.8	12.0	0.06976744186046513	99.0	0.2981927710843373	5.0	0.4545454545454545	37.0	0.33035714285714285	39.0	0.3545454545454545	21.0	0.5833333333333334	37.0	0.23417721518987344	6.0	0.2222222222222222	21.0	0.1721311475409836
DB_MAG_00033	0.4094	0.5665555555555556	30.0	0.19607843137254904	3.0	0.25	19.0	0.6785714285714286	6.0	0.2608695652173913	65.0	0.34574468085106386	102.0	0.3591549295774648	32.0	0.15165876777251186	5.0	1.0	81.0	0.4709302325581395	181.0	0.5451807228915663	2.0	0.18181818181818185	106.0	0.9464285714285714	110.0	1.0	36.0	1.0	50.0	0.3164556962025317	27.0	1.0	19.0	0.1557377049180328
DB_MAG_00034	0.9961333333333334	0.8545555555555556	123.0	0.8039215686274509	9.0	0.75	1.0	0.03571428571428571	20.0	0.8695652173913043	90.0	0.4787234042553192	259.0	0.9119718309859156	184.0	0.8720379146919431	5.0	1.0	8.0	0.04651162790697674	296.0	0.891566265060241	9.0	0.8181818181818182	87.0	0.7767857142857143	95.0	0.8636363636363636	26.0	0.7222222222222222	105.0	0.6645569620253164	7.0	0.25925925925925924	86.0	0.7049180327868853
DB_MAG_00035	0.9850000000000001	0.711	37.0	0.24183006535947715	6.0	0.5	1.0	0.03571428571428571	8.0	0.3478260869565217	44.0	0.23404255319148934	137.0	0.4823943661971831	75.0	0.35545023696682465	3.0	0.6	11.0	0.06395348837209303	132.0	0.3975903614457832	0.0	0.0	39.0	0.3482142857142857	19.0	0.17272727272727273	9.0	0.25	46.0	0.2911392405063291	0.0	0.0	33.0	0.2704918032786885
