Group	Sample Name	Collection Date (m/d/y)	Days Relative to First Sampling Date
DA	DA_D_01	12/12/14	0
DA	DA_D_02	12/15/14	3
DA	DA_D_03	12/16/14	4
DA	DA_D_04	12/17/14	5
DA	DA_D_05	1/22/15	41
DA	DA_D_06	1/29/15	48
DA	DA_D_07	1/30/15	49
DA	DA_D_08	10/9/15	301
DA	DA_D_09	11/16/15	339
DA	DA_D_10	11/23/15	346
DA	DA_D_11	12/1/15	354
DA	DA_D_12	12/7/15	360
DA	DA_D_13	1/7/16	391
DA	DA_D_14	3/2/16	446
DA	DA_D_15	3/8/16	452
DA	DA_D_16	3/29/16	473
DA	DA_D_17	4/1/16	476
DA	DA_D_18	5/11/16	516
DA	DA_D_19	6/6/16	542
DA	DA_D_20	6/17/16	553
DA	DA_D_21	8/17/16	614
DA	DA_D_22	8/25/16	622
DA	DA_D_23	8/30/16	627
DA	DA_D_24	9/8/16	636
DB	DB_D_01	12/16/14	0
DB	DB_D_02	1/21/15	36
DB	DB_D_03	2/4/15	50
DB	DB_D_04	2/5/15	51
DB	DB_D_05	4/15/15	120
DB	DB_D_06	4/16/15	121
DB	DB_D_07	5/29/15	164
DB	DB_D_08	6/6/15	172
DB	DB_D_09	6/23/15	189
DB	DB_D_10	6/30/15	196
DB	DB_D_11	8/13/15	240
DB	DB_D_12	8/20/15	247
DB	DB_D_13	10/9/15	297
DB	DB_D_14	5/2/16	503
DB	DB_D_15	5/31/16	532
