MAGs	DB_D_01	DB_D_02	DB_D_03	DB_D_04	DB_D_05	DB_D_06	DB_D_07	DB_D_08	DB_D_09	DB_D_10	DB_D_11	DB_D_12	DB_D_13	DB_D_14	DB_D_15	DB_R01_CDI_C_01_PRE	DB_R01_CDI_C_02_PRE	DB_R01_CDI_C_03_POST	DB_R01_CDI_C_04_POST	DB_R01_CDI_C_05_POST	DB_R01_CDI_C_06_POST	DB_R01_CDI_C_07_POST	DB_R02_CDI_C_01_PRE	DB_R02_CDI_C_02_PRE	DB_R02_CDI_C_03_POST	DB_R02_CDI_C_04_POST	DB_R02_CDI_C_05_POST	DB_R02_CDI_C_06_POST	DB_R03_CDI_P_01_PRE	DB_R03_CDI_P_02_PRE	DB_R03_CDI_P_03_POST	DB_R03_CDI_P_04_POST	DB_R03_CDI_P_05_POST	DB_R03_CDI_P_06_POST	DB_R03_CDI_P_07_POST	DB_R03_CDI_P_08_POST	DB_R04_CDI_P_01_PRE	DB_R04_CDI_P_02_PRE	DB_R04_CDI_P_03_POST	DB_R04_CDI_P_04_POST	DB_R04_CDI_P_05_POST	DB_R04_CDI_P_06_POST	DB_R04_CDI_P_07_POST	DB_R04_CDI_P_08_POST	DB_R04_CDI_P_09_POST	DB_R05_UC_P_01_PRE	DB_R05_UC_P_02_POST	DB_R05_UC_P_03_POST	DB_R05_UC_P_04_POST	DB_R05_UC_P_05_POST	DB_R05_UC_P_06_POST
DB_MAG_00001	0.014086626	0.00855432	0.006330937	0	0	0	0.003145382	0	0	63.73613841	0.01552721	0	0.050086891	0.071571198	0.001545804	0	2.981718495	0	0.676632928	0.025245289	0	0	0	0.022173172	0.003025075	0	0.027760067	0.000730947	1.382994034	0.016405293	0.015544949	0	0	0	0	0	0	0	0	0.000264217	0	0	0.014574019	0	0	0	0	0	0	0	0
DB_MAG_00002	3.220409367	0.065643444	4.209102095	2.44270564	1.943968146	2.988799649	7.870015825	1.406058938	1.985408613	6.571629475	1.02223262	2.883886409	1.051867241	0	0.023890192	0	0.003390722	0	0.009465152	0	0	0.006485261	0	0.016924993	0.008027717	0	0.001202034	0	0	0	0	0	0.000145278	0	0	0	0.0001221	0	0.001936159	0	0	0	0	0	0	0	0	0	0	0	0
DB_MAG_00003	2.477032956	4.306400688	0.26782543	0.529031536	0.337791445	1.728794001	0.847310466	1.195918177	0.66323762	1.709307751	0.921287922	2.564387497	3.746061183	0.273528095	1.261283214	0.011484267	0.015347146	0.74056543	0.089430489	3.825356828	0.874928844	0.078224337	0	0.001411821	0.02807163	0	0.004687067	0.000152138	0	0.00322449	0.104555107	1.547099396	1.425553239	3.573888328	1.089159986	0.432619477	0.020590622	0.004432624	0.506220858	0.01392221	0.030100601	0.052780807	0.008328357	0.026453112	0	0	2.290793063	2.415242205	0.050542847	0.803496437	0.333981383
DB_MAG_00004	26.08280254	20.45106959	49.94785759	62.81180206	39.09459933	16.46387799	25.00403195	50.68967231	21.41460307	9.475292886	47.58033025	26.04057087	23.22977449	0.016900662	0.305774051	0	0.010954319	0	0.359016587	0.011836715	0	0.616179815	0	0.588647588	0.031490211	0	0.002525657	0.001125128	0.046518154	0	0	0	0	0	0.004995005	0	0.174178709	0.077599223	13.43254317	64.70557101	15.26787769	6.455779448	12.55781545	4.488843209	4.091664083	0	16.68349257	50.3131581	0.273960098	11.30882587	2.896449657
DB_MAG_00005	7.913840296	2.821005163	18.95886254	37.70858486	49.82791023	2.729362484	40.10535249	113.6543145	49.88737492	29.72756113	2.30428141	24.28658192	1.864351242	73.24793298	64.82069585	82.83255436	2.48220494	212.84316	0.418001833	2.219146994	6.624353191	0.64616552	0.004357046	0.991515041	0.080039347	0.005817178	0.078832528	0.015208378	1.420779654	0.467096821	32.55876756	12.08710653	19.91272113	28.07578593	12.06756784	193.2303778	7.159884037	1.286020442	1.619960465	2.507253852	59.19063839	28.23073072	14.74961104	24.04635512	0.744109403	0.011212561	183.3944177	117.5128146	9.913489674	244.2762696	98.08616229
DB_MAG_00006	1.826468385	1.57924298	0.341752565	0.005487295	0	0	0	0	0	0	0	0.343139162	6.497579977	7.084165397	1.111729188	0	167.4045472	0	42.65905668	4.691004571	0	0.005135425	0	0.009048552	0	0	4.651513447	0.003434645	74.29447409	0.516169317	0.872329622	0	0	0	0	0	0	0	0	0.081109399	0.078080981	0.650415042	1.46843835	0.005184492	0	0	0	0	0.005856783	0	0
DB_MAG_00007	16.56428856	10.98307201	6.400161637	7.556565643	21.76656997	2.511064678	4.985749485	19.77152844	8.195324089	6.020095067	11.71729054	19.39202172	17.58254781	71.68961092	42.84518052	0	0.550185491	45.23631875	103.3477504	59.32711351	2.672726506	53.59463474	0.000935235	0.24364099	279.2898894	24.08712035	75.06405304	69.51065733	0.128580521	0.690889307	22.23339219	42.5527199	39.64947178	49.99289862	46.04161218	32.16164632	0.761791848	0.214795374	99.3702403	59.60251689	167.8918497	56.85298134	146.4481122	14.62195643	6.158751484	0.047412931	21.11243417	43.77814558	7.148434534	3.996000732	50.52880203
DB_MAG_00008	4.955590712	2.432229236	0.899876385	0.370833361	4.020439327	4.768208745	7.106057536	6.874325234	4.963118154	8.994552929	3.270095648	3.391299409	5.031295711	2.634832077	4.202940166	0.007842361	0.265235828	13.21837479	22.25264864	20.82795538	18.82874857	11.42251938	0	0.150191153	5.531548818	0	0.008780771	0.004395441	0.585855932	0.035040833	4.56012464	1.202205387	3.675536132	1.592511776	1.26582748	0.184392838	2.231085495	0.447867411	1.68027071	1.215512471	1.951736179	3.148112938	8.288582715	107.4425255	3.386608486	0.001306145	14.44879962	3.275402031	15.92973186	26.67393603	5.100394468
DB_MAG_00009	6.797288953	2.210589117	5.422739896	4.732962452	7.30261836	4.755548633	2.356063603	3.166003628	6.09795986	2.065295856	3.480752707	4.179515536	3.765003813	0.147648339	0.129635532	0.169834822	0.181121311	24.6175353	251.321443	5.679025377	0.777518961	4.261599862	0	0.009038793	1.175927102	0	0.001343718	0	0.004107543	0	0.258397889	0.079921703	0.0858331	0.125976597	0.057794235	0.087505391	0.015469631	0.007099088	7.815181911	3.371016917	10.96678192	3.736949691	5.840901123	4.421119421	0.130790869	0	3.013737492	1.429234741	4.115504715	3.211360059	3.241880002
DB_MAG_00010	20.11090808	7.279540653	17.79288054	22.80103624	31.97542423	8.182642548	22.5384046	16.21190342	29.16001535	26.13734875	47.39426272	75.50754754	34.22307359	38.61914038	29.33277826	0	0.25282944	49.78109654	325.3546704	34.96660172	28.94560834	80.05203617	0	0.156475535	0.149010236	0	0.044861951	0	0.217122828	0.392335565	40.38951874	36.13434767	12.71560827	53.17787376	49.12640943	80.00368178	0.488613845	0.148752237	39.12413489	84.64122721	84.62713312	147.54194	73.28538267	190.3349349	6.575567399	0.001195	66.82465662	5.069820163	17.15413121	28.98901752	72.01019015
