MAG	Sample	Subpop 1	Subpop 2	Subpop 3	Subpop 4	Subpop 5	Subpop 6	Subpop 7
DA_MAG_00002	DA_D_12	0	0.952727088	0.047272912	NA	NA	NA	NA
DA_MAG_00002	DA_D_13	0	1	0	NA	NA	NA	NA
DA_MAG_00002	DA_D_16	0.256572498	0.743427502	0	NA	NA	NA	NA
DA_MAG_00002	DA_D_18	0	0.987869465	0.012130535	NA	NA	NA	NA
DA_MAG_00002	DA_D_23	0.095560153	0.904439847	0	NA	NA	NA	NA
DA_MAG_00002	DA_R01_CDI_P_01_PRE	0.865890707	0.134109293	0	NA	NA	NA	NA
DA_MAG_00002	DA_R01_CDI_P_02_POST	0.064072627	0.919303184	0.016624189	NA	NA	NA	NA
DA_MAG_00002	DA_R01_CDI_P_03_POST	0	1	0	NA	NA	NA	NA
DA_MAG_00002	DA_R01_CDI_P_05_POST	0	0.965974169	0.034025831	NA	NA	NA	NA
DA_MAG_00002	DA_R01_CDI_P_08_PRE	0.733362426	0.266637574	0	NA	NA	NA	NA
DA_MAG_00002	DA_R02_CDI_C_01_PRE	0	1	0	NA	NA	NA	NA
DA_MAG_00002	DA_R02_CDI_C_02_PRE	0	1	0	NA	NA	NA	NA
DA_MAG_00002	DA_R02_CDI_C_03_POST	0	1	0	NA	NA	NA	NA
DA_MAG_00002	DA_R02_CDI_C_04_POST	0	0.962774606	0.037225394	NA	NA	NA	NA
DA_MAG_00002	DA_R02_CDI_C_05_POST	0.118332541	0.881667459	0	NA	NA	NA	NA
DA_MAG_00002	DA_R02_CDI_C_06_POST	0	1	0	NA	NA	NA	NA
DA_MAG_00002	DA_R02_CDI_C_07_POST	0	0.943290226	0.056709774	NA	NA	NA	NA
DA_MAG_00002	DA_R03_CDI_C_01_PRE	0.074764428	0.031033906	0.894201667	NA	NA	NA	NA
DA_MAG_00002	DA_R03_CDI_C_02_PRE	0.04809016	0.019983135	0.931926704	NA	NA	NA	NA
DA_MAG_00002	DA_R03_CDI_C_03_PRE	0.057415114	0.023847348	0.918737538	NA	NA	NA	NA
DA_MAG_00002	DA_R03_CDI_C_04_POST	0.155090863	0.306416604	0.538492533	NA	NA	NA	NA
DA_MAG_00002	DA_R03_CDI_C_05_POST	0.150515997	0.529241514	0.320242489	NA	NA	NA	NA
DA_MAG_00002	DA_R03_CDI_C_06_POST	0	0.899585267	0.100414733	NA	NA	NA	NA
DA_MAG_00002	DA_R03_CDI_C_07_POST	0.022367356	0.977632644	0	NA	NA	NA	NA
DA_MAG_00002	DA_R03_CDI_C_08_POST	0	0.879258845	0.120741155	NA	NA	NA	NA
DA_MAG_00002	DA_R04_UC_P_01_PRE	0.826934743	0.173065257	0	NA	NA	NA	NA
DA_MAG_00002	DA_R04_UC_P_02_PRE	0.833363712	0.166636288	0	NA	NA	NA	NA
DA_MAG_00002	DA_R04_UC_P_03_POST	0	0.971934667	0.028065333	NA	NA	NA	NA
DA_MAG_00002	DA_R04_UC_P_06_POST	0.395236491	0.263686652	0.341076857	NA	NA	NA	NA
DA_MAG_00002	DA_R04_UC_P_07_POST	0.153393009	0.846606991	0	NA	NA	NA	NA
DA_MAG_00002	DA_R05_UC_C_01_PRE	0.984703945	0	0.015296055	NA	NA	NA	NA
DA_MAG_00010	DA_D_01	0.921644628	0.078355372	NA	NA	NA	NA	NA
DA_MAG_00010	DA_D_02	1	0	NA	NA	NA	NA	NA
DA_MAG_00010	DA_D_03	0.983250533	0.016749467	NA	NA	NA	NA	NA
DA_MAG_00010	DA_D_04	1	0	NA	NA	NA	NA	NA
DA_MAG_00010	DA_D_05	1	0	NA	NA	NA	NA	NA
DA_MAG_00010	DA_D_06	0.978731672	0.021268328	NA	NA	NA	NA	NA
DA_MAG_00010	DA_D_07	0.986926803	0.013073197	NA	NA	NA	NA	NA
DA_MAG_00010	DA_D_08	0.941071105	0.058928895	NA	NA	NA	NA	NA
DA_MAG_00010	DA_D_09	1	0	NA	NA	NA	NA	NA
DA_MAG_00010	DA_D_10	0.965346163	0.034653837	NA	NA	NA	NA	NA
DA_MAG_00010	DA_D_11	0.971453247	0.028546753	NA	NA	NA	NA	NA
DA_MAG_00010	DA_D_12	0.926442106	0.073557894	NA	NA	NA	NA	NA
DA_MAG_00010	DA_D_13	1	0	NA	NA	NA	NA	NA
DA_MAG_00010	DA_D_14	1	0	NA	NA	NA	NA	NA
DA_MAG_00010	DA_D_15	1	0	NA	NA	NA	NA	NA
DA_MAG_00010	DA_D_16	0.964277966	0.035722034	NA	NA	NA	NA	NA
DA_MAG_00010	DA_D_17	0.975367681	0.024632319	NA	NA	NA	NA	NA
DA_MAG_00010	DA_D_18	0.936256397	0.063743603	NA	NA	NA	NA	NA
DA_MAG_00010	DA_D_19	0.977572362	0.022427638	NA	NA	NA	NA	NA
DA_MAG_00010	DA_D_20	0.939817421	0.060182579	NA	NA	NA	NA	NA
DA_MAG_00010	DA_D_21	1	0	NA	NA	NA	NA	NA
DA_MAG_00010	DA_D_22	0.92601668	0.07398332	NA	NA	NA	NA	NA
DA_MAG_00010	DA_D_23	0.953466102	0.046533898	NA	NA	NA	NA	NA
DA_MAG_00010	DA_D_24	0.942369091	0.057630909	NA	NA	NA	NA	NA
DA_MAG_00010	DA_R01_CDI_P_02_POST	1	0	NA	NA	NA	NA	NA
DA_MAG_00010	DA_R01_CDI_P_03_POST	0.978267882	0.021732118	NA	NA	NA	NA	NA
DA_MAG_00010	DA_R01_CDI_P_05_POST	1	0	NA	NA	NA	NA	NA
DA_MAG_00010	DA_R01_CDI_P_06_POST	0.956931025	0.043068975	NA	NA	NA	NA	NA
DA_MAG_00010	DA_R02_CDI_C_03_POST	0.734809241	0.265190759	NA	NA	NA	NA	NA
DA_MAG_00010	DA_R02_CDI_C_04_POST	1	0	NA	NA	NA	NA	NA
DA_MAG_00010	DA_R02_CDI_C_05_POST	1	0	NA	NA	NA	NA	NA
DA_MAG_00010	DA_R02_CDI_C_06_POST	0.627150304	0.372849696	NA	NA	NA	NA	NA
DA_MAG_00010	DA_R02_CDI_C_07_POST	1	0	NA	NA	NA	NA	NA
DA_MAG_00010	DA_R03_CDI_C_04_POST	0.922315592	0.077684408	NA	NA	NA	NA	NA
DA_MAG_00010	DA_R03_CDI_C_05_POST	1	0	NA	NA	NA	NA	NA
DA_MAG_00010	DA_R03_CDI_C_06_POST	0.962733403	0.037266597	NA	NA	NA	NA	NA
DA_MAG_00010	DA_R03_CDI_C_07_POST	1	0	NA	NA	NA	NA	NA
DA_MAG_00010	DA_R03_CDI_C_08_POST	1	0	NA	NA	NA	NA	NA
DA_MAG_00010	DA_R04_UC_P_03_POST	0.972139076	0.027860924	NA	NA	NA	NA	NA
DA_MAG_00010	DA_R04_UC_P_04_POST	1	0	NA	NA	NA	NA	NA
DA_MAG_00010	DA_R04_UC_P_05_POST	1	0	NA	NA	NA	NA	NA
DA_MAG_00010	DA_R04_UC_P_06_POST	0.953914379	0.046085621	NA	NA	NA	NA	NA
DA_MAG_00010	DA_R04_UC_P_07_POST	1	0	NA	NA	NA	NA	NA
DA_MAG_00010	DA_R04_UC_P_09_POST	1	0	NA	NA	NA	NA	NA
DA_MAG_00010	DA_R05_UC_C_02_POST	1	0	NA	NA	NA	NA	NA
DA_MAG_00010	DA_R05_UC_C_03_POST	1	0	NA	NA	NA	NA	NA
DA_MAG_00010	DA_R05_UC_C_04_POST	0.822649256	0.177350744	NA	NA	NA	NA	NA
DA_MAG_00010	DA_R05_UC_C_05_POST	0.910792541	0.089207459	NA	NA	NA	NA	NA
DA_MAG_00011	DA_D_01	0	0	1	0	NA	NA	NA
DA_MAG_00011	DA_D_03	0	0	1	0	NA	NA	NA
DA_MAG_00011	DA_D_04	0	0	1	0	NA	NA	NA
DA_MAG_00011	DA_D_05	0	0	1	0	NA	NA	NA
DA_MAG_00011	DA_D_06	0.041785666	0.899417031	0.058797303	0	NA	NA	NA
DA_MAG_00011	DA_D_07	0	0.595558213	0.404441787	0	NA	NA	NA
DA_MAG_00011	DA_D_08	0.153775458	0.288626253	0.557598289	0	NA	NA	NA
DA_MAG_00011	DA_D_09	0	0	1	0	NA	NA	NA
DA_MAG_00011	DA_D_10	0	0.265719562	0.734280438	0	NA	NA	NA
DA_MAG_00011	DA_D_11	0	0.847372011	0	0.152627989	NA	NA	NA
DA_MAG_00011	DA_D_12	0	0	1	0	NA	NA	NA
DA_MAG_00011	DA_D_13	0	0.933009803	0.066990197	0	NA	NA	NA
DA_MAG_00011	DA_D_14	0	0.549702273	0.450297727	0	NA	NA	NA
DA_MAG_00011	DA_D_15	0	0.434258941	0.565741059	0	NA	NA	NA
DA_MAG_00011	DA_D_16	0.712792179	0.287207821	0	0	NA	NA	NA
DA_MAG_00011	DA_D_17	0.26904774	0.197527514	0.513315855	0.020108891	NA	NA	NA
DA_MAG_00011	DA_D_18	0	0.379711736	0.582515538	0.037772726	NA	NA	NA
DA_MAG_00011	DA_D_19	0.029652057	0.363249899	0	0.607098044	NA	NA	NA
DA_MAG_00011	DA_D_20	0.176267892	0.359133788	0.46459832	0	NA	NA	NA
DA_MAG_00011	DA_D_22	0.039197364	0.209328903	0.566446971	0.185026762	NA	NA	NA
DA_MAG_00011	DA_D_23	0.019353633	0.316270758	0.664375609	0	NA	NA	NA
DA_MAG_00011	DA_D_24	0	0.278328044	0.555070793	0.166601163	NA	NA	NA
DA_MAG_00011	DA_R01_CDI_P_02_POST	0	0	1	0	NA	NA	NA
DA_MAG_00011	DA_R01_CDI_P_05_POST	0	0.415323016	0.584676984	0	NA	NA	NA
DA_MAG_00011	DA_R02_CDI_C_03_POST	0	0	1	0	NA	NA	NA
DA_MAG_00011	DA_R02_CDI_C_04_POST	0	1	0	0	NA	NA	NA
DA_MAG_00011	DA_R02_CDI_C_05_POST	0	0	1	0	NA	NA	NA
DA_MAG_00011	DA_R02_CDI_C_06_POST	0	0	1	0	NA	NA	NA
DA_MAG_00011	DA_R02_CDI_C_07_POST	0	0	1	0	NA	NA	NA
DA_MAG_00011	DA_R03_CDI_C_01_PRE	0.020456769	0.020456769	0.020456769	0.938629694	NA	NA	NA
DA_MAG_00011	DA_R03_CDI_C_04_POST	0	0.056185341	0	0.943814659	NA	NA	NA
DA_MAG_00011	DA_R03_CDI_C_08_POST	0	0.363011441	0	0.636988559	NA	NA	NA
DA_MAG_00011	DA_R04_UC_P_03_POST	0.154498633	0	0.029620919	0.815880448	NA	NA	NA
DA_MAG_00011	DA_R04_UC_P_04_POST	0.167942156	0	0	0.832057844	NA	NA	NA
DA_MAG_00011	DA_R04_UC_P_05_POST	0	0.011109797	0.988890203	0	NA	NA	NA
DA_MAG_00011	DA_R04_UC_P_06_POST	0.319718448	0.21533906	0	0.464942492	NA	NA	NA
DA_MAG_00011	DA_R04_UC_P_07_POST	0	0	0.013251725	0.986748275	NA	NA	NA
DA_MAG_00011	DA_R05_UC_C_01_PRE	0	0	1	0	NA	NA	NA
DA_MAG_00011	DA_R05_UC_C_02_POST	0.328944757	0.671055243	0	0	NA	NA	NA
DA_MAG_00011	DA_R05_UC_C_03_POST	0.012543904	0.2105124	0.776943696	0	NA	NA	NA
DA_MAG_00011	DA_R05_UC_C_04_POST	0	1	0	0	NA	NA	NA
DA_MAG_00011	DA_R05_UC_C_05_POST	0.653634298	0.346365702	0	0	NA	NA	NA
DA_MAG_00012	DA_D_01	0	1	0	NA	NA	NA	NA
DA_MAG_00012	DA_D_02	0	0.888399749	0.111600251	NA	NA	NA	NA
DA_MAG_00012	DA_D_03	0	0.899270727	0.100729273	NA	NA	NA	NA
