MAG	Sample	Subpop 1	Subpop 2	Subpop 3	Subpop 4	Subpop 5	Subpop 6
DB_MAG_00001	DB_D_10	0.015643356	0.984356644	NA	NA	NA	NA
DB_MAG_00001	DB_R01_CDI_C_02_PRE	0.868327576	0.131672424	NA	NA	NA	NA
DB_MAG_00001	DB_R02_CDI_C_02_PRE	1	0	NA	NA	NA	NA
DB_MAG_00001	DB_R03_CDI_P_01_PRE	0	1	NA	NA	NA	NA
DB_MAG_00001	DB_R04_CDI_P_02_PRE	0.979720789	0.020279211	NA	NA	NA	NA
DB_MAG_00003	DB_D_01	1	0	NA	NA	NA	NA
DB_MAG_00003	DB_D_02	1	0	NA	NA	NA	NA
DB_MAG_00003	DB_D_03	1	0	NA	NA	NA	NA
DB_MAG_00003	DB_D_04	1	0	NA	NA	NA	NA
DB_MAG_00003	DB_D_05	1	0	NA	NA	NA	NA
DB_MAG_00003	DB_D_06	1	0	NA	NA	NA	NA
DB_MAG_00003	DB_D_07	1	0	NA	NA	NA	NA
DB_MAG_00003	DB_D_08	1	0	NA	NA	NA	NA
DB_MAG_00003	DB_D_09	1	0	NA	NA	NA	NA
DB_MAG_00003	DB_D_10	1	0	NA	NA	NA	NA
DB_MAG_00003	DB_D_11	1	0	NA	NA	NA	NA
DB_MAG_00003	DB_D_12	1	0	NA	NA	NA	NA
DB_MAG_00003	DB_D_13	1	0	NA	NA	NA	NA
DB_MAG_00003	DB_D_14	1	0	NA	NA	NA	NA
DB_MAG_00003	DB_D_15	1	0	NA	NA	NA	NA
DB_MAG_00003	DB_R01_CDI_C_02_PRE	1	0	NA	NA	NA	NA
DB_MAG_00003	DB_R01_CDI_C_03_POST	1	0	NA	NA	NA	NA
DB_MAG_00003	DB_R01_CDI_C_05_POST	1	0	NA	NA	NA	NA
DB_MAG_00003	DB_R01_CDI_C_07_POST	1	0	NA	NA	NA	NA
DB_MAG_00003	DB_R02_CDI_C_03_POST	0.182004965	0.817995035	NA	NA	NA	NA
