MAG	Number of subpopulations
DA_MAG_00001	1
DA_MAG_00002	3
DA_MAG_00003	1
DA_MAG_00004	1
DA_MAG_00005	1
DA_MAG_00006	1
DA_MAG_00007	1
DA_MAG_00008	1
DA_MAG_00009	1
DA_MAG_00010	2
DA_MAG_00011	4
DA_MAG_00012	3
DA_MAG_00013	1
DA_MAG_00014	1
DA_MAG_00015	2
DA_MAG_00016	3
DA_MAG_00017	2
DA_MAG_00018	3
DA_MAG_00019	2
DA_MAG_00020	2
DA_MAG_00021	4
DA_MAG_00022	2
DA_MAG_00023	4
DA_MAG_00024	3
DA_MAG_00025	2
DA_MAG_00026	7
DA_MAG_00027	3
DA_MAG_00028	3
DA_MAG_00029	2
DA_MAG_00030	3
DA_MAG_00031	2
DA_MAG_00032	4
DA_MAG_00033	2
DA_MAG_00034	3
DA_MAG_00035	5
DA_MAG_00036	3
DA_MAG_00037	3
DA_MAG_00038	4
DA_MAG_00039	4
DA_MAG_00040	2
DA_MAG_00041	3
DA_MAG_00042	5
DA_MAG_00043	3
DA_MAG_00044	3
DA_MAG_00045	2
DA_MAG_00046	3
DA_MAG_00047	4
DA_MAG_00048	2
DA_MAG_00049	3
DA_MAG_00050	3
DA_MAG_00051	2
DA_MAG_00052	4
DA_MAG_00053	5
DA_MAG_00054	5
DA_MAG_00055	3
DA_MAG_00056	3
DA_MAG_00057	4
DA_MAG_00058	1
DA_MAG_00059	2
DA_MAG_00060	4
DA_MAG_00061	1
DA_MAG_00062	4
DA_MAG_00063	1
DA_MAG_00064	4
DA_MAG_00065	4
DA_MAG_00066	4
DA_MAG_00067	4
DA_MAG_00068	5
DA_MAG_00069	3
DA_MAG_00070	4
DA_MAG_00071	3
DA_MAG_00072	2
DA_MAG_00073	4
DA_MAG_00074	2
DA_MAG_00075	2
DA_MAG_00076	2
DA_MAG_00077	3
DA_MAG_00078	1
DA_MAG_00079	4
DA_MAG_00080	3
DA_MAG_00081	5
DA_MAG_00082	3
DA_MAG_00083	4
DA_MAG_00084	2
DA_MAG_00085	5
DA_MAG_00086	3
DA_MAG_00087	1
DA_MAG_00088	3
DA_MAG_00089	4
DA_MAG_00090	1
DA_MAG_00091	2
DA_MAG_00092	4
DA_MAG_00093	3
DA_MAG_00094	1
DA_MAG_00095	5
DA_MAG_00096	3
DA_MAG_00097	2
DA_MAG_00098	2
DA_MAG_00099	3
DA_MAG_00100	2
DA_MAG_00101	2
DA_MAG_00102	2
DA_MAG_00103	1
DA_MAG_00104	2
DA_MAG_00105	3
DA_MAG_00106	3
DA_MAG_00107	1
DA_MAG_00108	4
DA_MAG_00109	2
DA_MAG_00110	2
DA_MAG_00111	2
DA_MAG_00112	4
DA_MAG_00113	2
DA_MAG_00114	6
DA_MAG_00115	5
DA_MAG_00116	4
DA_MAG_00117	4
DA_MAG_00118	5
DA_MAG_00119	4
DA_MAG_00120	2
DA_MAG_00121	1
DA_MAG_00122	5
DA_MAG_00123	5
DA_MAG_00124	2
DA_MAG_00125	4
DA_MAG_00126	2
DA_MAG_00127	1
DA_MAG_00128	3
