MAG	Number of subpopulations
DB_MAG_00001	2
DB_MAG_00002	1
DB_MAG_00003	2
DB_MAG_00004	1
DB_MAG_00005	2
DB_MAG_00006	1
DB_MAG_00007	3
DB_MAG_00008	2
DB_MAG_00009	2
DB_MAG_00010	1
DB_MAG_00011	2
DB_MAG_00012	1
DB_MAG_00013	1
DB_MAG_00014	1
DB_MAG_00015	1
DB_MAG_00016	2
DB_MAG_00017	2
DB_MAG_00018	4
DB_MAG_00019	3
DB_MAG_00020	4
DB_MAG_00021	2
DB_MAG_00022	2
DB_MAG_00023	2
DB_MAG_00024	1
DB_MAG_00025	4
DB_MAG_00026	2
DB_MAG_00027	2
DB_MAG_00028	1
DB_MAG_00029	2
DB_MAG_00030	3
DB_MAG_00031	1
DB_MAG_00032	3
DB_MAG_00033	1
DB_MAG_00034	3
DB_MAG_00035	2
DB_MAG_00036	2
DB_MAG_00037	3
DB_MAG_00038	2
DB_MAG_00039	3
DB_MAG_00040	1
DB_MAG_00041	2
DB_MAG_00042	3
DB_MAG_00043	2
DB_MAG_00044	2
DB_MAG_00045	1
DB_MAG_00046	1
DB_MAG_00047	1
DB_MAG_00048	1
DB_MAG_00049	1
DB_MAG_00050	1
DB_MAG_00051	2
DB_MAG_00052	1
DB_MAG_00053	1
DB_MAG_00054	2
DB_MAG_00055	2
DB_MAG_00056	3
DB_MAG_00057	2
DB_MAG_00058	3
DB_MAG_00059	4
DB_MAG_00060	2
DB_MAG_00061	3
DB_MAG_00062	2
DB_MAG_00063	1
DB_MAG_00064	1
DB_MAG_00065	2
DB_MAG_00066	4
DB_MAG_00067	1
DB_MAG_00068	1
DB_MAG_00069	3
DB_MAG_00070	4
DB_MAG_00071	1
DB_MAG_00072	1
DB_MAG_00073	1
DB_MAG_00074	1
DB_MAG_00075	2
DB_MAG_00076	2
DB_MAG_00077	3
DB_MAG_00078	2
DB_MAG_00079	1
DB_MAG_00080	4
DB_MAG_00081	2
DB_MAG_00082	2
DB_MAG_00083	1
DB_MAG_00084	1
DB_MAG_00085	3
DB_MAG_00086	1
DB_MAG_00087	3
DB_MAG_00088	2
DB_MAG_00089	2
DB_MAG_00090	3
DB_MAG_00091	1
DB_MAG_00092	1
DB_MAG_00093	1
DB_MAG_00094	2
DB_MAG_00095	2
DB_MAG_00096	1
DB_MAG_00097	1
DB_MAG_00098	2
DB_MAG_00099	1
DB_MAG_00100	1
DB_MAG_00101	2
DB_MAG_00102	5
DB_MAG_00103	1
DB_MAG_00104	4
DB_MAG_00105	2
DB_MAG_00106	4
DB_MAG_00107	4
DB_MAG_00108	1
DB_MAG_00109	1
DB_MAG_00110	3
DB_MAG_00111	3
DB_MAG_00112	1
DB_MAG_00113	5
DB_MAG_00114	5
DB_MAG_00115	3
DB_MAG_00116	1
DB_MAG_00117	1
DB_MAG_00118	1
DB_MAG_00119	4
DB_MAG_00120	3
DB_MAG_00121	1
DB_MAG_00122	3
DB_MAG_00123	2
DB_MAG_00124	1
DB_MAG_00125	2
DB_MAG_00126	5
DB_MAG_00127	2
DB_MAG_00128	2
DB_MAG_00129	3
DB_MAG_00130	6
DB_MAG_00131	3
DB_MAG_00132	3
DB_MAG_00133	2
DB_MAG_00134	1
DB_MAG_00135	4
DB_MAG_00136	1
DB_MAG_00137	4
DB_MAG_00138	4
DB_MAG_00139	3
DB_MAG_00140	1
DB_MAG_00141	1
DB_MAG_00142	6
DB_MAG_00143	5
DB_MAG_00144	3
DB_MAG_00145	3
DB_MAG_00146	4
DB_MAG_00147	2
DB_MAG_00148	4
DB_MAG_00149	3
DB_MAG_00150	4
DB_MAG_00151	1
DB_MAG_00152	5
DB_MAG_00153	3
DB_MAG_00154	4
DB_MAG_00155	2
DB_MAG_00156	3
DB_MAG_00157	5
DB_MAG_00158	2
DB_MAG_00159	6
DB_MAG_00160	2
DB_MAG_00161	3
DB_MAG_00162	4
DB_MAG_00163	3
DB_MAG_00164	1
DB_MAG_00165	3
DB_MAG_00166	1
DB_MAG_00167	1
DB_MAG_00168	3
DB_MAG_00169	3
DB_MAG_00170	5
DB_MAG_00171	3
DB_MAG_00172	1
DB_MAG_00173	2
DB_MAG_00174	3
DB_MAG_00175	2
DB_MAG_00176	3
DB_MAG_00177	5
DB_MAG_00178	2
DB_MAG_00179	4
DB_MAG_00180	4
DB_MAG_00181	2
DB_MAG_00182	3
DB_MAG_00183	1
