key	Acidaminococcus	Acinetobacter	Actinomyces	Adlercreutzia	Akkermansia	Alcaligenes	Alistipes	Alloprevotella	Aminipila	Anaerobutyricum	Anaerocolumna	Anaerostipes	Arcobacter	Aspergillus	Atlantibacter	Bacillus	Bacteroides	Barnesiella	Bifidobacterium	Blautia	Brachyspira	Bradyrhizobium	Buchnera	Burkholderia	Butyricimonas	Butyrivibrio	Campylobacter	Candida	Capnocytophaga	Caproiciproducens	Carnobacterium	Cedecea	Cellulosilyticum	Christensenella	Chryseobacterium	Citrobacter	Clostridiaceae bacterium 14S0207	Clostridioides	Clostridium	Collinsella	Corynebacterium	Cronobacter	Cupriavidus	Deinococcus	Desulfovibrio	Dialister	Dickeya	Duncaniella	Dysosmobacter	Eggerthella	Eikenella	Enterobacter	Enterobacteriaceae bacterium strain FGI 57	Enterococcus	Erysipelotrichaceae bacterium GAM147	Escherichia	Eubacterium	Faecalibacterium	Faecalitalea	Finegoldia	Flavobacterium	Flavonifractor	Flintibacter sp. KGMB00164	Fusobacterium	Gemella sanguinis	Gordonibacter	Haemophilus	Hafnia	Hathewaya	Homo	Hungatella	Hydrogenophaga	Hymenobacter	Intestinibaculum	Intestinimonas butyriciproducens	Janibacter	Klebsiella	Kluyvera	Komagataeibacter	Kosakonia	Lachnoanaerobaculum	Lachnoclostridium	Lachnospiraceae bacterium	Lachnospiraceae bacterium Choco86	Lachnospiraceae bacterium GAM79	Lachnospiraceae bacterium KGMB03038	Lachnospiraceae bacterium KM106-2	Lachnospiraceae bacterium oral taxon 500	Lactobacillus	Lactococcus	Leclercia	Lelliottia	Leptotrichia	Longibaculum	Lysinibacillus	Megasphaera	Methanobrevibacter	Microbacterium	Micromonospora	Microvirgula	Mogibacterium	Mordavella	Morganella	Mucilaginibacter	Muribaculaceae bacterium DSM 108610	Muribaculum	Mycoplasma	Nakaseomyces	Neisseria	Novosphingobium	Obesumbacterium	Odoribacter	Olsenella	Oscillibacter	Oxalobacter	Paenibacillus	Paeniclostridium	Parabacteroides	Paraclostridium	Paraprevotella	Pectobacterium	Pediococcus	Pedobacter	Phascolarctobacterium	Plasmodium	Pluralibacter	Polaribacter	Polynucleobacter	Porphyromonas	Prevotella	Proteus	Providencia	Pseudobutyrivibrio	Pseudomonas	Raoultella	Rhodococcus	Roseburia	Rothia	Ruminococcus	Ruthenibacterium	Saccharomyces	Salmonella	Schaalia	Selenomonas	Serratia	Shigella	Sphingobium	Sphingomonas	Sphingopyxis	Spiroplasma	Staphylococcus	Streptococcus	Streptomyces	Sulfolobus	Sutterella	Tannerella	Thermothielavioides	Toxoplasma	Treponema	Turicibacter	Unknown_t_class_Actinobacteria	Unknown_t_class_Alphaproteobacteria	Unknown_t_class_Bacilli	Unknown_t_class_Gammaproteobacteria	Unknown_t_domain_Bacteria	Unknown_t_family_Atopobiaceae	Unknown_t_family_Burkholderiaceae	Unknown_t_family_Burkholderiales bacterium YL45	Unknown_t_family_Clostridiaceae	Unknown_t_family_Clostridiales bacterium CCNA10	Unknown_t_family_Enterobacter virus Eap3	Unknown_t_family_Enterobacteriaceae	Unknown_t_family_Erysipelotrichaceae	Unknown_t_family_Klebsiella virus KP15	Unknown_t_family_Klebsiella virus KP27	Unknown_t_family_Klebsiella virus Matisse	Unknown_t_family_Klebsiella virus PMBT1	Unknown_t_family_Lachnospiraceae	Unknown_t_family_Oscillospiraceae	Unknown_t_family_Peptostreptococcaceae	Unknown_t_family_Sphingomonadaceae	Unknown_t_family_Victivallales bacterium CCUG 44730	Unknown_t_order_Bacillales	Unknown_t_order_Bacteroidales	Unknown_t_order_Clostridiales	Unknown_t_order_Enterobacterales	Unknown_t_order_Lactobacillales	Unknown_t_order_Slopekvirus	Unknown_t_order_uncultured crAssphage	Unknown_t_phylum_Bacteroidetes	Unknown_t_phylum_Firmicutes	Unknown_t_phylum_Proteobacteria	Veillonella	Vibrio	Virgibacillus	Weissella	Xanthomonas	[Clostridium] hiranonis
DA_D_01	0	0	0.0	0	124227	0	330136	0	0	723647	0	3105416	0	0	0	93329	417573	0	91889	2673809	0	0	0	0	0	59568	78166.0	0	0	0.0	0	0	0	50400	0	0	0	204142	225600	24317	0	0	0	0	0	0	0	0.0	45458	158803.0	0.0	0.0	0	32331.0	673959.0	0	377361	2903945	109381	0.0	0	38834	21782	0.0	0	0.0	0	0.0	0	160652	25843	0.0	0	0	0	0.0	0	0	0	0	0.0	448209	53088.0	252887	277622	49385	45284	0	52645	30521.0	0	0.0	0	304973	0	0	0	0	0	0	0.0	45893	0.0	0	0	0	0	0.0	0	0	0	0	0	20583	0	80456	23412.0	0	24394.0	0	0.0	0.0	0	0	24561.0	0	0	0	0	0	0.0	0.0	0.0	54473	0	72553.0	651119	0.0	147129	204939	0.0	0.0	0.0	0	0	0.0	0.0	78340.0	0	0	24119	164335	36247	0	0.0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0	55603	0	0	133980	0	0	0	0	1788369	0	0.0	0	0	0	0	437435	0.0	0	0.0	0	0	185518	32339	0	0	0	0	0	0.0
DA_D_02	0	0	0.0	0	0	0	77324	0	0	520869	17370	2628007	0	0	0	92728	255049	0	33483	3097322	0	0	0	0	0	46095	59593.0	0	0	0.0	0	0	0	40108	17882	0	0	195584	374710	21382	0	0	0	0	0	0	0	0.0	30463	175961.0	0.0	0.0	0	29792.0	370482.0	0	179921	764109	97058	0.0	0	17765	0	22435.0	0	0.0	0	0.0	0	116504	21704	0.0	0	0	0	0.0	0	0	0	0	16491.0	393989	51126.0	255765	209855	45468	43625	0	46228	78346.0	0	0.0	0	178390	0	0	0	0	0	0	0.0	42338	0.0	0	0	0	0	0.0	0	0	0	0	0	0	0	70015	51048.0	0	45833.0	0	0.0	0.0	0	0	26563.0	0	0	0	0	0	0.0	0.0	16900.0	33425	0	27243.0	839369	0.0	54687	86832	0.0	0.0	0.0	0	0	0.0	0.0	32375.0	0	0	28280	254464	24771	0	0.0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0	34422	0	0	150898	0	0	0	0	2118037	0	19468.0	0	0	0	0	302460	0.0	0	0.0	0	0	167248	24112	0	0	0	0	0	37855.0
DA_D_03	0	15148	0.0	0	0	0	92168	0	0	505396	19170	2179197	0	0	0	88927	175990	0	56798	2788484	0	0	0	0	0	52931	65862.0	0	0	0.0	0	0	0	45195	17335	0	0	136451	223746	25215	0	0	0	0	0	0	0	0.0	33257	158444.0	0.0	0.0	0	29154.0	489085.0	0	228488	984614	97501	0.0	0	27989	16802	15771.0	0	0.0	0	0.0	0	100442	24217	0.0	0	0	0	0.0	0	0	0	0	17220.0	420666	54041.0	258882	233355	47808	42496	0	46340	48863.0	0	0.0	0	226753	0	0	0	0	0	0	0.0	44036	0.0	0	0	0	0	0.0	0	0	0	0	0	0	0	79296	0.0	0	0.0	0	0.0	0.0	0	0	19948.0	0	0	0	0	0	0.0	0.0	18957.0	35294	0	14856.0	634718	0.0	111066	93151	0.0	0.0	0.0	0	0	0.0	0.0	15515.0	0	0	22539	185059	30492	0	0.0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0	36881	0	0	133738	0	0	0	0	1231186	0	0.0	0	0	0	0	403090	0.0	0	0.0	0	0	173747	27384	0	15010	0	0	0	0.0
DA_D_04	0	18839	0.0	0	0	0	159409	0	0	548660	22325	1969399	0	0	0	108235	382698	0	50319	2772327	0	0	0	0	0	62390	65253.0	0	0	0.0	0	0	0	52185	21362	0	0	171682	289720	32418	0	0	0	0	0	0	0	0.0	42727	208134.0	0.0	0.0	0	32946.0	692077.0	0	290324	1152880	102352	0.0	0	31646	23734	19898.0	0	0.0	0	0.0	0	119479	26020	0.0	0	0	0	0.0	0	0	0	0	20338.0	459051	58819.0	282103	292314	51931	48725	0	55354	31593.0	0	0.0	0	315940	0	0	0	0	0	0	0.0	47775	0.0	0	0	0	0	0.0	0	0	0	0	0	26399	0	88012	18975.0	0	19868.0	0	0.0	0.0	0	0	21002.0	0	0	0	0	0	0.0	0.0	22949.0	40103	0	0.0	1022561	0.0	237353	170097	0.0	0.0	0.0	0	0	0.0	0.0	0.0	0	0	29101	178008	38132	0	0.0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0	57369	0	0	177126	0	0	0	0	1281901	22181	0.0	0	0	0	0	479953	0.0	0	0.0	0	0	202093	31397	0	17254	0	0	0	0.0
DA_D_05	0	0	0.0	0	37866	0	46941	0	0	491920	0	905564	0	0	0	64531	77311	0	145591	1498352	0	0	0	0	0	36776	50757.0	0	0	14325.0	0	0	0	48023	0	0	0	111187	144087	15940	0	0	0	0	0	0	0	0.0	33918	62644.0	0.0	0.0	0	22535.0	484985.0	0	138477	1424061	113381	0.0	0	13315	14624	0.0	0	0.0	0	0.0	0	104744	18252	0.0	0	0	0	0.0	0	0	0	0	0.0	293427	34452.0	179645	193836	33781	36387	0	38661	0.0	0	0.0	0	227146	0	0	0	0	0	0	0.0	37973	0.0	0	0	0	0	0.0	0	0	0	0	0	16917	0	67807	0.0	0	0.0	0	0.0	0.0	0	0	0.0	0	0	0	0	0	0.0	0.0	0.0	29867	0	0.0	604275	0.0	284659	82299	0.0	0.0	0.0	0	0	0.0	0.0	0.0	0	0	16156	124593	30525	0	0.0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0	39314	0	0	73600	0	0	0	0	3020504	0	0.0	0	0	0	0	303626	0.0	0	0.0	0	0	129529	26062	0	0	0	0	0	0.0
DA_D_06	0	0	0.0	0	446832	0	360655	0	0	528444	19730	1577950	0	0	0	90526	467046	0	699444	2226992	0	0	0	0	0	53387	82536.0	0	0	0.0	0	0	0	66345	18992	0	0	161874	215604	35450	0	0	0	0	0	0	0	0.0	71423	273080.0	0.0	0.0	0	27324.0	371670.0	0	498152	938310	102781	0.0	0	45053	36473	0.0	0	0.0	0	0.0	0	125757	28465	25140.0	0	0	0	0.0	0	0	0	0	18050.0	450527	51230.0	264818	326028	51212	47843	0	57687	25138.0	0	0.0	0	174690	0	0	0	0	0	0	0.0	47834	0.0	0	0	0	0	0.0	0	0	0	0	0	79783	0	85046	0.0	0	0.0	0	0.0	0.0	0	0	29632.0	0	0	0	0	0	0.0	0.0	20813.0	49436	0	0.0	1206645	0.0	388313	162598	0.0	0.0	0.0	0	0	0.0	0.0	0.0	0	0	22054	157137	62157	0	0.0	0	0	0	0	0.0	20882	0	0	0	0	0	0	0.0	0	130848	0	0	67699	0	0	0	0	1594860	86694	0.0	0	0	0	21578	689627	0.0	0	0.0	0	0	171331	41824	0	0	0	0	0	0.0
DA_D_07	0	0	0.0	0	401326	0	246476	0	0	479188	14982	1050143	0	0	0	66928	303913	0	319797	2317836	0	0	0	0	0	40695	45926.0	0	0	0.0	0	0	0	41777	0	0	0	111915	156629	19870	0	0	0	0	0	0	0	0.0	33551	110740.0	0.0	0.0	0	22303.0	749571.0	0	196646	1133047	85698	0.0	0	14689	16102	0.0	0	0.0	0	0.0	0	76914	19538	0.0	0	0	0	0.0	0	0	0	0	0.0	338913	39837.0	203896	195847	37814	34292	0	36061	0.0	0	0.0	0	331427	0	0	0	0	0	0	0.0	35016	0.0	0	0	0	0	0.0	0	0	0	0	0	20953	0	63372	0.0	0	0.0	0	0.0	0.0	0	0	0.0	0	0	0	0	0	0.0	0.0	15435.0	29858	0	0.0	756612	0.0	175353	70965	0.0	0.0	0.0	0	0	0.0	0.0	0.0	0	0	15819	226587	30291	0	0.0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0	44189	0	0	100933	0	0	0	0	1316338	19662	0.0	0	0	0	0	337573	0.0	0	0.0	0	0	127359	24212	0	0	0	0	0	0.0
DA_D_08	0	0	0.0	0	272798	0	127259	0	0	599547	0	1507306	0	0	0	89557	392930	0	655643	3357179	0	0	0	0	0	54282	65013.0	0	0	0.0	0	0	0	79386	0	0	0	163848	200362	24759	0	0	0	0	0	0	0	0.0	54119	156859.0	0.0	0.0	0	30048.0	678752.0	0	200276	2778290	110242	0.0	0	0	26466	0.0	0	0.0	0	0.0	0	96398	27015	0.0	0	0	0	0.0	0	0	0	0	0.0	447364	50492.0	266425	297395	53641	52082	0	58245	41079.0	0	0.0	0	308586	0	0	0	0	0	0	0.0	47963	0.0	0	0	0	0	0.0	0	0	0	0	0	23954	0	90742	0.0	0	0.0	0	0.0	0.0	0	0	0.0	0	0	0	0	0	0.0	0.0	0.0	49890	0	0.0	1518956	0.0	166865	112488	0.0	0.0	0.0	0	0	0.0	0.0	0.0	0	0	21826	260115	56086	0	0.0	0	0	0	0	24744.0	0	0	0	0	0	0	0	0.0	0	58871	0	0	156252	0	0	0	0	3240637	0	0.0	0	0	0	0	442941	0.0	0	0.0	0	0	176449	40240	0	0	0	0	0	0.0
DA_D_09	0	0	0.0	0	1010427	0	310375	0	0	641030	18531	1699071	0	0	0	93741	434540	0	93889	3015323	0	0	0	0	0	53007	54915.0	0	0	0.0	0	0	0	69019	19822	0	0	146534	240439	23599	0	0	0	0	0	0	0	0.0	38074	209195.0	0.0	0.0	0	28731.0	1092849.0	0	188811	1301420	90594	0.0	0	0	0	18865.0	0	0.0	0	0.0	0	142031	21750	0.0	0	0	0	0.0	0	0	0	0	21592.0	377824	49803.0	224276	208346	43352	37427	0	46141	0.0	0	0.0	0	477116	0	0	0	0	0	0	0.0	40523	0.0	0	0	0	0	0.0	0	0	0	0	0	0	0	73677	19374.0	0	19961.0	0	0.0	0.0	0	0	18717.0	0	0	0	0	0	0.0	0.0	18186.0	35424	0	0.0	559829	0.0	122788	133505	0.0	0.0	0.0	0	0	0.0	0.0	0.0	0	0	25455	201081	31657	0	0.0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0	38994	0	0	204672	0	0	0	0	1423580	0	0.0	0	0	0	0	304992	0.0	0	0.0	0	0	163897	27425	0	0	0	0	0	0.0
DA_D_10	0	0	0.0	0	1545893	0	147249	0	0	429951	17594	1076197	0	0	0	104583	180515	0	152649	1930633	0	0	0	0	0	52334	55889.0	0	0	0.0	0	0	0	71645	21490	0	0	159329	272151	24822	0	0	0	0	0	0	0	0.0	41444	103390.0	0.0	0.0	0	30264.0	1194424.0	0	204033	872279	87167	0.0	0	24411	20399	24216.0	0	0.0	0	0.0	0	117597	21852	0.0	0	0	0	0.0	0	0	0	0	19615.0	366815	48292.0	216666	227157	44107	40539	0	55021	0.0	0	0.0	0	535959	0	0	0	0	0	0	0.0	41210	0.0	0	0	0	0	0.0	0	0	0	0	0	27054	0	77685	26649.0	0	27096.0	0	0.0	0.0	0	0	24760.0	0	0	0	0	0	0.0	0.0	17621.0	40054	0	0.0	671271	0.0	829839	218142	0.0	0.0	0.0	0	0	0.0	0.0	0.0	0	0	33346	120736	41810	0	0.0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0	49591	0	0	270541	0	0	0	0	2005941	19180	0.0	0	0	0	0	345186	0.0	0	0.0	0	0	170684	31986	0	0	0	0	0	0.0
