contig	BSCGs
HT_node_117_split_00001	YES
HT_node_121_split_00001	YES
HT_node_1233_split_00001	YES
HT_node_1270_split_00001	YES
HT_node_1281_split_00001	YES
HT_node_164_split_00001	YES
HT_node_1791_split_00001	YES
HT_node_187_split_00001	YES
HT_node_1922_split_00001	YES
HT_node_1935_split_00001	YES
HT_node_1960_split_00001	YES
HT_node_1992_split_00001	YES
HT_node_2067_split_00001	YES
HT_node_2170_split_00001	YES
HT_node_2198_split_00001	YES
HT_node_2240_split_00001	YES
HT_node_2291_split_00001	YES
HT_node_2307_split_00001	YES
HT_node_2340_split_00001	YES
HT_node_2342_split_00001	YES
HT_node_2456_split_00001	YES
HT_node_2465_split_00001	YES
HT_node_2492_split_00001	YES
HT_node_2495_split_00001	YES
HT_node_254_split_00001	YES
HT_node_2585_split_00001	YES
HT_node_2588_split_00001	YES
HT_node_264_split_00001	YES
HT_node_284_split_00001	YES
HT_node_2871_split_00001	YES
HT_node_2886_split_00001	YES
HT_node_2897_split_00001	YES
HT_node_32_split_00001	YES
HT_node_342_split_00001	YES
HT_node_369_split_00001	YES
HT_node_383_split_00001	YES
HT_node_394_split_00001	YES
HT_node_461_split_00001	YES
HT_node_537_split_00001	YES
HT_node_558_split_00001	YES
HT_node_606_split_00001	YES
HT_node_609_split_00001	YES
HT_node_621_split_00001	YES
HT_node_665_split_00001	YES
HT_node_69_split_00001	YES
HT_node_834_split_00001	YES
HT_node_869_split_00001	YES
HT_node_88_split_00001	YES
HT_node_913_split_00001	YES
HT_node_954_split_00001	YES
HT_node_963_split_00001	YES
LT_node_1007_split_00001	YES
LT_node_1068_split_00001	YES
LT_node_1122_split_00001	YES
LT_node_1236_split_00001	YES
LT_node_1302_split_00001	YES
LT_node_1308_split_00001	YES
LT_node_1349_split_00001	YES
LT_node_1523_split_00001	YES
LT_node_1749_split_00001	YES
LT_node_1969_split_00001	YES
LT_node_220_split_00001	YES
LT_node_337_split_00001	YES
LT_node_466_split_00001	YES
LT_node_653_split_00001	YES
LT_node_667_split_00001	YES
LT_node_680_split_00001	YES
LT_node_838_split_00001	YES
PR_node_1016_split_00001	YES
PR_node_1039_split_00001	YES
PR_node_1044_split_00001	YES
PR_node_1058_split_00001	YES
PR_node_1059_split_00001	YES
PR_node_1077_split_00001	YES
PR_node_1095_split_00001	YES
PR_node_1122_split_00001	YES
PR_node_1124_split_00001	YES
PR_node_1142_split_00001	YES
PR_node_1172_split_00001	YES
PR_node_1178_split_00001	YES
PR_node_1180_split_00001	YES
PR_node_1184_split_00001	YES
PR_node_1196_split_00001	YES
PR_node_119_split_00001	YES
PR_node_1218_split_00001	YES
PR_node_1246_split_00001	YES
PR_node_1262_split_00001	YES
PR_node_1285_split_00001	YES
PR_node_1290_split_00001	YES
PR_node_1331_split_00001	YES
PR_node_1372_split_00001	YES
PR_node_1418_split_00001	YES
PR_node_1453_split_00001	YES
PR_node_1459_split_00001	YES
PR_node_1531_split_00001	YES
PR_node_156_split_00001	YES
PR_node_1641_split_00001	YES
PR_node_1669_split_00001	YES
PR_node_173_split_00001	YES
PR_node_1753_split_00001	YES
PR_node_1755_split_00001	YES
PR_node_1773_split_00001	YES
PR_node_1860_split_00001	YES
PR_node_196_split_00001	YES
PR_node_197_split_00001	YES
PR_node_199_split_00001	YES
PR_node_227_split_00001	YES
PR_node_248_split_00001	YES
PR_node_254_split_00001	YES
PR_node_260_split_00001	YES
PR_node_280_split_00001	YES
PR_node_287_split_00001	YES
PR_node_288_split_00001	YES
PR_node_296_split_00001	YES
PR_node_325_split_00001	YES
PR_node_340_split_00001	YES
PR_node_341_split_00001	YES
PR_node_347_split_00001	YES
PR_node_356_split_00001	YES
PR_node_382_split_00001	YES
PR_node_444_split_00001	YES
PR_node_449_split_00001	YES
PR_node_450_split_00001	YES
PR_node_46_split_00001	YES
PR_node_48_split_00001	YES
PR_node_507_split_00001	YES
PR_node_515_split_00001	YES
PR_node_52_split_00001	YES
PR_node_536_split_00001	YES
PR_node_569_split_00001	YES
PR_node_581_split_00001	YES
PR_node_583_split_00001	YES
PR_node_587_split_00001	YES
PR_node_60_split_00001	YES
PR_node_652_split_00001	YES
PR_node_674_split_00001	YES
PR_node_743_split_00001	YES
PR_node_827_split_00001	YES
PR_node_869_split_00001	YES
PR_node_877_split_00001	YES
PR_node_888_split_00001	YES
PR_node_901_split_00001	YES
PR_node_905_split_00001	YES
PR_node_92_split_00001	YES
PR_node_940_split_00001	YES
PR_node_973_split_00001	YES
PR_node_977_split_00001	YES
cluster_207_split_00001	YES
cluster_404_split_00001	YES
cluster_60_split_00001	YES
