gene_callers_id	detection
37323	DETECTED
37324	DETECTED
37325	DETECTED
37326	DETECTED
37327	NOT DETECTED
37328	DETECTED
37329	DETECTED
37330	DETECTED
37331	DETECTED
37332	DETECTED
37333	DETECTED
37334	DETECTED
37335	DETECTED
37336	DETECTED
37337	DETECTED
37338	DETECTED
37339	DETECTED
37340	DETECTED
37341	DETECTED
37342	DETECTED
37343	DETECTED
37344	DETECTED
37345	DETECTED
37346	DETECTED
37347	DETECTED
37348	DETECTED
37349	DETECTED
37350	DETECTED
37351	DETECTED
37352	DETECTED
37353	DETECTED
37354	DETECTED
37355	NOT DETECTED
37356	DETECTED
37357	DETECTED
37358	DETECTED
37359	DETECTED
37360	DETECTED
37361	DETECTED
37362	DETECTED
37363	DETECTED
37364	DETECTED
37365	DETECTED
37366	DETECTED
37367	DETECTED
37368	DETECTED
37369	DETECTED
37370	DETECTED
37371	DETECTED
37372	DETECTED
37373	DETECTED
37374	DETECTED
37375	DETECTED
37376	DETECTED
37377	DETECTED
37378	DETECTED
37379	DETECTED
37380	DETECTED
37381	DETECTED
37382	DETECTED
37383	DETECTED
37384	DETECTED
37385	DETECTED
37386	DETECTED
37387	DETECTED
37388	DETECTED
37389	DETECTED
37390	DETECTED
37391	DETECTED
37392	DETECTED
37393	DETECTED
37394	DETECTED
37395	DETECTED
37396	DETECTED
37397	DETECTED
37398	DETECTED
37399	DETECTED
37400	DETECTED
37401	DETECTED
37402	DETECTED
37403	DETECTED
37404	DETECTED
37405	DETECTED
37406	NOT DETECTED
37407	DETECTED
37408	DETECTED
37409	DETECTED
37410	DETECTED
37411	DETECTED
37412	DETECTED
37413	DETECTED
37414	DETECTED
37415	DETECTED
37416	DETECTED
37417	DETECTED
37418	DETECTED
37419	DETECTED
37420	DETECTED
37421	DETECTED
37422	DETECTED
37423	DETECTED
37424	DETECTED
37425	DETECTED
37426	DETECTED
37427	DETECTED
37428	DETECTED
37429	DETECTED
37430	DETECTED
37431	DETECTED
37432	DETECTED
37433	DETECTED
37434	DETECTED
37435	DETECTED
37436	DETECTED
37437	DETECTED
37438	DETECTED
37439	DETECTED
37440	DETECTED
37441	DETECTED
37442	DETECTED
37443	DETECTED
37444	DETECTED
37445	DETECTED
37446	DETECTED
37447	DETECTED
37448	DETECTED
37449	DETECTED
37450	DETECTED
37451	DETECTED
37452	DETECTED
37453	DETECTED
37454	DETECTED
37455	DETECTED
37456	DETECTED
37457	DETECTED
37458	DETECTED
37459	DETECTED
37460	DETECTED
37461	DETECTED
37462	DETECTED
37463	DETECTED
37464	DETECTED
37465	DETECTED
37466	DETECTED
37467	DETECTED
37468	DETECTED
37469	DETECTED
37470	DETECTED
37471	DETECTED
37472	DETECTED
37473	DETECTED
37474	DETECTED
37475	DETECTED
37476	DETECTED
37477	DETECTED
37478	DETECTED
37479	DETECTED
37480	DETECTED
37481	DETECTED
37482	DETECTED
37483	DETECTED
37484	NOT DETECTED
37485	DETECTED
37486	DETECTED
37487	NOT DETECTED
37488	NOT DETECTED
37489	NOT DETECTED
37490	NOT DETECTED
37491	DETECTED
37492	DETECTED
37493	NOT DETECTED
37494	DETECTED
37495	DETECTED
37496	DETECTED
37497	DETECTED
37498	DETECTED
37499	DETECTED
37500	DETECTED
37501	DETECTED
37502	DETECTED
37503	DETECTED
37504	DETECTED
37505	DETECTED
37506	DETECTED
37507	DETECTED
37508	DETECTED
37509	DETECTED
37510	DETECTED
37511	DETECTED
37512	DETECTED
37513	DETECTED
37514	DETECTED
37515	DETECTED
37516	DETECTED
37517	NOT DETECTED
37518	DETECTED
37519	DETECTED
37520	DETECTED
37521	DETECTED
37522	DETECTED
37523	DETECTED
37524	DETECTED
37525	DETECTED
37526	DETECTED
37527	DETECTED
37528	DETECTED
37529	DETECTED
37530	DETECTED
37531	DETECTED
37532	DETECTED
37533	DETECTED
37534	DETECTED
37535	NOT DETECTED
37536	DETECTED
37537	DETECTED
37538	DETECTED
37539	DETECTED
37540	DETECTED
37541	DETECTED
37542	DETECTED
37543	DETECTED
37544	DETECTED
37545	DETECTED
37546	DETECTED
37547	DETECTED
37548	DETECTED
37549	DETECTED
37550	DETECTED
37551	DETECTED
37552	DETECTED
37553	DETECTED
37554	DETECTED
37555	DETECTED
37556	NOT DETECTED
37557	DETECTED
37558	DETECTED
37559	DETECTED
37560	DETECTED
37561	DETECTED
37562	DETECTED
37563	DETECTED
37564	DETECTED
37565	DETECTED
37566	DETECTED
37567	DETECTED
37568	NOT DETECTED
37569	DETECTED
37570	DETECTED
37571	DETECTED
37572	DETECTED
37573	DETECTED
37574	DETECTED
37575	NOT DETECTED
37576	DETECTED
37577	NOT DETECTED
37578	NOT DETECTED
37579	NOT DETECTED
37580	NOT DETECTED
37581	NOT DETECTED
37582	NOT DETECTED
37583	NOT DETECTED
37584	NOT DETECTED
37585	DETECTED
37586	DETECTED
37587	DETECTED
37588	NOT DETECTED
37589	DETECTED
37590	DETECTED
37591	NOT DETECTED
37592	DETECTED
37593	DETECTED
37594	DETECTED
37595	DETECTED
37596	DETECTED
37597	DETECTED
37598	DETECTED
37599	NOT DETECTED
37600	DETECTED
37601	DETECTED
37602	DETECTED
37603	DETECTED
37604	DETECTED
37605	DETECTED
37606	DETECTED
37607	DETECTED
37608	DETECTED
37609	DETECTED
37610	DETECTED
37611	DETECTED
37612	DETECTED
37613	DETECTED
37614	DETECTED
37615	DETECTED
37616	DETECTED
37617	NOT DETECTED
37618	DETECTED
37619	DETECTED
37620	DETECTED
37621	DETECTED
37622	DETECTED
37623	DETECTED
37624	NOT DETECTED
37625	DETECTED
37626	DETECTED
37627	DETECTED
37628	DETECTED
37629	NOT DETECTED
37630	DETECTED
37631	DETECTED
37632	DETECTED
37633	DETECTED
37634	DETECTED
37635	DETECTED
37636	DETECTED
37637	DETECTED
37638	DETECTED
37639	DETECTED
37640	DETECTED
37641	DETECTED
37642	DETECTED
37643	DETECTED
