sample	r1	r2
Espinoza_0001	01_RAW_FASTQ/SRR6865436_pass_1.fastq.gz	01_RAW_FASTQ/SRR6865436_pass_2.fastq.gz
Espinoza_0002	01_RAW_FASTQ/SRR6865437_pass_1.fastq.gz	01_RAW_FASTQ/SRR6865437_pass_2.fastq.gz
Espinoza_0003	01_RAW_FASTQ/SRR6865438_pass_1.fastq.gz	01_RAW_FASTQ/SRR6865438_pass_2.fastq.gz
Espinoza_0004	01_RAW_FASTQ/SRR6865439_pass_1.fastq.gz	01_RAW_FASTQ/SRR6865439_pass_2.fastq.gz
Espinoza_0005	01_RAW_FASTQ/SRR6865440_pass_1.fastq.gz	01_RAW_FASTQ/SRR6865440_pass_2.fastq.gz
Espinoza_0006	01_RAW_FASTQ/SRR6865441_pass_1.fastq.gz	01_RAW_FASTQ/SRR6865441_pass_2.fastq.gz
Espinoza_0007	01_RAW_FASTQ/SRR6865442_pass_1.fastq.gz	01_RAW_FASTQ/SRR6865442_pass_2.fastq.gz
Espinoza_0008	01_RAW_FASTQ/SRR6865443_pass_1.fastq.gz	01_RAW_FASTQ/SRR6865443_pass_2.fastq.gz
Espinoza_0009	01_RAW_FASTQ/SRR6865444_pass_1.fastq.gz	01_RAW_FASTQ/SRR6865444_pass_2.fastq.gz
Espinoza_0010	01_RAW_FASTQ/SRR6865445_pass_1.fastq.gz	01_RAW_FASTQ/SRR6865445_pass_2.fastq.gz
Espinoza_0011	01_RAW_FASTQ/SRR6865446_pass_1.fastq.gz	01_RAW_FASTQ/SRR6865446_pass_2.fastq.gz
Espinoza_0012	01_RAW_FASTQ/SRR6865447_pass_1.fastq.gz	01_RAW_FASTQ/SRR6865447_pass_2.fastq.gz
Espinoza_0013	01_RAW_FASTQ/SRR6865448_pass_1.fastq.gz	01_RAW_FASTQ/SRR6865448_pass_2.fastq.gz
Espinoza_0014	01_RAW_FASTQ/SRR6865449_pass_1.fastq.gz	01_RAW_FASTQ/SRR6865449_pass_2.fastq.gz
Espinoza_0015	01_RAW_FASTQ/SRR6865450_pass_1.fastq.gz	01_RAW_FASTQ/SRR6865450_pass_2.fastq.gz
Espinoza_0016	01_RAW_FASTQ/SRR6865451_pass_1.fastq.gz	01_RAW_FASTQ/SRR6865451_pass_2.fastq.gz
Espinoza_0017	01_RAW_FASTQ/SRR6865452_pass_1.fastq.gz	01_RAW_FASTQ/SRR6865452_pass_2.fastq.gz
Espinoza_0018	01_RAW_FASTQ/SRR6865453_pass_1.fastq.gz	01_RAW_FASTQ/SRR6865453_pass_2.fastq.gz
Espinoza_0019	01_RAW_FASTQ/SRR6865454_pass_1.fastq.gz	01_RAW_FASTQ/SRR6865454_pass_2.fastq.gz
Espinoza_0020	01_RAW_FASTQ/SRR6865455_pass_1.fastq.gz	01_RAW_FASTQ/SRR6865455_pass_2.fastq.gz
Espinoza_0021	01_RAW_FASTQ/SRR6865456_pass_1.fastq.gz	01_RAW_FASTQ/SRR6865456_pass_2.fastq.gz
Espinoza_0022	01_RAW_FASTQ/SRR6865457_pass_1.fastq.gz	01_RAW_FASTQ/SRR6865457_pass_2.fastq.gz
Espinoza_0023	01_RAW_FASTQ/SRR6865458_pass_1.fastq.gz	01_RAW_FASTQ/SRR6865458_pass_2.fastq.gz
Espinoza_0024	01_RAW_FASTQ/SRR6865459_pass_1.fastq.gz	01_RAW_FASTQ/SRR6865459_pass_2.fastq.gz
Espinoza_0025	01_RAW_FASTQ/SRR6865460_pass_1.fastq.gz	01_RAW_FASTQ/SRR6865460_pass_2.fastq.gz
Espinoza_0026	01_RAW_FASTQ/SRR6865461_pass_1.fastq.gz	01_RAW_FASTQ/SRR6865461_pass_2.fastq.gz
Espinoza_0027	01_RAW_FASTQ/SRR6865462_pass_1.fastq.gz	01_RAW_FASTQ/SRR6865462_pass_2.fastq.gz
Espinoza_0028	01_RAW_FASTQ/SRR6865463_pass_1.fastq.gz	01_RAW_FASTQ/SRR6865463_pass_2.fastq.gz
Espinoza_0029	01_RAW_FASTQ/SRR6865464_pass_1.fastq.gz	01_RAW_FASTQ/SRR6865464_pass_2.fastq.gz
Espinoza_0030	01_RAW_FASTQ/SRR6865465_pass_1.fastq.gz	01_RAW_FASTQ/SRR6865465_pass_2.fastq.gz
Espinoza_0031	01_RAW_FASTQ/SRR6865466_pass_1.fastq.gz	01_RAW_FASTQ/SRR6865466_pass_2.fastq.gz
Espinoza_0032	01_RAW_FASTQ/SRR6865467_pass_1.fastq.gz	01_RAW_FASTQ/SRR6865467_pass_2.fastq.gz
Espinoza_0033	01_RAW_FASTQ/SRR6865468_pass_1.fastq.gz	01_RAW_FASTQ/SRR6865468_pass_2.fastq.gz
Espinoza_0034	01_RAW_FASTQ/SRR6865469_pass_1.fastq.gz	01_RAW_FASTQ/SRR6865469_pass_2.fastq.gz
Espinoza_0035	01_RAW_FASTQ/SRR6865470_pass_1.fastq.gz	01_RAW_FASTQ/SRR6865470_pass_2.fastq.gz
Espinoza_0036	01_RAW_FASTQ/SRR6865471_pass_1.fastq.gz	01_RAW_FASTQ/SRR6865471_pass_2.fastq.gz
Espinoza_0037	01_RAW_FASTQ/SRR6865472_pass_1.fastq.gz	01_RAW_FASTQ/SRR6865472_pass_2.fastq.gz
Espinoza_0038	01_RAW_FASTQ/SRR6865473_pass_1.fastq.gz	01_RAW_FASTQ/SRR6865473_pass_2.fastq.gz
Espinoza_0039	01_RAW_FASTQ/SRR6865474_pass_1.fastq.gz	01_RAW_FASTQ/SRR6865474_pass_2.fastq.gz
Espinoza_0040	01_RAW_FASTQ/SRR6865475_pass_1.fastq.gz	01_RAW_FASTQ/SRR6865475_pass_2.fastq.gz
Espinoza_0041	01_RAW_FASTQ/SRR6865476_pass_1.fastq.gz	01_RAW_FASTQ/SRR6865476_pass_2.fastq.gz
Espinoza_0042	01_RAW_FASTQ/SRR6865477_pass_1.fastq.gz	01_RAW_FASTQ/SRR6865477_pass_2.fastq.gz
Espinoza_0043	01_RAW_FASTQ/SRR6865478_pass_1.fastq.gz	01_RAW_FASTQ/SRR6865478_pass_2.fastq.gz
Espinoza_0044	01_RAW_FASTQ/SRR6865479_pass_1.fastq.gz	01_RAW_FASTQ/SRR6865479_pass_2.fastq.gz
Espinoza_0045	01_RAW_FASTQ/SRR6865480_pass_1.fastq.gz	01_RAW_FASTQ/SRR6865480_pass_2.fastq.gz
Espinoza_0046	01_RAW_FASTQ/SRR6865481_pass_1.fastq.gz	01_RAW_FASTQ/SRR6865481_pass_2.fastq.gz
Espinoza_0047	01_RAW_FASTQ/SRR6865482_pass_1.fastq.gz	01_RAW_FASTQ/SRR6865482_pass_2.fastq.gz
Espinoza_0048	01_RAW_FASTQ/SRR6865483_pass_1.fastq.gz	01_RAW_FASTQ/SRR6865483_pass_2.fastq.gz
Espinoza_0049	01_RAW_FASTQ/SRR6865484_pass_1.fastq.gz	01_RAW_FASTQ/SRR6865484_pass_2.fastq.gz
Espinoza_0050	01_RAW_FASTQ/SRR6865485_pass_1.fastq.gz	01_RAW_FASTQ/SRR6865485_pass_2.fastq.gz
Espinoza_0051	01_RAW_FASTQ/SRR6865486_pass_1.fastq.gz	01_RAW_FASTQ/SRR6865486_pass_2.fastq.gz
Espinoza_0052	01_RAW_FASTQ/SRR6865487_pass_1.fastq.gz	01_RAW_FASTQ/SRR6865487_pass_2.fastq.gz
Espinoza_0053	01_RAW_FASTQ/SRR6865488_pass_1.fastq.gz	01_RAW_FASTQ/SRR6865488_pass_2.fastq.gz
Espinoza_0054	01_RAW_FASTQ/SRR6865489_pass_1.fastq.gz	01_RAW_FASTQ/SRR6865489_pass_2.fastq.gz
Espinoza_0055	01_RAW_FASTQ/SRR6865490_pass_1.fastq.gz	01_RAW_FASTQ/SRR6865490_pass_2.fastq.gz
Espinoza_0056	01_RAW_FASTQ/SRR6865491_pass_1.fastq.gz	01_RAW_FASTQ/SRR6865491_pass_2.fastq.gz
Espinoza_0057	01_RAW_FASTQ/SRR6865492_pass_1.fastq.gz	01_RAW_FASTQ/SRR6865492_pass_2.fastq.gz
Espinoza_0058	01_RAW_FASTQ/SRR6865493_pass_1.fastq.gz	01_RAW_FASTQ/SRR6865493_pass_2.fastq.gz
Espinoza_0059	01_RAW_FASTQ/SRR6865494_pass_1.fastq.gz	01_RAW_FASTQ/SRR6865494_pass_2.fastq.gz
Espinoza_0060	01_RAW_FASTQ/SRR6865495_pass_1.fastq.gz	01_RAW_FASTQ/SRR6865495_pass_2.fastq.gz
Espinoza_0061	01_RAW_FASTQ/SRR6865496_pass_1.fastq.gz	01_RAW_FASTQ/SRR6865496_pass_2.fastq.gz
Espinoza_0062	01_RAW_FASTQ/SRR6865497_pass_1.fastq.gz	01_RAW_FASTQ/SRR6865497_pass_2.fastq.gz
Espinoza_0063	01_RAW_FASTQ/SRR6865498_pass_1.fastq.gz	01_RAW_FASTQ/SRR6865498_pass_2.fastq.gz
Espinoza_0064	01_RAW_FASTQ/SRR6865499_pass_1.fastq.gz	01_RAW_FASTQ/SRR6865499_pass_2.fastq.gz
Espinoza_0065	01_RAW_FASTQ/SRR6865500_pass_1.fastq.gz	01_RAW_FASTQ/SRR6865500_pass_2.fastq.gz
Espinoza_0066	01_RAW_FASTQ/SRR6865501_pass_1.fastq.gz	01_RAW_FASTQ/SRR6865501_pass_2.fastq.gz
Espinoza_0067	01_RAW_FASTQ/SRR6865502_pass_1.fastq.gz	01_RAW_FASTQ/SRR6865502_pass_2.fastq.gz
Espinoza_0068	01_RAW_FASTQ/SRR6865503_pass_1.fastq.gz	01_RAW_FASTQ/SRR6865503_pass_2.fastq.gz
Espinoza_0069	01_RAW_FASTQ/SRR6865504_pass_1.fastq.gz	01_RAW_FASTQ/SRR6865504_pass_2.fastq.gz
Espinoza_0070	01_RAW_FASTQ/SRR6865505_pass_1.fastq.gz	01_RAW_FASTQ/SRR6865505_pass_2.fastq.gz
Espinoza_0071	01_RAW_FASTQ/SRR6865506_pass_1.fastq.gz	01_RAW_FASTQ/SRR6865506_pass_2.fastq.gz
Espinoza_0072	01_RAW_FASTQ/SRR6865507_pass_1.fastq.gz	01_RAW_FASTQ/SRR6865507_pass_2.fastq.gz
Espinoza_0073	01_RAW_FASTQ/SRR6865508_pass_1.fastq.gz	01_RAW_FASTQ/SRR6865508_pass_2.fastq.gz
Espinoza_0074	01_RAW_FASTQ/SRR6865509_pass_1.fastq.gz	01_RAW_FASTQ/SRR6865509_pass_2.fastq.gz
Espinoza_0075	01_RAW_FASTQ/SRR6865510_pass_1.fastq.gz	01_RAW_FASTQ/SRR6865510_pass_2.fastq.gz
Espinoza_0076	01_RAW_FASTQ/SRR6865511_pass_1.fastq.gz	01_RAW_FASTQ/SRR6865511_pass_2.fastq.gz
Espinoza_0077	01_RAW_FASTQ/SRR6865512_pass_1.fastq.gz	01_RAW_FASTQ/SRR6865512_pass_2.fastq.gz
Espinoza_0078	01_RAW_FASTQ/SRR6865513_pass_1.fastq.gz	01_RAW_FASTQ/SRR6865513_pass_2.fastq.gz
Espinoza_0079	01_RAW_FASTQ/SRR6865514_pass_1.fastq.gz	01_RAW_FASTQ/SRR6865514_pass_2.fastq.gz
Espinoza_0080	01_RAW_FASTQ/SRR6865515_pass_1.fastq.gz	01_RAW_FASTQ/SRR6865515_pass_2.fastq.gz
Espinoza_0081	01_RAW_FASTQ/SRR6865516_pass_1.fastq.gz	01_RAW_FASTQ/SRR6865516_pass_2.fastq.gz
Espinoza_0082	01_RAW_FASTQ/SRR6865517_pass_1.fastq.gz	01_RAW_FASTQ/SRR6865517_pass_2.fastq.gz
Espinoza_0083	01_RAW_FASTQ/SRR6865518_pass_1.fastq.gz	01_RAW_FASTQ/SRR6865518_pass_2.fastq.gz
Espinoza_0084	01_RAW_FASTQ/SRR6865519_pass_1.fastq.gz	01_RAW_FASTQ/SRR6865519_pass_2.fastq.gz
Espinoza_0085	01_RAW_FASTQ/SRR6865520_pass_1.fastq.gz	01_RAW_FASTQ/SRR6865520_pass_2.fastq.gz
Espinoza_0086	01_RAW_FASTQ/SRR6865521_pass_1.fastq.gz	01_RAW_FASTQ/SRR6865521_pass_2.fastq.gz
Espinoza_0087	01_RAW_FASTQ/SRR6865522_pass_1.fastq.gz	01_RAW_FASTQ/SRR6865522_pass_2.fastq.gz
Espinoza_0088	01_RAW_FASTQ/SRR6865523_pass_1.fastq.gz	01_RAW_FASTQ/SRR6865523_pass_2.fastq.gz
