	SAR11_RED_32_80M_BOWTIE2	SAR11_IOS_57_05M_BOWTIE2	SAR11_IOS_56_05M_BOWTIE2	SAR11_IOS_52_75M_BOWTIE2	SAR11_PON_140_05M_BOWTIE2	SAR11_ANW_146_05M_BOWTIE2	SAR11_PSW_128_05M_BOWTIE2	SAR11_ION_41_60M_BOWTIE2	SAR11_IOS_65_05M_BOWTIE2	SAR11_ANE_151_05M_BOWTIE2	SAR11_ION_39_25M_BOWTIE2	SAR11_PSE_100_50M_BOWTIE2	SAR11_ANW_141_05M_BOWTIE2	SAR11_PSW_122_05M_BOWTIE2	SAR11_ANE_151_80M_BOWTIE2	SAR11_PON_132_05M_BOWTIE2	SAR11_PSW_124_05M_BOWTIE2	SAR11_IOS_52_05M_BOWTIE2	SAR11_ASE_68_05M_BOWTIE2	SAR11_ION_38_05M_BOWTIE2	SAR11_IOS_64_65M_BOWTIE2	SAR11_ION_38_25M_BOWTIE2	SAR11_ION_36_17M_BOWTIE2	SAR11_ASW_78_05M_BOWTIE2	SAR11_RED_31_05M_BOWTIE2	SAR11_ION_41_05M_BOWTIE2	SAR11_ASE_68_50M_BOWTIE2	SAR11_PSE_109_05M_BOWTIE2	SAR11_ANE_150_05M_BOWTIE2	SAR11_ANW_149_05M_BOWTIE2	SAR11_IOS_64_05M_BOWTIE2	SAR11_PSE_94_05M_BOWTIE2	SAR11_IOS_65_30M_BOWTIE2	SAR11_IOS_58_66M_BOWTIE2	SAR11_RED_34_60M_BOWTIE2	SAR11_ANW_148_05M_BOWTIE2	SAR11_ASE_66_30M_BOWTIE2	SAR11_ANE_150_40M_BOWTIE2	SAR11_ASW_76_05M_BOWTIE2	SAR11_RED_33_05M_BOWTIE2	SAR11_ION_36_05M_BOWTIE2	SAR11_RED_32_05M_BOWTIE2	SAR11_PSE_102_05M_BOWTIE2	SAR11_ANE_152_05M_BOWTIE2	SAR11_ANW_145_05M_BOWTIE2	SAR11_PSW_123_05M_BOWTIE2	SAR11_PON_138_05M_BOWTIE2	SAR11_PSE_109_30M_BOWTIE2	SAR11_PSE_111_05M_BOWTIE2	SAR11_PSE_110_05M_BOWTIE2	SAR11_IOS_62_05M_BOWTIE2	SAR11_PON_138_60M_BOWTIE2	SAR11_ANE_004_05M_BOWTIE2	SAR11_PSW_125_05M_BOWTIE2	SAR11_ANW_142_05M_BOWTIE2	SAR11_PON_137_05M_BOWTIE2	SAR11_MED_18_05M_BOWTIE2	SAR11_ASE_70_05M_BOWTIE2	SAR11_PSE_100_05M_BOWTIE2	SAR11_PSE_93_05M_BOWTIE2	SAR11_ASW_72_100M_BOWTIE2	SAR11_PSE_111_90M_BOWTIE2	SAR11_ION_42_05M_BOWTIE2	SAR11_RED_34_05M_BOWTIE2	SAR11_ASE_66_05M_BOWTIE2	SAR11_ANE_004_40M_BOWTIE2	SAR11_PSE_102_40M_BOWTIE2	SAR11_ION_42_80M_BOWTIE2	SAR11_ION_48_05M_BOWTIE2	SAR11_ION_45_05M_BOWTIE2	SAR11_MED_18_60M_BOWTIE2	SAR11_ASW_72_05M_BOWTIE2	SAR11_PSW_128_40M_BOWTIE2	SAR11_PSE_110_50M_BOWTIE2
SAR11_RED_32_80M_BOWTIE2	0.0	0.0905619929304512	0.08241692331495809	0.09829898847052343	0.13998987766639548	0.09027098940834166	0.18988338155444573	0.1005692041803995	0.08363910122546692	0.13634331262818833	0.12462195160907485	0.18819821828135985	0.15438320646885273	0.23089496550853295	0.13979003808183788	0.16518746228774206	0.22880307567690394	0.0961861573459809	0.13032013359079442	0.12781722136068296	0.08808431761988489	0.11227981690363631	0.1378068272252121	0.09430498193444259	0.06098721425437437	0.08471287555498641	0.13098242504077795	0.12407217288630112	0.11475423521407813	0.089981678907884	0.08149398458552504	0.22585287074560356	0.0862337737053459	0.08598165066888852	0.09060895062822205	0.09252643402292116	0.09577003495261027	0.10969393321563825	0.149405734942182	0.12808043969109895	0.1350205397287575	0.06693249578294547	0.1658281387034889	0.19925515456214415	0.10508472778231781	0.22835395291089777	0.14649444664171807	0.15201673342043198	0.21515188899445759	0.15974454011348715	0.09275869177876417	0.1576214058834361	0.15398648783506963	0.23249310552030278	0.09442981168240616	0.12112945786430618	0.20123593443825805	0.14781856472877264	0.2173226120968027	0.2577735764112238	0.11151880269546421	0.1961658227139098	0.08618663450812025	0.14199627338778809	0.09160304314900913	0.1458463166086147	0.1636423549129895	0.08296432989002556	0.13448619561872732	0.09601545370579867	0.2071775135077628	0.09447520259563269	0.1834623465922014	0.1584726318418438
SAR11_IOS_57_05M_BOWTIE2	0.0905619929304512	0.0	0.03482287773445769	0.10406580811647648	0.08925480429055788	0.08405751148941787	0.1944673206150963	0.0629964928211828	0.04269921942773203	0.13517092746681603	0.07499371779230513	0.1921558902937741	0.09848871479110566	0.23415364128545957	0.13973782218680886	0.16956520636327377	0.23440583749483446	0.09715638062344967	0.1313556772243326	0.08922809683496125	0.0757005185354992	0.071009605728373	0.09571014150260881	0.0942419795794679	0.0726926077925315	0.045711341104972436	0.12981015953179376	0.11345993827059575	0.11109252609061249	0.08142706346053086	0.06883261835813315	0.2266508767781199	0.04261251122148768	0.029980473870726665	0.10292605920552689	0.08951143866604061	0.0736881917407588	0.10680124354888787	0.1577842340517165	0.08761993529481649	0.09265436275561223	0.06787912882520064	0.15935516944551464	0.20398422431969176	0.07484316547799319	0.23167217612137847	0.14627050617107829	0.1486764721324082	0.2172615590800624	0.15745827896702258	0.03374185491138848	0.1561173398597746	0.15848989301850103	0.2366696484361811	0.09714407375845091	0.1171053759015751	0.2023067234596676	0.15101158555105365	0.2213040256588712	0.25967286776948306	0.1215917033796502	0.20112430074562326	0.0456767485548254	0.09977725753204436	0.06793854032023583	0.14828599067469972	0.15677565130214055	0.06200590878149448	0.1341784650691008	0.09095495841841639	0.20721660599096303	0.09944401330401709	0.1894606765873167	0.15889024215768754
SAR11_IOS_56_05M_BOWTIE2	0.08241692331495809	0.03482287773445769	0.0	0.09026606689545258	0.10637774833457392	0.0734056053131047	0.17890309318077868	0.06849441742792106	0.040554624514918425	0.1255211383967183	0.09061849998656035	0.18082175293532077	0.11961250370010279	0.22123357646232022	0.13106313805751513	0.1553113940162253	0.22124137393311494	0.08402107723342334	0.12251511720140518	0.10062080336018464	0.06466824801631343	0.08090478634748133	0.11041313863961566	0.08229502517018839	0.07040061865146874	0.04516730146220227	0.12151244568416764	0.10604738371459954	0.1022501132197523	0.07444677483197448	0.05575912962840135	0.21716564197230181	0.04039520853711265	0.034683209600535725	0.09759669065536636	0.07904076437104446	0.06780143263654537	0.09844465747633357	0.14306444856874212	0.10534968901612007	0.1078972923573458	0.06791335152338551	0.15065426093520173	0.19434534549020732	0.07959345346296565	0.21928969673317122	0.1318234035888416	0.13623540814661872	0.20662657020700503	0.1453310336686049	0.044110227970151294	0.14418891563832636	0.1474942560261292	0.22432078738249295	0.08459361350284422	0.10690861042864563	0.19369992033847683	0.13875010604248816	0.20929507756139698	0.2520713199683	0.10593216055549437	0.18865004295126153	0.04631463572471595	0.11631483169283796	0.061919560819977404	0.13716905813224156	0.1489153485305288	0.06042565261745747	0.1177052806633272	0.07747075473603615	0.19988912369403877	0.0845328164727771	0.17533254535216936	0.14527622702515708
SAR11_IOS_52_75M_BOWTIE2	0.09829898847052343	0.10406580811647648	0.09026606689545258	0.0	0.16837258194320448	0.06692508051430701	0.14100739300681175	0.12292419051470516	0.09034829769045072	0.10709295769623262	0.15867197444118641	0.1412679726973446	0.18330729187497552	0.18640415960011159	0.10872471013868734	0.12346112606434168	0.1836128560200545	0.050944621751513486	0.09719783630939183	0.16304338582580968	0.06432758101019231	0.14183634648175436	0.17098822555918192	0.06416203115991936	0.11197799974040668	0.10318208229046877	0.09786653461442085	0.11762505424163494	0.08654929579896697	0.0827713097652314	0.05432480625780445	0.18693159381831115	0.09049068148657868	0.09738948237284406	0.09045176246301823	0.06910234380792923	0.08845449371613545	0.0825357081849808	0.11382292517766945	0.16984183078488868	0.16832770699506816	0.11762346506014776	0.14703207510322336	0.1670120537532246	0.12164713342007216	0.18234802750193746	0.09790144320425465	0.11711903943978452	0.16785662331284157	0.11297821388976725	0.11432319264695179	0.10758012709286568	0.12109536097756979	0.187921710889984	0.06697686149910909	0.098101360207977	0.16882691851664633	0.10316832759335359	0.17232961727666507	0.22890946870896822	0.05462826594441972	0.14842423753693224	0.10258493288782444	0.1794425338438349	0.09102288500930522	0.10525058995387193	0.14449334644460676	0.09707544443154414	0.09144948296890087	0.0762438305654134	0.17360629879694633	0.06144644452489301	0.13321433970223673	0.11452057516599068
SAR11_PON_140_05M_BOWTIE2	0.13998987766639548	0.08925480429055788	0.10637774833457392	0.16837258194320448	0.0	0.1335801557043469	0.23018648647193474	0.07650083244780181	0.09953762238853348	0.16159915887012977	0.0590336488394102	0.22009765476510168	0.07794996443693458	0.26764163989118084	0.16516144957920742	0.22628609914483322	0.2688471461631925	0.15796167386011706	0.16499909951856573	0.05712202510336073	0.1421408432446033	0.06620644583505253	0.055884690963036165	0.14913922558389492	0.11727733806949792	0.10109803602215872	0.16678524980287757	0.11335611944825452	0.1436490736930407	0.11868856897864932	0.13417592556740665	0.25107819367925266	0.10073067437784788	0.09046139133168607	0.14068803962362586	0.1393854502239793	0.1102502400433839	0.1438988575116178	0.21311025370373982	0.07038469018550064	0.05841278149278473	0.10395565241611926	0.1594803228618299	0.22583932655276617	0.08559113414299857	0.2657755546695898	0.19027223591870146	0.1671293703774498	0.24932738342546557	0.18649273019482138	0.08761578874456244	0.18629588851545198	0.18451174624406663	0.2706759822950171	0.16053119336317068	0.13857203100647164	0.2251769077840411	0.17995597985073097	0.2515383581874078	0.27607241007599825	0.17775623671142537	0.22977987468193906	0.10443049656816739	0.0726695508541999	0.10230532847374907	0.1773374116236186	0.16098353892254003	0.10366440638623575	0.20159520417853682	0.16288730776087468	0.23015786448367226	0.15873374985282618	0.22845176801021405	0.18792978410877215
SAR11_ANW_146_05M_BOWTIE2	0.09027098940834166	0.08405751148941787	0.0734056053131047	0.06692508051430701	0.1335801557043469	0.0	0.1627903831082953	0.08664109397512709	0.06788897816385986	0.09695806972370724	0.12195601834190006	0.15634921251203804	0.14752786847840071	0.20736882001507584	0.10229614903817452	0.14636353950658154	0.20688729336609524	0.07371301440132638	0.09754262638965683	0.1254522779743219	0.06799659120745827	0.10251814665507442	0.1326482419526852	0.06124186619647287	0.0966273215510105	0.07858493486606899	0.09796101115861733	0.10433742229757614	0.07196335293902667	0.05057314448686934	0.05460319332722696	0.2019005199115118	0.06540134481152371	0.07535821956383681	0.07988961973043351	0.045070786328091916	0.07313936735570514	0.065534685084631	0.12774294980835077	0.13608552496020843	0.1293675533920967	0.09665102910375134	0.14520246782160406	0.17067028826191544	0.08249877764831681	0.20473737749878873	0.11743319755979065	0.12226779875076688	0.18939234921184134	0.1288812543312987	0.08825309206133769	0.11519464135573676	0.11886480415652556	0.20932244670124756	0.05747458838655872	0.0950233852742659	0.17202068545901483	0.11246721868932952	0.19336339075833264	0.2365007153376213	0.07844908482170088	0.16600955691706654	0.08195645558716802	0.14713580666194448	0.0656116873559619	0.10621922690487451	0.14016278499836088	0.06969487470300284	0.119634514414233	0.08671392678172563	0.17811234319642189	0.07362640693780909	0.15773339432898748	0.1250470721816619
SAR11_PSW_128_05M_BOWTIE2	0.18988338155444573	0.1944673206150963	0.17890309318077868	0.14100739300681175	0.23018648647193474	0.1627903831082953	0.0	0.20257946651312975	0.18593031697640316	0.15632631545995512	0.22838489676109253	0.0949135059075189	0.24131824694144477	0.06595096804489231	0.15508305787094245	0.18125091035600704	0.06020038444210507	0.13818014220133146	0.14898057174128743	0.22801098901452777	0.16359496120914485	0.21495117778362194	0.23263627030166267	0.15172911130128242	0.201936706524116	0.19872358104855514	0.1520990555854198	0.157134435003369	0.15731191184910698	0.171594312548076	0.16058191497451435	0.12988152739133552	0.18237466421440662	0.19127046159929362	0.16952725956527692	0.16325083930796325	0.17499382624565418	0.1574356477428981	0.1751344742780364	0.23413060720258017	0.23076549066481877	0.20599785861067044	0.17087128526920958	0.16570301665697684	0.19308826375414845	0.06411409403314383	0.07411931768808311	0.11060388063299043	0.061447819113606084	0.0819365982359872	0.20285044283024567	0.11619908651144673	0.16307739126583665	0.0680897044205262	0.1664190502602112	0.1349158962602679	0.1792587101054356	0.12299081147479374	0.06722696390088889	0.2092571526286734	0.13679622176506534	0.08165142824689309	0.1985253593143842	0.23973412290688112	0.172169423183281	0.15075691848226858	0.16482426362293678	0.18977127672257155	0.1776996596382533	0.17979225370106444	0.1826668345357506	0.15821161525121852	0.03445088602987589	0.07751010941143921
SAR11_ION_41_60M_BOWTIE2	0.1005692041803995	0.0629964928211828	0.06849441742792106	0.12292419051470516	0.07650083244780181	0.08664109397512709	0.20257946651312975	0.0	0.054536963320929055	0.1291367126385944	0.054416669801793716	0.19646735162095985	0.10591649564174044	0.2435923224288994	0.13182650262575735	0.19587620878854028	0.24367079384590717	0.11606391690255413	0.13158592766108868	0.060759116554780945	0.09611045655968209	0.04216308630536181	0.06947961920775791	0.10647001584626281	0.08198869202472003	0.05580994834288444	0.13186191524724622	0.10077586103166525	0.10402371551005662	0.07123356303636341	0.0841325159938695	0.23317599418081802	0.054207577105496285	0.054490247422476656	0.09502816965898397	0.09439579645826657	0.0674317458493876	0.10158812247410842	0.17746887853867555	0.08455518997609546	0.06829666885397745	0.07496683214265565	0.14971521812641653	0.20525538768736784	0.06240280392316644	0.24164522505707164	0.15723790236550317	0.144790075624616	0.22569407829072996	0.1595943290887436	0.05558382058847533	0.15440814305143769	0.15410069289535022	0.24611224131051967	0.11263031175327975	0.11046388894867332	0.20546304162878792	0.15082204241691344	0.22906513211232638	0.2636870570128851	0.1366411341967838	0.20543677000159877	0.06256355547309056	0.09009134648230688	0.06386623716194806	0.14345833224173177	0.14972495565025823	0.05385574591367759	0.16775770830536507	0.12154670421015679	0.2102915507235169	0.11798227380556303	0.19861869096018736	0.16115331404501676
SAR11_IOS_65_05M_BOWTIE2	0.08363910122546692	0.04269921942773203	0.040554624514918425	0.09034829769045072	0.09953762238853348	0.06788897816385986	0.18593031697640316	0.054536963320929055	0.0	0.11948073006623328	0.0788127738386799	0.18452549333177282	0.11777122740715629	0.22861850335743783	0.1237576589342475	0.16959310759913782	0.2280172849557961	0.0894536033612553	0.11907377489670168	0.09079673211450845	0.06690938168211824	0.06734495675400143	0.09878014172190686	0.0829010503967953	0.06613918371825123	0.046020447922666796	0.1167874255636151	0.10020314825220167	0.09726231954601727	0.06403552845044935	0.052704472582768	0.2214721893038707	0.034954550209479684	0.032929891590850247	0.08751271644045322	0.07234266607885553	0.05533138380444458	0.08981508095648516	0.15309517696991826	0.09956493291355373	0.09827867904835519	0.06396915433052652	0.1487974207099505	0.19699450642639393	0.06787038578187143	0.2261274408837417	0.13932704446769073	0.13453959042746955	0.21231723214848808	0.1470144393598668	0.040896608834060655	0.14250590804433894	0.1422940239514091	0.23061166550334955	0.0847683637023573	0.10233853054220188	0.1959659091893875	0.13902395139540236	0.21462363087903435	0.25586382635823557	0.10721571464468471	0.19346727227788352	0.04646080457828883	0.10967372841273226	0.04871961972811034	0.13195167750650627	0.14809209673944224	0.04664282400542874	0.13765294013955798	0.09349350756330832	0.20128436823464813	0.09228566721101639	0.18043296746644832	0.1469199152613635
SAR11_ANE_151_05M_BOWTIE2	0.13634331262818833	0.13517092746681603	0.1255211383967183	0.10709295769623262	0.16159915887012977	0.09695806972370724	0.15632631545995512	0.1291367126385944	0.11948073006623328	0.0	0.15907798767573555	0.12968927617707748	0.18352371724987115	0.19471854870469618	0.03851634848899621	0.1637141976250709	0.19551626925470744	0.1098409890842692	0.08355133184521946	0.15558974163143802	0.11289899409774573	0.13603253056529419	0.16255670231824837	0.09221641779105039	0.14528917644685257	0.13581635727727537	0.08927953385012799	0.10852503171867856	0.051591261864500804	0.08796170646141466	0.10472000669760673	0.16733503110527248	0.12015003045565198	0.1282229770034491	0.11218742410327454	0.0959289818635839	0.10175463267151186	0.06016707379007402	0.15482474073652341	0.17254081462284754	0.15912688127850905	0.14661223183295313	0.12732650671163126	0.12248688273104513	0.10880616367123164	0.19277086973667312	0.12292650956666706	0.10899761886198478	0.17310437798306322	0.11211062890964296	0.138182164212016	0.0908123394306577	0.06731321983983896	0.1965620893296416	0.11843224172715872	0.0937263516628648	0.12618442295795673	0.09660929520395378	0.17497662543941406	0.2041266550089894	0.10270458332157617	0.14390809457030085	0.1393016724924553	0.1793861774960379	0.09800766798721372	0.059862777628895913	0.11547802655077766	0.12289825562553991	0.1591850697582322	0.13951024551013635	0.13048977211407742	0.11701812420065294	0.15222299400992667	0.10873097916294305
