Samples	SAR11_RED_32_80M_BOWTIE2	SAR11_IOS_57_05M_BOWTIE2	SAR11_IOS_56_05M_BOWTIE2	SAR11_IOS_52_75M_BOWTIE2	SAR11_PON_140_05M_BOWTIE2	SAR11_ANW_146_05M_BOWTIE2	SAR11_PSW_128_05M_BOWTIE2	SAR11_ION_41_60M_BOWTIE2	SAR11_IOS_65_05M_BOWTIE2	SAR11_ANE_151_05M_BOWTIE2	SAR11_ION_39_25M_BOWTIE2	SAR11_PSE_100_50M_BOWTIE2	SAR11_ANW_141_05M_BOWTIE2	SAR11_PSW_122_05M_BOWTIE2	SAR11_ANE_151_80M_BOWTIE2	SAR11_PON_132_05M_BOWTIE2	SAR11_PSW_124_05M_BOWTIE2	SAR11_IOS_52_05M_BOWTIE2	SAR11_ASE_68_05M_BOWTIE2	SAR11_ION_38_05M_BOWTIE2	SAR11_IOS_64_65M_BOWTIE2	SAR11_ION_38_25M_BOWTIE2	SAR11_ION_36_17M_BOWTIE2	SAR11_ASW_78_05M_BOWTIE2	SAR11_RED_31_05M_BOWTIE2	SAR11_ION_41_05M_BOWTIE2	SAR11_ASE_68_50M_BOWTIE2	SAR11_PSE_109_05M_BOWTIE2	SAR11_ANE_150_05M_BOWTIE2	SAR11_ANW_149_05M_BOWTIE2	SAR11_IOS_64_05M_BOWTIE2	SAR11_PSE_94_05M_BOWTIE2	SAR11_IOS_65_30M_BOWTIE2	SAR11_IOS_58_66M_BOWTIE2	SAR11_RED_34_60M_BOWTIE2	SAR11_ANW_148_05M_BOWTIE2	SAR11_ASE_66_30M_BOWTIE2	SAR11_ANE_150_40M_BOWTIE2	SAR11_ASW_76_05M_BOWTIE2	SAR11_RED_33_05M_BOWTIE2	SAR11_ION_36_05M_BOWTIE2	SAR11_RED_32_05M_BOWTIE2	SAR11_PSE_102_05M_BOWTIE2	SAR11_ANE_152_05M_BOWTIE2	SAR11_ANW_145_05M_BOWTIE2	SAR11_PSW_123_05M_BOWTIE2	SAR11_PON_138_05M_BOWTIE2	SAR11_PSE_109_30M_BOWTIE2	SAR11_PSE_111_05M_BOWTIE2	SAR11_PSE_110_05M_BOWTIE2	SAR11_IOS_62_05M_BOWTIE2	SAR11_PON_138_60M_BOWTIE2	SAR11_ANE_004_05M_BOWTIE2	SAR11_PSW_125_05M_BOWTIE2	SAR11_ANW_142_05M_BOWTIE2	SAR11_PON_137_05M_BOWTIE2	SAR11_MED_18_05M_BOWTIE2	SAR11_ASE_70_05M_BOWTIE2	SAR11_PSE_100_05M_BOWTIE2	SAR11_PSE_93_05M_BOWTIE2	SAR11_ASW_72_100M_BOWTIE2	SAR11_PSE_111_90M_BOWTIE2	SAR11_ION_42_05M_BOWTIE2	SAR11_RED_34_05M_BOWTIE2	SAR11_ASE_66_05M_BOWTIE2	SAR11_ANE_004_40M_BOWTIE2	SAR11_PSE_102_40M_BOWTIE2	SAR11_ION_42_80M_BOWTIE2	SAR11_ION_48_05M_BOWTIE2	SAR11_ION_45_05M_BOWTIE2	SAR11_MED_18_60M_BOWTIE2	SAR11_ASW_72_05M_BOWTIE2	SAR11_PSW_128_40M_BOWTIE2	SAR11_PSE_110_50M_BOWTIE2
SAR11_RED_32_80M_BOWTIE2	0.0	0.0349003689586419	0.03238100324217519	0.042569510663672205	0.06292720397374962	0.03645864151403777	0.11279395620815114	0.03859785523969195	0.031346865936633495	0.06429804312036991	0.051954228470950325	0.1122205543721918	0.07690296948276187	0.15577675022482285	0.06689871996139818	0.09573784987846712	0.153079304092546	0.040716998937307625	0.06062981603454376	0.05756436125494768	0.03570317904055609	0.0470637723576105	0.06275714764805085	0.04144110821310698	0.021630040928909633	0.031947520947175345	0.06330032847394373	0.05704675308337026	0.04735642323781908	0.03673286006755061	0.03238135864141711	0.15364004378800122	0.03318610575190051	0.03348330264450361	0.03832234908331	0.03696650132019241	0.03647417151558385	0.045714567507282644	0.08105284975288951	0.05337821617150562	0.062081324977115604	0.024316756030019815	0.08656298373857874	0.12475895562200712	0.04348104478130177	0.15196339286796223	0.07577954780761176	0.07577898512872283	0.13657850342386502	0.083422540229112	0.03510276231463583	0.07930765542439866	0.08398790837013925	0.15847830699843213	0.03878691107160859	0.056588386140329794	0.12483842406116574	0.07667224779727633	0.14074435398723584	0.18461598535547874	0.052230903669106654	0.12084017877815634	0.032294851104537114	0.06261259843191103	0.03664880360572287	0.07138960218338841	0.08567713231670904	0.03256105077219684	0.06357332333536103	0.03950123444218279	0.13325912298437126	0.0404888744037325	0.10817674727182758	0.08385946594962224
SAR11_IOS_57_05M_BOWTIE2	0.0349003689586419	0.0	0.01090905429192246	0.038077103847989235	0.03323837104799121	0.027970427650452656	0.10587972051912098	0.02078025175432119	0.012957696357312143	0.057790406751177636	0.025852192671528607	0.10573800154735657	0.040750969002854465	0.14917777087071948	0.060163890107248985	0.09203492394045654	0.146986226776885	0.03379345469400907	0.05514969767120359	0.03208744317956813	0.025042977970759828	0.025480782343310637	0.037220594295637066	0.033945490440386195	0.02499380338458934	0.014758438544363206	0.058308529472289594	0.04175595047805025	0.03927725724782327	0.02641777329915118	0.020152938388363406	0.1481471554329662	0.014510265982785042	0.009933935982478048	0.04041551293960177	0.028250305451475888	0.023501145263075895	0.03844288430160603	0.0799017504458901	0.032632135208950364	0.03658109622204542	0.023904338144135173	0.07336696272086707	0.12038220641301989	0.02577970420011455	0.14548964090613592	0.06872938355439362	0.06451629981092755	0.13004005904375682	0.07341885405083115	0.011158206326229991	0.07169673127049914	0.07788453620265945	0.15212200870026726	0.034270941846776926	0.04515152645682663	0.12094024541459947	0.07068339650176036	0.13364467670582414	0.17962044640564545	0.04855642349949474	0.11486352438883674	0.014896510739142	0.036330081405855696	0.021406471402917404	0.06499125484695789	0.07382371447894376	0.019639909286201518	0.05823156688890185	0.03156569310704205	0.12928558291144565	0.035653231040871924	0.1011727199123782	0.07451687622376524
SAR11_IOS_56_05M_BOWTIE2	0.03238100324217519	0.01090905429192246	0.0	0.02923493955007872	0.04178511052404199	0.023395923878864022	0.0932950690835902	0.023687155221562506	0.013350293507979671	0.05192216029530694	0.0348517476000616	0.09559661567046873	0.05218273117261241	0.13609445637138284	0.054375730966494285	0.08016271320556434	0.1335695600982133	0.02446587490252705	0.04915574594207983	0.039832458472315646	0.02062774778164278	0.030399066376788242	0.04506740704594703	0.027253565876391384	0.02530020536363098	0.01384025806096667	0.052593127172483434	0.03949119112550581	0.03406646780516587	0.023901527721004512	0.01467401703998783	0.13772507528967015	0.014189695386995549	0.010685887317091303	0.03691816683209326	0.023774031800159467	0.021612262305164442	0.03271667001715539	0.06925742914236543	0.041435505393652705	0.04394843919903457	0.02493241827031012	0.06967053832282022	0.11214744949855071	0.02709562548201716	0.13267180526830014	0.056398547169584146	0.057253640828372365	0.1176805352076371	0.06458506076451231	0.013943934261565594	0.06337038048207388	0.07174272363131684	0.13894501420044192	0.027276365319169882	0.03973899247472401	0.11295056331472553	0.06234809143811848	0.12140320938273852	0.17122662144444456	0.039109412134397004	0.10366962912349587	0.014945254666262842	0.04695600913922082	0.02055478945820788	0.059051347522258935	0.06962637017707574	0.0188947030213229	0.04621259414682444	0.023657540712179514	0.12120598486885736	0.027229722707618698	0.0890478720542498	0.06514998077327638
SAR11_IOS_52_75M_BOWTIE2	0.042569510663672205	0.038077103847989235	0.02923493955007872	0.0	0.07622756797032582	0.022343459273851174	0.07225315177876002	0.044475271864574895	0.02747707842980629	0.04143351807224338	0.06896705514257118	0.06996937755894395	0.09251236232907878	0.1125320587459302	0.042545901537141995	0.06354401054189707	0.10954923324128141	0.01572157643987948	0.034942712452794455	0.07060306437018926	0.017956771578043318	0.05676141741260854	0.0768408892410789	0.019414693671537364	0.044690739276755376	0.03595568768010682	0.03861334619691015	0.046093202786643306	0.02721920883089346	0.02749070188612235	0.014134097908604759	0.11372157866574717	0.029428536598534283	0.033812598171941044	0.03429549376494989	0.02221029649522488	0.027839149980344313	0.0260497481814701	0.05238217965225955	0.07845411454165241	0.07522143225617384	0.04773495656026594	0.06846889227610076	0.08968345618575535	0.04290129585480518	0.10901865452801773	0.04223857067153425	0.04914098522862931	0.09359925992120022	0.04939762971124839	0.043295003282252775	0.04222833340425747	0.057532356174907484	0.11466764496721749	0.02284052612787979	0.03694150921428685	0.09389303909888536	0.04454748536961883	0.09762008209401685	0.15003791452284954	0.01537819136445795	0.07805520530108834	0.03650844017006505	0.0847462333211344	0.028239461327095428	0.04246450507892707	0.06534972677242112	0.031026015486488534	0.03740535264271383	0.027182371796872662	0.10175515458348405	0.01999905789286649	0.06727204116315044	0.04829968931757489
SAR11_PON_140_05M_BOWTIE2	0.06292720397374962	0.03323837104799121	0.04178511052404199	0.07622756797032582	0.0	0.055032422850955554	0.1333364527931068	0.028610778031874173	0.03810964202662659	0.07474275001029751	0.02148607408143155	0.12668907356037384	0.03314522443599999	0.17621957131463295	0.07738190019986546	0.13793871255659929	0.17421194521954197	0.0699029665262123	0.07781924418103925	0.021090351629321602	0.059964349952120743	0.024000642964174035	0.020898581886498402	0.06535886760633614	0.04889002912286167	0.0397974481344151	0.08071623275769524	0.042398330869345524	0.05993264578299562	0.045383592083460655	0.05493174927046396	0.16910397749174177	0.03859564670213167	0.03461491717689347	0.0642654511124362	0.055616159842403645	0.04384381302194107	0.0594111994530383	0.12116122069968083	0.029696616487148275	0.02189919972718124	0.04307814193902604	0.07270579926197551	0.1400208008417282	0.03266821111362572	0.17235907856060895	0.09882392687692476	0.07444626666342358	0.15436356029899378	0.08980975896983867	0.03371478271376949	0.09135117801235348	0.09592436854331066	0.17937194861606542	0.07146800554158317	0.05695589360609188	0.14061266661918248	0.0908045717421525	0.15783344951267309	0.1958605790114275	0.08520136132264677	0.13732576461418833	0.04129706877977857	0.02652842684110246	0.04100456980182732	0.08441311719406086	0.07437269062916285	0.04209269216704481	0.10724813699666036	0.07484499925238952	0.14867397193696352	0.07356126587934309	0.12895552652993436	0.09306406753438423
SAR11_ANW_146_05M_BOWTIE2	0.03645864151403777	0.027970427650452656	0.023395923878864022	0.022343459273851174	0.055032422850955554	0.0	0.08616734799101988	0.02885650697049147	0.019902798566020063	0.0377486290864808	0.047929194879877124	0.08084855820291703	0.06923865710374222	0.12802105651011841	0.039140205930949135	0.07563567716535002	0.12541965266287847	0.0252019411017802	0.03522618725349502	0.05046323016484833	0.019766613140422495	0.03882436422046831	0.05580700600196309	0.020121896449678656	0.034228707747956166	0.025716581494255264	0.038463852742675275	0.040501158670970705	0.02145103971332951	0.01504866425366358	0.016054765831979623	0.1248964937642183	0.021348075533837108	0.023816214614308495	0.02932570147869351	0.011595836976682317	0.02036339656481556	0.019972388687405918	0.06253379619664168	0.05704671520187998	0.054465537585985935	0.03546664086092732	0.06530240510199459	0.09431747947016234	0.02552527853117348	0.12456073041741011	0.05344564567947796	0.05230821226056781	0.10807282485158243	0.0565905943306404	0.02954610476072217	0.04831078566799385	0.055679459495875494	0.13041014831535425	0.017052739415703955	0.037148576345261586	0.09556266885864528	0.05069734538896531	0.11194308015161902	0.15752300026527644	0.027115886038259762	0.08931947684861219	0.026494459730774356	0.06267435813075717	0.020608378282965467	0.04189164286396185	0.06341665770456562	0.021911603716116446	0.05083897661912007	0.03218077468535818	0.1040874418888258	0.025907581021677117	0.0811102830909286	0.05629599443381883
SAR11_PSW_128_05M_BOWTIE2	0.11279395620815114	0.10587972051912098	0.0932950690835902	0.07225315177876002	0.1333364527931068	0.08616734799101988	0.0	0.1102331941321093	0.09740321078546821	0.08008267141504954	0.13323463339810326	0.04152742009160493	0.14802674216036538	0.025497740620197606	0.07914854115701819	0.10977364460370642	0.02219193103084316	0.06903510751349817	0.07621952822537292	0.13156122703658502	0.08574841265870847	0.12108646396638645	0.13621361123671816	0.0791241533864846	0.11679104798090623	0.10738969216401795	0.08067093051233132	0.07901281202874633	0.07899222689418572	0.09078200000718695	0.08327804202190348	0.0717224009882601	0.09813032202056515	0.10419670319520502	0.09340545046958282	0.0847306936915494	0.08793866943548878	0.08031405215734788	0.10420056516462695	0.14046859193924344	0.1349119258415893	0.11883868590499524	0.09029802852501312	0.09279981565228812	0.10160000252194434	0.023058889329120147	0.031437487679593645	0.04893723808841455	0.02388343527267589	0.03346633218002015	0.11311266555393307	0.05254620634896301	0.08978299705386328	0.025847394214192354	0.09079971679985943	0.06530489582143528	0.10598407164980439	0.06101038818587434	0.027579294721228553	0.135344572384678	0.06998473385275228	0.0341517209560398	0.10868504780210186	0.14359979307865545	0.08942139324301956	0.07727200649123156	0.08573204757122743	0.10205899626263681	0.10066970313026091	0.10083630047619963	0.1117780428355688	0.08585732127370826	0.01090776295514373	0.029787043494737042
SAR11_ION_41_60M_BOWTIE2	0.03859785523969195	0.02078025175432119	0.023687155221562506	0.044475271864574895	0.028610778031874173	0.02885650697049147	0.1102331941321093	0.0	0.017725592591764983	0.05311635164304063	0.018791605722720095	0.10656683175317938	0.04773753260998759	0.15503443199364353	0.055468181063530575	0.11060199267009463	0.15237624396570904	0.041493217099185076	0.05271045581678069	0.02305380205959595	0.0326663480749686	0.014053090582961891	0.026880610971148133	0.03864031267171797	0.029957074388574423	0.01892259333866786	0.056098619484295176	0.03678895698297924	0.034910352150342105	0.022286375772960998	0.027760204472164207	0.1514464435720385	0.019123238672250853	0.018135034392610994	0.037790445915703796	0.029400184512410665	0.022118842812494766	0.03478647683327474	0.09367979787293346	0.03400184736177114	0.025651331410126654	0.027357359387674918	0.06943646593284003	0.11979067599397353	0.02178120309030751	0.15098201411930046	0.07514554263131501	0.06234970300607956	0.13394136037295434	0.07288382417335337	0.019644903430877325	0.06889182771321511	0.07432473034739873	0.1576299688713223	0.04145625904109729	0.04199563534807094	0.12070828125419963	0.07020011540439564	0.13773646342570356	0.18093301519215743	0.05427084648746239	0.11659815674429197	0.02088097613702522	0.035956422620870176	0.019605480193262026	0.06011783216697553	0.06980229271579941	0.015360306095611787	0.0789434393327747	0.046229550770383376	0.12920367073523154	0.045165917544882306	0.10478767762145702	0.0747889833935832
SAR11_IOS_65_05M_BOWTIE2	0.031346865936633495	0.012957696357312143	0.013350293507979671	0.02747707842980629	0.03810964202662659	0.019902798566020063	0.09740321078546821	0.017725592591764983	0.0	0.04720998340311544	0.028369521850775903	0.09595987341428891	0.0506948025205155	0.14178601221194143	0.049687878685051645	0.09016248803404225	0.13899849546876109	0.02742105702551645	0.04436707958466923	0.03388661003591964	0.01886359029124074	0.02359310181379093	0.03880556890686937	0.025615164572413085	0.024438777957435764	0.014763409161413055	0.047899657066765466	0.036697903628817974	0.029482909058068052	0.018002808246914803	0.013760369682023321	0.14064566824007851	0.010774348313651205	0.010487328529988904	0.032438594595984416	0.02140652213918126	0.01598507536477789	0.028241364227958754	0.07461570544690421	0.03849887186287393	0.03851029457373134	0.023443811335927323	0.06697950950828446	0.11110342183578292	0.023080036492378553	0.1378599351088885	0.06259820818689021	0.05658930575496657	0.12147540472780927	0.06425978476512584	0.012922595070210652	0.059982072317438795	0.06784457882272499	0.14426661780596883	0.027344631718632106	0.037284510391008885	0.11228839484640807	0.06075618667277671	0.12566748484056078	0.1723798212107327	0.038032367202068706	0.1051888868576415	0.015117081906080188	0.043319741491805064	0.01478791731409046	0.053158501383344214	0.06691355073907557	0.013346847578871945	0.05777437646465955	0.030467420464480144	0.12062865817140977	0.029757440080809827	0.09236060208798136	0.06529453462392121
SAR11_ANE_151_05M_BOWTIE2	0.06429804312036991	0.057790406751177636	0.05192216029530694	0.04143351807224338	0.07474275001029751	0.0377486290864808	0.08008267141504954	0.05311635164304063	0.04720998340311544	0.0	0.07341057267586648	0.061242779498628	0.09584162515860539	0.11768696581025362	0.010385613434404695	0.09108242593739047	0.11492795587386384	0.04509230846322776	0.02880883728537198	0.07021018906366139	0.045145835709467175	0.06009061300833696	0.0738646439745313	0.03550155955460699	0.06535275232753868	0.05731974563690201	0.03303615595330667	0.043284127851491605	0.01664403284619631	0.03236642394211131	0.04223829305763949	0.09644708918061318	0.04870715342292986	0.05345398527765388	0.04836773272970829	0.03589725310815539	0.03593013574471249	0.018170813780801542	0.08270066330221448	0.0851157662600246	0.07246684216973653	0.0661790410444476	0.05553792068430141	0.05687515709312785	0.042493448465525385	0.11361670746895391	0.05675058299614333	0.04434750368313456	0.09324943837460797	0.04620586694131623	0.06047209011204291	0.03550640368013591	0.024571186738355566	0.12008726284892002	0.05131132665656968	0.036641915018187365	0.06139219829620868	0.03876988290993566	0.09782513035410223	0.12811697064939875	0.04066587417743306	0.07239790491429388	0.05848765116588994	0.0867885909466759	0.03580534244655842	0.017101029780018928	0.05099818833831904	0.04995374267582475	0.07941788835177077	0.06396450400708464	0.06857254993549977	0.05059302341467342	0.07651266390512912	0.04605181710942907
