sample	r1	r2
MED_18_05M	ERR599140_1.fastq.gz,ERR598993_1.fastq.gz	ERR599140_2.fastq.gz,ERR598993_2.fastq.gz
MED_23_05M	ERR315858_1.fastq.gz,ERR315861_1.fastq.gz	ERR315858_2.fastq.gz,ERR315861_2.fastq.gz
MED_25_05M	ERR599043_1.fastq.gz,ERR598951_1.fastq.gz	ERR599043_2.fastq.gz,ERR598951_2.fastq.gz
MED_30_05M	ERR315862_1.fastq.gz,ERR315863_1.fastq.gz	ERR315862_2.fastq.gz,ERR315863_2.fastq.gz
RED_31_05M	ERR599106_1.fastq.gz,ERR598969_1.fastq.gz	ERR599106_2.fastq.gz,ERR598969_2.fastq.gz
RED_32_05M	ERR599041_1.fastq.gz,ERR599116_1.fastq.gz	ERR599041_2.fastq.gz,ERR599116_2.fastq.gz
RED_33_05M	ERR599049_1.fastq.gz,ERR599134_1.fastq.gz	ERR599049_2.fastq.gz,ERR599134_2.fastq.gz
RED_34_05M	ERR598959_1.fastq.gz,ERR598991_1.fastq.gz	ERR598959_2.fastq.gz,ERR598991_2.fastq.gz
ION_36_05M	ERR599143_1.fastq.gz,ERR598966_1.fastq.gz	ERR599143_2.fastq.gz,ERR598966_2.fastq.gz
ION_38_05M	ERR599158_1.fastq.gz,ERR599102_1.fastq.gz	ERR599158_2.fastq.gz,ERR599102_2.fastq.gz
ION_41_05M	ERR599011_1.fastq.gz,ERR599074_1.fastq.gz	ERR599011_2.fastq.gz,ERR599074_2.fastq.gz
ION_42_05M	ERR599141_1.fastq.gz,ERR599075_1.fastq.gz	ERR599141_2.fastq.gz,ERR599075_2.fastq.gz
ION_45_05M	ERR599045_1.fastq.gz,ERR599054_1.fastq.gz	ERR599045_2.fastq.gz,ERR599054_2.fastq.gz
ION_48_05M	ERR599138_1.fastq.gz,ERR599019_1.fastq.gz	ERR599138_2.fastq.gz,ERR599019_2.fastq.gz
IOS_52_05M	ERR599098_1.fastq.gz,ERR599139_1.fastq.gz	ERR599098_2.fastq.gz,ERR599139_2.fastq.gz
IOS_56_05M	ERR599057_1.fastq.gz	ERR599057_2.fastq.gz
IOS_57_05M	ERR599058_1.fastq.gz	ERR599058_2.fastq.gz
IOS_62_05M	ERR599012_1.fastq.gz	ERR599012_2.fastq.gz
IOS_64_05M	ERR599150_1.fastq.gz	ERR599150_2.fastq.gz
