samples	presence	detection	number_of_taxon_specific_core_detected	non_outlier_mean_coverage	non_outlier_coverage_std
FIJ0070	False	0.014000927213722763	0	0.0	0.0
FIJ0148	False	0.022397362592077474	0	0.0	0.0
FIJ0035	False	0.007273476536341627	0	0.0	0.0
FIJ0042	True	0.9173852573018081	0	16.980933568978063	9.213672808943688
TAN0013	False	0.0011847730901972905	0	0.0	0.0
FIJ0052	False	0.010281769947973007	0	0.0	0.0
USA0026	False	0.08618966671817854	0	0.0	0.0
USA0060	True	0.9547416679544635	0	55.39662836628816	10.424564722062813
CHI0030	True	0.9329727502189255	0	12.26935643950799	4.380704257030239
FIJ0081	False	0.014371812702828002	0	0.0	0.0
USA0101	False	0.002081079688868284	0	0.0	0.0
USA0129	True	0.9420182352032144	0	6945.584364901814	1131.1397727788355
USA0078	False	0.005027558852315458	0	0.0	0.0
USA0057	True	0.9145314995106372	0	959.1694407942765	533.179612844064
FIJ0082	False	0.010972029052696647	0	0.0	0.0
FIJ0124	False	0.024952351517024674	0	0.0	0.0
FIJ0164	False	0.021789522484932777	0	0.0	0.0
CHI0054	False	0.0018544274455261937	0	0.0	0.0
USA0027		0.9447586668727141	0	7838.101338059083	157.77226011278646
FIJ0144	False	0.028784834904445476	0	0.0	0.0
FIJ0019	True	0.6996651728223355	0	1.3709571462982022	1.2637168686671398
FIJ0055	False	0.4008653994745789	0	0.0	0.0
USA0113	True	0.9512079534332664	0	2353.625674895156	200.562770746886
USA0093	False	0.0029567815381445423	0	0.0	0.0
CHI0018	True	0.9450986452377272	0	748.1693824296898	155.00106593109345
FIJ0125	False	0.018008550970998814	0	0.0	0.0
FIJ0003	False	0.00927213722763097	0	0.0	0.0
FIJ0031	False	0.009364858599907279	0	0.0	0.0
USA0044	True	0.901189924277546	0	4.345565173754862	2.632134508315407
USA0107	True	0.8394683974656159	0	2.0989698630136986	1.4951948722293948
USA0070	False	0.005666306083552259	0	0.0	0.0
USA0074	False	0.09451398547365168	0	0.13050018029155722	0.47190640997651334
FIJ0010	False	0.011425333539380828	0	0.0	0.0
FIJ0015	False	0.008437644877144181	0	0.0	0.0
FIJ0166	False	0.020305980528511822	0	0.0	0.0
USA0148	False	0.0036470406428681813	0	0.0	0.0
FIJ0020	False	0.015906866532735795	0	0.0	0.0
USA0047	True	0.8984597949827435	0	3.864609036431874	2.5264251902000825
USA0040	True	0.9420182352032144	0	7918.792923780567	34.86731557656612
CHI0056	True	0.9560912790398187	0	129.41675750556388	22.421591476363563
FIJ0017	False	0.017606758357801473	0	0.0	0.0
USA0003	False	0.004780301859578633	0	0.0	0.0
TAN0030	False	0.01520630505331479	0	0.0	0.0
FIJ0076	False	0.011260495544222943	0	0.0	0.0
FIJ0117	False	0.030835007469221656	0	0.0	0.0
TAN0019	False	0.0009375160974604646	0	0.0	0.0
USA0052	True	0.9387523824241487	0	2617.2473486030035	986.71871181289
CHI0049	False	0.2552516355019832	0	0.0	0.0
FIJ0021	False	0.02981507237418225	0	0.0	0.0
FIJ0142	False	0.03500746922165559	0	0.0	0.0
CHI0066	True	0.9478287745325298	0	868.4532582181438	178.46905874647655
FIJ0147	False	0.02108896100551177	0	0.0	0.0
FIJ0115	False	0.021974965229485395	0	0.0	0.0
FIJ0114	False	0.029052696646577034	0	0.0	0.0
FIJ0126	False	0.02071807551640653	0	0.0	0.0
CHI0074	False	0.00927213722763097	0	0.0	0.0
FIJ0062	False	0.010261165198578273	0	0.0	0.0
FIJ0039	False	0.008241899757894194	0	0.0	0.0
CHI0047	False	0.00927213722763097	0	0.0	0.0
CHI0060	False	0.0018235203214340906	0	0.0	0.0
FIJ0086	False	0.00899397311080204	0	0.0	0.0
FIJ0088	False	0.017905527224025136	0	0.0	0.0
FIJ0132	False	0.01406274146190697	0	0.0	0.0
FIJ0033	False	0.011363519291196621	0	0.0	0.0
USA0053	False	0.07243599649719261	0	0.0	0.0
USA0134	False	0.0035955287693813422	0	0.0	0.0
USA0090	False	0.003853088136815536	0	0.0	0.0
USA0140	False	0.011116262298459795	0	0.0	0.0
FIJ0083	False	0.012424663885025498	0	0.0	0.0
FIJ0163	False	0.018657600576932984	0	0.019770257044248698	0.1469853969456982
USA0043	True	0.959460155565858	0	59.1967813670412	10.096579798583575
CHI0055	True	0.9248956884561892	0	7.031744342012817	3.511582466638322
CHI0034	True	0.9448719929943852	0	110.37186336040459	29.821361450655864
TAN0032	False	0.3229897491371761	0	0.47560912790398185	0.8602469257117066
CHI0027	False	0.001524751455210426	0	0.0	0.0
FIJ0129	False	0.030938031216195334	0	0.0	0.0
USA0054	False	0.14741667954463503	0	0.0	0.0
FIJ0058	True	0.9297893164374388	0	470.3654931078186	161.39338480224893
FIJ0158	False	0.04226034100860248	0	0.0	0.0
FIJ0044	False	0.010250862823880904	0	0.0	0.0
FIJ0149	False	0.02693040745891928	0	0.0	0.0
CHI0041	True	0.9439756863957142	0	95.92393511467996	21.07589683251654
FIJ0116	False	0.028383042291248134	0	0.030072631741616444	0.18040911136216536
USA0104	False	0.013640344099314892	0	0.0	0.0
USA0007	True	0.9638283624375419	0	4761.111358027722	435.05915468109913
USA0099	False	0.004131252253644465	0	0.0	0.0
FIJ0036	False	0.016514706639880493	0	0.0	0.0
USA0095	False	0.0018544274455261937	0	0.0	0.0
FIJ0079	False	0.030752588471642715	0	0.0	0.0
CHI0014	True	0.8743625405656004	0	2.338337182448037	1.497289066595992
FIJ0137	False	0.012094987894709731	0	0.0	0.0
FIJ0101	False	0.07309534847782413	0	0.0	0.0
USA0100	True	0.9171792098078607	0	222.2279293406582	130.24147583641724
FIJ0038	False	0.01685468500489363	0	0.0	0.0
FIJ0002	False	0.021119868129603873	0	0.0	0.0
FIJ0041	False	0.016545613763972594	0	0.0	0.0
CHI0053	False	0.13671251223406997	0	0.0	0.0
CHI0072	False	0.011126564673157162	0	0.0	0.0
USA0127	False	0.00625354144130222	0	0.0	0.0
USA0147	False	0.0016380775768814711	0	0.0	0.0
USA0035	True	0.9611600473909236	0	1036.9949538125431	70.90823243448604
USA0006		0.9213207644362026	0	7918.661886547446	46.61700505958683
FIJ0016	False	0.015041467058156906	0	0.0	0.0
FIJ0167	False	0.03211250193169526	0	0.0	0.0
USA0084	False	0.006881986297841653	0	0.0	0.0
FIJ0029	False	0.01885334569618297	0	0.0	0.0
FIJ0059	False	0.01684438263019626	0	0.0	0.0
FIJ0135	False	0.024014835419564208	0	0.0	0.0
FIJ0025	False	0.009467882346880957	0	0.0	0.0
USA0033	False	0.0014732395817235874	0	0.0	0.0
USA0038	True	0.9276052130015968	0	64.80624582295401	12.436534841571818
USA0066	False	0.01355792510173595	0	0.0	0.0
FIJ0146	False	0.032710039664142584	0	0.0	0.0
USA0120	False	0.0020604749394735485	0	0.0	0.0
USA0076	True	0.9381857518157936	0	317.5376777651689	36.12910329672815
FIJ0077	False	0.011239890794828207	0	0.0	0.0
CHI0002	False	0.41950239530211714	0	0.572348426312265	0.8004800958347185
FIJ0074	False	0.011085355174367692	0	0.0	0.0
CHI0067	False	0.001648379951578839	0	0.0	0.0
TAN0017	False	0.0016792870756709422	0	0.0	0.0
CHI0022	True	0.964394993045897	0	150.6644417127167	28.204424728651215
FIJ0100	False	0.03767578426827384	0	0.0	0.0
CHI0037	False	0.06711997115335085	0	0.0	0.0
FIJ0065	False	0.1682789883068047	0	0.0	0.0
FIJ0128	False	0.022438572090866946	0	0.0	0.0
FIJ0130	False	0.03031988873435327	0	0.0	0.0
USA0096	False	0.0015556585793025293	0	0.0	0.0
CHI0028	False	0.01049811981661773	0	0.0	0.0
FIJ0072	False	0.009879977334775665	0	0.0	0.0
FIJ0073	False	0.007046824292999536	0	0.0	0.0
FIJ0099	False	0.02976356050069541	0	0.0	0.0
FIJ0023	False	0.011332612167104518	0	0.0	0.0
FIJ0119	False	0.035141400092721375	0	0.0	0.0
FIJ0139	False	0.033812393756760935	0	0.0	0.0
USA0117	False	0.052645134703549167	0	0.0	0.0
USA0094		0.9641992479266471	0	7916.653653829283	38.025258855398874
FIJ0154	True	0.9153762942358213	0	7.162933597621407	4.2664053763867384
FIJ0098	False	0.15488590120022666	0	0.0	0.0
USA0068	True	0.9283984958532941	0	1092.0747841302446	137.28543630196003
FIJ0050	False	0.010611445938288775	0	0.0	0.0
FIJ0090	False	0.018636995827538246	0	0.0	0.0
FIJ0107	False	0.02774429506001133	0	0.0	0.0
FIJ0108	False	0.02259310771132746	0	0.0	0.0
FIJ0145	False	0.027703085561221863	0	0.0	0.0
USA0118	False	0.012867665997012312	0	0.0	0.0
CHI0017	True	0.9417091639622933	0	63.758154743594126	15.809004226408398
FIJ0160	False	0.0338536032555504	0	0.0	0.0
FIJ0105	False	0.036583732550352854	0	0.0	0.0
FIJ0162	False	0.041652500901457785	0	0.0	0.0
CHI0024	True	0.9607994642765157	0	1385.543607638806	205.20393035117564
FIJ0106	False	0.3666409107299233	0	0.5301086900530573	0.8343094722003854
USA0124	False	0.001401122958842013	0	0.0	0.0
USA0133	True	0.9425539586874775	0	150.5696529383458	20.895388409330124
USA0102	False	0.0030804100345129554	0	0.0	0.0
USA0058	False	0.002081079688868284	0	0.0	0.0
CHI0050	False	0.005563282336578581	0	0.0	0.0
FIJ0153	False	0.02254159583784062	0	0.0	0.0
USA0059	True	0.9505692062020296	0	3162.000379262392	802.690704815408
USA0149	True	0.9568742595168186	0	3018.8356354424272	292.03061315905023
FIJ0045	False	0.04179673414722093	0	0.0	0.0
CHI0007	False	0.15832689434914748	0	0.0	0.0
FIJ0066	False	0.016030495029104207	0	0.0	0.0
CHI0033	False	0.010652655437078247	0	0.0	0.0
USA0116	True	0.9154175037346108	0	850.3277263374486	69.64659228304826
USA0004	True	0.805068768351105	0	3.887668523795347	3.4562232693452026
USA0108	False	0.0058723535774996135	0	0.0	0.0
USA0073	True	0.9458610209653325	0	997.1283140190503	76.46873243617335
FIJ0064	False	0.02045021377427497	0	0.0	0.0
FIJ0097	True	0.6325967135424715	0	1.14109647713888	1.1611449266323204
FIJ0134	False	0.02327306444135373	0	0.0	0.0
FIJ0026	False	0.008283109256683666	0	0.0	0.0
FIJ0051	False	0.010374491320249318	0	0.0	0.0
