sample	Unknown_t_phylum_Firmicutes	Bifidobacterium	Enterobacter	Oxalobacter	Megasphaera	Unknown_t_order_Enterobacterales	Eggerthella	Vibrio	Faecalibacterium	Staphylococcus	Fusobacterium	Lachnoclostridium	Haemophilus	Campylobacter	Bacillus	Prevotella	Escherichia	Porphyromonas	Methanobrevibacter	Tannerella	Enterococcus	Streptococcus	Klebsiella	Ruminococcus	Unknown_t_family_Ruminococcaceae	Unknown_t_family_Lachnospiraceae	Lactobacillus	Veillonella	Unknown_t_family_Enterobacteriaceae	Unknown_t_class_Gammaproteobacteria	Unknown_t_family_Pasteurellaceae	Unknown_t_order_Lactobacillales	Paenibacillus	Unknown_t_order_Clostridiales	Ethanoligenens	Pseudomonas	Bacteroides	Unknown_t_family_Flavobacteriaceae	Unknown_t_phylum_Proteobacteria	Unknown_t_phylum_Bacteroidetes	Unknown_t_order_Bacteroidales	Unknown_t_domain_Bacteria	Clostridioides	Clostridium	Streptomyces	Unknown_t_class_Alphaproteobacteria	Lactococcus	Butyrivibrio	Parabacteroides	Citrobacter	Odoribacter	Unknown_t_class_Actinobacteria	Akkermansia	crassphage
FIJ0042	0.005790417058851942	0.005235918209624716	0.01813984728599086	0.0	0.0	0.004947409096783711	0.0	0.0	0.06879441049494325	0.0	0.0	0.0012676124369620644	0.0	0.0	0.0	0.09782156037738558	0.13769391141334217	0.001128906132711581	0.0	0.0	0.01814539553816088	0.03379179302539011	0.1233559223349134	0.0	0.0	0.005899750263378794	0.0	0.0016393453323533596	0.28714228460053237	0.0018142784595963223	0.0	0.0	0.0	0.02549323961791472	0.0	0.0	0.050119320058432885	0.0	0.0020688453238677977	0.00541835779568594	0.03361229074930125	0.018903874246579994	0.0015068400158223098	0.004488536005545642	0.0	0.0	0.018745585875847088	0.0	0.003467657606262084	0.006910511261646434	0.009772103910277581	0.0	0.0	0.0021427969773009695
USA0060	0.0	0.004085499655343747	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0011555205799922777	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9113175453380749	0.0	0.0	0.005628646495699179	0.03194647908662461	0.0016674815717155277	0.0	0.0	0.0	0.0	0.0	0.0	0.0037294759253338806	0.0	0.04046935134721587	0.0	0.0	0.006990412354760255
CHI0030	0.020857070894851098	0.00877340273696583	0.0	0.0	0.0	0.0	0.0	0.0	0.08208498746656752	0.0016221499934034565	0.004335728078486873	0.002839512095661873	0.004212792496731713	0.0048724468378569625	0.0018980054451467432	0.06068819938352303	0.0021018986051309116	0.0016071578492869735	0.0	0.0	0.002185854612183216	0.007574031207647193	0.04043381268215455	0.0	0.0017330918598654306	0.014698298091799896	0.0014092615469493985	0.006602540268899097	0.0040148961943941375	0.0012323542463748996	0.0010704390899168835	0.0012893243940175349	0.0	0.07429806781246627	0.0	0.0012323542463748996	0.3214405651438646	0.0021888530410065126	0.002440721062163426	0.020455281432529355	0.11421015387936721	0.030002278805905707	0.012149633591997793	0.008284658838768486	0.0	0.0	0.0	0.0011304076663828154	0.029801384074744832	0.0	0.10015351955575279	0.001184379385202154	0.0	0.0015482505590879664
USA0129	0.0010476912811774699	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0031068164409110157	0.0	0.0	0.0	0.0	0.0	0.0	0.0010231642146982917	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001337340350535256	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004433574879821476	0.0	0.0	0.890869401656061	0.0	0.0	0.003517460236211236	0.02189143221169992	0.0015145258475085834	0.0	0.0	0.0	0.0	0.0	0.0	0.0627862550647572	0.0	0.008472337816618589	0.0	0.0	0.8764522352227869
USA0057	0.0038992623607058004	0.007498179585725723	0.0	0.0	0.0	0.0	0.002151641437830066	0.0	0.009504350418602404	0.0	0.0	0.0	0.0	0.001776877580855186	0.0	0.002315571600794295	0.04067186289679923	0.0	0.0	0.0	0.0	0.0013050559220119664	0.0	0.0	0.0	0.0014411226011862414	0.0	0.0	0.05399908329138331	0.0	0.0	0.0	0.0	0.009477531815454575	0.0	0.0	0.6165618922277598	0.0	0.0	0.005899976594673616	0.14469135619005868	0.007891286902862322	0.002099861797120402	0.0	0.0	0.0	0.0	0.0	0.018603171050211854	0.0	0.060239690975389115	0.0	0.009972224750575381	0.12103606495512177
FIJ0019	0.002110716485915464	0.002073505029748492	0.00468450887079769	0.0	0.0	0.008058347563269811	0.0	0.0	0.015310446909588566	0.0	0.0	0.0	0.0	0.0	0.0	0.049295876557196076	0.235637411571109	0.0	0.0	0.0	0.0	0.0016858856946758676	0.027263593551668106	0.0	0.0	0.001666246315032188	0.0	0.005648905776458379	0.5021034809249941	0.042253608477596634	0.0	0.0	0.0	0.006012751125646549	0.0	0.0	0.04597372044273364	0.0	0.001594924357378825	0.0033221561144624392	0.0106383418575132	0.014814294160695607	0.0	0.0	0.0	0.0	0.0	0.0	0.011159302243850807	0.0	0.008691975969668529	0.0	0.0	0.00017299890004067336
USA0113	0.0	0.0018546810102153272	0.0	0.0	0.0	0.0	0.0	0.0	0.0010471145256570175	0.0	0.0	0.0	0.0	0.0	0.0	0.006265905488525536	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0023409399983832296	0.0	0.0	0.8576675326961076	0.0	0.0	0.004337855855726795	0.04184784555137492	0.0021617650218929106	0.0	0.0	0.0	0.0	0.0	0.0	0.05683673793075926	0.0	0.025639621921357433	0.0	0.0	0.2970002774804336
CHI0018	0.0023361768760521723	0.0019748719970207047	0.002584015906997206	0.0	0.0	0.0010468912317686953	0.0	0.0	0.0046370726246763175	0.0	0.0027408209177884396	0.0	0.0	0.0	0.0	0.0	0.0163573760423722	0.0	0.0	0.0	0.0	0.0025411123137668266	0.0017170148681640094	0.0	0.0	0.0	0.003639836312991513	0.005048467993266096	0.04252704341974306	0.0	0.0	0.0	0.0	0.005773908952912762	0.0	0.0	0.7208949210421435	0.0	0.0	0.0029165732007169474	0.025970612127560876	0.010756388170804213	0.001994037053895189	0.0	0.0	0.0	0.0	0.0	0.08613517027499679	0.022992623630950695	0.035415065041411765	0.0	0.0	0.09441030345400224
USA0044	0.0032693029769395605	0.0011328283871462307	0.0	0.0	0.0	0.0	0.0	0.0	0.0050221348704593705	0.0	0.0	0.0	0.0	0.0	0.0	0.0017437820426826455	0.0	0.0	0.0	0.0	0.0	0.0018832562144083563	0.0	0.0	0.0	0.003625263776534695	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010332267935207327	0.0	0.0	0.5290688306811947	0.0	0.00224950900123007	0.007476064031775978	0.06109217148864013	0.007379887185624152	0.002905179566785415	0.0010474758723878759	0.0	0.002056977860870787	0.0	0.0	0.2573685305100638	0.0	0.09818289642073076	0.0	0.004163641177318164	0.0005483599521287491
USA0107	0.030384996793658744	0.008708220699600078	0.0	0.0	0.0	0.0	0.001360589292954023	0.0	0.23410053424046773	0.0	0.0	0.0043900483253464925	0.0	0.016766188654156508	0.0014425727996693707	0.0011303616371095536	0.0	0.0	0.0	0.0	0.001776683666077808	0.020379078258310937	0.0	0.0027436398206245795	0.0024286210037251957	0.01795888021760444	0.0012724289466916287	0.0	0.0	0.001518940997705585	0.0	0.007587966618112964	0.0015268024298563717	0.11881543940351945	0.003285517108160953	0.002468489695347043	0.17645770605655964	0.0	0.006116755744180013	0.012053821610627758	0.07907196916521698	0.07762995789641552	0.012782688677179273	0.0043086263494990585	0.0018513672715102822	0.0013005054900872956	0.029123236933457468	0.0	0.006063971842596159	0.0	0.0681490707225667	0.004451255189949046	0.036499506414367104	0.00026486566593301027
