layers	Ralstonia	Shewanella	Unknown_t_class_Coriobacteriia	Unknown_t_order_Vi1virus	Unknown_t_phylum_Firmicutes	Moraxella	Bifidobacterium	Mycobacterium	Unknown_t_order_Alteromonadales	Enterobacter	Hymenobacter	Unknown_t_family_Streptococcaceae	Leuconostoc	Aggregatibacter	Fibrobacter	Oxalobacter	Alcanivorax	Eubacterium	Unknown_t_family_Burkholderiaceae	Unknown_t_family_Xanthomonadaceae	Buchnera	Desulfovibrio	Megasphaera	Unknown_t_order_Enterobacterales	Eggerthella	Vibrio	Faecalibacterium	Staphylococcus	Photobacterium	Proteus	Myroides	Rothia	Unknown_t_order_Selenomonadales	Acidovorax	Fusobacterium	Unknown_t_family_Spirochaetaceae	Lachnoclostridium	Yersinia	Haemophilus	Edwardsiella	Campylobacter	Bacillus	Unknown_t_order_T4virus	Prevotella	Pelosinus	Unknown_t_family_Tannerellaceae	Elizabethkingia	Burkholderia	Rhizobium	Corynebacterium	Weissella	Unknown_t_family_Micavibrio_aeruginosavorus	Unknown_t_family_Selenomonadaceae	Arthrobacter	Unknown_t_family_Peptostreptococcaceae	Achromobacter	Unknown_t_class_Clostridia	Chryseobacterium	Psychrobacter	Escherichia	Porphyromonas	Unknown_t_phylum_Actinobacteria	Gardnerella	Methanobrevibacter	Unknown_t_order_Cc31virus	Photorhabdus	Mannheimia	Providencia	Raoultella	Bibersteinia	Tannerella	Treponema	Enterococcus	Unknown_t_order_Burkholderiales	Anaeromyxobacter	Streptococcus	Idiomarina	Klebsiella	Ruminococcus	Unknown_t_class_Betaproteobacteria	Xanthomonas	Unknown_t_family_Ruminococcaceae	Unknown_t_order_Kp34virus	Cutibacterium	Listeria	Unknown_t_family_Lachnospiraceae	Pluralibacter	Lactobacillus	Serratia	Stenotrophomonas	Dehalobacter	Blautia	Unknown_t_order_K1gvirus	Veillonella	Unknown_t_family_Moraxellaceae	Marinobacter	Unknown_t_phylum_Caudovirales	Acidaminococcus	Unknown_t_family_Enterobacteriaceae	Unknown_t_class_Gammaproteobacteria	Unknown_t_family_Pasteurellaceae	Unknown_t_family_Rhodobacteraceae	Unknown_t_family_Bacillaceae	Erysipelothrix	Francisella	Rhodococcus	Mesorhizobium	Unknown_t_order_Kp15virus	Pseudoalteromonas	Riemerella	Plesiomonas_shigelloides	Deinococcus	Flavobacterium	Kosakonia	Unknown_t_family_Hymenobacteraceae	Aeromonas	Alteromonas	Unknown_t_order_Lactobacillales	Unknown_t_class_Bacteroidia	Paenibacillus	Acinetobacter	Pantoea	Piscirickettsia	Unknown_t_order_Clostridiales	Ethanoligenens	Neisseria	Unknown_t_family_Erysipelotrichaceae	Unknown_t_order_Rhizobiales	Pseudomonas	Bacteroides	Alicycliphilus	Unknown_t_family_Flavobacteriaceae	Unknown_t_family_Clostridiaceae	Solibacillus	Unknown_t_phylum_Proteobacteria	Unknown_t_order_Jd18virus	Pasteurella	Selenomonas	Unknown_t_class_Bacilli	Unknown_t_phylum_Bacteroidetes	Unknown_t_order_Bacteroidales	Unknown_t_order_Micrococcales	Candidatus_Moranella	Microbacterium	Unknown_t_domain_Bacteria	Clostridioides	Unknown_t_phylum_Tenericutes	Clostridium	Streptomyces	Unknown_t_class_Alphaproteobacteria	Thalassolituus	Unknown_t_phylum_Cyanobacteria	Unknown_t_order_V5virus	Ruminiclostridium	Unknown_t_family_Vibrionaceae	Acetobacter	Bordetella	Unknown_t_order_Sp6virus	Methylophaga	Lactococcus	Unknown_t_family_Oceanospirillaceae	Unknown_t_class_Siphoviridae	Unknown_t_family_Comamonadaceae	Butyrivibrio	Parabacteroides	Citrobacter	Unknown_t_phylum_Verrucomicrobia	Mycoplasma	Halomonas	Actinobacillus	Unknown_t_class_Myoviridae	Rickettsia	Unknown_t_order_Felixo1virus	Helicobacter	Lysobacter	Arcobacter	Odoribacter	Unknown_t_class_Actinobacteria	Akkermansia	Desulfotomaculum	Capnocytophaga	Unknown_t_family_Eggerthellaceae	Unknown_t_order_Bacillales	Salmonella	Unknown_t_class_Negativicutes	Cronobacter	Unknown_t_family_Aeromonadaceae	Unknown_t_order_Myxococcales	Brachyspira	Unknown_t_order_Kp36virus
CHI0001	0	0	0	0	5425	0	6463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37001	0	0	0	0	0	0	0	2145	0	1429	0	0	0	2100	0	0	2422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6475	0	5288	0	0	0	0	0	0	0	6610	0	0	0	0	0	0	0	2033	0	0	0	0	1856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22712	0	0	0	0	0	1053090	0	0	0	0	0	0	0	0	0	13192	78201	0	0	0	11498	4292	0	2008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46820	0	0	0	0	0	0	0	0	0	0	0	42066	0	0	0	0	0	0	0	0	0	0	0	0	0
CHI0002	0	0	0	0	9851	0	4345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7348	0	0	0	0	0	0	0	0	0	5641	0	0	0	0	0	0	0	1878	0	0	0	0	7869	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21705	0	0	0	0	0	1565677	0	0	0	0	0	0	0	0	0	7875	66075	0	0	0	16471	4547	0	4088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53780	0	0	0	0	0	0	0	0	0	0	0	13709	0	0	0	0	0	0	0	0	0	0	0	0	0
CHI0003	0	0	0	0	12258	0	8758	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72638	773	0	0	0	0	0	0	0	0	1551	0	1956	0	2550	1092	0	18284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12748	0	0	0	0	0	0	0	0	0	0	0	0	815	0	0	10331	0	24776	0	0	0	762	0	0	0	10927	0	0	0	0	0	0	0	7185	0	0	0	0	10232	759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39066	0	0	0	0	0	299168	0	1034	0	0	1682	0	0	0	0	11590	73061	0	0	0	21386	5617	0	3753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23057	0	0	0	0	0	0	0	0	0	0	0	36510	0	0	0	0	0	0	0	0	0	0	0	0	0
CHI0004	0	0	0	0	5896	0	2960	0	0	2031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29165	0	0	0	0	0	0	0	0	0	779	0	463	0	2667	0	0	43721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1972	1683	0	0	0	0	0	0	0	0	0	470	0	0	0	0	2016	0	662	0	0	0	0	0	0	0	4124	0	445	0	0	0	0	0	0	0	0	0	0	2862	495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15535	0	0	0	0	0	137453	0	0	0	0	1075	0	0	0	0	6237	54143	0	0	0	10085	2221	0	1875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19127	0	0	0	0	0	0	0	0	0	0	0	52498	0	2521	0	0	0	0	0	0	0	0	0	0	0
CHI0006	0	0	0	0	7864	0	3174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87719	0	0	0	0	0	0	0	0	0	1687	0	0	0	2298	0	0	1765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8941	0	0	0	0	0	0	0	0	0	0	0	0	1468	0	0	2723	0	2394	0	0	0	0	0	0	0	6887	0	0	0	0	0	0	0	0	0	0	0	0	22160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34427	0	0	0	0	0	899391	0	0	0	0	0	0	0	0	0	6186	78014	0	0	0	10820	2634	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55196	0	0	0	0	0	0	0	0	0	0	0	68510	0	0	0	0	0	0	0	0	0	0	0	0	0
CHI0007	0	0	0	0	3576	0	1737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10789	0	0	0	0	0	0	0	0	0	1502	0	0	0	0	0	0	1594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15793	0	0	0	0	0	0	0	0	0	0	0	0	1462	0	0	3102	0	6053	0	0	0	0	0	0	0	2502	0	0	0	0	0	0	0	0	0	0	0	0	33899	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9740	0	0	0	0	0	1144546	0	0	0	0	0	0	0	0	0	14944	116660	0	0	0	7176	1976	0	1659	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28689	0	0	0	0	0	0	0	0	0	0	0	27618	0	0	0	0	0	0	0	0	0	0	0	0	0
CHI0010	0	0	0	0	7244	0	3021	0	0	1217	0	0	0	0	0	0	0	0	0	0	0	0	0	3234	0	0	19424	0	0	0	0	0	0	0	0	0	1049	0	815	0	1005	0	0	34927	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59662	0	0	0	0	0	0	0	0	0	0	0	0	896	0	0	3874	0	7448	0	0	0	0	0	0	0	4994	0	0	0	0	0	0	0	965	0	0	0	0	149504	1130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	811	0	0	0	0	0	18623	0	0	0	0	0	182383	0	0	0	0	1172	0	0	0	0	5661	49359	0	0	0	10697	2129	0	6667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11305	2700	0	0	0	0	0	0	0	0	0	0	24165	0	0	0	0	0	0	0	0	0	0	0	0	0
CHI0014	0	470	0	0	7296	0	7150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49657	0	0	0	0	0	0	0	0	0	1034	0	1946	0	588	464	0	95875	0	0	0	0	0	470	0	0	0	0	0	0	0	0	0	5132	1399	0	0	0	0	0	0	0	0	0	456	0	1049	0	0	2714	0	1690	0	0	0	0	0	0	0	4120	0	496	0	0	0	0	0	1441	0	0	0	0	10422	770	460	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	535	0	0	0	13332	0	0	0	0	497	95493	0	1099	0	0	1298	0	0	0	0	7136	45852	0	0	0	10706	1772	0	1395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16953	0	0	0	0	0	0	0	0	0	0	0	8336	0	0	0	541	0	0	0	0	0	0	0	0	0
CHI0016	0	0	0	0	2265	0	562	0	0	867	0	0	0	0	0	0	0	0	0	0	0	0	0	1341	0	0	15992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	424	0	86955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70376	863	0	0	0	0	0	0	0	0	0	693	0	0	0	0	904	0	7438	0	0	0	0	0	0	0	1203	0	0	0	0	0	0	0	0	0	0	0	0	72773	612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5371	0	0	0	0	0	55088	0	455	0	0	985	0	0	0	0	6932	26999	0	0	0	8284	0	0	1075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19000	0	0	0	0	0	0	0	0	0	0	0	11423	0	0	0	537	0	0	0	0	0	0	0	0	0
CHI0017	0	0	0	0	19644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4438	0	6426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5198	0	0	0	0	0	0	0	0	0	11139	0	0	0	0	0	0	0	0	0	0	0	0	62099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50307	0	0	0	0	0	2863325	0	0	0	0	0	0	0	0	0	8088	55146	0	0	0	23780	4710	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144631	0	0	0	0	0	0	0	0	0	0	0	16146	0	0	0	0	0	0	0	0	0	0	0	0	0
