sample	Akkermansia_muciniphila	Unknown_t_order_Enterobacterales	Unknown_t_family_Ruminococcaceae	Porphyromonas_gingivalis	Streptococcus_thermophilus	Unknown_t_family_Lachnospiraceae	Escherichia_coli	Clostridioides_difficile	Unknown_t_phylum_Proteobacteria	Unknown_t_genus_Pseudomonas	Klebsiella_pneumoniae	Ethanoligenens_harbinense	Streptococcus_parasanguinis	Bacteroides_thetaiotaomicron	Oxalobacter_formigenes	Odoribacter_splanchnicus	Unknown_t_family_Pasteurellaceae	Unknown_t_class_Gammaproteobacteria	Unknown_t_order_Bacteroidales	Unknown_t_class_Alphaproteobacteria	Lactococcus_lactis	Bacteroides_fragilis	Unknown_t_genus_Bacteroides	Unknown_t_class_Actinobacteria	Bacteroides_ovatus	Unknown_t_genus_Butyrivibrio	Unknown_t_order_Clostridiales	Campylobacter_coli	Clostridium_botulinum	Unknown_t_genus_Ruminococcus	Enterococcus_faecium	Unknown_t_genus_Klebsiella	Bifidobacterium_dentium	Unknown_t_genus_Lachnoclostridium	Enterobacter_cloacae	Eggerthella_lenta	Clostridium_perfringens	Faecalibacterium_prausnitzii	Megasphaera_elsdenii	Unknown_t_family_Enterobacteriaceae	Streptococcus_salivarius	Prevotella_intermedia	Unknown_t_genus_Clostridium	Citrobacter_freundii	Unknown_t_genus_Prevotella	Unknown_t_genus_Escherichia	Methanobrevibacter_smithii	Prevotella_melaninogenica	Unknown_t_genus_Bifidobacterium	Tannerella_forsythia	Unknown_t_order_Lactobacillales	Haemophilus_influenzae	Unknown_t_phylum_Bacteroidetes	Unknown_t_phylum_Firmicutes	Unknown_t_family_Flavobacteriaceae	Bifidobacterium_adolescentis	Unknown_t_genus_Citrobacter	Veillonella_parvula	Unknown_t_genus_Streptococcus	Unknown_t_genus_Bacillus	Bifidobacterium_bifidum	Unknown_t_genus_Parabacteroides	Bifidobacterium_breve	Unknown_t_genus_Paenibacillus	Unknown_t_domain_Bacteria	Bifidobacterium_longum	Unknown_t_genus_Haemophilus	Unknown_t_genus_Enterobacter	Unknown_t_genus_Campylobacter	crassphage
FIJ0042	0.0	0.005004504681468344	0.0	0.001138632933991973	0.0	0.005967836343222063	0.13128810780599068	0.0015242297060715974	0.0020927208375109067	0.0	0.025344734408668534	0.0	0.0014760301095616444	0.0021468628500289364	0.0	0.009884878895212426	0.0	0.001835216143827596	0.03400019345865449	0.0	0.0	0.004883015287525449	0.0324145587871661	0.0	0.011253285248183354	0.0	0.025787444401270225	0.0	0.0	0.0	0.0	0.0952064180733961	0.003748343964205527	0.0012822413208538196	0.0023802677454572707	0.0	0.0011739572958177607	0.06958833252835606	0.0	0.29045605071653985	0.009097178639919632	0.021222678504399534	0.0	0.001566486886573474	0.05906431377805274	0.0077835745679120764	0.0	0.018663478010254628	0.0	0.0	0.0	0.0	0.00548088836478247	0.005857241378627308	0.0	0.0	0.005320773266787078	0.0014730589015576063	0.019788245306894423	0.0	0.0	0.0035076761158784327	0.0	0.0	0.019122034445544524	0.0	0.0	0.015839509869527653	0.0	0.0021427969773009695
USA0060	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06430188605083552	0.0	0.04053326520342315	0.0	0.0	0.03199693264228339	0.0	0.0	0.007348562913052541	0.13287836335527967	0.0	0.7082279905462191	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0056375359018989765	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003735365942843062	0.0	0.0	0.0016701150504804462	0.003669982393684176	0.0	0.0	0.0	0.006990412354760255
CHI0030	0.0	0.0	0.001763991381467714	0.0016327601887287666	0.0	0.014960355972240024	0.0019898311085068334	0.012366250999493386	0.00248423699743031	0.0	0.017768093119212857	0.0	0.0	0.09567974705950572	0.0	0.10193916976433319	0.0010895240885535882	0.0012543260515280805	0.1162464216610817	0.0	0.0	0.025745728882459577	0.14860254039174037	0.001205495840276379	0.0571435547173036	0.001150561852618215	0.07562273778786935	0.00230112370523643	0.0010925759767568194	0.0	0.001690746064590162	0.023276751326045425	0.0	0.002890138128460078	0.0	0.0	0.0	0.08354849145166114	0.0	0.004086478304126763	0.0017029536174030873	0.01501834184810142	0.002368265245707519	0.0	0.040239145959605205	0.0	0.0	0.006512729425695678	0.004464912441327449	0.0	0.0013123119273894758	0.002493392662040004	0.020819981322444198	0.021228934341677195	0.0022278783883588776	0.0	0.0	0.006430328444208432	0.003939987670371659	0.0013886091324702594	0.0	0.03033271685191628	0.0	0.0	0.03053719336153278	0.00312208163190566	0.0015869818656802964	0.0	0.002349953916488131	0.0015482505590879664
USA0129	0.0	0.0	0.0	0.0	0.0	0.0013387100707735278	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0990037806262877	0.0	0.008481015287965544	0.0	0.0	0.021913853682594082	0.0	0.0	0.004451500438367399	0.09197528588312452	0.0	0.6963512739752316	0.0	0.004438115801089838	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0031099984800635827	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0035210628617290602	0.0010487643393191127	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0628505615101681	0.0	0.0	0.0015160770432859991	0.0	0.0	0.0	0.0	0.8764522352227869
USA0057	0.009992924003141574	0.0	0.0	0.0	0.0	0.001445594947393527	0.03913995194471126	0.0021063784591562654	0.0	0.0	0.0	0.0	0.0	0.07864162288616822	0.0	0.060426637424802976	0.0	0.0	0.1451403879640042	0.0	0.0	0.25991268434159687	0.1097269801844138	0.0	0.17019402858535032	0.0	0.009506944166238877	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0021493515144682942	0.0	0.009533845997613075	0.0	0.054166662784728516	0.0	0.0014691194925778896	0.0	0.0	0.0	0.0016228442432875854	0.0	0.0	0.0	0.0	0.0	0.0	0.005918286444178816	0.003911363240405945	0.0	0.002566853962418491	0.0	0.0	0.0010626805683530117	0.0	0.0	0.018660903696567838	0.0	0.0	0.007915776538249047	0.0034837289338862454	0.0	0.0	0.0013044476762873517	0.12103606495512177
FIJ0019	0.0	0.008100699719239473	0.0	0.0	0.0	0.0016750035848401785	0.22589169002874107	0.0	0.0016033067812707168	0.0	0.0038747446450800404	0.0	0.0	0.006585715087293456	0.0	0.00873765827848701	0.0	0.04247568023641242	0.010694253657056525	0.0	0.0	0.0016479873979879174	0.01526310648741773	0.0	0.022718534974532047	0.0	0.006044352266138535	0.0	0.0	0.0	0.0	0.022264455218592123	0.0	0.0	0.0	0.0	0.0	0.01539091383291112	0.0	0.5047423798766815	0.0	0.011358228403156322	0.0	0.0	0.027229199094749922	0.010636064946913193	0.0	0.01096753277790824	0.0	0.0	0.0	0.0	0.0033396163285833334	0.0021218097520121866	0.0	0.0	0.0	0.005428175389085045	0.001048435866689665	0.0	0.0	0.011217952048346505	0.0	0.0	0.014892153460253993	0.0	0.0	0.0040503498596197365	0.0	0.00017299890004067336
USA0113	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1895643473308835	0.0	0.025687263601363277	0.0	0.0	0.0419256041732769	0.0	0.0	0.004547362766410596	0.09836182376342273	0.0	0.5667876542437832	0.0	0.002345289762769691	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0010490601976842352	0.0	0.0	0.0	0.0018581272435284632	0.0	0.0	0.003066294391941315	0.0	0.0	0.001353126702749362	0.0	0.0	0.0	0.0	0.00434591614387082	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05694234782194169	0.0	0.0	0.0021657818563741967	0.0	0.0	0.0	0.0	0.2970002774804336
CHI0018	0.0	0.0010538632187705602	0.0	0.0	0.0	0.0	0.01570249618914554	0.0020073167528735694	0.0	0.0	0.0	0.0	0.0	0.17568340519495154	0.0	0.03565091893496456	0.0	0.0	0.026143568748735288	0.0	0.0	0.15880975499817707	0.08024882309107048	0.0	0.31095388542728813	0.0	0.0058123614845111485	0.0	0.0	0.0	0.0	0.0011854042903874388	0.0	0.0	0.0	0.0	0.0	0.0046679541614443034	0.0	0.04281026099283255	0.0	0.0	0.0	0.006559076301056297	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0029359967184887335	0.0023517351253904304	0.0	0.0	0.016546112928448452	0.0049450673523171946	0.001076444436064791	0.0	0.0	0.0867088051181754	0.0	0.0	0.010828022545262734	0.0	0.0	0.002302845693772824	0.0	0.09441030345400224
USA0044	0.004084508374741594	0.0	0.0	0.0	0.0	0.0036468187263338334	0.0	0.002922453068406144	0.0022628840427672053	0.0	0.0	0.0	0.0	0.30183413740063403	0.0	0.09876666839814692	0.0	0.0	0.06145541090257782	0.0020692081583779634	0.0	0.06839614768848279	0.06870245904112052	0.0	0.09328180305286744	0.0	0.010393701124730304	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005051995281091539	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007520514917237921	0.003288741469112802	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25889878212676826	0.0	0.0	0.007423766226602927	0.0	0.0	0.0	0.0	0.0005483599521287491
USA0107	0.0371294671622446	0.0	0.0024727440712744896	0.0	0.0019038700016980462	0.01828515627456664	0.0	0.013014923939535832	0.006227884663212257	0.0017414979054571319	0.0	0.003345208222202783	0.0	0.01584614443455347	0.0	0.06938719970452853	0.0	0.0015465370434213858	0.08050854483156468	0.0013241330101899924	0.029442520563797082	0.016005086134394927	0.09253837327172341	0.004532125376414538	0.05527397718443355	0.0	0.12097407249228018	0.013700431486693778	0.0	0.00279348613462362	0.0016220057642094166	0.0	0.0	0.004469806508491088	0.0	0.0013767324216483168	0.0	0.23835366129066377	0.0	0.0	0.0	0.0	0.0014905072355636056	0.0	0.0	0.0	0.0	0.0	0.0032337203392204653	0.0	0.007725824424308018	0.0	0.012272814851786865	0.030937029928493388	0.0	0.0	0.0	0.0	0.012160183503338062	0.0	0.0	0.006174141786287448	0.0013687281633829197	0.0011371764064196438	0.07904033517259754	0.0017483586982560437	0.0	0.0	0.0027586104378958176	0.00026486566593301027
USA0047	0.010026657614262423	0.0	0.0	0.0	0.0	0.003754624285590555	0.0	0.001900873991885561	0.0038115654208920736	0.0	0.0	0.0	0.0	0.2998072946175792	0.0	0.07006399441845974	0.0	0.0011154790222094426	0.05574166265060767	0.003916721080720931	0.0	0.021545783836178826	0.08750238072850183	0.0	0.3457720988873353	0.0	0.0192786103570471	0.0014274553573863451	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.022343832391477504	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005506709563776363	0.0033311654977735143	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03119327021230317	0.0	0.0	0.010848486183920739	0.0	0.0	0.0	0.0	0.00048766886273229773
USA0040	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07200827052575058	0.0	0.04665640767220398	0.0	0.0	0.11362897466017059	0.0	0.0	0.122638311285189	0.1472537487482173	0.0	0.4175541506174401	0.0	0.001843926056995996	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009266650823519408	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06743524484633429	0.0	0.0	0.0017143147641787465	0.0	0.0	0.0	0.0	0.9992598741419189
CHI0056	0.0	0.0	0.0013292867256531429	0.0	0.0034212952729170028	0.01707859619356008	0.026394556197463302	0.019879557661172283	0.0018779286626081104	0.0	0.0	0.0	0.005646730352943051	0.025709500566564902	0.0	0.03078468741349679	0.0	0.0012934407914782266	0.0568327329139359	0.0	0.0	0.013630416470011888	0.12619561126279252	0.0010594464989475236	0.07038747463402296	0.0	0.05629305246052466	0.0012167703211596558	0.001377081304553031	0.0	0.0037020884239538465	0.0	0.0	0.003775771733091174	0.0	0.0	0.0	0.15993260964375117	0.0	0.057448088117271964	0.04411539204499063	0.0	0.002286174024044656	0.0	0.0	0.00119785163367845	0.0	0.0	0.013405383661024915	0.0	0.0017883138271708198	0.0017753694620521	0.005135925790950495	0.01808825667282022	0.0	0.0	0.0	0.07720218500883204	0.04217373727718267	0.0014059571959717137	0.0	0.031177996969027122	0.0017216005607897259	0.0	0.02835811681393371	0.015454576231357625	0.0010654208213100097	0.0	0.0011560313771410478	0.016330894627703554
USA0052	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11514982510074964	0.0	0.012496290761691209	0.0	0.0	0.02508288904510494	0.0	0.0	0.004856816871815756	0.13773624859541164	0.0	0.672396657155078	0.0	0.0026279589274560383	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0030899436798496895	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005738093721728673	0.0012596844520583585	0.0	0.0	0.0	0.0	0.0028568920108883347	0.0	0.0	0.014907772815607711	0.0	0.0	0.0018009268625599883	0.0	0.0	0.0	0.0	0.3302662768601246
CHI0066	0.0	0.0	0.0	0.0	0.0	0.002834374282075216	0.020232964964981184	0.001491258171683918	0.0	0.0	0.0	0.0	0.0	0.044646313722063506	0.0	0.017794986432849113	0.0	0.0	0.20123941666748646	0.0	0.0	0.06013873272568083	0.23434743132660638	0.0	0.24805809483522379	0.0	0.008870005919895653	0.0	0.0	0.0	0.0	0.0	0.0	0.005046088962779886	0.0	0.0	0.0	0.0	0.0	0.01898012292319008	0.0	0.0	0.0	0.0	0.0	0.0010398878286829649	0.0	0.0	0.00207572489787746	0.0	0.0	0.0	0.012343821521222218	0.0029697853849755015	0.0	0.008863640440699485	0.0	0.0	0.0	0.0	0.0	0.0934458132796627	0.0	0.0	0.013482084937482314	0.0	0.0	0.0	0.0020994507748813562	0.10958873427528576
USA0043	0.0	0.0	0.0	0.0010223724992175956	0.0	0.0	0.0	0.0	0.001208719663523442	0.0	0.0	0.0	0.0	0.0720508543256412	0.0	0.07596806544660012	0.0	0.0	0.11112310375039812	0.0	0.0	0.047095555735445147	0.27173936858292896	0.0	0.3302267785026406	0.0	0.0026649028261807616	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0030795713922969893	0.0	0.0	0.0	0.0024190537207970583	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0010984796331543892	0.0	0.0	0.00829291006696736	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06676786609203474	0.0	0.0	0.005242397762173509	0.0	0.0	0.0	0.0	0.007469947612949531
CHI0055	0.0023317688559385367	0.0	0.0	0.0011826253325760067	0.0	0.007657768078682251	0.013726345998624854	0.005715823144300618	0.0023927535798630834	0.0	0.0	0.0	0.0	0.1597512779886999	0.0	0.040584735882335354	0.0	0.0011312068398553108	0.10571761681265134	0.0	0.0	0.039496577082897374	0.177552838480165	0.0012567636244058473	0.19954201668111565	0.0	0.03544288661026576	0.0	0.0	0.0	0.0019957549849032915	0.0	0.0	0.003241756599204807	0.0	0.0	0.0	0.08950524647992586	0.0	0.017821888732773312	0.0	0.0026079937819497175	0.0	0.0	0.002335356192639981	0.0	0.0	0.001096529251741353	0.005121521030761412	0.0012292607096947774	0.0016262593046545693	0.0	0.010586230605960957	0.01894233356252429	0.0	0.0	0.0	0.0	0.004117066754357119	0.0	0.0	0.01929867567486772	0.0	0.0	0.02212190965890407	0.0	0.0	0.0	0.0027873606170219127	0.0008873246255874169
CHI0034	0.0	0.0	0.0	0.0	0.0	0.014273146986360282	0.03046150774807989	0.01050242410277412	0.0014674287718656682	0.0	0.0013433550104809677	0.0	0.0019833144113073175	0.06289513528237975	0.0	0.013313207885120757	0.003786581935793228	0.001473958969833284	0.1270244779806389	0.0	0.0	0.05642464198189642	0.1950113019069111	0.0	0.16666091387321902	0.0	0.04219067618334184	0.0	0.0	0.0	0.0	0.002860226709815727	0.0	0.0025887570514476982	0.0	0.0	0.0	0.053365710676780385	0.0	0.044762641297158526	0.009328854239451165	0.0011754356341708468	0.0016353481481757891	0.0024488242378559308	0.0	0.001473026084409339	0.0	0.0	0.007184150649801342	0.0	0.0	0.009626444689689657	0.011676926851521023	0.01690201811103762	0.0	0.0	0.004262353502005237	0.01734327291656366	0.013844019691345529	0.0	0.0	0.036082142427349216	0.0	0.0	0.023441544932892886	0.0	0.005958339202737459	0.0	0.0011670396653553406	0.013927649750648176
