contig	PR_origin	Ribisomal_P
PR_node_1_split_00001	PR	
PR_node_3_split_00001	PR	
PR_node_5_split_00001	PR	
PR_node_6_split_00001	PR	
PR_node_7_split_00001	PR	
PR_node_8_split_00001	PR	
PR_node_9_split_00001	PR	
PR_node_10_split_00001	PR	
PR_node_11_split_00001	PR	
PR_node_12_split_00001	PR	
PR_node_13_split_00001	PR	
PR_node_14_split_00001	PR	
PR_node_15_split_00001	PR	
PR_node_17_split_00001	PR	
PR_node_18_split_00001	PR	
PR_node_19_split_00001	PR	
PR_node_20_split_00001	PR	
PR_node_22_split_00001	PR	
PR_node_24_split_00001	PR	
PR_node_26_split_00001	PR	
PR_node_28_split_00001	PR	
PR_node_29_split_00001	PR	
PR_node_32_split_00001	PR	
PR_node_33_split_00001	PR	
PR_node_34_split_00001	PR	
PR_node_35_split_00001	PR	
PR_node_36_split_00001	PR	
PR_node_37_split_00001	PR	
PR_node_38_split_00001	PR	
PR_node_39_split_00001	PR	
PR_node_41_split_00001	PR	
PR_node_43_split_00001	PR	
PR_node_44_split_00001	PR	
PR_node_45_split_00001	PR	
PR_node_47_split_00001	PR	
PR_node_48_split_00001	PR	YES
PR_node_49_split_00001	PR	
PR_node_50_split_00001	PR	
PR_node_51_split_00001	PR	
PR_node_52_split_00001	PR	
PR_node_54_split_00001	PR	
PR_node_57_split_00001	PR	
PR_node_60_split_00001	PR	YES
PR_node_61_split_00001	PR	
PR_node_65_split_00001	PR	
PR_node_66_split_00001	PR	
PR_node_67_split_00001	PR	
PR_node_68_split_00001	PR	
PR_node_69_split_00001	PR	
PR_node_70_split_00001	PR	
PR_node_71_split_00001	PR	
PR_node_72_split_00001	PR	
PR_node_73_split_00001	PR	
PR_node_74_split_00001	PR	
PR_node_75_split_00001	PR	
PR_node_76_split_00001	PR	
PR_node_77_split_00001	PR	
PR_node_78_split_00001	PR	
PR_node_79_split_00001	PR	
PR_node_81_split_00001	PR	
PR_node_82_split_00001	PR	
PR_node_83_split_00001	PR	
PR_node_85_split_00001	PR	
PR_node_86_split_00001	PR	
PR_node_87_split_00001	PR	
PR_node_88_split_00001	PR	
PR_node_89_split_00001	PR	
PR_node_90_split_00001	PR	
PR_node_91_split_00001	PR	
PR_node_92_split_00001	PR	
PR_node_93_split_00001	PR	
PR_node_94_split_00001	PR	
PR_node_95_split_00001	PR	
PR_node_96_split_00001	PR	
PR_node_97_split_00001	PR	
PR_node_98_split_00001	PR	
PR_node_99_split_00001	PR	
PR_node_101_split_00001	PR	
PR_node_102_split_00001	PR	
PR_node_103_split_00001	PR	
PR_node_105_split_00001	PR	
PR_node_107_split_00001	PR	
PR_node_108_split_00001	PR	
PR_node_109_split_00001	PR	
PR_node_110_split_00001	PR	
PR_node_111_split_00001	PR	
PR_node_112_split_00001	PR	
PR_node_114_split_00001	PR	
PR_node_116_split_00001	PR	
PR_node_117_split_00001	PR	
PR_node_118_split_00001	PR	
PR_node_120_split_00001	PR	
PR_node_122_split_00001	PR	
PR_node_123_split_00001	PR	
PR_node_124_split_00001	PR	
PR_node_125_split_00001	PR	
PR_node_128_split_00001	PR	
PR_node_130_split_00001	PR	
PR_node_131_split_00001	PR	
PR_node_132_split_00001	PR	
PR_node_134_split_00001	PR	
PR_node_138_split_00001	PR	
PR_node_139_split_00001	PR	
PR_node_140_split_00001	PR	
PR_node_143_split_00001	PR	
PR_node_144_split_00001	PR	
PR_node_145_split_00001	PR	
PR_node_146_split_00001	PR	
PR_node_147_split_00001	PR	
PR_node_149_split_00001	PR	
PR_node_150_split_00001	PR	
PR_node_151_split_00001	PR	
PR_node_152_split_00001	PR	
PR_node_154_split_00001	PR	
PR_node_155_split_00001	PR	
PR_node_156_split_00001	PR	
PR_node_159_split_00001	PR	
PR_node_160_split_00001	PR	
PR_node_162_split_00001	PR	
PR_node_163_split_00001	PR	
PR_node_164_split_00001	PR	
PR_node_165_split_00001	PR	
PR_node_167_split_00001	PR	
PR_node_168_split_00001	PR	
PR_node_169_split_00001	PR	
PR_node_170_split_00001	PR	
PR_node_171_split_00001	PR	
PR_node_173_split_00001	PR	
PR_node_175_split_00001	PR	
PR_node_176_split_00001	PR	
PR_node_177_split_00001	PR	
PR_node_178_split_00001	PR	
PR_node_179_split_00001	PR	
PR_node_180_split_00001	PR	
PR_node_184_split_00001	PR	
PR_node_185_split_00001	PR	
PR_node_190_split_00001	PR	
PR_node_191_split_00001	PR	
PR_node_195_split_00001	PR	
PR_node_196_split_00001	PR	
PR_node_197_split_00001	PR	YES
PR_node_198_split_00001	PR	
PR_node_199_split_00001	PR	YES
PR_node_201_split_00001	PR	
PR_node_202_split_00001	PR	
PR_node_203_split_00001	PR	
PR_node_206_split_00001	PR	
PR_node_208_split_00001	PR	
PR_node_209_split_00001	PR	
PR_node_210_split_00001	PR	
PR_node_211_split_00001	PR	
PR_node_212_split_00001	PR	
PR_node_215_split_00001	PR	
PR_node_217_split_00001	PR	
