Authors	Title	Publication	Volume	Number	Pages	Year	doi
Delmont, Tom O*; Kiefl, Evan*; Kilinc, Ozsel; Esen, Özcan C; Uysal, Ismail; Rappé, Michael S; Giovannoni, Steven; Eren, A Murat; 	Single-amino acid variants reveal evolutionary processes that shape the biogeography of a global SAR11 subclade	eLife	8		e46497	2019	10.7554/eLife.46497
Shaiber, Alon; Eren, A Murat; 	Composite Metagenome-Assembled Genomes Reduce the Quality of Public Genome Repositories	mBio	10	3	e00725-19	2019	10.1128/mBio.00725-19
Reveillaud, Julie*; Bordenstein, Sarah R*; Cruaud, Corinne; Shaiber, Alon; Esen, Özcan C.; Weill, Mylène; Makoundou, Patrick; Lolans, Karen; Watson, Andrea R.; Rakotoarivony, Ignace; Bordenstein, Seth; Eren, A. Murat; 	The Wolbachia mobilome in Culex pipiens includes a putative plasmid	Nature Communications	10	1	1051	2019	10.1038/s41467-019-08973-w
Yeoman, Carl J; Brutscher, Laura M; Esen, Özcan C; Ibaoglu, Furkan; Fowler, Curtis; Eren, A Murat; Wanner, Kevin; Weaver, David K; 	Genome-resolved insights into a novel Spiroplasma symbiont of the Wheat Stem Sawfly (Cephus cinctus)	PeerJ	7		e7548	2019	10.7717/peerj.7548
Edwards, R A; Vega, A A; Norman, H M; Ohaeri, M; Levi, K; Dinsdale, E A; Cinek, O; Aziz, R K; McNair, K; Barr, J J; Bibby, K; Brouns, SJJ; Cazares, A; deJonge, P A; Desnues, C; Díaz Muñoz, S L; Fineran, P C; Kurilshikov, A; Lavigne, R; Mazankova, K; McCarthy, D T; Nobrega, F L; Reyes Muñoz, A; Tapia, G; Trefault, N; Tyakht, A V; Vinuesa, P; Wagemans, J; Zhernakova, A; Aarestrup, F M; Ahmadov, G; Alassaf, A; Anton, J; Asangba, A; Billings, E K; Cantu, V A; Carlton, J M; Cazares, D; Cho, G S; Condeff, T; Cortés, P; Cranfield, M; Cuevas, D A; De la Iglesia, R; Decewicz, P; Doane, M P; Dominy, N J; Dziewit, L; Elwasila, B M; Eren, A M; Franz, C; Fu, J; Garcia-Aljaro, C; Ghedin, E; Gulino, K M; Haggerty, J M; Head, S R; Hendriksen, R S; Hill, C; Hyöty, H; Ilina, E N; Irwin, M T; Jeffries, T C; Jofre, J; Junge, R E; Kelley, S T; Khan Mirzaei, M; Kowalewski, M; Kumaresan, D; Leigh, S R; Lipson, D; Lisitsyna, E S; Llagostera, M; Maritz, J M; Marr, L C; McCann, A; Molshanski-Mor, S; Monteiro, S; Moreira-Grez, B; Morris, M; Mugisha, L; Muniesa, M; Neve, H; Nguyen, N P; Nigro, O D; Nilsson, A S; O'Connell, T; Odeh, R; Oliver, A; Piuri, M; Prussin Ii, A J; Qimron, U; Quan, Z X; Rainetova, P; Ramírez-Rojas, A; Raya, R; Reasor, K; Rice, GAO; Rossi, A; Santos, R; Shimashita, J; Stachler, E N; Stene, L C; Strain, R; Stumpf, R; Torres, P J; Twaddle, A; Ugochi Ibekwe, M; Villagra, N; Wandro, S; White, B; Whiteley, A; Whiteson, K L; Wijmenga, C; Zambrano, M M; Zschach, H; and Dutilh, B E	Global phylogeography and ancient evolution of the widespread human gut virus crAssphage	Nature Microbiology	4	10	1727	2019	10.1038/s41564-019-0494-6
McKay, Luke J; Dlakić, Mensur; Fields, Matthew W; Delmont, Tom O; Eren, A Murat; Jay, Zackary J; Klingelsmith, Korinne B; Rusch, Douglas B; Inskeep, William P; 	Co-occurring genomic capacity for anaerobic methane and dissimilatory sulfur metabolisms discovered in the Korarchaeota	Nature Microbiology	4	4	614	2019	10.1038/s41564-019-0362-4
Wang, Xiaoyun; Li, Yan; Chen, Wenjun; Shi, Hailing; Eren, A Murat; Morozov, Aleksey; He, Chuan; Luo, Guan-Zheng; Pan, Tao; 	Transcriptome-wide reprogramming of N 6-methyladenosine modification by the mouse microbiome	Cell Research	29	2	167	2019	10.1038/s41422-018-0127-2
Bunker, Jeffrey J; Drees, Christoph; Watson, Andrea R; Plunkett, Catherine H; Nagler, Cathryn R; Schneewind, Olaf; Eren, A Murat; Bendelac, Albert; 	B cell superantigens in the human intestinal microbiota	Science Translational Medicine	11	507	eaau9356	2019	10.1126/scitranslmed.aau9356
Schwartz, Michael H; Wang, Haipeng; Pan, Jessica N; Clark, Wesley C; Cui, Steven; Eckwahl, Matthew J; Pan, David W; Parisien, Marc; Owens, Sarah M; Cheng, Brian L; 	Microbiome characterization by high-throughput transfer RNA sequencing and modification analysis	Nature Communications	9	1	5353	2018	10.1038/s41467-018-07675-z
Delmont, Tom O; Quince, Christopher; Shaiber, Alon; Esen, Özcan C; Lee, Sonny TM; Rappé, Michael S; MacLellan, Sandra L; Lücker, Sebastian; Eren, A Murat; 	Nitrogen-fixing populations of Planctomycetes and Proteobacteria are abundant in surface ocean metagenomes	Nature Microbiology	3	7	804-813	2018	10.1038/s41564-018-0176-9
