Metagenome	Body_Site	Body_Subsite	Host_Gender
SRS011061	GastrointestinalTract	Stool	Female
SRS011090	Oral	Buccal_mucosa	Female
SRS011098	Oral	Supragingival_plaque	Female
SRS011126	Oral	Supragingival_plaque	Male
SRS011132	Airways	Nares	Male
SRS011134	GastrointestinalTract	Stool	Male
SRS011140	Oral	Tongue_dorsum	Male
SRS011144	Oral	Buccal_mucosa	Male
SRS011152	Oral	Supragingival_plaque	Male
SRS011239	GastrointestinalTract	Stool	Female
SRS011243	Oral	Tongue_dorsum	Female
SRS011247	Oral	Buccal_mucosa	Female
SRS011255	Oral	Supragingival_plaque	Female
SRS011263	Airways	Nares	Female
SRS011269	UrogenitalTract	Posterior_fornix	Female
SRS011271	GastrointestinalTract	Stool	Male
SRS011302	GastrointestinalTract	Stool	Female
SRS011306	Oral	Tongue_dorsum	Female
SRS011310	Oral	Buccal_mucosa	Female
SRS011343	Oral	Supragingival_plaque	Female
SRS011355	UrogenitalTract	Posterior_fornix	Female
SRS011397	Airways	Nares	Female
SRS011405	GastrointestinalTract	Stool	Female
SRS011452	GastrointestinalTract	Stool	Male
SRS011529	GastrointestinalTract	Stool	Male
SRS011584	UrogenitalTract	Posterior_fornix	Female
SRS011586	GastrointestinalTract	Stool	Female
SRS012273	GastrointestinalTract	Stool	Female
SRS012279	Oral	Tongue_dorsum	Female
SRS012281	Oral	Buccal_mucosa	Female
SRS012285	Oral	Supragingival_plaque	Female
SRS012291	Airways	Nares	Female
SRS012294	UrogenitalTract	Posterior_fornix	Female
SRS012663	Airways	Nares	Male
SRS012902	GastrointestinalTract	Stool	Female
SRS013155	Airways	Nares	Male
SRS013158	GastrointestinalTract	Stool	Male
SRS013164	Oral	Tongue_dorsum	Male
SRS013170	Oral	Supragingival_plaque	Male
SRS013215	GastrointestinalTract	Stool	Male
SRS013234	Oral	Tongue_dorsum	Male
SRS013239	Oral	Buccal_mucosa	Male
SRS013252	Oral	Supragingival_plaque	Male
SRS013258	Skin	Retroauricular_crease	Male
SRS013269	Airways	Nares	Male
SRS013476	GastrointestinalTract	Stool	Male
SRS013502	Oral	Tongue_dorsum	Male
SRS013506	Oral	Buccal_mucosa	Male
SRS013521	GastrointestinalTract	Stool	Female
SRS013533	Oral	Supragingival_plaque	Female
SRS013542	UrogenitalTract	Posterior_fornix	Female
SRS013637	Airways	Nares	Male
SRS013687	GastrointestinalTract	Stool	Male
SRS013705	Oral	Tongue_dorsum	Male
SRS013711	Oral	Buccal_mucosa	Male
SRS013723	Oral	Supragingival_plaque	Male
SRS013800	GastrointestinalTract	Stool	Male
SRS013818	Oral	Tongue_dorsum	Male
SRS013825	Oral	Buccal_mucosa	Male
SRS013836	Oral	Supragingival_plaque	Male
SRS013876	Airways	Nares	Male
SRS013879	Oral	Tongue_dorsum	Male
SRS013881	Oral	Buccal_mucosa	Male
SRS013942	Oral	Saliva	Male
SRS013945	Oral	Buccal_mucosa	Male
SRS013946	Oral	Attached_Keratinized_gingiva	Male
SRS013947	Oral	Palatine_tonsils	Male
SRS013948	Oral	Throat	Male
SRS013949	Oral	Supragingival_plaque	Male
SRS013950	Oral	Subgingival_plaque	Male
SRS013951	GastrointestinalTract	Stool	Male
SRS013956	Airways	Nares	Male
SRS014107	Oral	Subgingival_plaque	Male
SRS014124	Oral	Tongue_dorsum	Female
SRS014126	Oral	Buccal_mucosa	Female
SRS014235	GastrointestinalTract	Stool	Male
SRS014271	Oral	Tongue_dorsum	Male
SRS014287	GastrointestinalTract	Stool	Male
SRS014313	GastrointestinalTract	Stool	Female
SRS014459	GastrointestinalTract	Stool	Female
SRS014464	Airways	Nares	Female
SRS014465	UrogenitalTract	Vaginal_introitus	Female
SRS014466	UrogenitalTract	Mid_Vagina	Female
SRS014470	Oral	Tongue_dorsum	Female
SRS014472	Oral	Buccal_mucosa	Female
SRS014473	Oral	Attached_Keratinized_gingiva	Female
SRS014474	Oral	Palatine_tonsils	Female
SRS014475	Oral	Throat	Female
SRS014476	Oral	Supragingival_plaque	Female
SRS014477	Oral	Subgingival_plaque	Female
SRS014494	UrogenitalTract	Posterior_fornix	Female
SRS014573	Oral	Tongue_dorsum	Female
SRS014575	Oral	Buccal_mucosa	Female
SRS014578	Oral	Supragingival_plaque	Female
SRS014613	GastrointestinalTract	Stool	Female
SRS014629	UrogenitalTract	Posterior_fornix	Female
SRS014682	Airways	Nares	Male
SRS014683	GastrointestinalTract	Stool	Male
SRS014684	Oral	Tongue_dorsum	Male
SRS014686	Oral	Buccal_mucosa	Male
SRS014687	Oral	Attached_Keratinized_gingiva	Male
SRS014689	Oral	Throat	Male
SRS014690	Oral	Supragingival_plaque	Male
SRS014691	Oral	Subgingival_plaque	Male
SRS014888	Oral	Tongue_dorsum	Male
SRS014890	Oral	Buccal_mucosa	Male
SRS014894	Oral	Supragingival_plaque	Male
SRS014901	Airways	Nares	Male
SRS014923	GastrointestinalTract	Stool	Male
SRS014979	GastrointestinalTract	Stool	Female
SRS015038	Oral	Tongue_dorsum	Female
SRS015040	Oral	Buccal_mucosa	Female
SRS015044	Oral	Supragingival_plaque	Female
SRS015051	Airways	Nares	Female
SRS015054	UrogenitalTract	Posterior_fornix	Female
SRS015055	Oral	Saliva	Female
SRS015057	Oral	Tongue_dorsum	Female
SRS015059	Oral	Buccal_mucosa	Female
SRS015060	Oral	Attached_Keratinized_gingiva	Female
SRS015061	Oral	Palatine_tonsils	Female
SRS015062	Oral	Throat	Female
SRS015063	Oral	Supragingival_plaque	Female
SRS015065	GastrointestinalTract	Stool	Female
SRS015071	UrogenitalTract	Vaginal_introitus	Female
SRS015072	UrogenitalTract	Mid_Vagina	Female
SRS015073	UrogenitalTract	Posterior_fornix	Female
SRS015133	GastrointestinalTract	Stool	Female
SRS015154	Oral	Buccal_mucosa	Female
SRS015158	Oral	Supragingival_plaque	Female
SRS015168	UrogenitalTract	Posterior_fornix	Female
SRS015190	GastrointestinalTract	Stool	Female
SRS015209	Oral	Tongue_dorsum	Female
SRS015215	Oral	Supragingival_plaque	Female
SRS015217	GastrointestinalTract	Stool	Female
SRS015225	UrogenitalTract	Posterior_fornix	Female
SRS015264	GastrointestinalTract	Stool	Male
SRS015269	Airways	Nares	Male
SRS015272	Oral	Tongue_dorsum	Male
SRS015274	Oral	Buccal_mucosa	Male
SRS015278	Oral	Supragingival_plaque	Male
SRS015369	GastrointestinalTract	Stool	Female
SRS015374	Oral	Buccal_mucosa	Female
SRS015378	Oral	Supragingival_plaque	Female
SRS015381	Skin	Retroauricular_crease	Female
SRS015395	Oral	Tongue_dorsum	Female
SRS015425	UrogenitalTract	Posterior_fornix	Female
SRS015430	Airways	Nares	Male
SRS015434	Oral	Tongue_dorsum	Male
SRS015436	Oral	Buccal_mucosa	Male
SRS015440	Oral	Supragingival_plaque	Male
SRS015450	Airways	Nares	Male
SRS015470	Oral	Supragingival_plaque	Male
SRS015537	Oral	Tongue_dorsum	Male
SRS015574	Oral	Supragingival_plaque	Male
SRS015578	GastrointestinalTract	Stool	Male
SRS015640	Airways	Nares	Male
SRS015644	Oral	Tongue_dorsum	Male
SRS015646	Oral	Buccal_mucosa	Male
SRS015650	Oral	Supragingival_plaque	Male
SRS015663	GastrointestinalTract	Stool	Male
SRS015745	Oral	Buccal_mucosa	Male
SRS015752	Airways	Nares	Male
SRS015755	Oral	Supragingival_plaque	Male
SRS015762	Oral	Tongue_dorsum	Male
SRS015782	GastrointestinalTract	Stool	Male
SRS015793	Airways	Nares	Male
SRS015794	GastrointestinalTract	Stool	Male
SRS015797	Oral	Tongue_dorsum	Male
SRS015799	Oral	Buccal_mucosa	Male
SRS015803	Oral	Supragingival_plaque	Male
SRS015854	GastrointestinalTract	Stool	Male
SRS015893	Oral	Tongue_dorsum	Male
SRS015895	Oral	Buccal_mucosa	Male
SRS015899	Oral	Supragingival_plaque	Male
SRS015921	Oral	Buccal_mucosa	Male
SRS015937	Airways	Nares	Male
SRS015941	Oral	Tongue_dorsum	Male
SRS015947	Oral	Supragingival_plaque	Male
SRS015960	GastrointestinalTract	Stool	Male
SRS015989	Oral	Supragingival_plaque	Male
SRS015996	Airways	Nares	Male
SRS016002	Oral	Tongue_dorsum	Male
SRS016018	GastrointestinalTract	Stool	Male
SRS016033	Airways	Nares	Male
SRS016037	Oral	Tongue_dorsum	Male
SRS016039	Oral	Buccal_mucosa	Male
SRS016043	Oral	Supragingival_plaque	Male
SRS016056	GastrointestinalTract	Stool	Male
SRS016086	Oral	Tongue_dorsum	Female
SRS016088	Oral	Buccal_mucosa	Female
SRS016092	Oral	Supragingival_plaque	Female
SRS016095	GastrointestinalTract	Stool	Female
SRS016111	UrogenitalTract	Posterior_fornix	Female
SRS016188	Airways	Nares	Female
SRS016191	UrogenitalTract	Posterior_fornix	Female
SRS016196	Oral	Buccal_mucosa	Female
SRS016200	Oral	Supragingival_plaque	Female
SRS016203	GastrointestinalTract	Stool	Female
SRS016225	Oral	Tongue_dorsum	Female
SRS016267	GastrointestinalTract	Stool	Male
SRS016292	Airways	Nares	Male
SRS016297	Oral	Buccal_mucosa	Male
SRS016319	Oral	Tongue_dorsum	Male
SRS016331	Oral	Supragingival_plaque	Male
SRS016335	GastrointestinalTract	Stool	Male
SRS016342	Oral	Tongue_dorsum	Male
SRS016349	Oral	Buccal_mucosa	Male
SRS016360	Oral	Supragingival_plaque	Male
SRS016434	Airways	Nares	Male
SRS016495	GastrointestinalTract	Stool	Female
SRS016501	Oral	Tongue_dorsum	Female
SRS016503	Oral	Buccal_mucosa	Female
SRS016513	Airways	Nares	Female
SRS016516	UrogenitalTract	Posterior_fornix	Female
SRS016529	Oral	Tongue_dorsum	Female
SRS016533	Oral	Buccal_mucosa	Female
SRS016553	Airways	Nares	Female
SRS016559	UrogenitalTract	Posterior_fornix	Female
SRS016569	Oral	Tongue_dorsum	Female
SRS016575	Oral	Supragingival_plaque	Female
SRS016581	Airways	Nares	Female
SRS016585	GastrointestinalTract	Stool	Female
SRS016600	Oral	Buccal_mucosa	Female
SRS016746	Oral	Supragingival_plaque	Male
SRS016752	Airways	Nares	Male
SRS016753	GastrointestinalTract	Stool	Male
SRS016944	Skin	Retroauricular_crease	Male
SRS016954	GastrointestinalTract	Stool	Male
SRS016989	GastrointestinalTract	Stool	Male
SRS017013	Oral	Buccal_mucosa	Male
SRS017025	Oral	Supragingival_plaque	Male
SRS017044	Airways	Nares	Male
SRS017080	Oral	Buccal_mucosa	Male
SRS017103	GastrointestinalTract	Stool	Male
SRS017120	Oral	Tongue_dorsum	Male
SRS017127	Oral	Buccal_mucosa	Male
SRS017139	Oral	Supragingival_plaque	Male
SRS017156	Airways	Nares	Male
SRS017191	GastrointestinalTract	Stool	Male
SRS017209	Oral	Tongue_dorsum	Male
SRS017215	Oral	Buccal_mucosa	Male
SRS017227	Oral	Supragingival_plaque	Male
SRS017244	Airways	Nares	Male
SRS017247	GastrointestinalTract	Stool	Male
SRS017304	Oral	Supragingival_plaque	Male
SRS017307	GastrointestinalTract	Stool	Male
SRS017433	GastrointestinalTract	Stool	Female
SRS017439	Oral	Tongue_dorsum	Female
SRS017441	Oral	Buccal_mucosa	Female
SRS017445	Oral	Supragingival_plaque	Female
SRS017451	Airways	Nares	Female
SRS017497	UrogenitalTract	Posterior_fornix	Female
SRS017511	Oral	Supragingival_plaque	Female
SRS017520	UrogenitalTract	Posterior_fornix	Female
SRS017521	GastrointestinalTract	Stool	Female
SRS017533	Oral	Tongue_dorsum	Female
SRS017537	Oral	Buccal_mucosa	Female
SRS017687	Oral	Buccal_mucosa	Female
SRS017691	Oral	Supragingival_plaque	Female
SRS017697	Airways	Nares	Female
SRS017700	UrogenitalTract	Posterior_fornix	Female
SRS017701	GastrointestinalTract	Stool	Female
SRS017713	Oral	Tongue_dorsum	Female
SRS017808	Oral	Tongue_dorsum	Male
SRS017810	Oral	Buccal_mucosa	Male
SRS017814	Oral	Supragingival_plaque	Male
SRS017820	Airways	Nares	Male
SRS017821	GastrointestinalTract	Stool	Male
SRS017849	Skin	Retroauricular_crease	Male
SRS017851	Skin	Retroauricular_crease	Male
SRS018133	GastrointestinalTract	Stool	Male
SRS018145	Oral	Tongue_dorsum	Male
SRS018149	Oral	Buccal_mucosa	Male
SRS018157	Oral	Supragingival_plaque	Male
SRS018300	Oral	Tongue_dorsum	Male
SRS018312	Airways	Nares	Male
SRS018329	Oral	Buccal_mucosa	Male
SRS018337	Oral	Supragingival_plaque	Male
SRS018351	GastrointestinalTract	Stool	Male
SRS018357	Oral	Tongue_dorsum	Male
SRS018359	Oral	Buccal_mucosa	Male
SRS018369	Airways	Nares	Male
SRS018394	Oral	Supragingival_plaque	Male
SRS018427	GastrointestinalTract	Stool	Male
SRS018439	Oral	Tongue_dorsum	Male
SRS018463	Airways	Nares	Male
SRS018573	Oral	Supragingival_plaque	Male
SRS018575	GastrointestinalTract	Stool	Male
SRS018585	Airways	Nares	Male
SRS018591	Oral	Tongue_dorsum	Male
SRS018656	GastrointestinalTract	Stool	Female
SRS018661	Oral	Buccal_mucosa	Female
