samples	phylum	class	order	family	genus
Streptococcus_mitis	Firmicutes	Lactobacillales	Bacilli	Streptococcaceae	Streptococcus
Propionibacterium_acnes	Actinobacteria	Propionibacteriales	Actinobacteria	Propionibacteriaceae	Propionibacterium
Haemophilus_parainfluenzae	Proteobacteria	Pasteurellales	Gammaproteobacteria	Pasteurellaceae	Haemophilus
Lactobacillus_crispatus	Firmicutes	Lactobacillales	Bacilli	Lactobacillaceae	Lactobacillus
Bacteroides_unclassified	Bacteroidetes	Bacteroidales	Bacteroidia	Bacteroidaceae	Bacteroides
Corynebacterium_matruchotii	Actinobacteria	Corynebacteriales	Actinobacteria	Corynebacteriaceae	Corynebacterium
Corynebacterium_accolens	Actinobacteria	Corynebacteriales	Actinobacteria	Corynebacteriaceae	Corynebacterium
Rothia_dentocariosa	Actinobacteria	Micrococcales	Actinobacteria	Micrococcaceae	Rothia
Prevotella_melaninogenica	Bacteroidetes	Bacteroidales	Bacteroidia	Prevotellaceae	Prevotella
Staphylococcus_epidermidis	Firmicutes	Bacillales	Bacilli	Staphylococcaceae	Staphylococcus
Bacteroides_vulgatus	Bacteroidetes	Bacteroidales	Bacteroidia	Bacteroidaceae	Bacteroides
Alistipes_putredinis	Bacteroidetes	Bacteroidales	Bacteroidia	Rikenellaceae	Alistipes
Neisseria_flavescens	Proteobacteria	Neisseriales	Betaproteobacteria	Chromobacteriaceae	Neisseria
Streptococcus_parasanguinis	Firmicutes	Lactobacillales	Bacilli	Streptococcaceae	Streptococcus
Rothia_mucilaginosa	Actinobacteria	Micrococcales	Actinobacteria	Micrococcaceae	Rothia
Lactobacillus_iners	Firmicutes	Lactobacillales	Bacilli	Lactobacillaceae	Lactobacillus
Lactobacillus_jensenii	Firmicutes	Lactobacillales	Bacilli	Lactobacillaceae	Lactobacillus
Streptococcus_sanguinis	Firmicutes	Lactobacillales	Bacilli	Streptococcaceae	Streptococcus
Veillonella_unclassified	Firmicutes	Veillonellales	Negativicutes	Veillonellaceae	Veillonella
Prevotella_copri	Bacteroidetes	Bacteroidales	Bacteroidia	Prevotellaceae	Prevotella
Streptococcus_salivarius	Firmicutes	Lactobacillales	Bacilli	Streptococcaceae	Streptococcus
Veillonella_parvula	Firmicutes	Veillonellales	Negativicutes	Veillonellaceae	Veillonella
Neisseria_mucosa	Proteobacteria	Neisseriales	Betaproteobacteria	Chromobacteriaceae	Neisseria
Bacteroides_ovatus	Bacteroidetes	Bacteroidales	Bacteroidia	Bacteroidaceae	Bacteroides
Veillonella_atypica	Firmicutes	Veillonellales	Negativicutes	Veillonellaceae	Veillonella
Streptococcus_infantis	Firmicutes	Lactobacillales	Bacilli	Streptococcaceae	Streptococcus
Eubacterium_rectale	Firmicutes	Clostridiales	Clostridia	Eubacteriaceae	Eubacterium
Gemella_haemolysans	None	None	None	None	Gemella
Campylobacter_concisus	Proteobacteria	Campylobacterales	Epsilonproteobacteria	Campylobacteraceae	Campylobacter
Bacteroides_stercoris	Bacteroidetes	Bacteroidales	Bacteroidia	Bacteroidaceae	Bacteroides
Capnocytophaga_gingivalis	Bacteroidetes	Flavobacteriales	Flavobacteriia	Flavobacteriaceae	Capnocytophaga
Parabacteroides_merdae	Bacteroidetes	Bacteroidales	Bacteroidia	Porphyromonadaceae	Parabacteroides
Capnocytophaga_sputigena	Bacteroidetes	Flavobacteriales	Flavobacteriia	Flavobacteriaceae	Capnocytophaga
Actinomyces_viscosus	None	None	None	None	Actinomyces
Lactobacillus_gasseri	Firmicutes	Lactobacillales	Bacilli	Lactobacillaceae	Lactobacillus
Neisseria_sicca	Proteobacteria	Neisseriales	Betaproteobacteria	Chromobacteriaceae	Neisseria
Haemophilus_influenzae	Proteobacteria	Pasteurellales	Gammaproteobacteria	Pasteurellaceae	Haemophilus
Veillonella_dispar	Firmicutes	Veillonellales	Negativicutes	Veillonellaceae	Veillonella
Bacteroides_caccae	Bacteroidetes	Bacteroidales	Bacteroidia	Bacteroidaceae	Bacteroides
Streptococcus_australis	Firmicutes	Lactobacillales	Bacilli	Streptococcaceae	Streptococcus
Staphylococcus_aureus	Firmicutes	Bacillales	Bacilli	Staphylococcaceae	Staphylococcus
Bacteroides_xylanisolvens	Bacteroidetes	Bacteroidales	Bacteroidia	Bacteroidaceae	Bacteroides
Faecalibacterium_prausnitzii	None	None	None	None	Faecalibacterium
Lautropia_mirabilis	None	None	None	None	Lautropia
Actinomyces_oris	None	None	None	None	Actinomyces
Dialister_invisus	None	None	None	None	Dialister
Propionibacterium_unclassified	Actinobacteria	Propionibacteriales	Actinobacteria	Propionibacteriaceae	Propionibacterium
Neisseria_elongata	Proteobacteria	Neisseriales	Betaproteobacteria	Chromobacteriaceae	Neisseria
Alistipes_shahii	Bacteroidetes	Bacteroidales	Bacteroidia	Rikenellaceae	Alistipes
Ruminococcus_bromii	Firmicutes	Clostridiales	Clostridia	Ruminococcaceae	Ruminococcus
