genome	HIMB058	HIMB083	HIMB114	HIMB122	HIMB1321	HIMB140	HIMB4	HIMB5	HIMB59	HTCC1	HTCC1013	HTCC1016	HTCC1040	HTCC1062	HTCC7211	HTCC7214	HTCC7217	HTCC8051	HTCC9022	HTCC9565	IMCC9063
HIMB058_1	1.0	0.907525	0.87857499	0.9097350	0.9089950	0.910085	0.9089950	0.91172	0.8182750	0.91108499	0.911575	0.91169	0.91169	0.91169	0.91074	0.91084499	0.90976	0.91074	0.91084499	0.912555	0.87712
HIMB083	0.9076	1.0	0.86893	0.9886750	0.98917	0.99027	0.98917	0.986585	0.81625	0.9836050	0.9841	0.98409	0.98409	0.98409	0.99051	0.9893950	0.99274	0.99274	0.9927350	0.9841	0.869965
HIMB114	0.87857499	0.868835	1.0	0.868075	0.87275	0.87062	0.87275	0.87313	0.82191	0.876075	0.8765650	0.8777350	0.87651	0.87651	0.8733	0.87216	0.87296	0.87345	0.873395	0.8775450	0.9179650
HIMB122	0.9097350	0.98867	0.868075	1.0	0.99434	0.997415	0.99434	0.9896550	0.82024499	0.9823350	0.9828250	0.98285	0.98285	0.98285	0.98925	0.9926050	0.99148	0.99148	0.99149	0.981845	0.87156499
HIMB1321	0.90906	0.98917	0.87285	0.99434	1.0	0.99692	1.0	0.9902850	0.82217	0.9839650	0.984455	0.985565	0.98444	0.98444	0.99087	0.9942050	0.99323	0.99421	0.9942050	0.984455	0.873185
HIMB140	0.910085	0.990275	0.87062	0.997415	0.996925	1.0	0.996925	0.990275	0.821215	0.98491	0.98541	0.985435	0.985435	0.985435	0.99085499	0.99421	0.9930850	0.9930850	0.9930950	0.9844299	0.8730350
HIMB4	0.90906	0.98917	0.87285	0.99434	1.0	0.99692	1.0	0.9902850	0.82217	0.9839650	0.984455	0.985565	0.98444	0.98444	0.99087	0.9942050	0.99323	0.99421	0.9942050	0.984455	0.873185
HIMB5	0.9117850	0.986585	0.87323	0.989655	0.9902850	0.99027	0.9902850	1.0	0.81857499	0.98485	0.98534	0.98422	0.9853350	0.9853350	0.98744	0.989655	0.9875650	0.98855	0.98854	0.98534	0.87099
HIMB59	0.8190	0.816685	0.822565	0.820765	0.822625	0.821745	0.822625	0.81902	1.0	0.817965	0.81845	0.81863	0.81863	0.81863	0.819125	0.82036	0.82067499	0.82019	0.82036	0.8174750	0.80953
HTCC1	0.911165	0.9836050	0.87616	0.9823550	0.9839650	0.98494	0.9839650	0.98485	0.8174750	1.0	0.99951	0.998395	0.99951	0.99951	0.987795	0.985565	0.98667	0.98667	0.986675	0.99853	0.87246
HTCC1013	0.911655	0.9841	0.87664	0.982845	0.984455	0.98542	0.984455	0.98534	0.81795	0.99951	1.0	0.99888499	1.0	1.0	0.9882850	0.9860550	0.98717	0.98717	0.987165	0.99902	0.87295
HTCC1016	0.91169	0.984075	0.8777350	0.98285	0.98554499	0.985435	0.98554499	0.9842050	0.81806	0.998395	0.99888499	1.0	0.99888499	0.99888499	0.98715	0.9849450	0.98827	0.98827	0.9882850	0.9979050	0.87156499
HTCC1040	0.91169	0.984075	0.87651	0.98285	0.9844299	0.985435	0.9844299	0.985325	0.81806	0.99951	1.0	0.99888499	1.0	1.0	0.98827	0.98606	0.98715	0.98715	0.98717	0.99902	0.8728
HTCC1062	0.91169	0.984075	0.87651	0.98285	0.9844299	0.985435	0.9844299	0.985325	0.81806	0.99951	1.0	0.99888499	1.0	1.0	0.98827	0.98606	0.98715	0.98715	0.98717	0.99902	0.8728
HTCC7211	0.910805	0.99051	0.873395	0.98926	0.99087	0.990865	0.99087	0.98744	0.81868	0.987795	0.9882850	0.987165	0.98828	0.98828	1.0	0.99443	0.99568	0.99666	0.99666	0.9882850	0.8762
HTCC7214	0.91084499	0.9893850	0.87216	0.9926050	0.9942	0.99421	0.9942	0.9896550	0.8198750	0.98554499	0.986035	0.9849450	0.98606	0.98606	0.99442	1.0	0.9945550	0.9955350	0.99554499	0.986035	0.87388499
HTCC7217	0.909825	0.99274	0.87305499	0.9914850	0.99323	0.99309	0.99323	0.9875650	0.82024499	0.98667	0.98717	0.98828	0.987165	0.987165	0.99568	0.994565	1.0	0.99902	0.99902	0.98619	0.87388499
HTCC8051	0.910805	0.99274	0.873545	0.9914850	0.99421	0.99309	0.99421	0.98855	0.81976	0.98667	0.98717	0.98828	0.987165	0.987165	0.99666	0.99554499	0.99902	1.0	1.0	0.98717	0.87388499
HTCC9022	0.91084499	0.99273	0.873395	0.99149	0.9942	0.9930950	0.9942	0.98854	0.8198750	0.98666	0.98715	0.9882850	0.98717	0.98717	0.99664	0.99554499	0.99902	1.0	1.0	0.98715	0.873735
HTCC9565	0.912635	0.9841	0.87763	0.98186	0.984455	0.98444	0.984455	0.98534	0.816995	0.99853	0.99902	0.9979050	0.99902	0.99902	0.9882850	0.9860550	0.98619	0.98717	0.987165	1.0	0.87295
IMCC9063	0.87712	0.8698750	0.9179650	0.87156499	0.87309	0.8730350	0.87309	0.8709	0.80882	0.8723650	0.872855	0.87156499	0.8728	0.8728	0.87610	0.87388499	0.87379	0.87379	0.873735	0.872855	1.0
