Bin Id	Marker lineage	# genomes	# markers	# marker sets	0	1	2	3	4	5+	Completeness	Contamination	Strain heterogeneity
FZCC0015	o__Rickettsiales (UID3809)	83	324	211	0	324	0	0	0	0	100.00	0.00	0.00
HIMB058	k__Bacteria (UID2495)	2993	139	83	1	138	0	0	0	0	98.80	0.00	0.00
HIMB114	k__Bacteria (UID2495)	2993	140	84	1	139	0	0	0	0	98.81	0.00	0.00
HIMB122	o__Rickettsiales (UID3809)	83	324	211	0	322	2	0	0	0	100.00	0.95	0.00
HIMB123	o__Rickettsiales (UID3809)	83	324	211	33	285	6	0	0	0	86.73	1.90	100.00
HIMB1321	o__Rickettsiales (UID3809)	83	323	210	0	320	3	0	0	0	100.00	0.95	0.00
HIMB140	o__Rickettsiales (UID3809)	83	324	211	1	323	0	0	0	0	99.53	0.00	0.00
HIMB1402	o__Rickettsiales (UID3809)	83	324	211	1	323	0	0	0	0	99.53	0.00	0.00
HIMB1409	o__Rickettsiales (UID3809)	83	324	211	0	324	0	0	0	0	100.00	0.00	0.00
HIMB1412	o__Rickettsiales (UID3809)	83	323	210	0	323	0	0	0	0	100.00	0.00	0.00
HIMB1413	o__Rickettsiales (UID3809)	83	324	211	0	324	0	0	0	0	100.00	0.00	0.00
HIMB1420	o__Rickettsiales (UID3809)	83	323	210	0	323	0	0	0	0	100.00	0.00	0.00
HIMB1427	o__Rickettsiales (UID3809)	83	323	210	0	311	12	0	0	0	100.00	4.29	91.67
HIMB1430	o__Rickettsiales (UID3809)	83	324	211	5	318	1	0	0	0	97.63	0.47	0.00
HIMB1436	o__Rickettsiales (UID3809)	83	323	210	0	322	1	0	0	0	100.00	0.48	0.00
HIMB1437	o__Rickettsiales (UID3809)	83	324	211	1	323	0	0	0	0	99.53	0.00	0.00
HIMB1444	o__Rickettsiales (UID3809)	83	324	211	1	321	2	0	0	0	99.76	0.63	0.00
HIMB1456	o__Rickettsiales (UID3809)	83	324	211	3	321	0	0	0	0	99.05	0.00	0.00
HIMB1483	o__Rickettsiales (UID3809)	83	324	211	1	322	1	0	0	0	99.53	0.47	0.00
HIMB1485	o__Rickettsiales (UID3809)	83	324	211	0	323	0	0	1	0	100.00	1.42	0.00
HIMB1488	o__Rickettsiales (UID3809)	83	324	211	0	321	2	1	0	0	100.00	1.90	0.00
HIMB1490	o__Rickettsiales (UID3809)	83	324	211	8	315	1	0	0	0	96.21	0.24	0.00
HIMB1491	o__Rickettsiales (UID3809)	83	324	211	0	323	1	0	0	0	100.00	0.24	0.00
HIMB1493	o__Rickettsiales (UID3809)	83	324	211	0	324	0	0	0	0	100.00	0.00	0.00
