sample	reference_genome	project	weighted_mean_cov	weighted_detection	total_length
BATS_SAMN07137064_10_2003_04_22	HIMB1436	BATS	17.363279079539108	0.8795767950849176	1208525
BATS_SAMN07137064_10_2003_04_22	HIMB2187	BATS	13.489588372836309	0.8361808067690548	1188940
BATS_SAMN07137064_10_2003_04_22	HIMB2226	BATS	12.678559899501952	0.8206248871785373	1193257
BATS_SAMN07137064_10_2003_04_22	HTCC7211	BATS	21.92	0.9167	1456888
BATS_SAMN07137064_10_2003_04_22	HTCC7214	BATS	11.12	0.7453	1375060
BATS_SAMN07137064_10_2003_04_22	RS39	BATS	17.65	0.8745	1200090
BATS_SAMN07137074_60_2004_03_23	FZCC0015	BATS	13.3	0.8425	1364101
BATS_SAMN07137074_60_2004_03_23	HIMB123	BATS	10.71272055510127	0.8193143926122783	1271840
BATS_SAMN07137074_60_2004_03_23	HIMB1456	BATS	11.999417281233908	0.8549003880194077	1353489
BATS_SAMN07137074_60_2004_03_23	HIMB2250	BATS	12.55	0.8573	1330391
BATS_SAMN07137076_1_2004_12_08	HIMB1436	BATS	10.265212377071224	0.8691777707039573	1208525
BATS_SAMN07137085_10_2003_07_15	HIMB1436	BATS	13.875092894892536	0.8582461108210422	1208525
BATS_SAMN07137085_10_2003_07_15	HIMB2187	BATS	11.520240516762833	0.828160177300789	1188940
BATS_SAMN07137085_10_2003_07_15	HIMB2226	BATS	10.123181954935106	0.7881695839203122	1193257
BATS_SAMN07137085_10_2003_07_15	HTCC7211	BATS	10.9	0.5951	1456888
BATS_SAMN07137085_10_2003_07_15	RS39	BATS	20.94	0.8658	1200090
BATS_SAMN07137088_10_2003_08_12	HIMB1436	BATS	11.214010414182578	0.830162930497921	1208525
BATS_SAMN07137088_10_2003_08_12	RS39	BATS	16.89	0.8461	1200090
BATS_SAMN07137091_1_2004_04_21	FZCC0015	BATS	13.27	0.8378000000000001	1364101
BATS_SAMN07137091_1_2004_04_21	HIMB123	BATS	10.778698397282676	0.8141340037268839	1271840
BATS_SAMN07137091_1_2004_04_21	HIMB1436	BATS	11.093865540555637	0.8757778283444694	1208525
BATS_SAMN07137091_1_2004_04_21	HIMB1456	BATS	12.169141421880784	0.8561007289161567	1353489
BATS_SAMN07137091_1_2004_04_21	HIMB2250	BATS	12.78	0.8574999999999999	1330391
BATS_SAMN07137092_40_2004_04_21	FZCC0015	BATS	11.79	0.8191	1364101
BATS_SAMN07137092_40_2004_04_21	HIMB1456	BATS	10.544595231257883	0.8268850787409429	1353489
BATS_SAMN07137092_40_2004_04_21	HIMB2250	BATS	11.21	0.8342000000000002	1330391
BATS_SAMN07137103_1_2003_05_20	HTCC7211	BATS	12.14	0.7544	1456888
BATS_SAMN07137103_1_2003_05_20	RS39	BATS	10.17	0.7866	1200090
BATS_SAMN07137109_1_2003_12_02	RS39	BATS	10.01	0.842	1200090
BATS_SAMN07137112_10_2004_05_18	HIMB1436	BATS	10.991082670528124	0.8547380209759832	1208525
BATS_SAMN07137112_10_2004_05_18	HTCC7211	BATS	12.74	0.8636	1456888
BATS_SAMN07137112_10_2004_05_18	RS39	BATS	12.3	0.8465	1200090
BATS_SAMN07137115_10_2004_06_15	HIMB1436	BATS	11.463508594691875	0.8574963776338924	1208525
BATS_SAMN07137115_10_2004_06_15	HTCC7211	BATS	17.17	0.9371	1456888
BATS_SAMN07137115_10_2004_06_15	RS39	BATS	12.78	0.8545	1200090
BATS_SAMN07137118_1_2004_08_17	HIMB1436	BATS	12.150219655861484	0.849711576541652	1208525
BATS_SAMN07137118_1_2004_08_17	HIMB2187	BATS	10.049141080290006	0.7952292571534307	1188940
BATS_SAMN07137118_1_2004_08_17	RS39	BATS	17.07	0.8526	1200090
BATS_SAMN07137121_1_2004_02_24	FZCC0015	BATS	14.07	0.8318	1364101
BATS_SAMN07137121_1_2004_02_24	HIMB123	BATS	11.261749907535538	0.8036476910617688	1271840
BATS_SAMN07137121_1_2004_02_24	HIMB1409	BATS	10.856219952005205	0.8380784199262943	1313059
BATS_SAMN07137121_1_2004_02_24	HIMB1413	BATS	10.51	0.8211	1348413
BATS_SAMN07137121_1_2004_02_24	HIMB1436	BATS	11.637362824600237	0.8716458870937714	1208525
BATS_SAMN07137121_1_2004_02_24	HIMB1456	BATS	13.323028481465307	0.8595062448900581	1353489
BATS_SAMN07137121_1_2004_02_24	HIMB2201	BATS	10.87	0.8114000000000001	1359742
BATS_SAMN07137121_1_2004_02_24	HIMB2250	BATS	14.13	0.8586	1330391
BATS_SAMN07137121_1_2004_02_24	HIMB83	BATS	10.39	0.8042999999999999	1395997
BATS_SAMN07137122_40_2004_02_24	FZCC0015	BATS	14.220000000000002	0.8297999999999999	1364101
BATS_SAMN07137122_40_2004_02_24	HIMB123	BATS	11.36848476773808	0.8075133616649893	1271840
BATS_SAMN07137122_40_2004_02_24	HIMB1409	BATS	10.833257217459384	0.8420527789992681	1313059
BATS_SAMN07137122_40_2004_02_24	HIMB1413	BATS	10.75	0.8246	1348413
BATS_SAMN07137122_40_2004_02_24	HIMB1436	BATS	12.04186234360067	0.8700610640243273	1208525
BATS_SAMN07137122_40_2004_02_24	HIMB1456	BATS	13.453962238097244	0.8567818514816153	1353489
BATS_SAMN07137122_40_2004_02_24	HIMB2201	BATS	10.99	0.8140999999999999	1359742
BATS_SAMN07137122_40_2004_02_24	HIMB2250	BATS	14.03	0.8539	1330391
BATS_SAMN07137122_40_2004_02_24	HIMB83	BATS	10.46	0.8051	1395997
BATS_SAMN08390924_10_2009_07_14	FZCC0015	BATS	21.36	0.822	1364101
BATS_SAMN08390924_10_2009_07_14	HIMB058	BATS	30.371240270875987	0.763392990047971	1115049
BATS_SAMN08390924_10_2009_07_14	HIMB123	BATS	16.284468872656937	0.7948483044250849	1271840
BATS_SAMN08390924_10_2009_07_14	HIMB1402	BATS	38.34319029598766	0.9540462017676864	1177245
BATS_SAMN08390924_10_2009_07_14	HIMB1409	BATS	16.41552099297899	0.8272515645374655	1313059
