gene_callers_id	WO_assignment	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qlen	slen	pct_alignment
102	WOPip1	99.183	1102	0	2	1	1101	50484	49391	0.0	1977	1101	51606	99.9092
1026	WOPip1	100.000	873	0	0	1	873	134	1006	0.0	1613	873	51606	99.8855
1027	WOPip5	99.038	104	0	1	99	201	76724	76621	6.06e-49	185	201	76824	50.7463
1036	WOPip3	88.785	214	23	1	1	213	15134	14921	1.06e-71	261	216	29357	98.1481
1037	WOPip1	100.000	873	0	0	1	873	134	1006	0.0	1613	873	51606	99.8855
1043	WOPip1	100.000	684	0	0	1	684	134	817	0.0	1264	702	51606	97.2934
1044	WOPip1	100.000	873	0	0	1	873	134	1006	0.0	1613	873	51606	99.8855
1061	WOPip1	100.000	873	0	0	1	873	134	1006	0.0	1613	873	51606	99.8855
1068	WOPip1	84.842	983	145	4	1	981	37919	36939	0.0	987	1830	51606	53.5519
108	WOPip5	85.629	668	73	10	1006	1666	2075	1424	0.0	680	1713	76824	38.5289
110	WOPip1	100.000	873	0	0	1	873	134	1006	0.0	1613	873	51606	99.8855
1110	WOPip1	100.000	873	0	0	1	873	134	1006	0.0	1613	873	51606	99.8855
1112	WOPip1	100.000	873	0	0	1	873	134	1006	0.0	1613	873	51606	99.8855
1124	WOPip1	100.000	408	0	0	1	408	599	1006	0.0	754	408	51606	99.7549
1125	WOPip1	100.000	873	0	0	1	873	134	1006	0.0	1613	873	51606	99.8855
1126	WOPip1	100.000	31	0	0	1782	1812	38	68	1.34e-09	58.4	1812	51606	1.65563
113	WOPip1	100.000	31	0	0	192	222	38	68	1.53e-10	58.4	222	51606	13.5135
114	WOPip1	100.000	873	0	0	1	873	134	1006	0.0	1613	873	51606	99.8855
1163	WOPip1	100.000	873	0	0	1	873	134	1006	0.0	1613	873	51606	99.8855
119	WOPip1	100.000	873	0	0	1	873	134	1006	0.0	1613	873	51606	99.8855
1225	WOPip4	100.000	948	0	0	1	948	42275	41328	0.0	1751	948	72053	99.8945
1242	WOPip1	100.000	873	0	0	1	873	134	1006	0.0	1613	873	51606	99.8855
1248	WOPip1	99.354	1239	0	1	1	1239	50484	49254	0.0	2237	1239	51606	99.9193
1263	WOPip1	99.354	1239	0	1	1	1239	50484	49254	0.0	2237	1239	51606	99.9193
127	WOPip1	99.183	1102	0	2	1	1101	50484	49391	0.0	1977	1101	51606	99.9092
1275	WOPip1	98.039	102	0	2	429	528	49212	49313	1.01e-45	176	528	51606	18.75
1276	WOPip1	99.354	1239	0	1	1	1239	50484	49254	0.0	2237	1239	51606	99.9193
128	WOPip1	100.000	49	0	0	2346	2394	50556	50508	1.75e-19	91.6	2394	51606	2.00501
1300	WOPip1	100.000	873	0	0	1	873	134	1006	0.0	1613	873	51606	99.8855
