gene_cluster_id	WO_assignmnet	pct_alignment	cov_in_003	cov_in_007	cov_in_011	cov_in_012
GC_00000001	WOPip1	99.8308	292.142949713	278.8739736035	438.057412722333	141.646721645067
GC_00000002	WOPip1	99.8855				
GC_00000003	WOPip1	99.8761	709.72681333425	628.11843941625	1261.49866029432	463.770814102825
GC_00000004	WOPip2	99.9831	293.0934284405	292.01863000825	590.103568904	206.31974780075
GC_00000005	WOPip1		395.405748663	355.5891902215	745.3106378915	248.0930258465
GC_00000006			258.4480680715	210.105256783	468.9943071705	150.1461058625
GC_00000007		38.5289	177.700485876275	179.2137872846	368.3048043785	129.04068234665
GC_00000008			96.469323213275	90.5922675522	193.55186590775	84.19663187855
GC_00000009	WOPip1	99.9295	424.62004662	398.405594406	908.107226107	282.895104895
GC_00000010		22.2944	159.644804793775	176.11177187325	273.500273464	112.942770477667
GC_00000011			225.752690422	244.848198573	471.335971987667	162.687675610667
GC_00000012	WOPip1	95.977	1039.549962921	862.496477567	1775.790507975	814.773359288
GC_00000013	WOPip1	99.8904	507.575734139667	482.993741871667	1040.484991505	398.882894950333
GC_00000014	WOPip4	99.9328	124.619265233	143.4063620075	285.439516129	109.7536738349
GC_00000015	WOPip1	99.8788	714.0546127935	648.0166105485	1600.50512907	609.646700337
GC_00000016	WOPip5	99.7268	442.734972678	426.12568306	802.721311475	310.756830601
GC_00000017	WOPip4	99.8978	268.2677769445	264.7108147735	641.819649656	207.1309664715
GC_00000018	WOPip4	99.8538	505.152685391967	638.537152008667	1442.48465139133	553.198915989333
GC_00000019						
GC_00000020	WOPip1	99.8004	684.9813806125	627.415566457	1579.113447805	598.094786331
GC_00000021	WOPip1	99.7849	307.589886039667	283.638817663667	619.110042735	239.1747863247
GC_00000022	WOPip1	99.8505	284.871449925	256.569506726	894.059790732	406.463378176
GC_00000023			245.821474616	224.2942178115	528.8888686175	182.1940896965
GC_00000024			272.153092006	234.3304282645	509.272853421	179.73128845
GC_00000025	WOPip5		376.133245079	416.807298262	770.352327232	278.2604466445
GC_00000026			270.014963097	252.321194055	496.972602822	179.3938920515
GC_00000027			209.839548319	194.4016981795	446.941964286	164.4586834735
GC_00000028			201.537516452	218.7742485355	419.680836553	153.9370013445
GC_00000029		18.75	212.177353896	218.1363636365	402.272862554	134.957251082
GC_00000030	WOPip1		391.547325103	370.983539095	729.679012346	283.691358025
GC_00000031			248.278873195	222.057051221	459.290059089	145.960596581
GC_00000032			246.1814574315	280.7085137085	499.932359307	173.9624819627
GC_00000033	WOPip1		188.006849315	199.767123288	474.525114155	137.214611872
GC_00000034	WOPip5	99.9175	716.148058251	675.1809373925	1421.255407095	549.6965498735
GC_00000035	WOPip5		391.7959626295	428.6313813815	812.928219884	273.793835502
GC_00000036			240.9169456245	214.1594563665	426.576446625	154.5448320775
GC_00000037			279.5672910325	250.430592045	515.467694886	177.447640829
GC_00000038	WOPip4	99.8932	625.889749265	611.384688738	1206.2742472795	441.0530592005
GC_00000039	WOPip4	99.7126	832.709576936	781.6717135115	1597.4635733605	602.7635226505
GC_00000040	WOPip4	99.5238	792.450000002	795.697619049	1503.7261904745	560.711904762
GC_00000041	WOPip4	99.9564	826.0134019755	766.1350546805	1224.793685862	605.738893543
GC_00000042			229.407089429	247.5952764695	489.0796243495	185.7846826185
GC_00000043		53.5519	257.690710383	255.207650273	529.930054645	199.46010929
GC_00000044	WOPip1	99.6078	559.482352941	559.62745098	1541.24705882	691.533333333
GC_00000045	WOPip4	99.9873	266.4121310735	269.894317036	558.345238005	183.757524274
GC_00000046	WOPip2	99.9139	337.0461322015	339.779676958	200.508837794955	63.08136678805
GC_00000047	WOPip1	99.9189	130.083333333	114.861111111	192	90.8888888889
GC_00000048	WOPip1	99.9045				
GC_00000049	WOPip1	99.9716	856.050797046	895.177679314	1428.12908412	547.5616687885
GC_00000050	WOPip5	99.9914	234.2259317755	236.045174074	436.359501877	157.2032684185
GC_00000051			202.4482825355	192.0152076745	222.635419263549	73.2164991625
GC_00000052	WOPip1		220.445075758	218.272727273	444.206439394	162.825757576
GC_00000053		66.1765	160.515151515	120.915151515	287.824242424	113.418181818
GC_00000054			265.3835970465	254.5305379745	514.7072521095	183.901292194
GC_00000055			270.7550089585	250.861290125	502.6757554835	175.707148016
GC_00000056	WOPip1	99.7312				
GC_00000057	WOPip1	99.9455				
GC_00000058	WOPip3	99.6169	88.5666666667	79.5333333333	166.341666667	53.0416666667
GC_00000059			293.369717474	267.250118708	373.4818573915	136.95487100345
GC_00000060			604.193939394	624.451515152	927.736363636	501.818181818
GC_00000061			231.9618097455	234.72854134	449.3733605715	168.4570288375
GC_00000062	WOPip4	99.9481	1485.32514081	1388.12852023	2994.93548387	975.359447005
