query_genome_name	query_genome_length	target_genome_name	target_genome_length	matching_nucleotides	average_identity
TARA_PON_MAG_00001	3583974	TARA_ION_MAG_00032	3679393	2376803	98.725325
TARA_IOS_MAG_00050	1469026	TARA_RED_MAG_00058	2210067	1223112	99.613934
TARA_IOS_MAG_00050	1469026	TARA_ASW_MAG_00005	1992647	1075083	99.589960
TARA_IOS_MAG_00050	1469026	TARA_ANW_MAG_00012	2187424	1225823	99.575093
TARA_IOS_MAG_00050	1469026	TARA_MED_MAG_00021	2315206	14358	98.371665
TARA_PSW_MAG_00005	3628000	TARA_PON_MAG_00021	3638235	3526133	99.969765
TARA_PSW_MAG_00005	3628000	TARA_ANW_MAG_00001	3686209	3603131	99.986695
TARA_PSW_MAG_00005	3628000	TARA_PSE_MAG_00008	3594348	3589904	99.975569
TARA_ASW_MAG_00006	3084735	TARA_ANE_MAG_00002	3133556	3031188	99.986508
TARA_ASW_MAG_00006	3084735	TARA_IOS_MAG_00008	3359870	1697	99.940000
TARA_ASW_MAG_00006	3084735	TARA_RED_MAG_00013	3133563	3042506	99.987902
TARA_ASW_MAG_00006	3084735	TARA_PSE_MAG_00029	3108578	772	100.000000
TARA_ASW_MAG_00006	3084735	TARA_MED_MAG_00007	2997082	2944869	99.986564
TARA_ASW_MAG_00006	3084735	TARA_ION_MAG_00008	3013386	2905952	99.960545
TARA_RED_MAG_00033	1522479	TARA_ANE_MAG_00056	1524396	17338	90.615862
TARA_PSW_MAG_00106	2248577	TARA_PON_MAG_00039	2282633	13309	93.911741
TARA_ANW_MAG_00049	1404808	TARA_MED_MAG_00092	1407426	831802	99.209322
TARA_ASE_MAG_00030	2790069	TARA_ANE_MAG_00088	8390428	533260	98.224349
TARA_ASE_MAG_00030	2790069	TARA_ANW_MAG_00071	8349014	391376	98.141912
TARA_ASE_MAG_00030	2790069	TARA_ASW_MAG_00035	9066357	1777	97.200000
TARA_ASE_MAG_00030	2790069	TARA_ION_MAG_00072	13667814	591273	97.916305
TARA_ASE_MAG_00030	2790069	TARA_IOS_MAG_00074	2769398	219538	98.833382
TARA_ASE_MAG_00030	2790069	TARA_PSE_MAG_00140	12657102	2311310	99.138321
TARA_ASE_MAG_00030	2790069	TARA_PON_MAG_00078	10631134	1987008	99.191464
TARA_ASE_MAG_00030	2790069	TARA_RED_MAG_00114	9255642	351973	98.105391
TARA_ASW_MAG_00027	2394703	TARA_ION_MAG_00010	3397202	2373817	99.933461
TARA_ASW_MAG_00027	2394703	TARA_PSE_MAG_00002	3411210	2380997	99.971394
TARA_PSW_MAG_00024	1569057	TARA_MED_MAG_00102	1450688	953	100.000000
TARA_PON_MAG_00020	2273200	TARA_PSW_MAG_00003	2692266	2255658	99.977788
TARA_PON_MAG_00020	2273200	TARA_ANW_MAG_00076	5101853	11676	99.956317
TARA_IOS_MAG_00071	11772798	TARA_ANE_MAG_00099	2133633	1144641	99.488647
TARA_IOS_MAG_00071	11772798	TARA_ANW_MAG_00075	2699399	1297	98.460000
TARA_IOS_MAG_00071	11772798	TARA_ANW_MAG_00074	9401388	5110077	99.262794
TARA_IOS_MAG_00071	11772798	TARA_ANE_MAG_00101	19009552	5331	97.802555
TARA_IOS_MAG_00071	11772798	TARA_ANE_MAG_00090	5559939	55387	94.478968
TARA_IOS_MAG_00071	11772798	TARA_RED_MAG_00119	15250294	9089992	99.380602
TARA_ANE_MAG_00031	2158947	TARA_ASE_MAG_00031	2195948	3394	99.740000
TARA_PSE_MAG_00012	2336488	TARA_ANE_MAG_00021	2215790	2193316	99.990984
TARA_PSE_MAG_00012	2336488	TARA_ANW_MAG_00005	2343823	2335715	99.990219
TARA_ASE_MAG_00011	1465240	TARA_ANE_MAG_00065	1552464	804793	99.074750
TARA_ASE_MAG_00011	1465240	TARA_MED_MAG_00053	1787286	15912	95.371050
TARA_RED_MAG_00012	3161333	TARA_IOS_MAG_00004	2981990	2903060	99.634931
TARA_PSW_MAG_00127	3449400	TARA_PON_MAG_00068	3654749	873511	99.990839
TARA_ANW_MAG_00007	4419433	TARA_PSW_MAG_00027	4645294	1183395	98.470002
TARA_ANW_MAG_00007	4419433	TARA_PSW_MAG_00122	3243661	3085	99.707942
TARA_ION_MAG_00071	6917290	TARA_RED_MAG_00114	9255642	1526	99.670000
TARA_ASW_MAG_00044	2373764	TARA_PSE_MAG_00132	4212701	195464	99.764804
TARA_ASW_MAG_00044	2373764	TARA_MED_MAG_00139	3108602	8377	99.319152
TARA_ASW_MAG_00044	2373764	TARA_MED_MAG_00142	3019715	1535	99.670000
TARA_ASW_MAG_00044	2373764	TARA_PSE_MAG_00110	2124994	8284	98.999087
TARA_PSW_MAG_00066	2033721	TARA_PSE_MAG_00091	1295258	3059	97.750000
TARA_PSW_MAG_00066	2033721	TARA_ION_MAG_00055	1230383	351029	99.079837
TARA_PSW_MAG_00066	2033721	TARA_IOS_MAG_00046	1601565	540571	98.964299
TARA_MED_MAG_00058	3389560	TARA_ASE_MAG_00001	3419659	427944	95.082694
TARA_MED_MAG_00058	3389560	TARA_RED_MAG_00022	3655333	2452717	98.613138
TARA_MED_MAG_00058	3389560	TARA_ANE_MAG_00037	3266448	355261	94.379937
TARA_MED_MAG_00058	3389560	TARA_PON_MAG_00023	4291755	9148	95.230000
TARA_MED_MAG_00058	3389560	TARA_ION_MAG_00067	2941447	2194522	98.943265
TARA_MED_MAG_00058	3389560	TARA_PSW_MAG_00004	4269650	12818	99.923632
TARA_MED_MAG_00058	3389560	TARA_ION_MAG_00014	4469063	7441	97.730000
TARA_MED_MAG_00058	3389560	TARA_ASW_MAG_00004	3202824	346043	95.577722
TARA_MED_MAG_00058	3389560	TARA_IOS_MAG_00007	4062480	15688	99.596676
TARA_MED_MAG_00058	3389560	TARA_SOC_MAG_00002	4429622	2962	94.500000
TARA_MED_MAG_00037	2884649	TARA_PSE_MAG_00101	2557726	12806	97.880000
TARA_MED_MAG_00037	2884649	TARA_RED_MAG_00001	2849757	2819153	99.967173
TARA_MED_MAG_00037	2884649	TARA_ION_MAG_00062	2626023	2556371	99.905207
TARA_ANE_MAG_00073	1471377	TARA_MED_MAG_00076	1475546	1076223	99.597420
TARA_PSW_MAG_00009	3228337	TARA_PSE_MAG_00007	3338622	3206232	99.982124
TARA_PSW_MAG_00032	4510814	TARA_PSE_MAG_00010	4593238	7210	99.990000
TARA_PSW_MAG_00032	4510814	TARA_PSE_MAG_00034	4634551	4489220	99.970508
TARA_IOS_MAG_00008	3359870	TARA_ANE_MAG_00002	3133556	4390	94.812159
TARA_IOS_MAG_00008	3359870	TARA_ION_MAG_00063	2931211	2868922	99.898157
TARA_IOS_MAG_00008	3359870	TARA_ASW_MAG_00006	3084735	1702	99.880000
TARA_IOS_MAG_00008	3359870	TARA_PSE_MAG_00029	3108578	3068066	99.936268
TARA_IOS_MAG_00008	3359870	TARA_MED_MAG_00007	2997082	1099	99.550000
TARA_IOS_MAG_00008	3359870	TARA_ION_MAG_00008	3013386	1009	99.900000
TARA_PON_MAG_00059	3542497	TARA_ANW_MAG_00017	4802337	3534021	99.978766
TARA_PON_MAG_00059	3542497	TARA_ANW_MAG_00015	4707613	640	100.000000
TARA_PON_MAG_00059	3542497	TARA_ANE_MAG_00085	3423600	9346	98.091805
TARA_PON_MAG_00059	3542497	TARA_PSE_MAG_00108	2142463	1556224	99.971559
TARA_PON_MAG_00059	3542497	TARA_PSW_MAG_00034	4650632	3456780	99.978133
TARA_ASW_MAG_00031	2212212	TARA_PON_MAG_00034	2117274	2569	95.300000
TARA_ASW_MAG_00031	2212212	TARA_ASE_MAG_00006	2981946	3233	98.920000
TARA_ASW_MAG_00031	2212212	TARA_RED_MAG_00104	2927257	804859	98.786155
TARA_ASW_MAG_00031	2212212	TARA_PON_MAG_00073	2024979	5148	99.921375
TARA_ASW_MAG_00031	2212212	TARA_IOS_MAG_00063	2753388	15596	99.732031
TARA_ASW_MAG_00031	2212212	TARA_IOS_MAG_00067	2931784	1196008	98.629361
TARA_ASW_MAG_00031	2212212	TARA_PSE_MAG_00036	3841746	1301	100.000000
TARA_ANE_MAG_00048	1063669	TARA_ASE_MAG_00012	898180	600575	99.506543
TARA_RED_MAG_00107	2566664	TARA_PSW_MAG_00099	3256549	2084692	99.639952
TARA_RED_MAG_00107	2566664	TARA_ION_MAG_00023	3076003	2103473	99.858709
TARA_RED_MAG_00107	2566664	TARA_IOS_MAG_00067	2931784	2111	99.860000
TARA_PON_MAG_00036	1543517	TARA_RED_MAG_00046	1522052	97431	98.387297
TARA_IOS_MAG_00067	2931784	TARA_ASE_MAG_00006	2981946	5765	99.063634
TARA_IOS_MAG_00067	2931784	TARA_RED_MAG_00104	2927257	1809289	99.648176
TARA_IOS_MAG_00067	2931784	TARA_RED_MAG_00107	2566664	2110	99.860000
TARA_IOS_MAG_00067	2931784	TARA_PON_MAG_00073	2024979	4475	99.712253
TARA_IOS_MAG_00067	2931784	TARA_PSW_MAG_00099	3256549	13660	98.158623
TARA_IOS_MAG_00067	2931784	TARA_ION_MAG_00023	3076003	15887	98.985767
TARA_IOS_MAG_00067	2931784	TARA_ASW_MAG_00031	2212212	1195895	98.629107
TARA_RED_MAG_00096	2055416	TARA_PON_MAG_00050	2090795	4148	99.080000
TARA_RED_MAG_00096	2055416	TARA_PSW_MAG_00083	2531449	5617	99.250000
TARA_ION_MAG_00004	3376283	TARA_PSE_MAG_00049	2724377	2717812	99.982690
TARA_ANW_MAG_00083	2134347	TARA_ANE_MAG_00098	2344935	166836	99.183713
TARA_ANW_MAG_00083	2134347	TARA_ASW_MAG_00042	11827969	2645	99.060000
TARA_ANW_MAG_00083	2134347	TARA_ANE_MAG_00097	2132135	1072219	99.346296
TARA_ANW_MAG_00083	2134347	TARA_PSW_MAG_00133	4053059	1145153	99.378953
TARA_ANW_MAG_00083	2134347	TARA_ASE_MAG_00033	2625458	22851	99.260259
TARA_ANW_MAG_00083	2134347	TARA_ION_MAG_00073	4042279	1167688	99.415608
TARA_ANW_MAG_00083	2134347	TARA_ASE_MAG_00035	2004217	309750	99.289739
TARA_ANW_MAG_00083	2134347	TARA_PSW_MAG_00135	3998261	6213	99.409681
TARA_ANW_MAG_00083	2134347	TARA_IOS_MAG_00076	2867483	120820	99.397721
TARA_ANW_MAG_00083	2134347	TARA_PSE_MAG_00147	2737533	1155629	99.445575
TARA_ANW_MAG_00083	2134347	TARA_IOS_MAG_00075	2967592	1158398	99.478072
TARA_PSW_MAG_00131	7879370	TARA_PSE_MAG_00149	3194969	2626433	99.508172
TARA_PSW_MAG_00131	7879370	TARA_PON_MAG_00083	2623443	1542	91.120000
TARA_PSW_MAG_00131	7879370	TARA_ASE_MAG_00033	2625458	3598	99.530000
TARA_PSE_MAG_00096	1531211	TARA_MED_MAG_00030	1775473	6350	99.210000
TARA_PON_MAG_00017	857414	TARA_PSW_MAG_00051	806303	768972	99.984993
TARA_IOS_MAG_00046	1601565	TARA_ION_MAG_00055	1230383	838759	99.497696
TARA_IOS_MAG_00046	1601565	TARA_PSW_MAG_00066	2033721	540498	98.965967
TARA_IOS_MAG_00029	2507845	TARA_PSW_MAG_00109	2014779	1489358	99.438884
TARA_PON_MAG_00078	10631134	TARA_ANW_MAG_00071	8349014	1033172	98.081329
TARA_PON_MAG_00078	10631134	TARA_ANE_MAG_00088	8390428	1483520	98.174194
TARA_PON_MAG_00078	10631134	TARA_ANE_MAG_00086	7749457	5629	98.478254
TARA_PON_MAG_00078	10631134	TARA_ASW_MAG_00035	9066357	17436	95.353808
TARA_PON_MAG_00078	10631134	TARA_ASE_MAG_00030	2790069	1987170	99.190446
TARA_PON_MAG_00078	10631134	TARA_ASE_MAG_00032	12391309	1494	98.140000
TARA_PON_MAG_00078	10631134	TARA_ION_MAG_00072	13667814	1653645	97.788140
TARA_PON_MAG_00078	10631134	TARA_ASE_MAG_00024	5868632	20894	96.598001
TARA_PON_MAG_00078	10631134	TARA_PSE_MAG_00140	12657102	9497270	99.338281
TARA_PON_MAG_00078	10631134	TARA_IOS_MAG_00074	2769398	790345	98.521973
TARA_PON_MAG_00078	10631134	TARA_RED_MAG_00114	9255642	1151429	98.037946
TARA_ASW_MAG_00010	2239951	TARA_SOC_MAG_00009	2111948	8761	99.990000
TARA_ASW_MAG_00010	2239951	TARA_PSW_MAG_00063	2851959	7979	99.970000
TARA_ASW_MAG_00010	2239951	TARA_PON_MAG_00025	2557562	7670	99.970000
TARA_ASW_MAG_00010	2239951	TARA_ANE_MAG_00007	2448482	7979	99.970000
TARA_ASW_MAG_00010	2239951	TARA_PSE_MAG_00069	2036447	8779	99.990000
TARA_PSE_MAG_00149	3194969	TARA_PSW_MAG_00131	7879370	2626175	99.509855
TARA_PSE_MAG_00149	3194969	TARA_ASE_MAG_00033	2625458	3464	99.510000
TARA_ANE_MAG_00094	2084911	TARA_PON_MAG_00005	2736532	2788	99.960000
TARA_ANE_MAG_00094	2084911	TARA_IOS_MAG_00023	4138368	1281	99.920000
