samples	S-LLPA_core_genes
PC_00000070	Yes
PC_00000046	Yes
PC_00000072	Yes
PC_00000079	No
PC_00000252	Yes
PC_00000176	Yes
PC_00000087	Yes
PC_00000043	Yes
PC_00000112	Yes
PC_00000065	Yes
PC_00000073	Yes
PC_00000048	Yes
PC_00000066	Yes
PC_00000150	Yes
PC_00000061	Yes
PC_00000119	Yes
PC_00000039	Yes
PC_00000047	Yes
PC_00000071	Yes
PC_00000059	Yes
PC_00000105	Yes
PC_00000056	Yes
PC_00000082	Yes
PC_00000140	Yes
PC_00000151	No
PC_00000219	Yes
PC_00000100	Yes
PC_00000208	Yes
PC_00000068	Yes
PC_00000211	Yes
PC_00000057	Yes
PC_00000108	Yes
PC_00000069	No
PC_00000090	Yes
PC_00000124	Yes
PC_00000130	No
PC_00000170	No
PC_00000089	Yes
PC_00000114	Yes
PC_00000101	Yes
PC_00000110	Yes
PC_00000050	Yes
PC_00000227	Yes
PC_00000077	Yes
PC_00000209	Yes
PC_00000255	Yes
PC_00000174	Yes
PC_00000164	No
PC_00000239	Yes
PC_00000138	Yes
PC_00000147	Yes
PC_00000181	Yes
PC_00000213	Yes
PC_00000113	Yes
PC_00000152	No
PC_00000175	No
PC_00000253	Yes
PC_00000155	No
PC_00000085	Yes
PC_00000161	No
PC_00000225	Yes
PC_00000188	Yes
PC_00000086	Yes
PC_00000168	Yes
PC_00000044	Yes
PC_00000241	Yes
PC_00000153	Yes
PC_00000099	Yes
PC_00000154	Yes
PC_00000159	Yes
PC_00000107	Yes
PC_00000092	Yes
PC_00000245	Yes
PC_00000098	Yes
PC_00000221	Yes
PC_00000132	Yes
PC_00000248	Yes
PC_00000135	Yes
PC_00000180	Yes
PC_00000198	Yes
PC_00000063	Yes
PC_00000228	Yes
PC_00000234	Yes
PC_00000103	Yes
PC_00000247	No
PC_00000192	Yes
PC_00000215	No
PC_00000249	Yes
PC_00000178	No
PC_00000142	Yes
PC_00000083	Yes
PC_00000040	Yes
PC_00000125	Yes
PC_00000060	Yes
PC_00000212	Yes
PC_00000094	Yes
PC_00000049	No
PC_00000054	Yes
PC_00000052	Yes
PC_00000250	No
PC_00000156	No
PC_00000106	Yes
PC_00000074	Yes
PC_00000041	Yes
PC_00000167	Yes
PC_00000217	Yes
PC_00000220	Yes
PC_00000042	Yes
PC_00000223	Yes
PC_00000195	Yes
PC_00000184	No
PC_00000075	No
PC_00000218	Yes
PC_00000139	Yes
PC_00000190	Yes
PC_00000171	Yes
PC_00000145	Yes
PC_00000242	Yes
PC_00000091	Yes
PC_00000197	Yes
PC_00000121	No
PC_00000088	Yes
PC_00000189	Yes
PC_00000144	Yes
PC_00000237	Yes
PC_00000149	Yes
PC_00000136	No
PC_00000058	No
PC_00000084	Yes
PC_00000194	Yes
PC_00000199	Yes
PC_00000210	Yes
PC_00000214	Yes
PC_00000235	Yes
PC_00000115	No
PC_00000062	No
PC_00000081	No
PC_00000173	Yes
PC_00000117	Yes
PC_00000196	Yes
PC_00000157	Yes
PC_00000053	Yes
PC_00000122	Yes
PC_00000131	Yes
PC_00000095	Yes
PC_00000096	Yes
PC_00000118	No
PC_00000238	No
PC_00000233	Yes
PC_00000037	No
PC_00000116	Yes
PC_00000109	Yes
PC_00000076	Yes
PC_00000102	Yes
PC_00000158	Yes
PC_00000191	No
PC_00000055	Yes
PC_00000229	Yes
PC_00000123	No
PC_00000148	No
PC_00000137	No
PC_00000251	Yes
PC_00000222	Yes
PC_00000143	No
PC_00000141	No
PC_00000204	No
PC_00000216	No
PC_00000243	Yes
PC_00000045	Yes
PC_00000038	Yes
PC_00000129	Yes
PC_00000244	Yes
PC_00000134	Yes
PC_00000185	Yes
PC_00000120	Yes
PC_00000226	Yes
PC_00000183	No
PC_00000160	Yes
PC_00000104	Yes
PC_00000166	Yes
PC_00000205	Yes
PC_00000133	No
PC_00000097	Yes
PC_00000232	Yes
PC_00000146	Yes
PC_00000162	Yes
PC_00000078	Yes
PC_00000200	Yes
PC_00000051	Yes
PC_00000064	Yes
PC_00000193	Yes
PC_00000203	Yes
PC_00003000	No
PC_00002507	No
PC_00005043	No
PC_00004014	No
PC_00003945	No
PC_00003301	No
PC_00002899	No
PC_00004097	No
PC_00005404	No
PC_00004924	No
PC_00003659	No
PC_00002921	No
PC_00002687	No
PC_00005447	No
PC_00004612	No
PC_00002651	No
PC_00002732	No
PC_00004512	No
PC_00003055	No
PC_00002568	No
PC_00004830	No
PC_00004068	No
PC_00005921	No
PC_00005083	No
PC_00002628	No
PC_00004793	No
PC_00004265	No
PC_00006109	No
PC_00004066	No
PC_00004103	No
PC_00004466	No
PC_00006009	No
PC_00003797	No
PC_00004280	No
PC_00005863	No
PC_00003427	No
PC_00005182	No
PC_00004199	No
PC_00002657	No
PC_00003384	No
PC_00002894	No
PC_00002996	No
PC_00005511	No
PC_00006123	No
PC_00004269	No
PC_00003971	No
PC_00003938	No
PC_00002622	No
PC_00003878	No
PC_00004002	No
PC_00002476	No
PC_00005956	No
PC_00003178	No
PC_00004963	No
PC_00003451	No
PC_00005576	No
PC_00002770	No
PC_00002606	No
PC_00006125	No
PC_00003287	No
PC_00002496	No
PC_00004213	No
PC_00002775	No
PC_00004111	No
PC_00004416	No
PC_00002483	No
PC_00003520	No
PC_00003038	No
PC_00002684	No
PC_00005509	No
PC_00005767	No
PC_00004065	No
PC_00004971	No
PC_00005167	No
PC_00005622	Yes
PC_00005418	No
PC_00004099	No
PC_00002741	No
PC_00002986	Yes
PC_00002806	Yes
PC_00002671	No
PC_00005574	Yes
PC_00004378	No
PC_00004209	No
PC_00003252	Yes
PC_00005081	Yes
PC_00002725	Yes
PC_00004061	Yes
PC_00003099	Yes
PC_00005913	No
PC_00002563	No
PC_00003562	No
PC_00003737	No
PC_00004913	No
PC_00004535	Yes
PC_00002632	No
PC_00003111	No
PC_00005331	No
PC_00004792	No
PC_00003476	No
PC_00005181	No
PC_00006035	No
PC_00003868	No
PC_00003488	No
PC_00003184	No
PC_00004238	No
PC_00003999	No
PC_00004945	No
PC_00005631	No
PC_00003293	No
PC_00005145	No
PC_00003323	Yes
PC_00006072	No
PC_00004567	No
PC_00000278	No
PC_00002298	No
PC_00001745	No
PC_00001338	No
PC_00001398	No
PC_00002036	No
PC_00002369	No
PC_00000709	No
PC_00000261	Yes
PC_00000605	Yes
PC_00000300	Yes
PC_00000371	Yes
PC_00000828	Yes
PC_00000319	Yes
PC_00000577	No
PC_00000518	Yes
PC_00000313	Yes
PC_00000284	Yes
PC_00000585	Yes
PC_00000262	Yes
PC_00000639	Yes
PC_00000285	Yes
PC_00000783	Yes
PC_00000336	Yes
PC_00000322	Yes
PC_00001181	Yes
PC_00000719	No
PC_00000511	No
PC_00000497	Yes
PC_00000617	Yes
PC_00000440	Yes
PC_00000409	Yes
PC_00000324	Yes
PC_00000308	No
PC_00000392	Yes
PC_00000388	Yes
PC_00000614	Yes
PC_00001766	No
PC_00001484	Yes
PC_00000797	Yes
PC_00000779	Yes
PC_00000584	No
PC_00000003	Yes
PC_00001668	No
PC_00000660	Yes
PC_00000352	Yes
PC_00000279	Yes
PC_00000894	Yes
PC_00000307	Yes
PC_00000323	Yes
PC_00000521	Yes
PC_00000781	Yes
PC_00000296	Yes
PC_00000291	Yes
PC_00000806	Yes
PC_00000286	Yes
PC_00000020	Yes
PC_00000972	Yes
PC_00000662	Yes
PC_00000024	Yes
PC_00000587	Yes
PC_00000798	Yes
PC_00000934	Yes
PC_00001009	No
PC_00000991	No
PC_00000450	Yes
PC_00000905	Yes
PC_00000877	Yes
PC_00000580	Yes
PC_00001252	Yes
PC_00000460	Yes
PC_00001067	Yes
PC_00000733	Yes
PC_00000484	No
PC_00000826	Yes
PC_00000467	No
PC_00000482	Yes
PC_00002034	No
PC_00001489	No
PC_00001113	No
PC_00000464	No
PC_00000570	No
PC_00000280	Yes
PC_00002316	No
PC_00001244	Yes
PC_00000452	Yes
PC_00000974	No
PC_00000729	Yes
PC_00000456	Yes
PC_00001185	Yes
PC_00000622	Yes
PC_00000369	Yes
PC_00001148	Yes
PC_00000724	Yes
PC_00000720	Yes
PC_00001063	Yes
PC_00000666	Yes
PC_00000375	No
PC_00000395	Yes
PC_00000442	Yes
PC_00000711	No
PC_00000357	Yes
PC_00000332	Yes
PC_00000302	Yes
PC_00000299	Yes
PC_00000408	Yes
PC_00000655	Yes
PC_00000737	Yes
PC_00000852	Yes
PC_00000902	Yes
PC_00000530	Yes
PC_00000259	Yes
PC_00000373	Yes
PC_00000871	Yes
PC_00001175	No
PC_00001152	No
PC_00001157	No
PC_00001121	No
PC_00001477	No
PC_00000080	No
PC_00001246	No
PC_00001180	No
PC_00001001	No
PC_00001032	No
PC_00001011	No
PC_00001012	No
PC_00001037	No
PC_00000999	No
PC_00001291	No
PC_00001796	No
PC_00000004	No
PC_00002048	No
PC_00000370	Yes
PC_00000367	Yes
PC_00000502	No
PC_00000318	No
PC_00000982	No
PC_00000325	Yes
PC_00000569	No
PC_00000949	No
PC_00001145	Yes
PC_00001474	Yes
PC_00000615	No
PC_00000029	No
PC_00000793	Yes
PC_00000471	Yes
PC_00000413	No
PC_00000301	Yes
PC_00000801	Yes
PC_00001228	No
PC_00000507	Yes
PC_00000034	Yes
PC_00000760	Yes
PC_00000722	Yes
PC_00000303	Yes
PC_00000469	Yes
PC_00000637	No
PC_00000759	No
PC_00000427	No
PC_00000476	No
PC_00000493	No
PC_00000867	No
PC_00001394	No
PC_00000558	No
PC_00000425	No
PC_00000645	No
PC_00000446	Yes
PC_00000861	Yes
PC_00000842	Yes
PC_00000642	Yes
PC_00000490	Yes
PC_00000940	Yes
PC_00000941	No
PC_00000396	Yes
PC_00000368	Yes
PC_00000297	No
PC_00000459	No
PC_00000287	No
PC_00000306	No
PC_00000672	Yes
PC_00001016	No
PC_00001075	No
PC_00001096	No
PC_00001002	No
PC_00000564	No
PC_00000572	No
PC_00000863	No
PC_00001089	No
PC_00000765	No
PC_00001990	No
PC_00001500	No
PC_00000980	Yes
PC_00000620	Yes
PC_00000689	Yes
PC_00000633	No
PC_00000694	No
PC_00000524	Yes
PC_00000172	Yes
PC_00000532	Yes
PC_00001071	No
PC_00000971	No
PC_00001200	No
PC_00001237	No
PC_00001350	No
PC_00000625	Yes
PC_00000601	No
PC_00000582	No
PC_00000961	No
PC_00000712	Yes
PC_00001316	No
PC_00000626	No
PC_00000616	Yes
PC_00000578	No
PC_00000653	No
PC_00000439	Yes
PC_00001795	Yes
PC_00000802	Yes
PC_00000721	Yes
PC_00000454	No
PC_00000746	No
PC_00001632	No
PC_00002391	No
PC_00002170	No
PC_00000340	Yes
PC_00000956	Yes
PC_00000523	Yes
PC_00000618	Yes
PC_00000917	Yes
PC_00000946	Yes
PC_00000669	Yes
PC_00001582	Yes
PC_00000969	No
PC_00000006	No
PC_00000006	No
PC_00000338	Yes
PC_00001340	No
PC_00001097	Yes
PC_00001178	No
PC_00000028	No
PC_00000551	No
PC_00001074	Yes
PC_00001079	Yes
PC_00001292	Yes
PC_00001230	Yes
PC_00001050	No
PC_00000594	No
PC_00000922	No
PC_00000855	No
PC_00000892	No
PC_00000599	No
PC_00000586	No
PC_00001592	No
PC_00000732	Yes
PC_00000785	Yes
PC_00001010	Yes
PC_00001092	No
PC_00001368	No
PC_00001495	No
PC_00001076	No
PC_00001191	No
PC_00001264	No
PC_00001258	No
PC_00001257	Yes
PC_00001117	No
PC_00000008	Yes
PC_00001201	Yes
PC_00001450	No
PC_00001317	Yes
PC_00001312	Yes
PC_00001239	No
PC_00001226	No
PC_00000182	Yes
PC_00001298	No
PC_00001772	No
PC_00001423	Yes
PC_00001443	No
PC_00001498	No
PC_00001487	No
PC_00001466	No
PC_00002123	No
PC_00002349	No
PC_00002315	Yes
PC_00001956	No
PC_00002208	No
PC_00002189	Yes
PC_00001909	No
PC_00001989	No
PC_00002406	No
PC_00002387	No
PC_00001241	No
PC_00001814	No
PC_00001255	No
PC_00001763	No
PC_00001696	No
PC_00001822	Yes
PC_00001675	Yes
PC_00001747	No
PC_00002193	No
PC_00000556	Yes
PC_00001700	Yes
PC_00001109	No
PC_00000542	No
PC_00000621	Yes
PC_00000600	No
PC_00002105	No
PC_00001399	No
PC_00001083	No
PC_00000684	No
PC_00000636	No
PC_00000548	Yes
PC_00000036	Yes
PC_00001158	No
PC_00001728	No
PC_00001354	No
PC_00001400	No
PC_00001132	Yes
PC_00000004	No
PC_00001282	No
PC_00000004	No
PC_00001059	No
PC_00001038	Yes
PC_00000553	No
PC_00001186	Yes
PC_00000527	Yes
PC_00000416	Yes
PC_00001111	No
PC_00001144	Yes
PC_00001503	Yes
PC_00000017	Yes
PC_00001169	Yes
PC_00000661	Yes
PC_00001433	Yes
PC_00001502	No
PC_00001501	Yes
PC_00001476	No
PC_00001177	No
PC_00001468	Yes
PC_00001456	Yes
PC_00001227	No
PC_00000926	No
PC_00001224	No
PC_00000791	No
PC_00000822	No
PC_00001014	No
PC_00000015	Yes
PC_00000540	Yes
PC_00000678	Yes
PC_00000535	Yes
PC_00000702	No
PC_00000611	No
PC_00000609	No
PC_00000445	No
PC_00000404	Yes
PC_00000483	Yes
PC_00001492	No
PC_00000538	Yes
PC_00000549	Yes
PC_00000606	Yes
PC_00000651	Yes
PC_00000844	Yes
PC_00000679	Yes
PC_00001027	No
PC_00001118	Yes
PC_00001077	No
PC_00001061	No
PC_00001055	No
PC_00001028	No
PC_00000648	Yes
PC_00001162	Yes
PC_00000588	Yes
PC_00000882	No
PC_00001314	No
PC_00001296	No
PC_00001382	No
PC_00001231	Yes
PC_00000914	No
PC_00001304	No
PC_00001229	No
PC_00000792	No
PC_00000691	Yes
PC_00000776	Yes
PC_00000827	Yes
PC_00000848	Yes
PC_00000688	Yes
PC_00000612	Yes
PC_00000920	Yes
PC_00000002	Yes
PC_00000671	Yes
PC_00001104	Yes
PC_00000764	Yes
PC_00000687	Yes
PC_00000628	Yes
PC_00000595	Yes
PC_00000003	Yes
PC_00000700	No
PC_00001294	No
PC_00000893	Yes
PC_00001019	Yes
PC_00001744	No
PC_00001112	Yes
PC_00001013	Yes
PC_00000998	Yes
PC_00001030	Yes
PC_00001025	Yes
PC_00001100	No
PC_00000992	No
PC_00001006	No
PC_00000896	No
PC_00000715	Yes
PC_00001017	Yes
PC_00001005	No
PC_00001004	Yes
PC_00000005	Yes
PC_00000995	Yes
PC_00001041	No
PC_00001024	No
PC_00001271	No
PC_00000851	No
PC_00000868	No
PC_00000919	Yes
PC_00000897	Yes
PC_00000380	Yes
PC_00000819	Yes
PC_00000858	No
PC_00000835	No
PC_00000341	No
PC_00000900	No
PC_00000011	Yes
PC_00000875	Yes
PC_00000915	No
PC_00000866	No
PC_00000962	No
PC_00000778	No
PC_00000909	No
PC_00000936	No
PC_00000879	No
PC_00000818	Yes
PC_00000904	Yes
PC_00001313	Yes
PC_00001233	Yes
PC_00000011	Yes
PC_00001441	No
PC_00001272	No
PC_00002343	No
PC_00002262	No
PC_00001234	No
PC_00001469	No
PC_00001440	No
PC_00001470	Yes
PC_00001085	No
PC_00001494	No
PC_00001905	No
PC_00001381	No
PC_00001068	No
PC_00001236	No
PC_00000565	No
PC_00000843	No
PC_00001026	Yes
PC_00001174	No
PC_00001034	No
PC_00000589	Yes
PC_00000984	Yes
PC_00000592	Yes
PC_00000695	Yes
PC_00000665	Yes
PC_00000718	Yes
PC_00000730	No
PC_00000321	No
PC_00000686	No
PC_00000685	No
PC_00000328	Yes
PC_00000335	No
PC_00000207	No
PC_00001606	No
PC_00000187	Yes
PC_00000363	Yes
PC_00000603	Yes
PC_00000365	Yes
PC_00000787	Yes
PC_00000013	Yes
PC_00001114	Yes
PC_00000354	Yes
PC_00000093	Yes
PC_00000690	Yes
PC_00000681	Yes
PC_00000745	Yes
PC_00001256	Yes
PC_00001070	Yes
PC_00000016	No
PC_00001243	Yes
PC_00001219	Yes
PC_00001223	Yes
PC_00001251	Yes
PC_00000270	Yes
PC_00000489	Yes
PC_00000418	Yes
PC_00000514	Yes
PC_00000345	Yes
PC_00000314	Yes
PC_00000545	Yes
PC_00002297	No
PC_00002176	No
PC_00000509	Yes
PC_00000883	Yes
PC_00000432	Yes
PC_00000320	Yes
PC_00000422	Yes
PC_00000758	Yes
PC_00001033	Yes
PC_00000950	Yes
PC_00001072	Yes
PC_00001066	Yes
PC_00000505	Yes
PC_00000474	Yes
PC_00000276	Yes
PC_00000386	Yes
PC_00000230	Yes
PC_00000945	Yes
PC_00000667	Yes
PC_00000334	Yes
PC_00000317	Yes
PC_00000401	Yes
PC_00000424	Yes
PC_00000383	Yes
PC_00000406	Yes
PC_00000808	Yes
PC_00000849	Yes
PC_00000786	Yes
PC_00000973	Yes
PC_00000498	Yes
PC_00000743	Yes
PC_00000415	Yes
PC_00000453	Yes
PC_00000436	No
PC_00000769	No
PC_00000560	No
PC_00000224	No
PC_00001629	No
PC_00001056	No
PC_00001633	No
PC_00000256	No
PC_00000978	No
PC_00001149	No
PC_00000750	Yes
PC_00000258	Yes
PC_00000366	Yes
PC_00000872	Yes
PC_00000754	Yes
PC_00000455	Yes
PC_00000231	Yes
PC_00000264	Yes
PC_00000705	Yes
PC_00000857	Yes
PC_00000912	Yes
PC_00000400	No
PC_00000862	Yes
PC_00000444	No
PC_00000289	No
PC_00000975	No
PC_00000910	No
PC_00000876	No
PC_00000841	No
PC_00000928	No
PC_00000766	No
PC_00000767	No
PC_00001122	No
PC_00000930	No
PC_00000937	No
PC_00000731	No
PC_00000805	No
PC_00001022	No
PC_00000810	Yes
PC_00001039	Yes
PC_00001044	Yes
PC_00001065	Yes
PC_00000546	Yes
PC_00000942	Yes
PC_00000887	Yes
PC_00000002	Yes
PC_00000379	Yes
PC_00000794	Yes
PC_00000111	Yes
PC_00000277	Yes
PC_00001123	Yes
PC_00000067	Yes
PC_00000837	Yes
PC_00000775	Yes
PC_00000813	Yes
PC_00000021	Yes
PC_00000748	Yes
PC_00000374	Yes
PC_00000508	No
PC_00000682	Yes
PC_00000267	Yes
PC_00000728	Yes
PC_00000965	Yes
PC_00000512	No
PC_00000983	Yes
PC_00000859	Yes
PC_00000966	Yes
PC_00000953	Yes
PC_00000895	Yes
PC_00000608	Yes
PC_00000976	Yes
PC_00000951	Yes
PC_00000411	Yes
PC_00001496	No
PC_00000033	Yes
PC_00000463	Yes
PC_00000465	Yes
PC_00000757	Yes
PC_00000751	Yes
PC_00000703	No
PC_00000433	Yes
PC_00000485	Yes
PC_00000246	Yes
PC_00001058	Yes
PC_00000421	Yes
PC_00001095	Yes
PC_00000378	Yes
PC_00000799	Yes
PC_00000646	Yes
PC_00001646	No
PC_00000035	Yes
PC_00000640	Yes
PC_00000996	No
PC_00000260	No
PC_00000644	Yes
PC_00000515	Yes
PC_00000707	Yes
PC_00000504	Yes
PC_00001101	Yes
PC_00000399	Yes
PC_00000676	Yes
