name	individual	cohort	from	accession ID	genome_completion	genome_redundancy	num_splits	total length	t_phylum	t_class	t_order	t_family	t_genus	t_species	contigs_db_path
POU_P204_MAG_00001	POU_P204	POUCHITIS	Vineis et al. (doi:10.1128/mBio.01713-16)	phs000262.v3.p2 (dbGaP)	94.37	0.00	104	2081795	Firmicutes	Clostridia	Oscillospirales	Acutalibacteraceae	UMGS1071	None	WATSON_ET_AL_CONTIGS_DBS_FOR_METABOLIC_COMPARISON/POU_P204_MAG_00001.db
POU_P204_MAG_00002	POU_P204	POUCHITIS	Vineis et al. (doi:10.1128/mBio.01713-16)	phs000262.v3.p2 (dbGaP)	100.00	0.00	129	2564734	Firmicutes	Clostridia	Lachnospirales	Anaerotignaceae	Anaerotignum	Anaerotignum sp001304995	WATSON_ET_AL_CONTIGS_DBS_FOR_METABOLIC_COMPARISON/POU_P204_MAG_00002.db
POU_P204_MAG_00003	POU_P204	POUCHITIS	Vineis et al. (doi:10.1128/mBio.01713-16)	phs000262.v3.p2 (dbGaP)	98.59	1.41	202	4105023	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides fragilis	WATSON_ET_AL_CONTIGS_DBS_FOR_METABOLIC_COMPARISON/POU_P204_MAG_00003.db
POU_P204_MAG_00004	POU_P204	POUCHITIS	Vineis et al. (doi:10.1128/mBio.01713-16)	phs000262.v3.p2 (dbGaP)	98.59	5.63	263	5146152	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	None	WATSON_ET_AL_CONTIGS_DBS_FOR_METABOLIC_COMPARISON/POU_P204_MAG_00004.db
POU_P204_MAG_00005	POU_P204	POUCHITIS	Vineis et al. (doi:10.1128/mBio.01713-16)	phs000262.v3.p2 (dbGaP)	98.59	0.00	97	2044951	Actinobacteriota	Actinomycetia	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	None	WATSON_ET_AL_CONTIGS_DBS_FOR_METABOLIC_COMPARISON/POU_P204_MAG_00005.db
POU_P204_MAG_00006	POU_P204	POUCHITIS	Vineis et al. (doi:10.1128/mBio.01713-16)	phs000262.v3.p2 (dbGaP)	69.01	0.00	117	1563695	Actinobacteriota	Actinomycetia	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	None	WATSON_ET_AL_CONTIGS_DBS_FOR_METABOLIC_COMPARISON/POU_P204_MAG_00006.db
POU_P204_MAG_00007	POU_P204	POUCHITIS	Vineis et al. (doi:10.1128/mBio.01713-16)	phs000262.v3.p2 (dbGaP)	77.46	2.82	189	3127919	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Blautia	None	WATSON_ET_AL_CONTIGS_DBS_FOR_METABOLIC_COMPARISON/POU_P204_MAG_00007.db
POU_P204_MAG_00008	POU_P204	POUCHITIS	Vineis et al. (doi:10.1128/mBio.01713-16)	phs000262.v3.p2 (dbGaP)	92.96	2.82	153	3014417	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Dorea	Dorea longicatena	WATSON_ET_AL_CONTIGS_DBS_FOR_METABOLIC_COMPARISON/POU_P204_MAG_00008.db
POU_P204_MAG_00009	POU_P204	POUCHITIS	Vineis et al. (doi:10.1128/mBio.01713-16)	phs000262.v3.p2 (dbGaP)	98.59	1.41	117	2287371	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	Faecalibacterium sp900540455	WATSON_ET_AL_CONTIGS_DBS_FOR_METABOLIC_COMPARISON/POU_P204_MAG_00009.db
POU_P204_MAG_00010	POU_P204	POUCHITIS	Vineis et al. (doi:10.1128/mBio.01713-16)	phs000262.v3.p2 (dbGaP)	95.77	5.63	159	2993513	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Faecalimonas	Faecalimonas nexilis	WATSON_ET_AL_CONTIGS_DBS_FOR_METABOLIC_COMPARISON/POU_P204_MAG_00010.db
POU_P204_MAG_00011	POU_P204	POUCHITIS	Vineis et al. (doi:10.1128/mBio.01713-16)	phs000262.v3.p2 (dbGaP)	100.00	1.41	245	4923959	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	Parabacteroides distasonis	WATSON_ET_AL_CONTIGS_DBS_FOR_METABOLIC_COMPARISON/POU_P204_MAG_00011.db
POU_P204_MAG_00012	POU_P204	POUCHITIS	Vineis et al. (doi:10.1128/mBio.01713-16)	phs000262.v3.p2 (dbGaP)	100.00	2.82	274	5223974	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Phocaeicola	None	WATSON_ET_AL_CONTIGS_DBS_FOR_METABOLIC_COMPARISON/POU_P204_MAG_00012.db
POU_P204_MAG_00013	POU_P204	POUCHITIS	Vineis et al. (doi:10.1128/mBio.01713-16)	phs000262.v3.p2 (dbGaP)	81.69	5.63	150	2958575	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Ruminococcus	Ruminococcus sp000432335	WATSON_ET_AL_CONTIGS_DBS_FOR_METABOLIC_COMPARISON/POU_P204_MAG_00013.db
POU_P204_MAG_00014	POU_P204	POUCHITIS	Vineis et al. (doi:10.1128/mBio.01713-16)	phs000262.v3.p2 (dbGaP)	97.18	0.00	92	1620467	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	None	WATSON_ET_AL_CONTIGS_DBS_FOR_METABOLIC_COMPARISON/POU_P204_MAG_00014.db
POU_P207_MAG_00001	POU_P207	POUCHITIS	Vineis et al. (doi:10.1128/mBio.01713-16)	phs000262.v3.p2 (dbGaP)	98.59	2.82	121	2242806	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus	None	WATSON_ET_AL_CONTIGS_DBS_FOR_METABOLIC_COMPARISON/POU_P207_MAG_00001.db
POU_P207_MAG_00002	POU_P207	POUCHITIS	Vineis et al. (doi:10.1128/mBio.01713-16)	phs000262.v3.p2 (dbGaP)	94.37	5.63	150	2913961	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Agathobacter	None	WATSON_ET_AL_CONTIGS_DBS_FOR_METABOLIC_COMPARISON/POU_P207_MAG_00002.db
POU_P207_MAG_00003	POU_P207	POUCHITIS	Vineis et al. (doi:10.1128/mBio.01713-16)	phs000262.v3.p2 (dbGaP)	98.59	9.86	173	3140164	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Agathobacter	None	WATSON_ET_AL_CONTIGS_DBS_FOR_METABOLIC_COMPARISON/POU_P207_MAG_00003.db
POU_P207_MAG_00004	POU_P207	POUCHITIS	Vineis et al. (doi:10.1128/mBio.01713-16)	phs000262.v3.p2 (dbGaP)	98.59	2.82	244	4930739	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides fragilis	WATSON_ET_AL_CONTIGS_DBS_FOR_METABOLIC_COMPARISON/POU_P207_MAG_00004.db
POU_P207_MAG_00005	POU_P207	POUCHITIS	Vineis et al. (doi:10.1128/mBio.01713-16)	phs000262.v3.p2 (dbGaP)	98.59	2.82	334	6789542	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	None	WATSON_ET_AL_CONTIGS_DBS_FOR_METABOLIC_COMPARISON/POU_P207_MAG_00005.db
POU_P207_MAG_00006	POU_P207	POUCHITIS	Vineis et al. (doi:10.1128/mBio.01713-16)	phs000262.v3.p2 (dbGaP)	98.59	0.00	114	2260746	Actinobacteriota	Actinomycetia	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	None	WATSON_ET_AL_CONTIGS_DBS_FOR_METABOLIC_COMPARISON/POU_P207_MAG_00006.db
POU_P207_MAG_00007	POU_P207	POUCHITIS	Vineis et al. (doi:10.1128/mBio.01713-16)	phs000262.v3.p2 (dbGaP)	64.79	0.00	260	2581584	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	None	None	WATSON_ET_AL_CONTIGS_DBS_FOR_METABOLIC_COMPARISON/POU_P207_MAG_00007.db
POU_P207_MAG_00008	POU_P207	POUCHITIS	Vineis et al. (doi:10.1128/mBio.01713-16)	phs000262.v3.p2 (dbGaP)	54.93	0.00	324	5765197	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Enterocloster	None	WATSON_ET_AL_CONTIGS_DBS_FOR_METABOLIC_COMPARISON/POU_P207_MAG_00008.db
POU_P207_MAG_00009	POU_P207	POUCHITIS	Vineis et al. (doi:10.1128/mBio.01713-16)	phs000262.v3.p2 (dbGaP)	87.32	4.23	143	2809587	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospira	Lachnospira sp000437735	WATSON_ET_AL_CONTIGS_DBS_FOR_METABOLIC_COMPARISON/POU_P207_MAG_00009.db
POU_P207_MAG_00010	POU_P207	POUCHITIS	Vineis et al. (doi:10.1128/mBio.01713-16)	phs000262.v3.p2 (dbGaP)	95.77	2.82	254	5079531	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Phocaeicola	None	WATSON_ET_AL_CONTIGS_DBS_FOR_METABOLIC_COMPARISON/POU_P207_MAG_00010.db
POU_P207_MAG_00011	POU_P207	POUCHITIS	Vineis et al. (doi:10.1128/mBio.01713-16)	phs000262.v3.p2 (dbGaP)	73.24	0.00	140	1505389	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Veillonella	None	WATSON_ET_AL_CONTIGS_DBS_FOR_METABOLIC_COMPARISON/POU_P207_MAG_00011.db
POU_P208_MAG_00001	POU_P208	POUCHITIS	Vineis et al. (doi:10.1128/mBio.01713-16)	phs000262.v3.p2 (dbGaP)	91.55	1.41	149	3024994	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium perfringens	WATSON_ET_AL_CONTIGS_DBS_FOR_METABOLIC_COMPARISON/POU_P208_MAG_00001.db
POU_P208_MAG_00002	POU_P208	POUCHITIS	Vineis et al. (doi:10.1128/mBio.01713-16)	phs000262.v3.p2 (dbGaP)	94.37	1.41	117	1572930	Firmicutes	Negativicutes	Veillonellales	Dialisteraceae	Dialister	Dialister invisus	WATSON_ET_AL_CONTIGS_DBS_FOR_METABOLIC_COMPARISON/POU_P208_MAG_00002.db
POU_P208_MAG_00003	POU_P208	POUCHITIS	Vineis et al. (doi:10.1128/mBio.01713-16)	phs000262.v3.p2 (dbGaP)	97.18	2.82	63	1205416	Firmicutes	Negativicutes	Veillonellales	Dialisteraceae	Dialister	Dialister pneumosintes	WATSON_ET_AL_CONTIGS_DBS_FOR_METABOLIC_COMPARISON/POU_P208_MAG_00003.db
