samples	total_length	percent_complete	percent_redundancy	gc_content	num_genes	avg_gene_length	num_genes_per_kb	Nb_recruited_reads	Clade	SOC_85_90M	SOC_85_05M	SOC_84_05M	ASW_82_40M	ASW_82_05M	IOS_65_30M	IOS_65_05M	ASE_66_05M	ASE_66_30M	PSE_93_05M	PSE_93_35M	PSE_94_05M	ASE_67_05M	ASE_68_50M	ASE_68_05M	ASW_78_05M	PSE_96_05M	IOS_64_65M	IOS_64_05M	PSE_98_05M	PSW_112_05M	IOS_62_05M	PSE_99_05M	ASW_76_05M	ASE_70_05M	IOS_58_66M	IOS_57_05M	PSE_111_05M	PSE_111_90M	IOS_52_05M	IOS_52_75M	IOS_56_05M	PSE_100_05M	PSE_100_50M	ION_48_05M	PSW_124_05M	PSW_122_05M	PSW_125_05M	PSW_123_05M	ASW_72_05M	ASW_72_100M	PSE_102_40M	PSE_102_05M	PSE_110_05M	PSE_110_50M	PSW_128_05M	ION_45_05M	PSW_128_40M	PSE_109_05M	PSE_109_30M	ION_42_80M	ION_42_05M	PON_138_05M	PON_138_60M	PON_140_05M	ANW_141_05M	PON_137_05M	PON_137_40M	ION_41_60M	ION_41_05M	RED_34_05M	RED_34_60M	ION_39_25M	ION_38_25M	ION_38_05M	ION_36_05M	ION_36_17M	RED_33_05M	RED_32_05M	RED_32_80M	ANW_142_05M	RED_31_05M	PON_132_05M	ANW_148_05M	MED_30_05M	MED_30_70M	ANW_149_05M	ANW_146_05M	PON_133_05M	PON_133_45M	MED_18_60M	MED_18_05M	ANE_150_40M	ANE_150_05M	ANE_151_05M	ANE_151_80M	ANE_004_05M	ANE_004_40M	ANW_145_05M	MED_25_05M	MED_25_50M	MED_23_05M	ANE_152_05M	OSD_152	OSD_163	OSD_155	OSD_20	OSD_126	OSD_127	OSD_106	OSD_105	OSD_80	OSD_146
himb058	1115049	92.8057554	0	0.298729648	1230	875.9	1.103090537	36.35	II	0.01062999	0.009750177	0.014424089	0.028171025	0.018923601	0.139409133	0.169914649	0.119461162	0.107143267	0.161102165	0.135231146	0.131036225	0.027225007	0.040622675	0.041687787	0.06513453	0.036249932	0.070250147	0.082969481	0.052622078	0.08779044	0.270635114	0.069376442	0.040972078	0.043706345	0.252302374	0.226034553	0.174097752	0.069829921	0.108480545	0.068172937	0.193728216	0.203682982	0.057099734	0.120599405	0.082824707	0.108819425	0.122895464	0.073792481	0.062861356	0.05917234	0.149965342	0.214095976	0.102034474	0.071269416	0.09625738	0.104592397	0.084418645	0.133886829	0.104702084	0.057144366	0.1604178	0.106583553	0.044047503	0.421698269	0.388975863	0.127751465	0.023134847	0.062465328	0.119081195	0.247004577	0.02508085	0.096681765	0.091125355	0.223484036	0.232839899	0.338400307	0.166471859	0.05502403	0.073282569	0.10473756	0.076407763	0.14837609	0.094602589	0.377120082	0.159785894	0.0733795	0.073786794	0.079262915	0.057597104	0.069338158	0.082899634	0.06760872	0.078548349	0.124386659	0.09169456	0.104914509	0.062128327	0.081628849	0.469666339	0.058085815	0.54708362	0.043478108	0.002434186	0.020311265	0.006830835	0.007947113	0.007643526	0.011879822	0.018108311	0.018719265	0.013695239	0.017345746
himb083	1395997	93.52517986	0	0.291472391	1470	918.4591837	1.053010859	390.93	Ia.1	0.018391717	0.030195336	0.016622941	0.034233268	0.023887569	2.548752326	3.018240777	2.104282666	2.150822612	0.325555272	0.185403871	0.500400224	0.078225151	0.442533742	0.474534105	1.353280877	0.186739986	0.953756171	1.90689494	0.136468514	0.142182699	2.324032778	0.139833567	0.423316207	0.37760755	2.586333268	2.14047247	1.180525553	0.613575841	0.854020074	1.486870304	1.808395427	0.998804156	0.736681911	0.952548133	1.382067229	1.093165847	1.973502311	0.762315457	0.710072929	0.867601491	2.193386014	2.623528364	2.194732366	1.419066658	1.063772393	1.67984347	1.11451063	2.624814783	1.882663196	2.068215573	2.07117474	0.554664233	0.726209722	2.537062641	2.270912837	2.588151223	0.015106931	1.70607899	1.952632632	3.9701932	0.349017555	2.369271094	3.456836926	3.546173587	4.379380801	4.740266753	4.305308881	2.064898039	0.96218542	1.220497014	1.812559988	0.679462129	1.107730004	0.277130833	0.233209699	1.498348287	1.132432525	0.167020928	0.108603528	0.275595185	0.36611936	1.194569849	1.542767284	1.397254626	0.98338352	0.709057369	1.023511739	0.914715508	0.231712916	0.15055543	0.272669422	0.333253787	0.001181327	0.064338254	0.001071543	0.007865594	0.009266434	0.017747598	0.035706275	0.00529073	0.003271092	0.009955573
himb114	1237371	94.96402878	0	0.295861144	1324	905.4697885	1.07001053	3.03	IIIa	0.001990389	0.002506372	0.002375015	0.002680874	0.002271301	0.004017292	0.003843074	0.003332958	0.003600663	0.005782638	0.004908432	0.007333807	0.001757247	0.002366389	0.002561235	0.002899267	0.007275529	0.003472328	0.003501374	0.005848019	0.004588982	0.005277462	0.006344994	0.001875379	0.001618337	0.004346132	0.005853436	0.007622478	0.00409747	0.004444087	0.003806103	0.005322333	0.00912914	0.003869524	0.005387074	0.004272516	0.005146258	0.004234376	0.002787236	0.00229968	0.003626268	0.002780606	0.006714869	0.003839605	0.003092013	0.004793042	0.003874951	0.004035735	0.006338968	0.004181128	0.002590932	0.004559759	0.003962086	0.003157533	0.063205406	0.075452381	0.00630529	0.003267458	0.002575708	0.00446288	0.006216721	0.002469125	0.002312257	0.002457875	0.0045359	0.005360573	0.006346292	0.00743201	0.002858308	0.003149656	0.003858553	0.003908751	0.007042678	0.004538782	0.115452277	0.017105514	0.003774849	0.004123887	0.005099091	0.002689687	0.007255548	0.00899343	0.003373162	0.004338874	0.004118723	0.003573745	0.005610694	0.00393117	0.003225406	0.145929933	0.004019701	0.116841189	0.002926126	0.002799872	0.004138542	0.001360152	0.001635724	0.005840394	0.005626518	0.003249844	0.002224232	0.002574779	0.002418588
himb122	1453515	93.52517986	0	0.292652639	1510	931.7582781	1.038860968	63.27	Ia.1	0.014735924	0.025056556	0.013795961	0.021020703	0.014363506	0.383233953	0.425910785	0.395836938	0.394661954	0.101819416	0.067994383	0.126925023	0.034007299	0.067465413	0.072486863	0.180731043	0.101619384	0.10355381	0.185582547	0.07325427	0.044600526	0.234843298	0.05847205	0.041578505	0.07192532	0.31194584	0.287993958	0.20025406	0.104103343	0.103822412	0.137233215	0.198461535	0.177362166	0.114531212	0.088798103	0.142966792	0.116343613	0.173976919	0.073702582	0.064505694	0.081206747	0.146726396	0.214317307	0.377141155	0.232765223	0.138155463	0.135517886	0.13917112	0.400615279	0.286637266	0.319395698	0.240538812	0.100845736	0.097906618	0.325663984	0.986649615	0.429980888	0.012563262	0.311772937	0.25756422	0.597177288	0.048839394	0.401056968	0.59378415	0.607285688	0.851066212	0.952176642	0.745993189	0.255796708	0.152744461	0.141257299	0.235840316	0.080244026	0.181316124	0.260881672	0.195735348	0.250109342	0.189118157	0.071902459	0.049116148	0.083941157	0.108181586	0.171857745	0.231717865	0.195706952	0.143546805	0.135631081	0.140735256	0.151879909	0.282710759	0.073218443	0.29820049	0.088061136	0.001756201	0.064960784	0.000570647	0.004804606	0.009344393	0.010014015	0.023063514	0.004488951	0.002395627	0.007369772
himb140	1437930	93.52517986	0	0.293503161	1500	929.292	1.043166218	60.64	Ia.1	0.013731689	0.023454941	0.012931399	0.020726489	0.013965826	0.364477826	0.403576309	0.3787476	0.377417301	0.101796621	0.06910247	0.124874703	0.035196244	0.066914201	0.072400814	0.174869357	0.09986267	0.100429311	0.180626962	0.072674259	0.043091437	0.22077053	0.058291909	0.039991285	0.06953326	0.293238291	0.27129263	0.197133513	0.102291115	0.100813138	0.136904932	0.188811133	0.174417987	0.113006916	0.086671189	0.144605335	0.11727564	0.176543503	0.07387365	0.063347256	0.081624253	0.145508336	0.207908678	0.365716571	0.227331301	0.13668757	0.130704062	0.13843975	0.385453977	0.277080902	0.307927118	0.230419381	0.098021198	0.09676103	0.312127609	0.886160522	0.415883811	0.011875601	0.299167045	0.246819606	0.548881698	0.048360366	0.382103156	0.569140842	0.577023784	0.804778461	0.901248278	0.683887777	0.239766285	0.145510931	0.138015502	0.221507635	0.077593601	0.174696146	0.240732385	0.186075662	0.243701191	0.183093155	0.072798252	0.049914732	0.082342007	0.106722971	0.168910979	0.22788474	0.193721701	0.14157909	0.132971859	0.140428884	0.146711265	0.2634438	0.07084471	0.280640093	0.087591824	0.001473213	0.060004679	0.001016955	0.004961251	0.008292985	0.010420758	0.025201514	0.004453886	0.002469543	0.007021745
himb4	1382291	93.52517986	0.71942446	0.289531654	1458	913.8374486	1.054770667	13.54	Ia.1	0.014173971	0.022644813	0.013774415	0.020692286	0.013537538	0.043136527	0.048738832	0.062411246	0.062816797	0.08724112	0.059017954	0.082728873	0.026407083	0.030049374	0.032965843	0.040231759	0.063221939	0.027750316	0.042807024	0.047573084	0.029808862	0.040686592	0.037831994	0.016846658	0.017589947	0.037541839	0.04225187	0.045532586	0.04278516	0.033821928	0.040941309	0.043081185	0.04249243	0.043804185	0.050465663	0.045970227	0.046784116	0.062892187	0.030399329	0.027463829	0.033889293	0.072176952	0.06383644	0.054312222	0.045239082	0.034875388	0.046546085	0.033947957	0.042633924	0.040909499	0.033950932	0.047079343	0.041630411	0.032991383	0.041140931	0.033716451	0.062641369	0.007308758	0.037150403	0.043628323	0.055168931	0.014201331	0.024903442	0.045024782	0.057872792	0.06800004	0.072146774	0.048553311	0.024923752	0.019346363	0.032312611	0.028668679	0.035354772	0.041485636	0.066489906	0.067042881	0.044669336	0.037076064	0.066441832	0.04193836	0.045940884	0.058847743	0.050109234	0.067898995	0.066490276	0.047555694	0.054080177	0.050087748	0.039588065	0.091093097	0.037339616	0.100917153	0.042557383	0.0007879	0.069811493	0.00078066	0.003698494	0.00525674	0.008913201	0.02034082	0.005517744	0.002189414	0.004977186
himb5	1343202	93.52517986	0.71942446	0.286318811	1433	906.0230286	1.066853682	22.63	Ia.1	0.016268673	0.026685923	0.015635028	0.018490728	0.012290447	0.068594459	0.080242245	0.07747924	0.079869176	0.079151979	0.052510291	0.094515378	0.022903607	0.039768842	0.042423008	0.05538357	0.09029776	0.05428704	0.070657029	0.072105818	0.047772311	0.072884059	0.058075005	0.026170772	0.023621186	0.065635926	0.080392259	0.065670943	0.067413916	0.053400472	0.064719607	0.069991399	0.066099799	0.065986251	0.081538887	0.070959615	0.075280629	0.095553522	0.046592617	0.041074701	0.053783747	0.070776939	0.073778575	0.072450471	0.062212785	0.054083219	0.072639075	0.05475293	0.064756284	0.055998523	0.055582925	0.077304203	0.069361289	0.047364734	0.172198585	0.323743566	0.08260589	0.016008983	0.066960225	0.070022167	0.413150433	0.027102126	0.052274004	0.082669214	0.14907216	0.167476499	0.210944246	0.463644267	0.076025672	0.042968092	0.053952716	0.081827195	0.053956	0.068201341	0.069792965	0.082440055	0.067391343	0.062318018	0.05809896	0.035566629	0.05455544	0.069222458	0.067363408	0.087389493	0.080534985	0.059463484	0.062225889	0.061761522	0.051234489	0.0697721	0.043285268	0.088035984	0.050256801	0.001198948	0.019557236	0.000798603	0.002962152	0.003463686	0.006210265	0.016622843	0.004007088	0.002084178	0.004662362
himb59	1410127	93.52517986	0	0.322633351	1487	914.7478144	1.054514948	22.17	Va	0.003501011	0.004141165	0.004392282	0.005018105	0.004946476	0.05317377	0.045557501	0.043011219	0.040201067	0.017824384	0.019646974	0.020734457	0.004902631	0.004878194	0.005296207	0.025584456	0.028952212	0.01572689	0.02033457	0.02216814	0.008715522	0.067035859	0.01780625	0.004852718	0.006543061	0.075445065	0.0846823	0.055407323	0.015221237	0.061342741	0.014019952	0.057899324	0.089536901	0.016633086	0.015599531	0.041201411	0.024776603	0.032621643	0.035352449	0.008069637	0.004758824	0.124138536	0.252602436	0.18138473	0.088999626	0.04728404	0.015077182	0.042486485	0.311503948	0.224889827	0.014834804	0.045194676	0.021750079	0.007935157	0.290247501	0.310595309	0.18664482	0.004548472	0.032083877	0.05186666	0.178254773	0.005689811	0.219143421	0.10383455	0.2702476	0.533569142	0.480528706	0.234328692	0.069587426	0.028649994	0.008526127	0.042034165	0.014733401	0.016793082	0.207814737	0.065923689	0.027068012	0.013948791	0.01715745	0.005984402	0.015936905	0.018227073	0.011345219	0.014826989	0.009025614	0.007500395	0.028469195	0.014998983	0.022463725	0.474340641	0.017245394	0.483437793	0.007095476	0.005997359	0.042214068	0.002596976	0.005145603	0.00992449	0.011853757	0.00771192	0.006823437	0.00717761	0.009528339
htcc1002	1327604	93.52517986	0	0.297597024	1380	922.4108696	1.039466588	23.93	Ia.3	0.752217939	1.526593276	0.792232628	1.237553082	0.91523269	0.011919129	0.012317693	0.047934916	0.047201521	0.081380662	0.070838882	0.022289971	0.061045663	0.01103615	0.011885454	0.010047993	0.016888258	0.008266461	0.011809663	0.012888344	0.008650465	0.0095012	0.010317885	0.004412766	0.005013026	0.009185491	0.010056739	0.011601942	0.015837941	0.007333578	0.011141415	0.010085423	0.010805552	0.016112468	0.011568925	0.010860493	0.01109845	0.014329426	0.006685154	0.006010106	0.01157358	0.018545941	0.013748432	0.014160487	0.012688959	0.008911843	0.009993503	0.008484072	0.010010598	0.01014547	0.009105787	0.010590258	0.009670027	0.015184136	0.009185845	0.006401448	0.014733805	0.005748787	0.009866116	0.009503865	0.011322617	0.006117404	0.005457284	0.009494197	0.011155709	0.012533639	0.01398291	0.010090578	0.005665021	0.005310312	0.010013295	0.007095946	0.009227526	0.013706426	0.03246895	0.021534186	0.014538129	0.012667254	0.06318682	0.109659753	0.014834341	0.018699585	0.014917983	0.020921671	0.020592717	0.016583718	0.017064139	0.020036163	0.075391	0.019052237	0.014769353	0.025148744	0.022250213	0.122380758	0.492881823	0.047386174	0.292823744	0.796830156	1.262287396	2.245110962	0.388121514	0.160065423	0.569213545
htcc1013	1302704	93.52517986	0.71942446	0.297093176	1369	915.8655953	1.05089107	19.88	Ia.3	0.604455395	1.233302836	0.648937238	1.0205314	0.760423111	0.010302225	0.011280428	0.041565542	0.041133923	0.067825409	0.059042068	0.02123292	0.049845096	0.009969952	0.010899521	0.009233475	0.015915958	0.0076096	0.010726228	0.012200342	0.008113092	0.008644967	0.009567701	0.0041007	0.004652433	0.008196557	0.008948789	0.010308087	0.013906407	0.006756668	0.010000834	0.009234922	0.009694679	0.014537306	0.010753796	0.009986176	0.009976524	0.013213559	0.006305012	0.005590763	0.010459715	0.01671531	0.012881031	0.012694511	0.011491141	0.007936062	0.009253412	0.007689846	0.009196281	0.009455337	0.008096915	0.009659314	0.008983217	0.013423331	0.008114842	0.005917172	0.01326956	0.004807215	0.008806118	0.008519516	0.010145027	0.005282253	0.004866441	0.008275612	0.009768241	0.011276388	0.012269077	0.009100768	0.005038216	0.004842231	0.00898945	0.006336512	0.008562357	0.012663272	0.019617981	0.020892104	0.013031871	0.011512255	0.055891851	0.092497974	0.013885296	0.01748581	0.01379037	0.019133957	0.01921286	0.015042286	0.016187683	0.017926727	0.065296164	0.018562215	0.013771467	0.024562326	0.020216622	0.100128673	0.444295735	0.044604231	0.253717274	0.622592503	1.048968172	1.845710138	0.313662646	0.128604251	0.435762656
