samples	Clade	total_length	gc_content	num_genes	avg_gene_length	num_genes_per_kb	Q-Depth-effect-Welch-test	Q-Location-effect-ANOVA-test	Depth-effect	Location-effect	ANE_004_40M	ION_39_25M	ION_41_60M	ION_42_80M	IOS_52_75M	IOS_58_66M	IOS_64_65M	IOS_65_30M	MED_18_60M	MED_25_50M	MED_30_70M	ANE_150_40M	PON_133_45M	PON_137_40M	PON_138_60M	PSE_100_50M	PSE_102_40M	PSE_109_30M	PSE_110_50M	PSE_111_90M	PSE_93_35M	PSW_128_40M	ANE_151_80M	RED_32_80M	RED_34_60M	SOC_85_90M	ANE_004_05M	ANE_150_05M	ANE_151_05M	ANE_152_05M	ANW_141_05M	ANW_142_05M	ANW_145_05M	ASE_66_30M	ANW_146_05M	ANW_148_05M	ANW_149_05M	ASE_66_05M	ASE_67_05M	ASE_68_05M	ASE_70_05M	ASW_72_05M	ASW_76_05M	ASW_78_05M	ASE_68_50M	ASW_82_05M	ION_36_05M	ION_38_05M	ION_41_05M	ION_42_05M	ION_45_05M	ION_48_05M	IOS_52_05M	IOS_56_05M	IOS_57_05M	ASW_72_100M	IOS_62_05M	IOS_64_05M	IOS_65_05M	MED_18_05M	MED_23_05M	MED_25_05M	MED_30_05M	PON_132_05M	PON_133_05M	PON_137_05M	ASW_82_40M	PON_138_05M	PON_140_05M	PSE_100_05M	PSE_102_05M	PSE_109_05M	PSE_110_05M	PSE_111_05M	PSE_93_05M	PSE_94_05M	PSE_96_05M	ION_36_17M	PSE_98_05M	PSE_99_05M	PSW_112_05M	PSW_122_05M	PSW_123_05M	PSW_124_05M	PSW_125_05M	PSW_128_05M	RED_31_05M	RED_32_05M	ION_38_25M	RED_33_05M	RED_34_05M	SOC_84_05M	SOC_85_05M	HLIPs	Distribution_average
AS9601	HL_II	1669886	0.313215393	1869	810.9566613	0.034146376	0.022783809	5.41E-15	1	1	0.0000	1.1186	0.1691	0.2697	0.3714	1.7421	0.7610	0.1410	0.0000	0.0000	0.0000	0.1044	0.0000	0.0000	0.0000	0.0000	0.0195	0.0307	0.0181	0.0000	0.0000	0.0282	0.0000	0.1792	0.0000	0.0000	0.0000	0.0743	0.0161	0.0000	0.3422	1.1270	0.0000	0.0000	0.1483	0.3182	0.0490	0.0000	0.0000	0.0000	0.0312	1.3399	0.8990	1.1626	0.0000	0.0000	0.0397	0.9530	2.6984	2.2317	4.1269	3.8751	0.2445	2.2339	1.5196	0.0813	1.6247	2.1813	0.2706	0.0000	0.0000	0.0000	0.0000	2.4645	0.0000	0.1643	0.0000	1.7721	0.9292	0.0000	0.0417	0.3146	0.0534	0.0000	0.0000	0.0000	0.3276	0.0359	1.0357	1.1428	1.2248	0.0000	0.0000	0.0000	0.0000	0.0327	3.1589	2.8356	0.7410	0.9663	0.5523	0.0000	0.0000	10	0.5412
CCMP1375	LL_II	1751080	0.364421386	1826	846.3072289	0.033360772	1	1	0	0	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	3	0.0000
EQPAC1	HL_I	1654739	0.307871699	1892	786.455074	0.034566583	0.884769637	1.39E-12	0	1	0.9513	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	4.9738	1.6301	2.9199	1.9946	0.1771	0.0000	0.0000	0.0530	0.0567	0.0000	0.0000	0.0138	0.0188	0.0000	0.4796	0.0000	0.0000	0.0000	4.0457	2.3328	1.8698	1.4023	0.0000	0.0000	0.0000	0.2336	0.0000	0.0138	0.0754	0.1694	0.0000	2.9731	0.2227	0.0202	0.0314	0.9428	2.9636	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0261	0.0000	4.3398	0.4381	0.6477	0.3819	0.1140	2.1112	0.0000	0.0000	0.0000	0.0000	0.0000	0.0312	0.0000	0.0000	0.0000	0.2036	1.3416	1.3537	0.0000	0.0688	0.8694	0.1221	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	10	0.4582
GP2	HL_II	1624310	0.311644945	1825	806.8734247	0.033342502	0.015218332	1.77E-12	1	1	0.0000	0.4979	0.1031	0.1494	0.1983	0.7263	0.3684	0.0668	0.0000	0.0000	0.0000	0.0637	0.0000	0.0000	0.0000	0.0000	0.0149	0.0210	0.0134	0.0000	0.0000	0.0241	0.0000	0.0792	0.0000	0.0000	0.0000	0.0472	0.0124	0.0000	0.1169	0.4071	0.0000	0.0000	0.0585	0.1231	0.0267	0.0000	0.0000	0.0000	0.0195	0.6296	0.4699	0.6309	0.0000	0.0000	0.0174	0.4157	1.0733	0.8643	1.6042	1.4653	0.1296	0.9838	0.6641	0.0440	0.6997	1.0284	0.1223	0.0000	0.0000	0.0000	0.0000	1.1346	0.0000	0.0954	0.0000	0.8586	0.3996	0.0000	0.0286	0.1505	0.0372	0.0000	0.0000	0.0000	0.1737	0.0157	0.5589	0.7052	0.7667	0.0000	0.0000	0.0000	0.0000	0.0258	1.3594	1.1948	0.3383	0.4248	0.2396	0.0000	0.0000	8	0.2418
LG	LL_II	1754063	0.364342102	1840	841.2717391	0.03361655	1	1	0	0	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	4	0.0000
MED4	HL_I	1657990	0.307991604	1891	788.9079852	0.034548313	0.899491702	5.78E-13	0	1	0.9484	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	4.9730	1.6368	2.9375	1.9794	0.1738	0.0000	0.0000	0.0488	0.0530	0.0000	0.0000	0.0114	0.0179	0.0000	0.4767	0.0000	0.0000	0.0000	4.0361	2.3246	1.8632	1.3947	0.0000	0.0000	0.0000	0.2341	0.0000	0.0120	0.0740	0.1688	0.0000	2.9641	0.2192	0.0000	0.0275	0.9416	2.9610	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0211	0.0000	4.3442	0.4320	0.6524	0.3851	0.1066	2.0981	0.0000	0.0000	0.0000	0.0000	0.0000	0.0268	0.0000	0.0000	0.0000	0.2047	1.3313	1.3584	0.0000	0.0619	0.8729	0.1168	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	13	0.4569
MIT9107	HL_II	1699937	0.310187378	1924	788.8752599	0.035151218	0.769697203	0.041165953	0	1	0.0000	0.0779	0.0503	0.0629	0.0865	0.1070	0.0625	0.0000	0.0000	0.0000	0.0000	0.0236	0.0000	0.0000	0.0087	0.0000	0.0119	0.0233	0.0211	0.0000	0.0000	0.0322	0.0000	0.0000	0.0000	0.0000	0.0000	0.0183	0.0000	0.0000	0.0000	0.0465	0.0000	0.0000	0.0000	0.0201	0.0000	0.0000	0.0000	0.0000	0.0206	0.1133	0.0846	0.1477	0.0000	0.0000	0.0000	0.0680	0.1329	0.1021	0.1869	0.1660	0.0529	0.1488	0.0978	0.0212	0.1005	0.1641	0.0000	0.0000	0.0000	0.0000	0.0000	0.1669	0.0000	0.0504	0.0000	0.1950	0.0577	0.0000	0.0208	0.0489	0.0607	0.0000	0.0000	0.0000	0.0380	0.0000	0.1209	0.2484	0.2508	0.0000	0.0000	0.0000	0.0000	0.0288	0.1834	0.1561	0.0627	0.0589	0.0346	0.0000	0.0000	7	0.0435
MIT9116	HL_II	1685398	0.310104201	1914	786.5188088	0.03496852	0.737478833	0.042147844	0	1	0.0000	0.0756	0.0467	0.0592	0.0815	0.1029	0.0592	0.0000	0.0000	0.0000	0.0000	0.0225	0.0000	0.0000	0.0081	0.0000	0.0108	0.0212	0.0196	0.0000	0.0000	0.0293	0.0000	0.0000	0.0000	0.0000	0.0000	0.0177	0.0000	0.0000	0.0000	0.0444	0.0000	0.0000	0.0000	0.0186	0.0000	0.0000	0.0000	0.0000	0.0194	0.1078	0.0799	0.1381	0.0000	0.0000	0.0000	0.0649	0.1264	0.0971	0.1809	0.1614	0.0489	0.1411	0.0955	0.0197	0.0953	0.1566	0.0000	0.0000	0.0000	0.0000	0.0000	0.1577	0.0000	0.0459	0.0000	0.1837	0.0542	0.0000	0.0188	0.0453	0.0547	0.0000	0.0000	0.0000	0.0357	0.0000	0.1115	0.2337	0.2325	0.0000	0.0000	0.0000	0.0000	0.0255	0.1742	0.1476	0.0602	0.0558	0.0326	0.0000	0.0000	7	0.0411
MIT9123	HL_II	1697748	0.310193268	1931	785.1595028	0.035279107	0.751598746	0.041248783	0	1	0.0000	0.0798	0.0501	0.0628	0.0835	0.1075	0.0612	0.0000	0.0000	0.0000	0.0000	0.0236	0.0000	0.0000	0.0083	0.0000	0.0113	0.0213	0.0199	0.0000	0.0000	0.0298	0.0000	0.0000	0.0000	0.0000	0.0000	0.0184	0.0000	0.0000	0.0000	0.0458	0.0000	0.0000	0.0000	0.0192	0.0000	0.0000	0.0000	0.0000	0.0198	0.1110	0.0815	0.1414	0.0000	0.0000	0.0000	0.0675	0.1321	0.1011	0.1869	0.1662	0.0487	0.1466	0.0990	0.0204	0.0996	0.1610	0.0000	0.0000	0.0000	0.0000	0.0000	0.1635	0.0000	0.0467	0.0000	0.1887	0.0568	0.0000	0.0194	0.0464	0.0563	0.0000	0.0000	0.0000	0.0368	0.0000	0.1156	0.2375	0.2399	0.0000	0.0000	0.0000	0.0000	0.0262	0.1818	0.1543	0.0633	0.0588	0.0342	0.0000	0.0000	7	0.0425
MIT9201	HL_II	1672416	0.312844412	1907	790.4834819	0.034840631	0.004376878	1.30E-06	1	1	0.0000	0.3532	0.1041	0.1452	0.2397	0.5030	0.2517	0.0470	0.0000	0.0000	0.0000	0.0534	0.0000	0.0000	0.0000	0.0000	0.0193	0.0287	0.0173	0.0000	0.0000	0.0350	0.0000	0.0549	0.0000	0.0000	0.0000	0.0416	0.0124	0.0000	0.0692	0.2456	0.0000	0.0000	0.0377	0.0789	0.0216	0.0000	0.0000	0.0000	0.0276	0.5350	0.3462	0.4737	0.0000	0.0000	0.0000	0.3127	0.7157	0.5566	1.0492	1.0049	0.1638	0.7122	0.4506	0.0403	0.4702	0.7066	0.0823	0.0000	0.0000	0.0000	0.0000	0.7456	0.0000	0.1179	0.0000	1.0859	0.2654	0.0000	0.0367	0.1640	0.0482	0.0000	0.0000	0.0000	0.1840	0.0117	0.5652	1.0424	0.8736	0.0000	0.0000	0.0000	0.0000	0.0358	0.8914	0.7844	0.2555	0.2781	0.1593	0.0000	0.0000	9	0.1887
